# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 4049001
# NOM_USUEL= ST AUBAN
# LATITUDE (°) = 44.062
# LONGITUDE(°)= 5.99
# ALTITUDE (m) = 458
# NUM_SERIE= MRR104049001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195401 201512
# Date(s) de rupture(s) d'homogénéité : 199212 200112
#     Periode homogénéisée  195401 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;48.2;1
195402;46.3;1
195403;35.7;1
195404;55.5;1
195405;119.9;1
195406;27.4;1
195407;19.7;1
195408;101.6;1
195409;27.4;1
195410;55.2;1
195411;134.2;1
195412;108.5;1
195501;121.5;1
195502;104.5;1
195503;30.3;1
195504;3.3;1
195505;28.1;1
195506;162.3;1
195507;37.3;1
195508;70.8;1
195509;2.9;1
195510;112.6;1
195511;102.5;1
195512;42.8;1
195601;69.1;1
195602;2.8;1
195603;78;1
195604;126;1
195605;48;1
195606;43.4;1
195607;46;1
195608;28.1;1
195609;82;1
195610;25.6;1
195611;14.6;1
195612;15.5;1
195701;35.8;1
195702;87.6;1
195703;31.6;1
195704;54.3;1
195705;59.3;1
195706;123.5;1
195707;14.9;1
195708;15.6;1
195709;5.9;1
195710;54.8;1
195711;88.3;1
195712;70.8;1
195801;46.8;1
195802;12.5;1
195803;83.7;1
195804;57.5;1
195805;56.1;1
195806;68;1
195807;50.3;1
195808;84.7;1
195809;93.9;1
195810;24.3;1
195811;17.4;1
195812;141.7;1
195901;17.4;1
195902;25;1
195903;80.2;1
195904;85.8;1
195905;54.5;1
195906;26.2;1
195907;69.6;1
195908;49.4;1
195909;129.1;1
195910;121.7;1
195911;82.5;1
195912;102.1;1
196001;89.7;1
196002;67.7;1
196003;108.4;1
196004;29.4;1
196005;15.4;1
196006;64.4;1
196007;20;1
196008;72;1
196009;122.6;1
196010;206.7;1
196011;120.6;1
196012;70;1
196101;43.1;1
196102;20.8;1
196103;0;1
196104;125.5;1
196105;93.7;1
196106;84.3;1
196107;11.9;1
196108;17.8;1
196109;58.5;1
196110;107.2;1
196111;103.5;1
196112;28.4;1
196201;45.3;1
196202;84.8;1
196203;61.3;1
196204;49.6;1
196205;31.3;1
196206;58.2;1
196207;21.7;1
196208;5.4;1
196209;79.7;1
196210;56.4;1
196211;69.2;1
196212;86.1;1
196301;82.2;1
196302;78.3;1
196303;69.1;1
196304;59.5;1
196305;126.3;1
196306;67;1
196307;90.3;1
196308;95.2;1
196309;124.1;1
196310;46;1
196311;121.6;1
196312;66.4;1
196401;7.3;1
196402;72;1
196403;123.5;1
196404;45;1
196405;45.6;1
196406;72.7;1
196407;33.1;1
196408;55;1
196409;74.1;1
196410;108.8;1
196411;21.2;1
196412;38.5;1
196501;25;1
196502;2.1;1
196503;95.7;1
196504;8.2;1
196505;24.9;1
196506;33.2;1
196507;55.1;1
196508;119.7;1
196509;99.5;1
196510;33.5;1
196511;69.2;1
196512;64.4;1
196601;30.9;1
196602;72.4;1
196603;2.3;1
196604;94;1
196605;57;1
196606;31.3;1
196607;20.9;1
196608;68.2;1
196609;19.1;1
196610;119.9;1
196611;95.8;1
196612;31.6;1
196701;21;1
196702;24.5;1
196703;12.8;1
196704;42.8;1
196705;54.2;1
196706;41.3;1
196707;3.5;1
196708;15.5;1
196709;32.5;1
196710;20.4;1
196711;87.5;1
196712;24.2;1
196801;22.2;1
196802;118.8;1
196803;22.4;1
196804;48.5;1
196805;91.5;1
196806;114.2;1
196807;33.7;1
196808;85.8;1
196809;139.7;1
196810;49;1
196811;109.7;1
196812;56.5;1
196901;77.1;1
196902;81.3;1
196903;64.1;1
196904;24.3;1
196905;46.8;1
196906;83.7;1
196907;78.3;1
196908;25.4;1
196909;87.4;1
196910;3.6;1
196911;81.4;1
196912;13.7;1
197001;105.3;1
197002;61.7;1
197003;51.2;1
197004;35.8;1
197005;44.1;1
197006;65.7;1
197007;3.2;1
197008;36.9;1
197009;17.2;1
197010;74.2;1
197011;125.8;1
197012;65.3;1
197101;66;1
197102;17.4;1
197103;93.5;1
197104;84.2;1
197105;119.5;1
197106;73.4;1
197107;13.8;1
197108;58.7;1
197109;5.6;1
197110;19;1
197111;98.2;1
197112;15.8;1
197201;39;1
197202;135.9;1
197203;89.1;1
197204;77.6;1
197205;93.2;1
197206;110.9;1
197207;55.9;1
197208;92.5;1
197209;66;1
197210;136;1
197211;47.7;1
197212;38.3;1
197301;44.8;1
197302;10.5;1
197303;7.8;1
197304;69.5;1
197305;45.1;1
197306;44.4;1
197307;112.9;1
197308;97.1;1
197309;50.2;1
197310;55.9;1
197311;33.4;1
197312;54.2;1
197401;72.4;1
197402;123.4;1
197403;33.1;1
197404;104.1;1
197405;50.6;1
197406;35.6;1
197407;28.3;1
197408;43.2;1
197409;109.6;1
197410;25.6;1
197411;46.5;1
197412;22;1
197501;40.8;1
197502;31.7;1
197503;73.5;1
197504;51.6;1
197505;116.3;1
197506;58.9;1
197507;17.5;1
197508;74.2;1
197509;78.8;1
197510;18.3;1
197511;102.5;1
197512;66.3;1
197601;7.1;1
197602;55.8;1
197603;51.7;1
197604;89.5;1
197605;28.1;1
197606;77.1;1
197607;82.8;1
197608;97;1
197609;130.1;1
197610;167.8;1
197611;96.1;1
197612;118.1;1
197701;119.4;1
197702;89.3;1
197703;66.7;1
197704;46.4;1
197705;153.4;1
197706;75;1
197707;79.2;1
197708;118.4;1
197709;9.7;1
197710;118.6;1
197711;42.9;1
197712;67.7;1
197801;126.6;1
197802;103;1
197803;55.8;1
197804;93.8;1
197805;101.1;1
197806;34.2;1
197807;32.8;1
197808;46.2;1
197809;13;1
197810;11.3;1
197811;0;1
197812;79.6;1
197901;118.9;1
197902;84.4;1
197903;131.6;1
197904;40.3;1
197905;10;1
197906;27.4;1
197907;11.1;1
197908;24.6;1
197909;11;1
197910;288.1;1
197911;33.9;1
197912;83.3;1
198001;32.3;1
198002;8;1
198003;100.1;1
198004;39.9;1
198005;136.1;1
198006;39.8;1
198007;32;1
198008;44.3;1
198009;18.1;1
198010;71;1
198011;64.2;1
198012;3;1
198101;34.2;1
198102;10.5;1
198103;64.1;1
198104;82;1
198105;87.3;1
198106;33.1;1
198107;61.7;1
198108;21.9;1
198109;157.8;1
198110;31.9;1
198111;0.5;1
198112;236.3;1
198201;19.9;1
198202;25.4;1
198203;39.6;1
198204;41.6;1
198205;21.9;1
198206;91.8;1
198207;38.9;1
198208;47.9;1
198209;48.2;1
198210;79.8;1
198211;70.4;1
198212;46.1;1
198301;0;1
198302;81.1;1
198303;71.9;1
198304;61.3;1
198305;61;1
198306;62.7;1
198307;8.6;1
198308;111.8;1
198309;27.3;1
198310;97;1
198311;9.8;1
198312;71.4;1
198401;58.1;1
198402;37;1
198403;51.7;1
198404;30;1
198405;109.7;1
198406;62.2;1
198407;0;1
198408;43.2;1
198409;52;1
198410;98.2;1
198411;87.2;1
198412;54.7;1
198501;80;1
198502;22.6;1
198503;117.1;1
198504;16.6;1
198505;119.8;1
198506;28.4;1
198507;25.5;1
198508;83.1;1
198509;0;1
198510;17.8;1
198511;57.8;1
198512;51.4;1
198601;82.3;1
198602;42;1
198603;14.8;1
198604;104.9;1
198605;12.3;1
198606;6.7;1
198607;40.2;1
198608;73.6;1
198609;111.7;1
198610;17.1;1
198611;55.1;1
198612;27.3;1
198701;34.1;1
198702;56.3;1
198703;40.5;1
198704;93.6;1
198705;38.1;1
198706;79.1;1
198707;118;1
198708;91.5;1
198709;26.1;1
198710;139.9;1
198711;44.5;1
198712;91.4;1
198801;62;1
198802;26.2;1
198803;57.1;1
198804;92.4;1
198805;124.4;1
198806;73.6;1
198807;25.3;1
198808;43.9;1
198809;28.5;1
198810;152.2;1
198811;25.7;1
198812;32.2;1
198901;4.9;1
198902;61.4;1
198903;12.3;1
198904;136.6;1
198905;30.4;1
198906;89.3;1
198907;27.8;1
198908;12.1;1
198909;25.3;1
198910;23.4;1
198911;39.2;1
198912;27.8;1
199001;11.7;1
199002;61.5;1
199003;20.7;1
199004;74.6;1
199005;72.2;1
199006;37;1
199007;25.7;1
199008;41.4;1
199009;32.2;1
199010;193.8;1
199011;46.6;1
199012;57.4;1
199101;20.3;1
199102;37.2;1
199103;46.2;1
199104;28.5;1
199105;21.6;1
199106;40;1
199107;15.4;1
199108;23.8;1
199109;199.5;1
199110;113.8;1
199111;101.5;1
199112;3.9;1
199201;17.4;1
199202;24.4;1
199203;75;1
199204;31.7;1
199205;47.6;1
199206;174.5;1
199207;40.2;1
199208;85.2;1
199209;110.4;1
199210;113.8;1
199211;49.9;1
199212;35.1;1
199301;1.5;1
199302;7;1
199303;9.9;1
199304;175.6;1
199305;48;1
199306;108.9;1
199307;31.7;1
199308;39.2;1
199309;156.2;1
199310;110.9;1
199311;43.6;1
199312;31.2;1
199401;169.2;1
199402;42.7;1
199403;18.3;1
199404;47.7;1
199405;40.9;1
199406;96.4;1
199407;40.5;1
199408;33.7;1
199409;258.3;1
199410;99.2;1
199411;130.9;1
199412;6.1;1
199501;38.7;1
199502;86.7;1
199503;29.3;1
199504;110.4;1
199505;66.4;1
199506;4;1
199507;126.7;1
199508;87.1;1
199509;64.2;1
199510;61.4;1
199511;102.5;1
199512;80.3;1
199601;143.6;1
199602;28.8;1
199603;21.6;1
199604;69.1;1
199605;51.5;1
199606;28.6;1
199607;61.4;1
199608;84;1
199609;54.6;1
199610;47.1;1
199611;218.5;1
199612;86.5;1
199701;99;1
199702;4;1
199703;0;1
199704;20.9;1
199705;23.1;1
199706;75.7;1
199707;38.7;1
199708;121.2;1
199709;4;1
199710;38.7;1
199711;100.3;1
199712;127.4;1
199801;54.8;1
199802;9.5;1
199803;2.9;1
199804;88;1
199805;77;1
199806;34.1;1
199807;3.7;1
199808;100.8;1
199809;132;1
199810;86;1
199811;24.9;1
199812;5.9;1
199901;42.7;1
199902;15.4;1
199903;72.2;1
199904;64.5;1
199905;65.1;1
199906;15.4;1
199907;36.1;1
199908;24.9;1
199909;129.8;1
199910;149.6;1
199911;50.8;1
199912;28.2;1
200001;0.4;1
200002;17.6;1
200003;64.2;1
200004;121;1
200005;26.6;1
200006;40;1
200007;33;1
200008;34.8;1
200009;88;1
200010;120.4;1
200011;208.8;1
200012;94.2;1
200101;64.2;1
200102;12.1;1
200103;126.3;1
200104;32.8;1
200105;147.2;1
200106;4.2;1
200107;81;1
200108;4.2;1
200109;93.3;1
200110;25.1;1
200111;22.9;1
200112;1.8;1
200201;24;1
200202;85.6;1
200203;30;1
200204;42.8;1
200205;165.8;1
200206;32.8;1
200207;58.6;1
200208;97.4;1
200209;98.6;1
200210;50.2;1
200211;185.6;1
200212;52.4;1
200301;48.2;1
200302;13.4;1
200303;26;1
200304;90.6;1
200305;33.8;1
200306;24.4;1
200307;1.8;1
200308;52.6;1
200309;71.8;1
200310;179.1;1
200311;104.2;1
200312;52.2;1
200401;40.6;1
200402;64;1
200403;11;1
200404;30;1
200405;40.6;1
200406;4.4;1
200407;9.2;1
200408;62.2;1
200409;15.2;1
200410;121;1
200411;15.2;1
200412;56.4;1
200501;11.2;1
200502;2.2;1
200503;41.4;1
200504;65.8;1
200505;67;1
200506;30.8;1
200507;22.6;1
200508;51.6;1
200509;97;1
200510;88;1
200511;52.4;1
200512;64.8;1
200601;31.8;1
200602;33.8;1
200603;50.2;1
200604;10.2;1
200605;34;1
200606;10.2;1
200607;65.4;1
200608;30.8;1
200609;128;1
200610;68;1
200611;23.6;1
200612;90.8;1
200701;26.8;1
200702;29.2;1
