# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 4070009
# NOM_USUEL= DIGNE LES BAINS
# LATITUDE (°) = 44.07
# LONGITUDE(°)= 6.187
# ALTITUDE (m) = 554
# NUM_SERIE= MRR104070009
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 200307
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;16.3;1
195002;80.8;1
195003;19.4;1
195004;36;1
195005;62.4;1
195006;47.1;1
195007;0;1
195008;55.2;1
195009;75.1;1
195010;52.9;1
195011;132.2;1
195012;37.7;1
195101;46;1
195102;113.5;1
195103;86.7;1
195104;39;1
195105;172;1
195106;74;1
195107;23;1
195108;71.5;1
195109;48.7;1
195110;94.9;1
195111;215.7;1
195112;25.6;1
195201;39.9;1
195202;10.5;1
195203;52.2;1
195204;71.4;1
195205;74.6;1
195206;30.5;1
195207;14.2;1
195208;80.1;1
195209;103.7;1
195210;54;1
195211;60.6;1
195212;87;1
195301;3.6;1
195302;19.4;1
195303;0;1
195304;55.5;1
195305;34.9;1
195306;58.8;1
195307;33.7;1
195308;52.7;1
195309;133.9;1
195310;116.5;1
195311;8.5;1
195312;7.1;1
195401;45.8;1
195402;47.6;1
195403;38;1
195404;56.1;1
195405;42.2;1
195406;52.6;1
195407;16.9;1
195408;63.8;1
195409;14.3;1
195410;40;1
195411;85.6;1
195412;88.4;1
195501;103.9;1
195502;87.7;1
195503;13.8;1
195504;0.6;1
195505;22.7;1
195506;84.9;1
195507;47;1
195508;46.8;1
195509;8.2;1
195510;94.7;1
195511;57.4;1
195512;38.6;1
195601;51.6;1
195602;5.3;1
195603;37.4;1
195604;133.3;1
195605;59.6;1
195606;57.4;1
195607;31.1;1
195608;36.2;1
195609;87.2;1
195610;16.8;1
195611;13.4;1
195612;8.5;1
195701;21.3;1
195702;79.3;1
195703;21.7;1
195704;60;1
195705;56.9;1
195706;112.6;1
195707;14.9;1
195708;14;1
195709;7.3;1
195710;31.3;1
195711;73;1
195712;72.9;1
195801;51.1;1
195802;18.8;1
195803;52.1;1
195804;61;1
195805;46.3;1
195806;56.9;1
195807;40.4;1
195808;36.2;1
195809;77;1
195810;34;1
195811;37.8;1
195812;118.3;1
195901;31.9;1
195902;8.3;1
195903;68;1
195904;72.4;1
195905;66.3;1
195906;49.7;1
195907;41.6;1
195908;26.5;1
195909;185.1;1
195910;124.6;1
195911;53;1
195912;89.5;1
196001;69;1
196002;62.6;1
196003;87.4;1
196004;22.1;1
196005;12;1
196006;90.8;1
196007;41.2;1
196008;69.1;1
196009;101.6;1
196010;210.2;1
196011;111.8;1
196012;57.7;1
196101;60.6;1
196102;26.3;1
196103;0;1
196104;121.9;1
196105;55.8;1
196106;39.9;1
196107;17.1;1
196108;14.2;1
196109;74.9;1
196110;86.3;1
196111;80.1;1
196112;31.5;1
196201;56.9;1
196202;43.7;1
196203;66.6;1
196204;48.5;1
196205;32.5;1
196206;42.5;1
196207;0.6;1
196208;37.5;1
196209;127.5;1
196210;62.5;1
196211;74.6;1
196212;62.4;1
196301;90.6;1
196302;56.5;1
196303;79.4;1
196304;71.8;1
196305;62.3;1
196306;57;1
196307;71;1
196308;105.9;1
196309;78.8;1
196310;29.5;1
196311;112.1;1
196312;36.6;1
196401;1.5;1
196402;48.4;1
196403;96.6;1
196404;53.7;1
196405;36.7;1
196406;42.8;1
196407;17.9;1
196408;63.2;1
196409;35.3;1
196410;93.1;1
196411;21.5;1
196412;53.2;1
196501;18.4;1
196502;0.1;1
196503;78.7;1
196504;17.1;1
196505;18.4;1
196506;42.6;1
196507;58.5;1
196508;58.8;1
196509;112.4;1
196510;34.6;1
196511;71.6;1
196512;70.9;1
196601;30.3;1
196602;68.1;1
196603;2.6;1
196604;83.7;1
196605;80.9;1
196606;37.3;1
196607;27.9;1
196608;50.9;1
196609;20.9;1
196610;88.5;1
196611;83.8;1
196612;30.9;1
196701;16.6;1
196702;27;1
196703;15.8;1
196704;26.4;1
196705;44.8;1
196706;22.2;1
196707;56.2;1
196708;25.1;1
196709;26.2;1
196710;23.6;1
196711;93.5;1
196712;26.2;1
196801;24.2;1
196802;98.2;1
196803;20.3;1
196804;68;1
196805;89.5;1
196806;90.9;1
196807;1.5;1
196808;109.6;1
196809;108.8;1
196810;38.8;1
196811;122.5;1
196812;58.8;1
196901;70.1;1
196902;60.7;1
196903;81.7;1
196904;36.8;1
196905;56.7;1
196906;97.9;1
196907;68.9;1
196908;36;1
196909;52;1
196910;2.4;1
196911;64.9;1
196912;9.3;1
197001;97.5;1
197002;57.2;1
197003;48.2;1
197004;38.6;1
197005;61.5;1
197006;72.7;1
197007;29.5;1
197008;8.5;1
197009;30.6;1
197010;79;1
197011;144.2;1
197012;30.2;1
197101;85.9;1
197102;21.6;1
197103;107;1
197104;62.4;1
197105;128.8;1
197106;52.3;1
197107;5.7;1
197108;16.4;1
197109;32.4;1
197110;14.6;1
197111;80.6;1
197112;7.7;1
197201;23.7;1
197202;88.3;1
197203;56.4;1
197204;54.8;1
197205;33.6;1
197206;114.4;1
197207;23.2;1
197208;40.6;1
197209;58.4;1
197210;93.4;1
197211;38.1;1
197212;22.7;1
197301;28.7;1
197302;8.5;1
197303;21.2;1
197304;53.7;1
197305;39.9;1
197306;37.3;1
197307;28;1
197308;85.6;1
197309;32.5;1
197310;56.3;1
197311;21.8;1
197312;78.7;1
197401;72.8;1
197402;85.5;1
197403;20.3;1
197404;87.7;1
197405;71.9;1
197406;18.3;1
197407;23.3;1
197408;14;1
197409;85.4;1
197410;31.6;1
197411;42.3;1
197412;20;1
197501;40.8;1
197502;34.4;1
197503;64.7;1
197504;55.3;1
197505;88.3;1
197506;32.2;1
197507;11.9;1
197508;53.2;1
197509;100.9;1
197510;15.7;1
197511;109.2;1
197512;51.5;1
197601;3.2;1
197602;50.7;1
197603;57.7;1
197604;77.7;1
197605;38.6;1
197606;113.6;1
197607;57.6;1
197608;55;1
197609;65.1;1
197610;135.5;1
197611;86.7;1
197612;136.5;1
197701;108.7;1
197702;100.3;1
197703;61.9;1
197704;58.2;1
197705;114.8;1
197706;100.8;1
197707;67.3;1
197708;182;1
197709;0.7;1
197710;131.5;1
197711;36.1;1
197712;69.4;1
197801;133.3;1
197802;74.2;1
197803;66.2;1
197804;67.6;1
197805;94.5;1
197806;28.6;1
197807;47;1
197808;29.2;1
197809;11.8;1
197810;11.8;1
197811;0.4;1
197812;86.3;1
197901;114.2;1
197902;59.4;1
197903;86.2;1
197904;45.1;1
197905;6.1;1
197906;91;1
197907;23.3;1
197908;14.6;1
197909;6.8;1
197910;240.9;1
197911;37.8;1
197912;90.6;1
198001;46.8;1
198002;11.6;1
198003;83.9;1
198004;42.5;1
198005;130;1
198006;38.8;1
198007;22.3;1
198008;48.6;1
198009;4.1;1
198010;62.1;1
198011;63.6;1
198012;4.2;1
198101;39.9;1
198102;10.6;1
198103;65.9;1
198104;127.5;1
198105;97.2;1
198106;63.9;1
198107;44.3;1
198108;7.4;1
198109;90.7;1
198110;33.6;1
198111;0;1
198112;211.6;1
198201;7.3;1
198202;27.2;1
198203;33.1;1
198204;20.1;1
198205;37.5;1
198206;57.2;1
198207;5.6;1
198208;24.1;1
198209;37.5;1
198210;97.6;1
198211;75.1;1
198212;42.1;1
198301;0.3;1
198302;52;1
198303;67.9;1
198304;75.8;1
198305;68.9;1
198306;89.1;1
198307;15.1;1
198308;86.7;1
198309;48;1
198310;73.4;1
198311;11.6;1
198312;73.2;1
198401;60.1;1
198402;46.2;1
198403;42.5;1
198404;27.9;1
198405;121.3;1
198406;76.1;1
198407;0;1
198408;90.5;1
198409;52.2;1
198410;78.1;1
198411;48.3;1
198412;61.1;1
198501;77.5;1
198502;22.5;1
198503;87.3;1
198504;15.9;1
198505;172.3;1
198506;23.7;1
198507;2.7;1
198508;78.6;1
198509;5.9;1
198510;14.5;1
198511;67.2;1
198512;37.7;1
198601;78.2;1
198602;38.3;1
198603;13.1;1
198604;74;1
198605;12.8;1
198606;39.4;1
198607;51.2;1
198608;60.8;1
198609;70.6;1
198610;16.5;1
198611;34.5;1
198612;16.7;1
198701;37.4;1
198702;47;1
198703;42.7;1
198704;98.2;1
198705;26.7;1
198706;73.5;1
198707;56.8;1
198708;137.3;1
198709;26.4;1
198710;145.8;1
198711;29.5;1
198712;58.1;1
198801;45.7;1
198802;29.2;1
198803;53.1;1
198804;86;1
198805;140.1;1
198806;124.1;1
198807;15.3;1
198808;27.5;1
198809;24.5;1
198810;132.4;1
198811;25.4;1
198812;28.2;1
198901;6.5;1
198902;68.5;1
198903;21.3;1
198904;132.1;1
198905;43.2;1
198906;76;1
198907;31.5;1
198908;4.7;1
198909;26.7;1
198910;18.2;1
198911;30.6;1
198912;28.6;1
199001;17.4;1
199002;47.7;1
199003;17.4;1
199004;70.6;1
199005;91.7;1
199006;40.9;1
199007;32.7;1
199008;46.1;1
199009;35.5;1
199010;154.2;1
199011;43;1
199012;41.4;1
199101;21.7;1
199102;60.5;1
199103;42.7;1
199104;50.6;1
199105;23.4;1
199106;60.9;1
199107;42.9;1
199108;40.5;1
199109;164.3;1
199110;92.4;1
199111;83.4;1
199112;7;1
199201;26.2;1
199202;14.6;1
199203;81.8;1
199204;43.5;1
199205;77.3;1
199206;146.9;1
199207;54.2;1
199208;89.1;1
199209;84.9;1
199210;140.1;1
199211;38.3;1
199212;40.6;1
199301;2;1
199302;4.1;1
199303;12.5;1
199304;129.8;1
199305;108.7;1
199306;22.8;1
199307;30.2;1
199308;70.4;1
199309;130.5;1
199310;93.5;1
199311;23.7;1
199312;59.2;1
199401;192.5;1
199402;51.7;1
199403;7.4;1
199404;49.3;1
199405;64.3;1
199406;42.1;1
199407;51.5;1
199408;15.4;1
199409;228.3;1
199410;84.3;1
199411;115.3;1
199412;14.4;1
199501;42.7;1
199502;117.3;1
199503;55.7;1
199504;92.8;1
199505;81.8;1
199506;2.2;1
199507;40.1;1
199508;69.2;1
199509;101.7;1
199510;44;1
199511;86.5;1
199512;95;1
199601;104.4;1
199602;35.7;1
199603;20.5;1
199604;80.7;1
199605;40.3;1
199606;91.2;1
199607;54.2;1
199608;76.3;1
199609;28.3;1
199610;42.7;1
199611;182.9;1
199612;83.5;1
199701;100.8;1
199702;9.5;1
199703;0;1
199704;31.8;1
199705;34.7;1
199706;39.1;1
199707;32.8;1
199708;67.7;1
199709;13.4;1
199710;36.1;1
199711;83.6;1
199712;61.9;1
199801;58.1;1
199802;9.3;1
199803;3.7;1
199804;120.8;1
199805;95.1;1
199806;29.8;1
199807;10.9;1
199808;44.3;1
199809;93.6;1
199810;72.1;1
199811;38.4;1
199812;18.4;1
199901;31.2;1
199902;32.5;1
199903;90.7;1
199904;80.4;1
199905;36.4;1
199906;11.2;1
199907;122.5;1
199908;11.4;1
199909;115.5;1
199910;133;1
199911;41.2;1
199912;39.8;1
200001;0.8;1
200002;25.9;1
200003;35.9;1
