# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 5026001
# NOM_USUEL= CEILLAC
# LATITUDE (°) = 44.671
# LONGITUDE(°)= 6.776
# ALTITUDE (m) = 1665
# NUM_SERIE= MRR105026001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 195706
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;9;1
195002;46.3;1
195003;1.8;1
195004;16.9;1
195005;77.2;1
195006;39.3;1
195007;21.7;1
195008;72.8;1
195009;53.5;1
195010;8.5;1
195011;159.5;1
195012;71.5;1
195101;44.5;1
195102;156.6;1
195103;165.9;1
195104;82.9;1
195105;99.6;1
195106;57.7;1
195107;39.1;1
195108;126;1
195109;11.3;1
195110;35.3;1
195111;201;1
195112;40.9;1
195201;40.3;1
195202;15.3;1
195203;77.1;1
195204;40.8;1
195205;42.2;1
195206;53.3;1
195207;30.3;1
195208;97.4;1
195209;114.7;1
195210;116.3;1
195211;119.7;1
195212;136.5;1
195301;14.6;1
195302;36.1;1
195303;7.5;1
195304;53.1;1
195305;25.1;1
195306;112.4;1
195307;38.6;1
195308;60;1
195309;127.3;1
195310;111.1;1
195311;5.5;1
195312;7.8;1
195401;24.5;1
195402;31.8;1
195403;74.5;1
195404;49;1
195405;56.1;1
195406;76.9;1
195407;49.3;1
195408;144.3;1
195409;61.2;1
195410;42.3;1
195411;100.2;1
195412;95.4;1
195501;92;1
195502;125.2;1
195503;42.7;1
195504;0;1
195505;82.8;1
195506;139.8;1
195507;53.9;1
195508;47.7;1
195509;18.6;1
195510;93.9;1
195511;43.7;1
195512;43.4;1
195601;58.6;1
195602;0;1
195603;26.4;1
195604;115.2;1
195605;46.3;1
195606;69.8;1
