# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 5046001
# NOM_USUEL= EMBRUN
# LATITUDE (°) = 44.571
# LONGITUDE(°)= 6.509
# ALTITUDE (m) = 873
# NUM_SERIE= MRR105046001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 197012
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;3.4;1
195002;108.1;1
195003;11.2;1
195004;34.3;1
195005;89.1;1
195006;37.9;1
195007;18.6;1
195008;48.5;1
195009;54.5;1
195010;19;1
195011;186.8;1
195012;65.5;1
195101;43;1
195102;141.5;1
195103;121.6;1
195104;65.7;1
195105;102.5;1
195106;83.8;1
195107;28.7;1
195108;155.6;1
195109;33.7;1
195110;58.9;1
195111;171.9;1
195112;44.3;1
195201;75.8;1
195202;22.3;1
195203;61.5;1
195204;93.2;1
195205;67;1
195206;48.8;1
195207;18.5;1
195208;64;1
195209;96.4;1
195210;111.9;1
195211;94.5;1
195212;111;1
195301;3.1;1
195302;34.1;1
195303;0;1
195304;33.4;1
195305;36.4;1
195306;73.6;1
195307;51.5;1
195308;59.6;1
195309;127.2;1
195310;66.4;1
195311;12.2;1
195312;6;1
195401;25;1
195402;47.2;1
195403;54.9;1
195404;39.8;1
195405;35.1;1
195406;76.9;1
195407;51.6;1
195408;110.7;1
195409;65.5;1
195410;54.2;1
195411;91.9;1
195412;111.2;1
195501;210.1;1
195502;154.4;1
195503;38.1;1
195504;0.4;1
195505;74.3;1
195506;144.2;1
195507;80.9;1
195508;97.4;1
195509;10.8;1
195510;65.9;1
195511;41.1;1
195512;66.5;1
195601;69.7;1
195602;3.4;1
195603;18.2;1
195604;113.5;1
195605;49.5;1
195606;46.8;1
195607;96.6;1
195608;77.8;1
195609;94.2;1
195610;34.8;1
195611;9.7;1
195612;0.9;1
195701;4.8;1
195702;150.3;1
195703;37.4;1
195704;14;1
195705;45.3;1
195706;97.8;1
195707;32;1
195708;34.9;1
195709;7.6;1
195710;47.6;1
195711;43.6;1
195712;124.2;1
195801;75.1;1
195802;29.7;1
195803;67.7;1
195804;44.9;1
195805;61.8;1
195806;97.7;1
195807;33.5;1
195808;47.8;1
195809;76.7;1
195810;68.9;1
195811;14.9;1
195812;196;1
195901;86.1;1
195902;0;1
195903;99.1;1
195904;93.6;1
195905;14.4;1
195906;19.3;1
195907;65.5;1
195908;46.1;1
195909;37.4;1
195910;100.9;1
195911;60.4;1
195912;109.6;1
196001;82.4;1
196002;114.7;1
196003;52;1
196004;14.4;1
196005;23.7;1
196006;88.6;1
196007;54.8;1
196008;114.5;1
196009;155.9;1
196010;187.5;1
196011;109.6;1
196012;66.8;1
196101;78.5;1
196102;53.3;1
196103;0;1
196104;85.9;1
196105;37.9;1
196106;66.5;1
196107;34.3;1
196108;29.4;1
196109;50.3;1
196110;75.5;1
196111;80;1
196112;72.3;1
196201;136.9;1
196202;16.3;1
196203;126;1
196204;53;1
196205;39.7;1
196206;40.9;1
196207;2.4;1
196208;31.3;1
196209;43.9;1
196210;47.9;1
196211;44.3;1
196212;63.7;1
196301;63.2;1
196302;36.4;1
196303;141.7;1
196304;74.1;1
196305;32.3;1
196306;85;1
196307;95;1
196308;97.4;1
196309;70;1
196310;39.7;1
196311;194.7;1
196312;14.7;1
196401;0;1
196402;36.5;1
196403;111.1;1
196404;44.8;1
196405;32.3;1
196406;42.9;1
196407;47.5;1
196408;62.7;1
196409;72.7;1
196410;87.1;1
196411;32.3;1
196412;17.5;1
196501;43.6;1
196502;0.8;1
196503;69.4;1
196504;7.6;1
196505;45.3;1
196506;68;1
196507;45.7;1
196508;77.2;1
196509;99.9;1
196510;15.9;1
196511;180.5;1
196512;169;1
196601;65.3;1
196602;73;1
196603;23.8;1
196604;72.4;1
196605;48.3;1
196606;24.1;1
196607;41.7;1
196608;44;1
196609;6.4;1
196610;93.4;1
196611;94.5;1
196612;57.4;1
196701;26.2;1
196702;41;1
196703;44.1;1
196704;19;1
196705;92.5;1
196706;21.8;1
196707;22;1
196708;40.3;1
196709;26.8;1
196710;42.9;1
196711;118;1
196712;31;1
196801;58.4;1
196802;89.6;1
196803;21.6;1
196804;65.1;1
196805;98.4;1
196806;77.8;1
196807;31.2;1
196808;116.9;1
196809;129.4;1
196810;53.6;1
196811;118.8;1
196812;60.8;1
196901;61.2;1
196902;69.7;1
196903;53.3;1
196904;53;1
196905;56.5;1
196906;66;1
196907;47.2;1
196908;101;1
196909;57.1;1
196910;0;1
196911;143.3;1
196912;22.6;1
197001;137.2;1
197002;108;1
197003;66.4;1
197004;60.4;1
197005;40.3;1
197006;117.9;1
197007;20.7;1
197008;24.6;1
197009;62.5;1
197010;65.1;1
197011;137.6;1
197012;20.1;1
197101;61.2;1
197102;20.1;1
197103;111.7;1
197104;62.8;1
197105;77;1
197106;146.1;1
197107;53.8;1
197108;35.9;1
197109;59.4;1
197110;45.3;1
197111;134.8;1
197112;2.9;1
197201;18.6;1
197202;77.3;1
197203;42.7;1
197204;47.7;1
197205;42.1;1
197206;107.9;1
197207;38.6;1
197208;42.4;1
197209;45.5;1
197210;100.9;1
197211;77.4;1
197212;27.8;1
197301;29.6;1
197302;41.9;1
197303;0.3;1
197304;73.3;1
197305;93.1;1
197306;47.8;1
197307;136.8;1
197308;90.1;1
197309;79.1;1
197310;85.5;1
197311;48.5;1
197312;29.1;1
197401;43;1
197402;83.7;1
197403;15.7;1
197404;15.2;1
197405;65.4;1
197406;104;1
197407;12.9;1
197408;17.5;1
197409;115.6;1
197410;70;1
197411;71.1;1
197412;15.7;1
197501;38.6;1
197502;7.3;1
197503;49;1
197504;58.8;1
197505;80.4;1
197506;31.8;1
197507;34.5;1
197508;78.4;1
197509;134.4;1
197510;17.8;1
197511;93.8;1
197512;10.9;1
197601;0.7;1
197602;47.1;1
197603;48.5;1
197604;30.3;1
197605;11.1;1
197606;32.6;1
197607;54.1;1
197608;66.7;1
197609;113.2;1
197610;90.2;1
197611;90.7;1
197612;151.8;1
197701;105.6;1
197702;100.5;1
197703;56.1;1
197704;91.1;1
197705;60.9;1
197706;78.3;1
197707;95.6;1
197708;110.2;1
197709;8.3;1
197710;156.4;1
197711;33.6;1
197712;58.6;1
197801;148.6;1
197802;79.5;1
197803;68.5;1
197804;49;1
197805;93.1;1
197806;92.1;1
197807;53.8;1
197808;42.6;1
197809;4.9;1
197810;7;1
197811;0.6;1
197812;157.5;1
197901;143.8;1
197902;110;1
197903;99.3;1
197904;43.7;1
197905;28.9;1
197906;53.1;1
197907;27.8;1
197908;37.1;1
197909;20.7;1
197910;180.1;1
197911;26.5;1
197912;125.9;1
198001;71.7;1
198002;36.6;1
198003;65.2;1
198004;8.4;1
198005;70.9;1
198006;63.5;1
198007;67.9;1
198008;38.9;1
198009;17.6;1
198010;121.8;1
198011;68.3;1
198012;19.3;1
198101;75.4;1
198102;8.6;1
198103;71.9;1
198104;46.4;1
198105;92.8;1
198106;57.4;1
198107;76.1;1
198108;16.9;1
198109;110.3;1
198110;72;1
198111;16.9;1
198112;277.4;1
198201;66.4;1
198202;12.4;1
198203;42.3;1
198204;2.6;1
198205;45;1
198206;63.7;1
198207;44.4;1
198208;40.8;1
198209;98;1
198210;118;1
198211;96.9;1
198212;98.2;1
198301;7.7;1
198302;58.1;1
198303;49.3;1
198304;150.7;1
198305;140.4;1
198306;54.1;1
198307;4.8;1
198308;29.9;1
198309;66.9;1
198310;47.2;1
198311;57.9;1
198312;58.7;1
198401;116.7;1
198402;58.2;1
198403;73.1;1
198404;17.1;1
198405;99.9;1
198406;61.8;1
198407;4.5;1
198408;56;1
198409;85.4;1
198410;98.1;1
198411;34.1;1
198412;30.8;1
198501;80.7;1
198502;56;1
198503;65.7;1
198504;44.3;1
198505;77.3;1
198506;92.4;1
198507;22.6;1
198508;110.8;1
198509;4.6;1
198510;6.4;1
198511;146.5;1
198512;54.5;1
198601;109.4;1
198602;58.2;1
198603;57.3;1
198604;139;1
198605;57;1
198606;5.4;1
198607;40.3;1
198608;51.5;1
198609;66.8;1
198610;41.6;1
198611;19.6;1
198612;25.2;1
198701;17.9;1
198702;30.9;1
198703;37.3;1
198704;109.7;1
198705;45.3;1
198706;118.8;1
198707;156;1
198708;73.6;1
198709;33.4;1
198710;139.4;1
198711;53.1;1
198712;21.4;1
198801;39.5;1
198802;55.2;1
198803;54.6;1
198804;53.6;1
198805;86.6;1
198806;75.3;1
198807;33.8;1
198808;56;1
198809;29;1
198810;123.4;1
198811;21.7;1
198812;21.6;1
198901;6.2;1
198902;61.4;1
198903;44.4;1
198904;124.8;1
198905;22.5;1
198906;51.6;1
198907;39.8;1
198908;35.2;1
198909;17.4;1
198910;14.8;1
198911;21;1
198912;58.2;1
199001;17.8;1
199002;140.2;1
199003;27.4;1
199004;47.5;1
199005;65.6;1
199006;66.3;1
199007;57.6;1
199008;42.4;1
199009;17.6;1
199010;203;1
199011;39.7;1
199012;19.4;1
199101;34.4;1
199102;29.5;1
199103;54.4;1
199104;15.8;1
199105;5.4;1
199106;57.4;1
199107;47.6;1
199108;25.2;1
199109;147;1
199110;99.6;1
199111;123.1;1
199112;13.6;1
199201;31.2;1
199202;18.2;1
199203;47;1
199204;47.6;1
199205;88.4;1
199206;113.6;1
199207;47.4;1
199208;73.9;1
199209;99.8;1
199210;215.8;1
199211;49.6;1
199212;78.2;1
199301;0.3;1
199302;0;1
199303;15.6;1
199304;62.3;1
199305;57.2;1
199306;78.5;1
199307;80.7;1
199308;36.6;1
199309;131.1;1
199310;129.7;1
199311;4.2;1
199312;97.4;1
199401;82.5;1
199402;34.8;1
199403;4.4;1
199404;65.2;1
199405;64;1
199406;45.8;1
199407;24.5;1
199408;59.4;1
199409;206.6;1
199410;62.2;1
199411;79.6;1
199412;41.8;1
199501;101.2;1
199502;155.4;1
199503;49.6;1
199504;68.2;1
199505;123.8;1
199506;19.4;1
199507;30.6;1
199508;107.4;1
199509;80.4;1
199510;27.6;1
199511;56.6;1
199512;137.2;1
199601;54.6;1
199602;33.1;1
199603;3.4;1
199604;40.6;1
199605;68.6;1
199606;75.6;1
199607;71.6;1
199608;93.2;1
199609;26.4;1
199610;30.6;1
199611;204.2;1
199612;81.8;1
199701;55.2;1
199702;35.2;1
199703;0;1
199704;44.6;1
199705;62.2;1
199706;144.4;1
199707;59;1
199708;52.8;1
199709;4.4;1
199710;49.2;1
199711;116.8;1
199712;50;1
199801;85.8;1
199802;12.6;1
199803;2.4;1
199804;74.4;1
199805;37.4;1
199806;64;1
199807;27.4;1
199808;29.6;1
199809;92;1
199810;78.2;1
199811;44.8;1
199812;2.2;1
199901;30.8;1
199902;39.6;1
199903;43.8;1
199904;93.6;1
199905;46.4;1
199906;64.6;1
199907;29.2;1
199908;53.6;1
199909;98.2;1
199910;135.8;1
199911;59;1
199912;142;1
200001;0.8;1
200002;41.2;1
200003;79.6;1
200004;104.8;1
200005;33;1
200006;30.2;1
200007;86.8;1
200008;71.6;1
200009;56.8;1
200010;133.4;1
200011;211.8;1
200012;53.8;1
200101;85.2;1
200102;13;1
200103;229.2;1
200104;57.4;1
200105;49.6;1
200106;59.6;1
200107;51.2;1
200108;30.4;1
200109;100.8;1
200110;61.8;1
200111;15;1
200112;0.8;1
200201;18.2;1
200202;51;1
200203;33.4;1
200204;20;1
200205;86.4;1
200206;51;1
200207;42.8;1
200208;64.8;1
200209;101.6;1
200210;91.4;1
200211;173.4;1
200212;41.2;1
200301;55.8;1
200302;49;1
200303;17.6;1
200304;84.2;1
200305;91.8;1
200306;26.8;1
200307;18.4;1
200308;34;1
200309;37;1
200310;183;1
200311;69;1
200312;23.6;1
200401;145.6;1
200402;28;1
200403;8;1
200404;24.8;1
200405;14.8;1
200406;14.2;1
200407;10.8;1
200408;65;1
200409;35.2;1
200410;87.4;1
200411;43.8;1
200412;41.2;1
200501;18.4;1
200502;0.6;1
200503;39.8;1
200504;61.8;1
200505;29.8;1
200506;54.6;1
200507;69.8;1
200508;30;1
200509;48.4;1
200510;82.8;1
200511;36;1
200512;64;1
200601;19.2;1
200602;59.4;1
200603;121.8;1
200604;37;1
200605;87.6;1
200606;13.8;1
200607;57;1
200608;45.8;1
200609;79.6;1
200610;58.8;1
200611;33.4;1
200612;82.8;1
200701;31.6;1
200702;63.2;1
200703;65.8;1
200704;2.2;1
200705;99.8;1
200706;35.2;1
200707;32;1
200708;41.2;1
200709;27.6;1
200710;4.2;1
200711;48;1
200712;47.6;1
200801;85.4;1
200802;31.6;1
200803;56.2;1
200804;110.6;1
200805;138.6;1
200806;90.8;1
200807;68.6;1
200808;47.8;1
200809;66.2;1
200810;64.6;1
200811;62.2;1
200812;77.4;1
200901;61.6;1
200902;53.4;1
200903;43.6;1
200904;62.4;1
200905;36.8;1
200906;74.2;1
200907;42.2;1
200908;38.6;1
200909;27.4;1
200910;34.6;1
200911;71.8;1
200912;158.6;1
201001;20.1;1
201002;63.8;1
201003;63.4;1
201004;23;1
201005;84.6;1
201006;69.9;1
201007;25.6;1
201008;44.4;1
201009;74.2;1
201010;78.2;1
201011;59;1
201012;98.9;1
201101;27.1;1
201102;11;1
201103;39.5;1
201104;16.2;1
201105;44.6;1
201106;58.2;1
201107;119.2;1
201108;48.5;1
201109;55.8;1
201110;62.7;1
201111;111.7;1
201112;87.1;1
201201;48.6;1
201202;0.2;1
201203;13.3;1
201204;199.7;1
201205;78.1;1
201206;52.5;1
201207;4;1
201208;22.4;1
201209;44.5;1
201210;39.3;1
201211;163.1;1
201212;112;1
201301;31.6;1
201302;26.5;1
201303;89.1;1
201304;69.8;1
201305;134.1;1
201306;25.7;1
201307;93.8;1
201308;40.4;1
201309;35.8;1
201310;87.2;1
201311;96.3;1
201312;83;1
201401;78;1
201402;102.2;1
201403;34.7;1
201404;23.1;1
201405;45.2;1
201406;59.7;1
201407;89.1;1
201408;68.6;1
201409;31.1;1
201410;42.1;1
201411;143.2;1
201412;19.7;1
201501;48.3;1
201502;36.3;1
201503;22.1;1
201504;41;1
201505;51.4;1
201506;61;1
201507;27.2;1
201508;85.9;1
201509;63.6;1
201510;80.8;1
201511;36.1;1
201512;0.4;1
201601;102.4;0
201602;96.2;0
201603;47.5;0
201604;67.4;0
201605;99.8;0
201606;71.3;0
201607;45.7;0
201608;15.9;0
201609;53.2;0
201610;82.1;0
201611;166.7;0
201612;0;0
201701;10.7;0
201702;84.3;0
201703;47.8;0
201704;58.1;0
201705;87.5;0
201706;85.9;0
201707;27;0
201708;54.3;0
201709;24.7;0
201710;1;0
201711;31.8;0
201712;188.7;0
201801;83.2;0
201802;48.9;0
201803;115.2;0
201804;41.9;0
201805;60;0
201806;51.3;0
201807;40.3;0
201808;46.8;0
201809;31.8;0
201810;89.6;0
201811;54.6;0
201812;50.6;0
201901;28.5;0
201902;24.4;0
201903;12.1;0
201904;67.4;0
201905;65.1;0
201906;77.9;0
201907;51.4;0
201908;13.7;0
201909;15.3;0
201910;141;0
201911;151.1;0
201912;145.3;0
202001;55.2;0
202002;44.3;0
202003;84;0
202004;23.8;0
202005;106.9;0
202006;105.2;0
202007;54;0
202008;121.7;0
202009;40.6;0
202010;118.2;0
202011;23.4;0
202012;64.1;0
202101;62.4;0
202102;50.2;0
202103;18.2;0
202104;69;0
202105;175;0
202106;38.6;0
202107;132.9;0
202108;23.7;0
202109;72.3;0
