# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 5064001
# NOM_USUEL= CHAPELLE-EN-VALGAUDEMAR
# LATITUDE (°) = 44.81
# LONGITUDE(°)= 6.195
# ALTITUDE (m) = 1270
# NUM_SERIE= MRR105064001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;58.2;1
195002;169.1;1
195003;11.4;1
195004;57.4;1
195005;104.3;1
195006;23.6;1
195007;38.5;1
195008;100.9;1
195009;127.6;1
195010;30.6;1
195011;371.5;1
195012;111.8;1
195101;98.9;1
195102;213.8;1
195103;215.4;1
195104;76.8;1
195105;212.8;1
195106;112.1;1
195107;31.6;1
195108;200;1
195109;72.6;1
195110;109.9;1
195111;369.6;1
195112;76.2;1
195201;103.6;1
195202;71.7;1
195203;156.5;1
195204;121.9;1
195205;112.7;1
195206;89.9;1
195207;49.3;1
195208;151.1;1
195209;178.6;1
195210;252.6;1
195211;283.2;1
195212;251.9;1
195301;6.6;1
195302;42.5;1
195303;0.4;1
195304;58.5;1
195305;26.5;1
195306;128.4;1
195307;60.1;1
195308;70.6;1
195309;215.3;1
195310;153.3;1
195311;19.6;1
195312;23;1
195401;66.8;1
195402;78;1
195403;145.5;1
195404;127.9;1
195405;59.5;1
195406;96.9;1
195407;45.7;1
195408;202.7;1
195409;79.1;1
195410;95.8;1
195411;183.1;1
195412;275.6;1
195501;319.4;1
195502;372;1
195503;88.3;1
195504;0.1;1
195505;110.2;1
195506;203.2;1
195507;67.2;1
195508;54;1
195509;30.4;1
195510;156.1;1
195511;92.8;1
195512;78.7;1
195601;167.1;1
195602;9.6;1
195603;84.4;1
195604;261.4;1
195605;87.9;1
195606;53.1;1
195607;93.3;1
195608;107.4;1
195609;148.6;1
195610;48.1;1
195611;30;1
195612;49;1
195701;33.7;1
195702;232.6;1
195703;44.1;1
195704;49.4;1
195705;73.4;1
195706;176.8;1
195707;54.1;1
195708;49.4;1
195709;29.6;1
195710;65.6;1
195711;69.1;1
195712;161;1
195801;137.8;1
195802;122.3;1
195803;103.6;1
195804;89.8;1
195805;129.6;1
195806;159.6;1
195807;70.6;1
195808;108.5;1
195809;158.5;1
195810;92.1;1
195811;22.1;1
195812;264.6;1
