# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 5070001
# NOM_USUEL= LARAGNE-MONTEGLIN
# LATITUDE (°) = 44.317
# LONGITUDE(°)= 5.827
# ALTITUDE (m) = 575
# NUM_SERIE= MRR105070001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 197102 200612
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;39.4;1
195002;106.5;1
195003;30.4;1
195004;45.1;1
195005;70.4;1
195006;57.1;1
195007;0;1
195008;18.8;1
195009;29.4;1
195010;38.2;1
195011;181.4;1
195012;64.4;1
195101;76.7;1
195102;174;1
195103;159.5;1
195104;31.4;1
195105;162.4;1
195106;67.3;1
195107;42.5;1
195108;83.2;1
195109;80.2;1
195110;176;1
195111;343.2;1
195112;42;1
195201;44.4;1
195202;16.2;1
195203;49.3;1
195204;78;1
195205;101.7;1
195206;30.6;1
195207;36.5;1
195208;89.6;1
195209;115.3;1
195210;124.9;1
195211;113.1;1
195212;103.3;1
195301;1.8;1
195302;33.8;1
195303;4.9;1
195304;43.7;1
195305;40;1
195306;86.3;1
195307;64.3;1
195308;71.2;1
195309;246.2;1
195310;173.4;1
195311;10.8;1
195312;15.3;1
195401;40.3;1
195402;61.7;1
195403;79.1;1
195404;71;1
195405;80.9;1
195406;68.9;1
195407;25.8;1
195408;131.8;1
195409;58.6;1
195410;38.3;1
195411;125.4;1
195412;194.6;1
195501;190.1;1
195502;124.3;1
195503;56.5;1
195504;0;1
195505;43.1;1
195506;132.5;1
195507;45.2;1
195508;44.1;1
195509;68.3;1
195510;140.3;1
195511;99.1;1
195512;63.3;1
195601;116.5;1
195602;6.5;1
195603;115.6;1
195604;171.3;1
195605;51.8;1
195606;28.8;1
195607;70.4;1
195608;49.6;1
195609;75.7;1
195610;31.5;1
195611;27.4;1
195612;44.7;1
195701;32.4;1
195702;137.1;1
195703;71.2;1
195704;80.6;1
195705;79.2;1
195706;162.3;1
195707;16.5;1
195708;20.6;1
195709;21.4;1
195710;62;1
195711;124.8;1
195712;117;1
195801;50;1
195802;30.5;1
195803;82;1
195804;42.4;1
195805;80.3;1
195806;74.2;1
195807;40;1
195808;137;1
195809;146.5;1
195810;48.1;1
195811;20.6;1
195812;246.8;1
195901;44.7;1
195902;54.7;1
195903;107.2;1
195904;107.9;1
195905;30.8;1
195906;98.3;1
195907;62;1
195908;63.1;1
195909;47.7;1
195910;147.1;1
195911;109;1
195912;115.6;1
196001;120.1;1
196002;95.9;1
196003;140.1;1
196004;14.4;1
196005;32.4;1
196006;88.4;1
196007;36;1
196008;62.1;1
196009;197.7;1
196010;307.5;1
196011;145.1;1
196012;56.7;1
196101;61.7;1
196102;23;1
196103;0;1
196104;88.4;1
196105;132.1;1
196106;50;1
196107;27.7;1
196108;15.9;1
196109;71.2;1
196110;136.8;1
196111;120.4;1
196112;64.1;1
196201;72.5;1
196202;100;1
196203;104.2;1
196204;69.4;1
196205;31.8;1
196206;77.7;1
196207;0;1
196208;24.1;1
196209;106;1
196210;51.2;1
196211;82.2;1
196212;84.7;1
196301;114.3;1
196302;90;1
196303;88.4;1
196304;69.4;1
196305;35.5;1
196306;142.4;1
196307;70.6;1
196308;113;1
196309;76.9;1
196310;61.2;1
196311;209.7;1
196312;72.6;1
196401;22.4;1
196402;107.9;1
196403;171.3;1
196404;54.5;1
196405;68.5;1
196406;43;1
196407;21.4;1
196408;61.4;1
196409;110.6;1
196410;86.4;1
196411;36.5;1
196412;46.5;1
196501;51.2;1
196502;0;1
196503;120.6;1
196504;0;1
196505;26.5;1
196506;46.5;1
196507;53;1
196508;86.5;1
196509;176;1
196510;17.1;1
196511;111.8;1
196512;104.2;1
