# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 5093001
# NOM_USUEL= NEVACHE-EDF-03
# LATITUDE (°) = 45.019
# LONGITUDE(°)= 6.622
# ALTITUDE (m) = 1603
# NUM_SERIE= MRR105093001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;15.6;1
195002;80.4;1
195003;10.5;1
195004;19.9;1
195005;85.4;1
195006;59;1
195007;17.2;1
195008;84.1;1
195009;58.2;1
195010;9.2;1
195011;215.1;1
195012;70;1
195101;92;1
195102;147;1
195103;136.4;1
195104;36.5;1
195105;76.1;1
195106;33.5;1
195107;29;1
195108;99.3;1
195109;32.5;1
195110;34.5;1
195111;252.6;1
195112;37.2;1
195201;56.4;1
195202;44.8;1
195203;110.6;1
195204;60.9;1
195205;75;1
195206;37.8;1
195207;17;1
195208;58.8;1
195209;80.3;1
195210;113.2;1
195211;107.5;1
195212;97.9;1
195301;20.8;1
195302;23.2;1
195303;4;1
195304;58;1
195305;10.7;1
195306;90.1;1
195307;44.5;1
195308;48.8;1
195309;135;1
195310;147.7;1
195311;4;1
195312;14.1;1
195401;35.6;1
195402;27.7;1
195403;74.7;1
195404;53.8;1
195405;19.8;1
195406;64;1
195407;38;1
195408;133.4;1
195409;75.3;1
195410;44.1;1
195411;63.4;1
195412;151;1
195501;217.6;1
195502;263.6;1
195503;46.7;1
195504;0;1
195505;63.7;1
195506;143.5;1
195507;24.2;1
195508;19.9;1
195509;11.2;1
195510;91.1;1
195511;32.4;1
195512;55.8;1
195601;59.8;1
195602;1;1
195603;15;1
195604;92.8;1
195605;55.6;1
195606;35.5;1
195607;59.8;1
195608;104.3;1
195609;133;1
195610;11.2;1
195611;8.7;1
195612;14;1
195701;10;1
195702;142.6;1
195703;28.5;1
195704;17.1;1
195705;63.9;1
195706;149.8;1
195707;51.8;1
195708;25.4;1
195709;11.3;1
195710;37.4;1
195711;54.1;1
195712;50.8;1
195801;69;1
195802;58.2;1
195803;34.8;1
195804;46.7;1
195805;78.4;1
195806;101.8;1
195807;21.6;1
195808;44;1
195809;82.8;1
195810;46.9;1
195811;40.1;1
195812;145.2;1
195901;85.2;1
195902;0.2;1
195903;80.6;1
195904;67.3;1
195905;56.4;1
195906;37.1;1
195907;73.7;1
195908;74.5;1
195909;35.4;1
195910;119.8;1
195911;55.2;1
195912;129.6;1
196001;117.6;1
196002;102;1
196003;49.6;1
196004;21.3;1
196005;29.7;1
196006;51.9;1
196007;73.3;1
196008;63.3;1
196009;213.8;1
196010;295.4;1
196011;150.8;1
196012;100.8;1
196101;66.4;1
196102;94.4;1
196103;4;1
196104;80.5;1
196105;46.6;1
196106;47.1;1
196107;26.4;1
196108;19.4;1
196109;45.5;1
196110;68;1
196111;82;1
196112;98.2;1
196201;106.5;1
196202;26.8;1
196203;97.1;1
196204;88.3;1
196205;34.9;1
196206;33.8;1
196207;4.6;1
196208;11.1;1
196209;30.5;1
196210;40.2;1
196211;86.2;1
196212;75.3;1
196301;30.4;1
196302;24.4;1
196303;86.1;1
196304;88.6;1
196305;10.7;1
196306;62.8;1
196307;49;1
196308;94;1
196309;53.7;1
196310;52.4;1
196311;261.9;1
196312;16.2;1
196401;4;1
196402;21;1
196403;95.5;1
196404;59.3;1
196405;34.3;1
196406;87.9;1
196407;54.4;1
196408;46.5;1
196409;83;1
196410;100.8;1
196411;16;1
196412;14.9;1
196501;38.5;1
196502;1.1;1
196503;50.2;1
196504;13.5;1
196505;60.6;1
196506;60.4;1
196507;39.6;1
196508;69.8;1
196509;137.9;1
196510;9.3;1
196511;147.4;1
196512;140.7;1
196601;53.3;1
196602;102;1
196603;17.5;1
196604;50.2;1
196605;59.3;1
196606;32.6;1
196607;48.8;1
196608;42.7;1
196609;36.6;1
196610;124.7;1
196611;62.4;1
196612;49.5;1
196701;16.5;1
196702;63.2;1
196703;33.2;1
196704;31.6;1
196705;65.7;1
196706;36.3;1
196707;35.9;1
196708;39.2;1
196709;9.1;1
196710;14.2;1
196711;164.9;1
196712;21.4;1
196801;73.4;1
196802;70.5;1
196803;18.8;1
196804;26.7;1
196805;177.2;1
196806;92.4;1
196807;51.5;1
196808;134.3;1
196809;119.8;1
196810;59.2;1
196811;114.5;1
196812;101.3;1
196901;72.5;1
196902;51.5;1
196903;20.2;1
196904;73.5;1
196905;87.5;1
196906;74.5;1
196907;79.2;1
196908;55.9;1
196909;54.5;1
196910;0;1
196911;120.7;1
196912;24.1;1
197001;76.1;1
197002;123.8;1
197003;46.8;1
197004;50.4;1
197005;24.3;1
197006;62.1;1
197007;71.1;1
197008;42.3;1
197009;56.6;1
197010;94.1;1
197011;139.8;1
