# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 5101001
# NOM_USUEL= PELVOUX
# LATITUDE (°) = 44.871
# LONGITUDE(°)= 6.487
# ALTITUDE (m) = 1270
# NUM_SERIE= MRR105101001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 195612 198712
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;32.6;1
195002;95.2;1
195003;21.6;1
195004;41.4;1
195005;70;1
195006;24.2;1
195007;17.8;1
195008;75.2;1
195009;78.9;1
195010;18.8;1
195011;279.1;1
195012;82.4;1
195101;64.7;1
195102;170.9;1
195103;113;1
195104;30.2;1
195105;135.4;1
195106;56.3;1
195107;20.2;1
195108;130.1;1
195109;58.2;1
195110;79.2;1
195111;265;1
195112;47;1
195201;81.2;1
195202;84;1
195203;145.6;1
195204;95.5;1
195205;85.4;1
195206;49.8;1
195207;20.2;1
195208;105.4;1
195209;111;1
195210;134;1
195211;147.4;1
195212;152.2;1
195301;2;1
195302;26.8;1
195303;0;1
195304;49;1
195305;30.5;1
195306;88.5;1
195307;37.5;1
195308;40.6;1
195309;145.3;1
195310;173.2;1
195311;14.7;1
195312;19.3;1
195401;32.3;1
195402;22.4;1
195403;118.1;1
195404;76.1;1
195405;54.4;1
195406;71;1
195407;42;1
195408;137.6;1
195409;69;1
195410;64;1
195411;117.5;1
195412;178.7;1
195501;210.6;1
195502;215.9;1
195503;67.7;1
195504;0.8;1
195505;93.6;1
195506;148.8;1
195507;32.4;1
195508;16.5;1
195509;18.6;1
195510;117.5;1
195511;87.4;1
195512;87.9;1
195601;102.7;1
195602;0;1
195603;71.7;1
195604;187.3;1
195605;59.5;1
195606;43.7;1
195607;68.1;1
195608;101.6;1
195609;133;1
195610;25.3;1
195611;12.4;1
195612;31.6;1
195701;24.7;1
195702;156.5;1
195703;34.7;1
195704;34.8;1
195705;45.2;1
195706;134.1;1
195707;26.5;1
195708;33.3;1
195709;11.2;1
195710;44.3;1
195711;66.4;1
195712;115.3;1
195801;93.6;1
195802;65.9;1
195803;53.5;1
195804;67.8;1
195805;74.8;1
195806;133.9;1
195807;19;1
195808;58.1;1
195809;85.6;1
195810;65.4;1
195811;13.8;1
195812;238.4;1
195901;89.4;1
195902;5.9;1
195903;150.8;1
195904;126.9;1
195905;21.9;1
195906;39.4;1
195907;47.8;1
195908;54.7;1
195909;33.6;1
195910;159.1;1
195911;117.3;1
195912;175.1;1
196001;150.9;1
196002;181.7;1
196003;109.8;1
196004;6;1
196005;29.6;1
196006;56.4;1
196007;46.5;1
196008;62.3;1
196009;195.5;1
196010;345.4;1
196011;156.9;1
196012;65.5;1
196101;107.8;1
196102;73.4;1
196103;3.7;1
196104;81.5;1
196105;43.9;1
196106;61.9;1
196107;23.3;1
196108;25.3;1
196109;44.1;1
196110;83.1;1
196111;124.2;1
196112;98.5;1
196201;173.5;1
196202;57.6;1
196203;165.1;1
196204;112.7;1
196205;31.2;1
196206;32.7;1
196207;4.5;1
196208;15.9;1
196209;33.7;1
196210;42.4;1
196211;55.4;1
196212;103;1
196301;94.4;1
196302;84.2;1
196303;134.2;1
196304;130.1;1
196305;27.9;1
196306;63.3;1
196307;52.8;1
196308;111.1;1
196309;51.5;1
196310;59.1;1
196311;308.4;1
196312;33.9;1
196401;5;1
196402;73.4;1
196403;180;1
196404;75.2;1
196405;33.9;1
196406;72.9;1
196407;18.3;1
196408;61.3;1
196409;76.5;1
196410;93.1;1
