# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 5139006
# NOM_USUEL= AGNIERES-EN-DEVOLUY
# LATITUDE (°) = 44.696
# LONGITUDE(°)= 5.881
# ALTITUDE (m) = 1244
# NUM_SERIE= MRR105139006
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;40.8;1
195002;115.8;1
195003;17.2;1
195004;62.6;1
195005;78.3;1
195006;57.5;1
195007;7.5;1
195008;40.1;1
195009;76.2;1
195010;34.6;1
195011;299.5;1
195012;67.3;1
195101;58.4;1
195102;111.2;1
195103;157.7;1
195104;30.5;1
195105;238.8;1
195106;98.2;1
195107;28.3;1
195108;120.5;1
195109;56.7;1
195110;89.9;1
195111;415;1
195112;49.6;1
195201;148.5;1
195202;69.6;1
195203;133.9;1
195204;84.5;1
195205;145;1
195206;41.2;1
195207;31.7;1
195208;130;1
195209;133.2;1
195210;184.1;1
195211;244.2;1
195212;224.1;1
195301;18;1
195302;55.7;1
195303;0;1
195304;56.6;1
195305;23.6;1
195306;133.9;1
195307;59.4;1
195308;81.1;1
195309;199.7;1
195310;135.5;1
195311;16.9;1
195312;8.5;1
195401;56.4;1
195402;91.6;1
195403;127.7;1
195404;135;1
195405;81.8;1
195406;81.6;1
195407;42.4;1
195408;164.9;1
195409;69.7;1
195410;59;1
195411;109;1
195412;184;1
195501;275;1
195502;282.5;1
195503;58;1
195504;0;1
195505;83.5;1
195506;162.7;1
195507;102.5;1
195508;52.1;1
195509;37;1
195510;146.3;1
195511;62;1
195512;80.2;1
195601;122.3;1
195602;24.2;1
195603;82.8;1
195604;173.1;1
195605;72.1;1
195606;42;1
195607;71.1;1
195608;89.6;1
195609;113.1;1
195610;57.8;1
195611;37.9;1
195612;47.8;1
195701;28.5;1
195702;159.5;1
195703;44.5;1
195704;73.9;1
195705;84.6;1
195706;144.2;1
195707;40;1
195708;48;1
195709;46.8;1
195710;67.5;1
195711;66.5;1
195712;136;1
195801;106.9;1
195802;71.5;1
195803;89;1
195804;77.8;1
195805;114.4;1
195806;126.7;1
195807;59.8;1
195808;96.6;1
195809;138.5;1
195810;82.3;1
195811;25.7;1
195812;188.6;1
195901;83.3;1
195902;7.4;1
195903;171.1;1
195904;120.8;1
195905;46.4;1
195906;106;1
195907;100.5;1
195908;62.5;1
195909;86.5;1
195910;138.1;1
195911;112.8;1
195912;198.7;1
196001;184.7;1
196002;127.5;1
196003;140;1
196004;15.5;1
196005;59.3;1
196006;99.3;1
196007;99.8;1
196008;121;1
196009;247.9;1
196010;423.6;1
196011;210.3;1
196012;55.2;1
196101;102.5;1
196102;128.5;1
196103;0;1
196104;103.7;1
196105;91.2;1
196106;102.6;1
196107;60.9;1
196108;19.5;1
196109;76.1;1
196110;181.3;1
196111;126.9;1
196112;134.2;1
196201;130.9;1
196202;83.4;1
196203;149.2;1
196204;132.4;1
196205;46.1;1
196206;46.5;1
196207;2.5;1
196208;35;1
196209;56;1
196210;55.5;1
196211;89.7;1
196212;212.2;1
196301;71;1
196302;81;1
196303;128.2;1
196304;110.6;1
196305;61.1;1
196306;111.4;1
196307;125.6;1
196308;110.1;1
196309;72.1;1
196310;69.5;1
196311;366.3;1
196312;60;1
196401;3.5;1
196402;68;1
196403;146.1;1
196404;73;1
196405;69.5;1
196406;37.5;1
196407;38;1
196408;101.7;1
196409;87.5;1
196410;86.9;1
196411;39.2;1
196412;46.5;1
196501;85.3;1
196502;2.1;1
196503;130.7;1
196504;28.4;1
196505;91;1
196506;128.2;1
196507;60.9;1
196508;73.7;1
196509;216.1;1
196510;29.4;1
196511;200;1
196512;208.9;1
196601;91.4;1
196602;151.6;1
196603;57.6;1
196604;112.1;1
196605;76.1;1
196606;34.8;1
196607;88.3;1
196608;46.9;1
196609;10.7;1
196610;147.8;1
196611;147.3;1
196612;99.1;1
196701;49.4;1
196702;103;1
196703;65.2;1
196704;57.1;1
196705;130.9;1
196706;28.7;1
196707;17.4;1
196708;28.8;1
196709;39;1
196710;61.4;1
196711;209.3;1
196712;43;1
196801;124.4;1
196802;102.7;1
196803;22.8;1
196804;48.3;1
196805;120.3;1
196806;115;1
196807;25.1;1
196808;245.9;1
196809;173.2;1
196810;49.1;1
196811;148.2;1
196812;127.2;1
196901;81.8;1
196902;89.1;1
196903;66.8;1
196904;71.5;1
196905;106.5;1
196906;122.9;1
196907;72.7;1
196908;77.3;1
196909;79.1;1
196910;0.8;1
196911;200.9;1
196912;57.2;1
197001;174.4;1
197002;161.6;1
197003;118.3;1
197004;120;1
197005;86.8;1
197006;77.8;1
197007;28.6;1
197008;55.1;1
197009;92.5;1
