# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 5142001
# NOM_USUEL= ST FIRMIN
# LATITUDE (°) = 44.782
# LONGITUDE(°)= 6.024
# ALTITUDE (m) = 950
# NUM_SERIE= MRR105142001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;51.9;1
195002;171.7;1
195003;16.9;1
195004;61.9;1
195005;95.9;1
195006;62.1;1
195007;48.2;1
195008;55.2;1
195009;80.2;1
195010;30.4;1
195011;315.5;1
195012;95.6;1
195101;106.3;1
195102;173.8;1
195103;205.8;1
195104;65;1
195105;208.9;1
195106;105.6;1
195107;40.7;1
195108;152;1
195109;47.7;1
195110;122.3;1
195111;294.8;1
195112;44.9;1
195201;90;1
195202;40;1
195203;92.9;1
195204;63.6;1
195205;119.8;1
195206;67.2;1
195207;104.4;1
195208;93;1
195209;99.5;1
195210;151.4;1
195211;183.3;1
195212;167.2;1
195301;6.4;1
195302;40.5;1
195303;0;1
195304;45.4;1
195305;24.8;1
195306;91.8;1
195307;24.9;1
195308;71.2;1
195309;156.2;1
195310;141.8;1
195311;19.8;1
195312;14.4;1
195401;52.7;1
195402;55.9;1
195403;99.7;1
195404;95.8;1
195405;81.5;1
195406;72.5;1
195407;45.2;1
195408;143;1
195409;63.4;1
195410;56.1;1
195411;137.5;1
195412;240.1;1
195501;225.7;1
195502;252.5;1
195503;52;1
195504;0;1
195505;74;1
195506;131;1
195507;66.1;1
195508;70.9;1
195509;22.8;1
195510;126.8;1
195511;71.3;1
195512;77.5;1
195601;124.2;1
195602;7.7;1
195603;81.5;1
195604;192.7;1
195605;66.6;1
195606;51.5;1
195607;90.7;1
195608;77.7;1
195609;122.7;1
195610;40.9;1
195611;28.8;1
195612;43.3;1
195701;42.8;1
195702;179.3;1
195703;43.7;1
195704;46;1
195705;71.5;1
195706;135;1
195707;39.4;1
195708;28.2;1
195709;29.7;1
195710;54.3;1
195711;68.7;1
195712;149.5;1
195801;99.5;1
195802;90.3;1
195803;83.2;1
195804;81.9;1
195805;107.3;1
195806;121.4;1
195807;27.3;1
195808;100.8;1
195809;101.6;1
195810;68.6;1
195811;22.5;1
195812;210.4;1
195901;93.3;1
195902;5.9;1
195903;168.2;1
195904;165.3;1
195905;26.5;1
195906;50.8;1
195907;82.9;1
195908;60.5;1
195909;36.8;1
195910;164.8;1
195911;113.7;1
195912;153.2;1
196001;172.2;1
196002;119.9;1
196003;136;1
196004;11.1;1
196005;45;1
196006;105.9;1
196007;102.5;1
196008;92.1;1
196009;263.3;1
196010;366.4;1
196011;181.8;1
196012;67;1
196101;106.2;1
196102;109.5;1
196103;3;1
196104;93.8;1
196105;87.5;1
196106;140.2;1
196107;71.5;1
196108;21.5;1
196109;80.6;1
196110;160.3;1
196111;138.7;1
196112;130.5;1
196201;138.6;1
196202;100.4;1
196203;155.5;1
196204;120.3;1
196205;49.8;1
196206;64.3;1
196207;6.4;1
196208;16.2;1
196209;52;1
196210;55.4;1
196211;79.3;1
196212;175.9;1
196301;96.8;1
196302;96.5;1
196303;155.6;1
196304;106.5;1
196305;71.2;1
196306;84.9;1
196307;80.6;1
196308;83.7;1
196309;64.1;1
196310;68.6;1
196311;303;1
196312;51.6;1
196401;5.6;1
196402;79.3;1
196403;166.6;1
196404;66;1
196405;38.8;1
196406;53.4;1
196407;33.4;1
196408;77.5;1
196409;53.5;1
196410;76.4;1
196411;37.4;1
196412;37.7;1
196501;69.8;1
196502;3.6;1
196503;117;1
196504;31.2;1
196505;67;1
196506;88.9;1
196507;59.5;1
196508;77.5;1
196509;180.3;1
196510;53.2;1
196511;199.4;1
196512;182.9;1
196601;83;1
196602;149.9;1
196603;44.7;1
196604;98.3;1
196605;71.8;1
196606;40.7;1
196607;40.2;1
196608;48.8;1
196609;14.7;1
196610;167.2;1
196611;155.1;1
196612;88.9;1
196701;45.1;1
196702;80;1
196703;55;1
196704;52.5;1
196705;111.5;1
196706;28.7;1
196707;16;1
196708;21.8;1
196709;32;1
196710;50;1
196711;197;1
196712;37.2;1
196801;126.9;1
196802;105.8;1
196803;25.1;1
196804;66.2;1
196805;106;1
196806;93.7;1
196807;29.1;1
196808;165.4;1
196809;171;1
196810;57.8;1
196811;141.9;1
196812;133.6;1
196901;97;1
196902;102.4;1
196903;74.9;1
196904;82.7;1
196905;87.8;1
196906;113;1
196907;63.8;1
196908;78.6;1
196909;84.5;1
196910;6.8;1
196911;194;1
196912;54.1;1
197001;191.6;1
197002;177.4;1
197003;108.7;1
197004;103.9;1
197005;79.5;1
197006;107.5;1
197007;55.3;1
197008;53.4;1
197009;81.8;1
197010;137.8;1
197011;170.1;1
197012;80.2;1
197101;94.1;1
197102;26;1
197103;186.8;1
197104;114.3;1
197105;83.1;1
197106;133.7;1
197107;77;1
197108;32.9;1
197109;9.1;1
197110;19.7;1
197111;166.6;1
197112;16.8;1
197201;55.3;1
197202;160.1;1
197203;58.9;1
197204;55.6;1
197205;84.8;1
197206;154.1;1
197207;29.3;1
197208;64.9;1
197209;56.1;1
197210;174.9;1
197211;99.9;1
197212;64.2;1
197301;67.1;1
197302;58.7;1
197303;22.1;1
197304;107.1;1
197305;110;1
197306;55.4;1
197307;171.5;1
197308;14.5;1
197309;55;1
197310;71.5;1
197311;52.7;1
197312;43.1;1
197401;84.3;1
197402;168.4;1
197403;65.2;1
197404;54.8;1
197405;78.5;1
197406;95.7;1
197407;9.9;1
197408;35.2;1
197409;132.2;1
197410;100.3;1
197411;131.7;1
197412;36;1
197501;87.9;1
197502;21.6;1
197503;93.8;1
197504;82.5;1
197505;129.5;1
197506;105.1;1
197507;25.4;1
197508;68.2;1
197509;199.8;1
197510;15.5;1
197511;113.2;1
197512;81.6;1
197601;17.6;1
197602;75.2;1
197603;57.8;1
197604;45.6;1
197605;3.2;1
197606;23.7;1
197607;65.3;1
197608;89.5;1
197609;168.6;1
197610;166.2;1
197611;155.7;1
197612;174.2;1
197701;179.3;1
197702;171;1
197703;99.3;1
197704;151.6;1
197705;169.6;1
197706;88.2;1
197707;138.2;1
197708;66;1
197709;11.5;1
197710;260.9;1
197711;57.6;1
197712;125.6;1
197801;152.8;1
197802;265.5;1
197803;174.7;1
197804;64;1
197805;103.1;1
197806;61.7;1
197807;35.9;1
197808;43.2;1
197809;8.8;1
197810;8.4;1
197811;2.4;1
197812;143.2;1
197901;179.3;1
197902;144.8;1
197903;175.5;1
197904;69.9;1
197905;72.2;1
197906;85.1;1
197907;15.8;1
197908;89.6;1
197909;19.1;1
197910;334.3;1
197911;64.1;1
197912;206;1
198001;83;1
198002;63.1;1
198003;137.5;1
198004;24.4;1
198005;128.7;1
198006;62.6;1
198007;55.7;1
198008;46.1;1
198009;64.3;1
198010;162.2;1
198011;70.3;1
198012;55.3;1
198101;152.3;1
198102;34.5;1
198103;117.9;1
198104;48.9;1
198105;127.5;1
198106;63.9;1
198107;93;1
198108;18.7;1
198109;164.6;1
198110;111.6;1
198111;42;1
198112;334.5;1
198201;71.4;1
198202;12.4;1
198203;58.3;1
198204;6.1;1
198205;60.4;1
198206;133.9;1
198207;90.8;1
198208;70.2;1
198209;108.5;1
198210;124.3;1
198211;215.6;1
198212;123.9;1
198301;36.2;1
198302;63.8;1
198303;77;1
198304;174.4;1
198305;188.7;1
198306;43.7;1
198307;11.8;1
198308;77;1
198309;54.6;1
198310;75.1;1
198311;78;1
198312;108.7;1
198401;137.1;1
198402;105.6;1
198403;86.3;1
198404;18.8;1
198405;175.2;1
198406;113.4;1
198407;0.7;1
198408;52.2;1
198409;127.4;1
198410;123.2;1
198411;69.6;1
198412;54.1;1
198501;97.4;1
198502;71.2;1
198503;130.2;1
198504;61.4;1
198505;142.9;1
198506;99;1
198507;26.2;1
198508;106.7;1
198509;7.8;1
198510;3.5;1
198511;77.9;1
198512;67.8;1
198601;178.4;1
198602;90.4;1
198603;46.5;1
198604;272.1;1
198605;83.4;1
198606;12.1;1
198607;35.2;1
198608;77.7;1
198609;96.1;1
198610;65.2;1
198611;67.8;1
198612;101.8;1
198701;59.3;1
198702;63.8;1
198703;53.8;1
198704;138.5;1
198705;84.7;1
198706;99.5;1
198707;150.1;1
198708;117.9;1
198709;53.9;1
198710;232.8;1
198711;66.6;1
198712;82.5;1
198801;82.6;1
198802;96.6;1
198803;151.4;1
198804;66;1
198805;108.2;1
198806;49.1;1
198807;59.4;1
198808;56.1;1
198809;33.6;1
198810;218;1
198811;23.7;1
198812;87.2;1
198901;8.6;1
198902;82;1
198903;60.7;1
198904;225.4;1
198905;67.7;1
198906;24.4;1
198907;49.3;1
198908;29;1
198909;24.3;1
198910;30;1
198911;67.4;1
198912;84.5;1
199001;51;1
199002;247.4;1
199003;16.3;1
199004;112.1;1
199005;76.5;1
199006;87.5;1
199007;8.4;1
199008;77.5;1
199009;33.7;1
199010;221.2;1
199011;90;1
199012;101.1;1
199101;55.6;1
199102;64.5;1
199103;196.2;1
