# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 5182001
# NOM_USUEL= VILLAR LOUBIERE
# LATITUDE (°) = 44.827
# LONGITUDE(°)= 6.146
# ALTITUDE (m) = 1072
# NUM_SERIE= MRR105182001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;55;1
195002;169.2;1
195003;11.3;1
195004;55.4;1
195005;99.8;1
195006;39.4;1
195007;33.9;1
195008;70.7;1
195009;110.2;1
195010;27.4;1
195011;425.2;1
195012;103.7;1
195101;73.6;1
195102;201.3;1
195103;185.6;1
195104;75;1
195105;203.6;1
195106;105.9;1
195107;39.8;1
195108;172.3;1
195109;59.8;1
195110;95.5;1
195111;305.6;1
195112;33.6;1
195201;101.8;1
195202;63.6;1
195203;179.2;1
195204;54.4;1
195205;101.2;1
195206;72;1
195207;63;1
195208;126;1
195209;106.1;1
195210;223.8;1
195211;178.1;1
195212;185.8;1
195301;5.6;1
195302;30.8;1
195303;0;1
195304;44.2;1
195305;24.5;1
195306;116;1
195307;48.2;1
195308;89.9;1
195309;169.4;1
195310;135.5;1
195311;21.2;1
195312;21.1;1
195401;80.4;1
195402;107.7;1
195403;157.1;1
195404;142;1
195405;75.6;1
195406;96.7;1
195407;34.9;1
195408;148.5;1
195409;75.6;1
195410;80.6;1
195411;195.7;1
195412;301.7;1
195501;330.5;1
195502;348.3;1
195503;59.9;1
195504;0;1
195505;111.6;1
195506;174.7;1
195507;81.5;1
195508;51.8;1
195509;28.5;1
195510;142.7;1
195511;85.8;1
195512;97;1
195601;157;1
195602;4.5;1
195603;62;1
195604;215.3;1
195605;83.8;1
195606;42.6;1
195607;89;1
195608;115.3;1
195609;111.5;1
195610;42.6;1
195611;19.6;1
195612;57.6;1
195701;31.8;1
195702;217.3;1
195703;41.2;1
195704;50;1
195705;76;1
195706;155.2;1
195707;61.2;1
195708;38.5;1
195709;52.1;1
195710;69.7;1
195711;60.6;1
195712;142.1;1
195801;131.7;1
195802;121.4;1
195803;103.6;1
195804;91.6;1
195805;126;1
195806;169.6;1
195807;53.4;1
195808;107.4;1
195809;140.4;1
195810;79.5;1
195811;23.4;1
195812;225;1
195901;151.7;1
195902;1.6;1
195903;162.2;1
195904;142.7;1
195905;27.7;1
195906;62.5;1
195907;104.8;1
195908;81.3;1
195909;38.7;1
195910;157;1
195911;97.1;1
195912;163.8;1
196001;188.9;1
196002;154;1
196003;146.2;1
196004;12.2;1
196005;65.5;1
196006;137.8;1
196007;130.4;1
196008;135.9;1
196009;296.5;1
196010;402.4;1
196011;184;1
196012;83.5;1
196101;119;1
196102;91.2;1
196103;6.9;1
196104;97.8;1
196105;71.5;1
196106;104.2;1
196107;81.3;1
196108;30.8;1
196109;64.2;1
196110;172.1;1
196111;138.5;1
196112;168.3;1
196201;142.8;1
196202;79.5;1
196203;232.8;1
196204;107;1
196205;48.7;1
196206;66.2;1
196207;11.6;1
196208;16.9;1
196209;64.9;1
196210;51;1
196211;70;1
196212;180;1
196301;110;1
196302;95;1
196303;159.8;1
196304;121.3;1
196305;70;1
196306;95.8;1
196307;87.6;1
196308;130.9;1
196309;67;1
196310;81.3;1
196311;385.8;1
196312;51.4;1
