# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 6004004
# NOM_USUEL= ANTIBES-GOLF
# LATITUDE (°) = 43.58
# LONGITUDE(°)= 7.091
# ALTITUDE (m) = 13
# NUM_SERIE= MRR106004004
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;32.1;1
195002;151.3;1
195003;38.7;1
195004;78;1
195005;50.1;1
195006;10.6;1
195007;0;1
195008;40.7;1
195009;43.5;1
195010;67.2;1
195011;135.3;1
195012;101.5;1
195101;153.1;1
195102;172.4;1
195103;108.4;1
195104;27.7;1
195105;101.7;1
195106;41.3;1
195107;7.6;1
195108;1.6;1
195109;25.1;1
195110;192.4;1
195111;283.3;1
195112;59.6;1
195201;66.7;1
195202;18.2;1
195203;34.3;1
195204;149;1
195205;90.1;1
195206;0.5;1
195207;1.9;1
195208;62;1
195209;113.9;1
195210;67;1
195211;122.7;1
195212;71.8;1
195301;28.6;1
195302;26.7;1
195303;2.4;1
195304;33.1;1
195305;25.2;1
195306;88.8;1
195307;83.3;1
195308;34.5;1
195309;178.5;1
195310;213.7;1
195311;16.6;1
195312;51.8;1
195401;41.1;1
195402;77.1;1
195403;88.3;1
195404;63.3;1
195405;71.5;1
195406;21.1;1
195407;69;1
195408;33.7;1
195409;20.9;1
195410;89.9;1
195411;121.2;1
195412;121.1;1
195501;151.8;1
195502;92.9;1
195503;32.2;1
195504;8.1;1
195505;0.2;1
195506;60.2;1
195507;26.2;1
195508;3.6;1
195509;42;1
195510;87.7;1
195511;110.8;1
195512;62.7;1
195601;100.2;1
195602;53;1
195603;227.5;1
195604;143.5;1
195605;7.3;1
195606;23.4;1
195607;6;1
195608;6.3;1
195609;79.6;1
195610;32.9;1
195611;72.1;1
195612;57.2;1
195701;39;1
195702;123.7;1
195703;46.1;1
195704;90.4;1
195705;49.2;1
195706;81.8;1
195707;4;1
195708;13.6;1
195709;2.2;1
195710;55.3;1
195711;289.5;1
195712;226.2;1
195801;19.9;1
195802;40;1
195803;102.1;1
195804;98.4;1
195805;8.7;1
195806;41.5;1
195807;38.7;1
195808;27.9;1
195809;29.9;1
195810;123.5;1
195811;102.4;1
195812;318.7;1
195901;2.2;1
195902;31.4;1
195903;79.5;1
195904;120.7;1
195905;120.1;1
195906;5.7;1
195907;0;1
195908;28.1;1
195909;198;1
195910;217.1;1
195911;241.7;1
195912;240.7;1
196001;112.4;1
196002;137.7;1
196003;209.7;1
196004;56.4;1
196005;28.1;1
196006;9;1
196007;6.8;1
196008;49;1
196009;201.4;1
196010;243.3;1
196011;146.4;1
196012;168.8;1
196101;87.6;1
196102;11.1;1
196103;0;1
196104;164.3;1
196105;53.1;1
196106;29.9;1
196107;10.2;1
196108;0.7;1
196109;60.4;1
196110;116.3;1
196111;294.2;1
196112;43.2;1
196201;44.8;1
196202;76.6;1
196203;88.3;1
196204;44.2;1
196205;41.3;1
196206;32.1;1
196207;0.7;1
196208;0;1
196209;21.9;1
196210;99.5;1
196211;190.9;1
196212;86.3;1
196301;110.6;1
196302;123;1
196303;80.5;1
196304;88.2;1
196305;4.4;1
196306;91.4;1
196307;9.8;1
196308;39.3;1
196309;89.9;1
196310;58.6;1
196311;226.2;1
196312;86.7;1
196401;13.7;1
196402;259.7;1
196403;89.4;1
196404;53.7;1
196405;5.4;1
196406;46.8;1
196407;0;1
196408;14.5;1
196409;38.2;1
196410;106;1
196411;32.1;1
196412;116;1
196501;74.2;1
196502;27.3;1
196503;80.6;1
196504;0;1
196505;13.1;1
196506;42.9;1
196507;12.3;1
196508;141.1;1
196509;154.9;1
196510;56.2;1
196511;117.1;1
196512;41;1
196601;46.5;1
196602;185.4;1
196603;27.7;1
196604;119;1
196605;10.4;1
196606;69.9;1
196607;68.6;1
196608;49.7;1
196609;150.2;1
196610;278.8;1
196611;245.2;1
196612;45.2;1
196701;10;1
196702;43.2;1
196703;53.3;1
196704;39;1
196705;8.7;1
196706;41.1;1
196707;3.3;1
196708;8.6;1
196709;41.7;1
196710;35.8;1
196711;145.4;1
196712;19.5;1
196801;6.2;1
196802;240.9;1
196803;21.1;1
196804;127.1;1
196805;87.7;1
196806;24.5;1
196807;0;1
196808;83.2;1
196809;249.8;1
196810;85.8;1
196811;234;1
196812;56.7;1
196901;222.7;1
196902;126.6;1
196903;136.1;1
196904;38.6;1
196905;54.4;1
196906;31.8;1
196907;11.4;1
196908;14.9;1
196909;41.3;1
196910;0;1
196911;154.6;1
196912;62.7;1
197001;176.7;1
197002;44.2;1
197003;26.8;1
197004;3.4;1
197005;27.1;1
197006;15.9;1
197007;0;1
197008;17.3;1
197009;0.4;1
197010;41.9;1
197011;125.8;1
197012;77.9;1
197101;144.3;1
197102;30.5;1
197103;147.6;1
197104;122.4;1
197105;70.4;1
197106;53.2;1
197107;7.7;1
197108;7.9;1
197109;93.1;1
197110;4.1;1
197111;154;1
197112;109.3;1
197201;58.9;1
197202;329.8;1
197203;130;1
197204;44.8;1
197205;68.4;1
197206;89.6;1
197207;2.8;1
197208;26.9;1
197209;211.5;1
197210;214.2;1
197211;50.7;1
197212;79.4;1
197301;121.8;1
197302;7.2;1
197303;2.3;1
197304;26.5;1
197305;10.5;1
197306;41.9;1
197307;3.5;1
197308;19;1
197309;38.9;1
197310;255.9;1
197311;12.1;1
197312;206.6;1
197401;119.2;1
197402;197.7;1
197403;74.7;1
197404;54;1
197405;98.4;1
197406;5.8;1
197407;0;1
197408;50.6;1
197409;164.2;1
197410;37.6;1
197411;49.1;1
197412;70.6;1
197501;68;1
197502;106.6;1
197503;174.4;1
197504;30.2;1
197505;154.5;1
197506;56.3;1
197507;10.8;1
197508;69.2;1
197509;110.6;1
197510;89.4;1
197511;256.1;1
197512;97.7;1
197601;44;1
197602;75;1
197603;85.7;1
197604;90.7;1
197605;54.9;1
197606;11.9;1
197607;109;1
197608;95.1;1
197609;151.9;1
197610;318.8;1
197611;86.5;1
197612;91.9;1
197701;215.9;1
197702;154.1;1
197703;112.5;1
197704;88;1
197705;94.7;1
197706;3.4;1
197707;42.5;1
197708;110.4;1
197709;6.4;1
197710;63.5;1
197711;60.2;1
197712;165.9;1
197801;265.3;1
197802;147.8;1
197803;97;1
197804;74.7;1
197805;27.8;1
197806;8.8;1
197807;8.8;1
197808;6.5;1
197809;12.3;1
197810;25.4;1
197811;42.2;1
197812;119.5;1
197901;190.4;1
197902;123.2;1
197903;188.2;1
197904;69.5;1
197905;8.7;1
197906;14.2;1
197907;14.7;1
197908;33.1;1
197909;40;1
197910;396.4;1
197911;75.7;1
197912;102.9;1
198001;69.6;1
198002;1.9;1
198003;113.3;1
198004;55.2;1
198005;78.6;1
198006;128;1
198007;6.5;1
198008;53.6;1
198009;5.3;1
198010;82.8;1
198011;95.8;1
198012;0;1
198101;18.8;1
198102;42.5;1
198103;68.9;1
198104;88.7;1
198105;39.6;1
198106;24.9;1
198107;20.4;1
198108;4.9;1
198109;36.2;1
198110;77.5;1
198111;7.5;1
198112;265.5;1
198201;17.3;1
198202;44.3;1
198203;38.2;1
198204;40.7;1
198205;8.5;1
198206;10.6;1
198207;76.6;1
198208;6.9;1
198209;22.6;1
198210;169.5;1
198211;201.1;1
198212;15.9;1
198301;0;1
198302;87.8;1
198303;92.9;1
198304;71.3;1
198305;22.5;1
198306;73;1
198307;2.8;1
198308;23.7;1
198309;0.7;1
198310;95.4;1
198311;2.7;1
198312;239.9;1
198401;44;1
198402;37.6;1
198403;87.3;1
198404;24.1;1
198405;223.5;1
198406;89.8;1
198407;0;1
198408;82.1;1
198409;33.4;1
198410;187.4;1
198411;128.1;1
198412;75;1
198501;156.1;1
198502;26.3;1
198503;139.9;1
198504;14.1;1
198505;154.5;1
198506;15;1
198507;0.2;1
198508;4.2;1
198509;0;1
198510;74.8;1
198511;97.2;1
198512;63.7;1
198601;259.1;1
198602;119.4;1
198603;49.6;1
198604;131.2;1
198605;25.6;1
198606;10.6;1
198607;9.9;1
198608;21;1
198609;50.3;1
198610;4.7;1
198611;91.5;1
198612;61.1;1
198701;120.5;1
198702;92;1
198703;48.2;1
198704;78.7;1
198705;23.1;1
198706;52.6;1
198707;46.7;1
198708;45.6;1
198709;3.8;1
198710;506.2;1
198711;120.7;1
198712;115.7;1
198801;116.8;1
198802;33.3;1
198803;101;1
198804;86.1;1
198805;64.8;1
198806;80;1
198807;18.9;1
198808;0.3;1
198809;18.7;1
198810;135.8;1
198811;22.6;1
198812;111.6;1
198901;4.7;1
198902;101.1;1
198903;8.1;1
198904;182;1
198905;5.1;1
198906;3.6;1
198907;13.8;1
198908;0.4;1
198909;53.4;1
198910;25;1
198911;84.3;1
198912;21.8;1
199001;34.6;1
199002;10.3;1
199003;19.5;1
199004;59.4;1
199005;15.4;1
199006;18.7;1
199007;10.8;1
199008;1;1
199009;1;1
199010;376.2;1
199011;112.8;1
199012;171.6;1
199101;26;1
199102;176.9;1
199103;57.3;1
199104;90.8;1
199105;46.4;1
199106;21.9;1
199107;5.1;1
199108;6.6;1
199109;217.3;1
199110;117.5;1
199111;87.4;1
199112;0;1
199201;73;1
199202;44;1
199203;41.9;1
199204;33.9;1
199205;7.3;1
199206;73.7;1
199207;35.3;1
199208;4.5;1
199209;114.3;1
199210;353.7;1
199211;32.1;1
199212;96.4;1
199301;0.2;1
199302;22.2;1
199303;24.1;1
199304;188.1;1
199305;13.3;1
199306;4.8;1
199307;8.9;1
199308;14.9;1
199309;184.5;1
199310;456.7;1
199311;104.4;1
199312;32.7;1
199401;209.7;1
199402;115.9;1
199403;29.7;1
199404;76.9;1
199405;32;1
199406;15.2;1
199407;12.9;1
199408;35.5;1
199409;153.2;1
199410;120.2;1
199411;158.9;1
199412;38.9;1
199501;85.6;1
199502;52;1
199503;29.5;1
199504;141.4;1
199505;78.4;1
199506;32.1;1
199507;13.7;1
199508;62.7;1
199509;120.2;1
199510;55.1;1
199511;142.2;1
199512;129.3;1
199601;311.9;1
199602;59.2;1
199603;52.5;1
199604;53.5;1
199605;27;1
199606;16.1;1
199607;20;1
199608;19.1;1
199609;191.6;1
199610;107;1
199611;128.3;1
199612;208.8;1
199701;177.4;1
199702;2.3;1
199703;4.4;1
199704;16.4;1
199705;8.7;1
199706;99.8;1
199707;5.1;1
199708;79.6;1
199709;4.2;1
199710;36.4;1
199711;244.6;1
199712;147.3;1
199801;32;1
199802;15.5;1
199803;3.6;1
199804;140.6;1
199805;104;1
199806;3.2;1
199807;0.1;1
199808;62.5;1
199809;228.2;1
199810;48;1
199811;24.8;1
199812;81.7;1
199901;48.3;1
199902;1.2;1
199903;118.7;1
199904;67.4;1
199905;51.8;1
199906;28;1
199907;5.1;1
199908;7.5;1
199909;129.5;1
199910;213.7;1
199911;58.8;1
199912;30.2;1
200001;3.6;1
200002;0;1
200003;29.9;1
200004;129.4;1
200005;9.3;1
200006;55.2;1
200007;30.4;1
200008;14.3;1
200009;41.9;1
200010;214.6;1
200011;298.4;1
200012;212.7;1
200101;114.8;1
200102;30.8;1
200103;52.5;1
200104;20.6;1
200105;42.2;1
200106;0.5;1
200107;33.8;1
200108;0;1
200109;21;1
200110;34.1;1
200111;88.3;1
200112;4.6;1
200201;50.8;1
200202;89.6;1
200203;51;1
200204;90.9;1
200205;112.3;1
200206;56.7;1
200207;51;1
200208;58.5;1
200209;109.8;1
200210;148.2;1
200211;222.7;1
200212;74.4;1
200301;91.4;1
