# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 6016001
# NOM_USUEL= BEUIL-OBS
# LATITUDE (°) = 44.09
# LONGITUDE(°)= 6.988
# ALTITUDE (m) = 1464
# NUM_SERIE= MRR106016001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;35.6;1
195002;102.9;1
195003;0;1
195004;19.8;1
195005;82.9;1
195006;54.7;1
195007;60.4;1
195008;125.5;1
195009;27.7;1
195010;37.5;1
195011;186;1
195012;192;1
195101;87.1;1
195102;211;1
195103;140;1
195104;53.1;1
195105;149.8;1
195106;96.5;1
195107;46.6;1
195108;58.5;1
195109;45.7;1
195110;133.2;1
195111;541.2;1
195112;23.4;1
195201;7.5;1
195202;0;1
195203;92.1;1
195204;191.3;1
195205;118.9;1
195206;45.3;1
195207;54.8;1
195208;70.1;1
195209;138.1;1
195210;98.3;1
195211;71.2;1
195212;60.1;1
195301;0.7;1
195302;3.4;1
195303;5.3;1
195304;49.3;1
195305;44.1;1
195306;143.9;1
195307;57.4;1
195308;76.6;1
195309;148.2;1
195310;240.8;1
195311;14.6;1
195312;30.5;1
195401;30.7;1
195402;48.4;1
195403;63.9;1
195404;97.7;1
195405;107.1;1
195406;116.2;1
195407;53;1
195408;88.6;1
195409;28.8;1
195410;62.4;1
195411;204.1;1
195412;196.1;1
195501;189.1;1
195502;93.2;1
195503;58.9;1
195504;5.9;1
195505;21.9;1
195506;133.5;1
195507;100.5;1
195508;47.3;1
195509;44.5;1
195510;179.3;1
195511;66.4;1
195512;42.5;1
195601;85;1
195602;31.2;1
195603;186.4;1
195604;225.3;1
195605;62.4;1
195606;54;1
195607;81.3;1
195608;58.9;1
195609;142.9;1
195610;47;1
195611;38.9;1
195612;27.6;1
195701;0;1
195702;122.6;1
195703;90.5;1
195704;112.3;1
195705;108.2;1
195706;162;1
195707;12.1;1
195708;44.9;1
195709;0;1
195710;56;1
195711;196.6;1
195712;281;1
195801;26.4;1
195802;53.3;1
195803;142;1
