# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 6023004
# NOM_USUEL= BREIL SUR ROYA
# LATITUDE (°) = 43.94
# LONGITUDE(°)= 7.514
# ALTITUDE (m) = 305
# NUM_SERIE= MRR106023004
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 197006
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;13.5;1
195002;84.5;1
195003;35.9;1
195004;63.2;1
195005;127.6;1
195006;26.1;1
195007;1.8;1
195008;29.5;1
195009;77.8;1
195010;39.2;1
195011;215.1;1
195012;75;1
195101;113.8;1
195102;229.6;1
195103;151;1
195104;36.3;1
195105;129.2;1
195106;62.8;1
195107;36;1
195108;13.9;1
195109;19.5;1
195110;85.2;1
195111;586.2;1
195112;29.1;1
195201;43.5;1
195202;2.5;1
195203;67.6;1
195204;267.2;1
195205;84.9;1
195206;18.8;1
195207;6.1;1
195208;91.4;1
195209;113.2;1
195210;75.2;1
195211;111.7;1
195212;44.8;1
195301;15.6;1
195302;17.7;1
195303;0.8;1
195304;73.4;1
195305;104.7;1
195306;114.4;1
195307;18.1;1
195308;39.6;1
195309;153.7;1
195310;180.7;1
195311;7.5;1
195312;61.2;1
195401;15.6;1
195402;69;1
195403;144.8;1
195404;45.1;1
195405;107.5;1
195406;18.9;1
195407;75.9;1
195408;49.9;1
195409;13.3;1
195410;91.1;1
195411;229.5;1
195412;269.6;1
195501;138;1
195502;112;1
195503;64.8;1
195504;6.4;1
195505;15.3;1
195506;97.7;1
195507;53.1;1
195508;33.1;1
195509;49.7;1
195510;153.7;1
195511;88.8;1
195512;19.7;1
195601;73.8;1
195602;22.8;1
195603;288.8;1
195604;181.3;1
195605;10.5;1
195606;27;1
195607;20.2;1
195608;21.1;1
195609;121.9;1
195610;93;1
195611;95.7;1
195612;51.8;1
195701;70.8;1
195702;135.6;1
195703;71.2;1
195704;123.7;1
195705;110.7;1
195706;140.7;1
195707;19.2;1
195708;4.5;1
195709;6.5;1
195710;70.8;1
195711;323.7;1
195712;417.6;1
195801;22.7;1
195802;75.3;1
195803;65.7;1
195804;180.2;1
195805;18.2;1
195806;67.2;1
195807;21.7;1
195808;36.3;1
195809;62.6;1
195810;116.8;1
195811;131.2;1
195812;311.6;1
195901;2.2;1
195902;19.7;1
195903;138.1;1
195904;174.5;1
195905;139.4;1
195906;51.6;1
195907;49.3;1
195908;31.6;1
195909;144.4;1
195910;350.5;1
195911;252.4;1
195912;334.7;1
196001;115.2;1
196002;134.6;1
196003;237.6;1
196004;69.6;1
196005;67.1;1
196006;88.7;1
196007;17.2;1
196008;66.9;1
196009;245.6;1
196010;414.2;1
196011;166.3;1
196012;168.2;1
196101;103.9;1
196102;5.5;1
196103;0;1
196104;92.3;1
196105;99.4;1
196106;58.1;1
196107;77.1;1
196108;2;1
196109;42.1;1
196110;121.2;1
196111;324.8;1
196112;48.4;1
196201;52.7;1
196202;48.2;1
196203;137.3;1
196204;88.8;1
196205;56.5;1
196206;106.5;1
196207;18.1;1
196208;12.6;1
196209;34.5;1
196210;78.9;1
196211;242;1
196212;48.7;1
196301;135.1;1
196302;61.4;1
196303;85;1
196304;137.2;1
196305;29.6;1
196306;165.4;1
196307;48;1
196308;67.6;1
196309;86.4;1
196310;60.6;1
196311;259.7;1
196312;42.6;1
196401;3.7;1
196402;213.9;1
196403;163.2;1
196404;103.2;1
196405;61.9;1
196406;75.6;1
196407;44.3;1
196408;30;1
196409;60.6;1
196410;99.9;1
196411;21.7;1
196412;80.1;1
196501;41.7;1
196502;0.7;1
196503;95.7;1
196504;19.6;1
196505;48.5;1
196506;44.4;1
196507;20.1;1
196508;203.5;1
196509;250.9;1
196510;115.3;1
196511;143.7;1
196512;45.8;1
196601;26.9;1
196602;183.4;1
196603;54.5;1
196604;109.8;1
196605;24.2;1
196606;24.2;1
196607;70.1;1
196608;64.3;1
196609;68.6;1
196610;273.7;1
196611;210.4;1
