# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 6071001
# NOM_USUEL= GUILLAUMES-OBS
# LATITUDE (°) = 44.091
# LONGITUDE(°)= 6.852
# ALTITUDE (m) = 788
# NUM_SERIE= MRR106071001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;33;1
195002;100.7;1
195003;14.5;1
195004;40.8;1
195005;107.6;1
195006;32.2;1
195007;13.8;1
195008;90.1;1
195009;33.4;1
195010;43.4;1
195011;205.3;1
195012;75;1
195101;72.6;1
195102;225;1
195103;146.8;1
195104;45;1
195105;148.6;1
195106;59.4;1
195107;7.9;1
195108;49.1;1
195109;40.2;1
195110;148.5;1
195111;391;1
195112;26;1
195201;27.3;1
195202;7.1;1
195203;81.6;1
195204;157.9;1
195205;95.2;1
195206;36;1
195207;36.5;1
195208;88.8;1
195209;126.3;1
195210;88.4;1
195211;100.7;1
195212;56;1
195301;1.4;1
195302;24;1
195303;0;1
195304;44.5;1
195305;87.4;1
195306;124.2;1
195307;87.4;1
195308;77.1;1
195309;134.6;1
195310;184.7;1
195311;7.1;1
195312;20.1;1
195401;30.1;1
195402;38.4;1
195403;57.6;1
195404;77.1;1
195405;109.3;1
195406;124.2;1
195407;36.7;1
195408;108.7;1
195409;12.3;1
195410;57.4;1
195411;250.8;1
195412;156.2;1
195501;151.3;1
195502;137.4;1
195503;29.4;1
195504;27.9;1
195505;18.4;1
195506;132.2;1
195507;98.3;1
195508;20;1
195509;15.9;1
195510;144.8;1
195511;103.7;1
195512;49.5;1
195601;80.7;1
195602;8.7;1
195603;171.7;1
195604;196.5;1
195605;67.4;1
195606;48.3;1
195607;64.1;1
195608;40.6;1
195609;129.5;1
195610;22.1;1
195611;43;1
195612;64.7;1
195701;29.5;1
195702;114.9;1
195703;66;1
195704;152.9;1
195705;81.9;1
195706;121.1;1
195707;13.1;1
195708;57.5;1
195709;0;1
195710;49.9;1
195711;195.5;1
195712;176.2;1
195801;27;1
195802;44.7;1
195803;91.3;1
195804;88.8;1
195805;40.9;1
195806;101.7;1
195807;36.7;1
195808;65.7;1
195809;81.7;1
195810;112.2;1
195811;58.4;1
195812;205.7;1
195901;17.4;1
195902;21;1
195903;178.3;1
195904;116.1;1
195905;55.7;1
195906;60.6;1
195907;65.9;1
195908;49;1
195909;91.4;1
195910;214.7;1
195911;180.6;1
195912;172.7;1
196001;128.3;1
196002;117.8;1
196003;158.6;1
196004;42.6;1
196005;38.9;1
196006;93.6;1
196007;58.8;1
196008;61.5;1
196009;187.4;1
196010;353.7;1
196011;142.1;1
196012;73.4;1
196101;78.8;1
196102;18.5;1
196103;0;1
196104;108;1
196105;141.5;1
196106;109.5;1
196107;8.6;1
196108;41.8;1
196109;62.2;1
196110;85.7;1
196111;167.4;1
196112;49.1;1
196201;59;1
196202;76.8;1
196203;122.2;1
196204;79.7;1
196205;42.4;1
196206;170.1;1
196207;13.9;1
196208;23.7;1
196209;98.8;1
196210;74.9;1
196211;184.8;1
196212;80.4;1
196301;137.4;1
196302;92.7;1
196303;74.6;1
196304;94.2;1
196305;37.6;1
196306;112.3;1
196307;54.8;1
196308;98.6;1
196309;78.5;1
196310;64.3;1
196311;281.3;1
196312;77.8;1
196401;18.7;1
196402;149.6;1
196403;152.6;1
196404;102.5;1
196405;64.1;1
196406;71.5;1
196407;84.1;1
196408;26;1
196409;33.9;1
196410;55.6;1
196411;39.1;1
196412;48;1
196501;33.2;1
196502;5.9;1
196503;96.3;1
196504;5.1;1
196505;56.5;1
196506;99.8;1
196507;58.6;1
196508;96;1
196509;181.9;1
196510;32.4;1
196511;122.3;1
196512;49.8;1
196601;37.4;1
196602;114.6;1
196603;0.9;1
196604;134.1;1
196605;62.2;1
196606;36.1;1
196607;21;1
196608;52.7;1
196609;59.9;1
196610;140.4;1
196611;139.9;1
196612;50.4;1
196701;15.3;1
196702;68.7;1
196703;41;1
196704;37.4;1
196705;53.1;1
196706;69.7;1
196707;22.5;1
196708;55.7;1
196709;24.2;1
196710;53.8;1
196711;151.3;1
196712;19.8;1
196801;15.2;1
196802;186.8;1
196803;25.2;1
196804;75.8;1
196805;105.5;1
196806;113;1
196807;33.6;1
196808;127.9;1
196809;145.9;1
196810;43.9;1
196811;181;1
196812;34.3;1
196901;114.2;1
196902;136.7;1
196903;82.8;1
196904;52.2;1
196905;60.7;1
196906;157.6;1
196907;108.2;1
196908;69.3;1
196909;66.3;1
196910;1.9;1
196911;96.8;1
196912;4.9;1
197001;262;1
197002;46.7;1
197003;69.6;1
197004;15.8;1
197005;96.4;1
197006;79.9;1
197007;77.7;1
197008;34.6;1
197009;23.1;1
197010;106.2;1
197011;188;1
197012;101.5;1
197101;93.2;1
197102;9.8;1
197103;207.9;1
197104;139.8;1
197105;157.2;1
197106;84.4;1
197107;49.3;1
197108;22.7;1
197109;13.9;1
197110;6.9;1
197111;100.9;1
197112;31.7;1
197201;48.3;1
197202;180.4;1
197203;126.2;1
197204;54.6;1
197205;143.6;1
197206;131.4;1
197207;114.3;1
197208;71.7;1
197209;66;1
197210;178.1;1
197211;37.6;1
197212;60.4;1
197301;97.7;1
197302;7.2;1
197303;2.4;1
197304;92.6;1
197305;107.4;1
197306;37.8;1
197307;80.7;1
197308;68.2;1
197309;44.8;1
197310;104.4;1
197311;29;1
197312;143.2;1
197401;70.1;1
197402;145.2;1
197403;35;1
197404;48.7;1
197405;120.1;1
197406;48.3;1
197407;11.9;1
197408;41.9;1
197409;106.2;1
197410;17.2;1
197411;66.6;1
197412;19;1
197501;48.9;1
197502;144.9;1
197503;95.9;1
197504;55.6;1
197505;115.5;1
197506;56.5;1
197507;12.9;1
197508;49.1;1
197509;142;1
197510;19.5;1
197511;135.1;1
197512;79.4;1
197601;25.4;1
197602;46.7;1
197603;50.9;1
197604;67.5;1
197605;67.9;1
197606;141.2;1
197607;101.5;1
197608;110.5;1
197609;103.7;1
197610;279.3;1
197611;127.3;1
197612;190.2;1
197701;179;1
197702;110.9;1
197703;107.9;1
197704;85.8;1
197705;176.9;1
197706;65.9;1
197707;129.5;1
197708;115.6;1
197709;31.9;1
197710;173.4;1
197711;36.4;1
197712;134.3;1
197801;153.7;1
197802;147;1
197803;76.9;1
197804;114;1
197805;82.9;1
197806;31.7;1
197807;38.2;1
197808;52;1
197809;7.2;1
197810;12.7;1
197811;3;1
197812;92.3;1
197901;252;1
