# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 6088001
# NOM_USUEL= NICE
# LATITUDE (°) = 43.649
# LONGITUDE(°)= 7.209
# ALTITUDE (m) = 2
# NUM_SERIE= MRR106088001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 198912 199312
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;36.8;1
195002;130.3;1
195003;40;1
195004;111.7;1
195005;30.8;1
195006;12.7;1
195007;0.6;1
195008;48.9;1
195009;38.2;1
195010;47.6;1
195011;98;1
195012;74.9;1
195101;142.7;1
195102;154.4;1
195103;102.9;1
195104;38.1;1
195105;124.1;1
195106;30.6;1
195107;14.4;1
195108;2.9;1
195109;21.7;1
195110;190.5;1
195111;302.9;1
195112;34.9;1
195201;53.6;1
195202;18;1
195203;34.5;1
195204;170.6;1
195205;81.8;1
195206;3.5;1
195207;2.5;1
195208;60.3;1
195209;111.7;1
195210;65.7;1
195211;100.5;1
195212;73.1;1
195301;20.3;1
195302;26;1
195303;1;1
195304;30.6;1
195305;23.9;1
195306;71.8;1
195307;91.7;1
195308;65.7;1
195309;172.3;1
195310;255.2;1
195311;8;1
195312;53.2;1
195401;29.1;1
195402;65.8;1
195403;69.7;1
195404;48.9;1
195405;69.6;1
195406;10.3;1
195407;67.4;1
195408;30.7;1
195409;19.8;1
195410;97.5;1
195411;99;1
195412;119.9;1
195501;138.3;1
195502;103.3;1
195503;26.5;1
195504;2.5;1
195505;2.9;1
195506;80.8;1
195507;25.3;1
195508;4.1;1
195509;47;1
195510;114.1;1
195511;99.7;1
195512;55.4;1
195601;79.7;1
195602;56.9;1
195603;196.3;1
195604;139.3;1
195605;7.2;1
195606;30.8;1
195607;29.3;1
195608;7;1
195609;152;1
195610;28.1;1
195611;125;1
195612;65.4;1
195701;27;1
195702;121;1
195703;44.3;1
195704;81.2;1
195705;50.5;1
195706;85.3;1
195707;3.3;1
195708;52.5;1
195709;1.6;1
195710;53.3;1
195711;320.4;1
195712;252.9;1
195801;19.4;1
195802;46.9;1
195803;101.3;1
195804;119.8;1
195805;12.8;1
195806;44.4;1
195807;45.1;1
195808;27.8;1
195809;55.2;1
195810;78.2;1
195811;74.5;1
195812;272.9;1
195901;2.1;1
195902;22;1
195903;79.5;1
195904;121;1
195905;88.7;1
195906;8.5;1
195907;0;1
195908;26.6;1
195909;213.1;1
195910;217.5;1
195911;247.3;1
195912;195.3;1
196001;81.8;1
196002;84.9;1
196003;147.7;1
196004;43.1;1
196005;29.4;1
196006;8.8;1
196007;7.8;1
196008;48.7;1
196009;176.6;1
196010;281.7;1
196011;152.9;1
196012;149.9;1
196101;117.6;1
196102;9.4;1
196103;0;1
196104;119.3;1
196105;42.2;1
196106;28;1
196107;6.5;1
196108;0.5;1
196109;79.9;1
196110;136.8;1
196111;280;1
196112;33.1;1
196201;39.1;1
196202;50.6;1
196203;99.4;1
196204;54.4;1
196205;37.2;1
196206;31.1;1
196207;1.1;1
196208;0;1
196209;17.1;1
196210;80.7;1
196211;170.2;1
196212;87.6;1
196301;115.4;1
196302;73;1
196303;64.1;1
196304;88.2;1
196305;5.8;1
196306;65.8;1
196307;6.7;1
196308;60.9;1
196309;71.8;1
196310;54.2;1
196311;224.4;1
196312;73.4;1
196401;11.3;1
196402;232.7;1
196403;115.1;1
196404;57.2;1
196405;6.1;1
196406;34.1;1
196407;1;1
196408;17.8;1
196409;28.2;1
196410;123.9;1
196411;23.4;1
196412;119.4;1
196501;58.3;1
196502;27.3;1
196503;91.1;1
196504;1.6;1
196505;11.7;1
196506;35.5;1
196507;8.9;1
196508;173.2;1
196509;155.8;1
196510;69.7;1
196511;90.6;1
196512;26.5;1
196601;31.8;1
196602;152.7;1
196603;21.5;1
196604;133.6;1
196605;7.3;1
196606;84.3;1
196607;22;1
196608;42.2;1
196609;86.5;1
196610;215.1;1
196611;248.1;1
196612;48.9;1
196701;6.8;1
196702;43.6;1
196703;44.7;1
196704;43.7;1
196705;11.5;1
196706;31;1
196707;12.9;1
196708;8.6;1
196709;25.5;1
196710;10.3;1
196711;139.6;1
196712;38.1;1
196801;4.2;1
196802;224.4;1
196803;34;1
196804;80.7;1
196805;94;1
196806;21.9;1
196807;0;1
196808;105.5;1
196809;201.8;1
196810;87.9;1
196811;246.5;1
196812;24.5;1
196901;154.4;1
196902;118.3;1
196903;132.6;1
196904;34.3;1
196905;58.9;1
196906;34.4;1
196907;73.3;1
196908;13;1
196909;25.3;1
196910;4.6;1
196911;113.8;1
196912;51.9;1
197001;212.4;1
197002;42.7;1
197003;32;1
197004;2;1
197005;25.9;1
197006;10;1
197007;1.4;1
197008;20.6;1
197009;0.7;1
197010;40.8;1
197011;121.2;1
197012;73.1;1
197101;100.9;1
197102;38.7;1
197103;165;1
197104;113.8;1
197105;105;1
197106;39.1;1
197107;11.1;1
197108;11.6;1
197109;58.6;1
197110;6.5;1
197111;121.6;1
197112;75.9;1
197201;57.6;1
197202;228.8;1
197203;129.8;1
197204;66.4;1
197205;73.9;1
197206;89;1
197207;6.5;1
197208;29.1;1
197209;142.9;1
197210;161.5;1
197211;56.2;1
197212;57.7;1
197301;99.4;1
197302;6.1;1
197303;2.1;1
197304;32.2;1
197305;14.4;1
197306;78.9;1
197307;18.3;1
197308;29.7;1
197309;36.4;1
197310;201.3;1
197311;12.7;1
197312;186.1;1
197401;105.5;1
197402;146.1;1
197403;71.9;1
197404;57.8;1
197405;91.4;1
197406;20.5;1
197407;2.1;1
197408;25.8;1
197409;119.4;1
197410;17;1
197411;58.1;1
197412;52.8;1
197501;64;1
197502;85.5;1
197503;149.3;1
197504;28.8;1
197505;112;1
197506;53.6;1
197507;4.2;1
197508;34.6;1
197509;87;1
197510;63.3;1
197511;254.5;1
197512;97.2;1
197601;32.2;1
197602;44.6;1
197603;69.5;1
197604;58.9;1
197605;53.2;1
197606;13;1
197607;67.4;1
197608;73.3;1
197609;116.5;1
197610;254.9;1
197611;94.1;1
197612;70;1
197701;232.2;1
197702;146.5;1
197703;98.5;1
197704;51.3;1
197705;82.9;1
197706;2.6;1
197707;53.2;1
197708;70.9;1
197709;9.6;1
197710;43.7;1
197711;46;1
197712;139.7;1
197801;266.4;1
197802;138;1
197803;76.7;1
197804;65.2;1
197805;41.4;1
197806;11.2;1
197807;9.2;1
197808;23.6;1
197809;14.4;1
197810;35.4;1
197811;7.4;1
197812;113.9;1
197901;148.6;1
197902;100.7;1
197903;188.3;1
197904;56.5;1
197905;12.1;1
197906;10.1;1
197907;35.6;1
197908;31.6;1
197909;120.7;1
197910;337.6;1
197911;82.7;1
197912;90.7;1
198001;59.8;1
198002;3;1
198003;102.2;1
198004;35.1;1
198005;57.2;1
198006;54;1
198007;6.5;1
198008;39.6;1
198009;3;1
198010;84.2;1
198011;98.5;1
198012;0;1
198101;12.1;1
198102;24;1
198103;48.7;1
198104;86.3;1
198105;38.3;1
198106;20.2;1
198107;20.5;1
198108;3.6;1
198109;31.3;1
198110;58.4;1
198111;1;1
198112;212.2;1
198201;22.5;1
198202;33.8;1
198203;30.2;1
198204;21.2;1
198205;7.1;1
198206;9.5;1
198207;38.2;1
198208;7.8;1
198209;15.3;1
198210;127.1;1
198211;183.9;1
198212;41.7;1
198301;0;1
198302;52;1
198303;96.9;1
198304;60.7;1
198305;23.9;1
198306;93.6;1
198307;2.1;1
198308;33.3;1
198309;3.6;1
198310;78.5;1
198311;2;1
198312;175.4;1
198401;29.5;1
198402;19.6;1
198403;43.2;1
198404;32.9;1
198405;248.4;1
198406;71.3;1
198407;0;1
198408;32.7;1
198409;23.4;1
198410;185.7;1
198411;106.3;1
198412;52.7;1
198501;132.1;1
198502;18.6;1
198503;93.5;1
198504;16.2;1
198505;105.1;1
198506;16.1;1
198507;1.8;1
198508;0.8;1
198509;3.5;1
198510;16.5;1
198511;97.5;1
198512;54.9;1
198601;183.7;1
198602;78.9;1
198603;35.7;1
198604;121.7;1
198605;21.8;1
198606;5.2;1
198607;1;1
198608;21.8;1
198609;64.3;1
198610;2.6;1
198611;49.4;1
198612;16.2;1
198701;96.7;1
198702;77.7;1
198703;23.4;1
198704;63.7;1
198705;21.4;1
198706;40.7;1
198707;34.3;1
198708;26.3;1
198709;12.3;1
198710;382.9;1
198711;71.6;1
198712;92.1;1
198801;88.7;1
198802;18.6;1
198803;60.2;1
198804;54.1;1
198805;44.6;1
198806;63.6;1
198807;5.7;1
198808;3.2;1
198809;9.6;1
198810;125.5;1
198811;18.1;1
198812;65.4;1
198901;1.4;1
198902;69;1
198903;2;1
198904;184.9;1
198905;4.2;1
198906;5.4;1
198907;10.8;1
198908;0.9;1
198909;64.5;1
198910;15.5;1
198911;59.6;1
198912;20.7;1
199001;15.8;1
