# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 6088007
# NOM_USUEL= NICE-RIMIEZ
# LATITUDE (°) = 43.739
# LONGITUDE(°)= 7.279
# ALTITUDE (m) = 238
# NUM_SERIE= MRR106088007
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;23.3;1
195002;155.4;1
195003;27.5;1
195004;97.1;1
195005;41.2;1
195006;4;1
195007;0;1
195008;35.8;1
195009;105.6;1
195010;105.6;1
195011;133.2;1
195012;101.4;1
195101;129.3;1
195102;142.4;1
195103;102.4;1
195104;34.6;1
195105;134.9;1
195106;31.5;1
195107;2.6;1
195108;9.5;1
195109;33.7;1
195110;120.6;1
195111;323.9;1
195112;35.6;1
195201;47.3;1
195202;10;1
195203;48;1
195204;245.8;1
195205;78.5;1
195206;2.3;1
195207;0.6;1
195208;74.3;1
195209;111.6;1
195210;58.9;1
195211;83.3;1
195212;71.5;1
195301;27.7;1
195302;24;1
195303;0;1
195304;24.3;1
195305;28.3;1
195306;55.4;1
195307;63;1
195308;48.4;1
195309;185.4;1
195310;152.7;1
195311;11.4;1
195312;41.2;1
195401;28.3;1
195402;70.6;1
195403;81.7;1
195404;48.3;1
195405;78.2;1
195406;46.4;1
195407;65.6;1
195408;41.8;1
195409;12.1;1
195410;107.5;1
195411;135.9;1
195412;142.3;1
195501;143.2;1
195502;86;1
195503;38.7;1
195504;6.4;1
195505;9.7;1
195506;64.6;1
195507;56.7;1
195508;1.6;1
195509;36.7;1
195510;98.5;1
195511;83;1
195512;46.9;1
195601;65;1
195602;61.3;1
195603;200;1
195604;135.1;1
195605;4.3;1
195606;27.8;1
195607;85.8;1
195608;5.5;1
195609;165.5;1
195610;41.5;1
195611;84.8;1
195612;43.5;1
195701;28.9;1
195702;132.5;1
195703;61.8;1
195704;67.6;1
195705;65.3;1
195706;119.5;1
195707;4.3;1
195708;18.6;1
195709;2.6;1
195710;82;1
195711;291.4;1
195712;280.7;1
195801;20.9;1
195802;45.4;1
195803;99.6;1
195804;130.6;1
195805;11.2;1
195806;50.9;1
195807;25.5;1
195808;26.2;1
195809;45.2;1
195810;100.1;1
195811;72.2;1
195812;216.9;1
195901;2.1;1
195902;15;1
195903;80.2;1
195904;124.6;1
195905;88.8;1
195906;11.6;1
195907;0.7;1
195908;21.5;1
195909;74.1;1
195910;264.3;1
195911;264.2;1
195912;197.4;1
196001;110.8;1
196002;114.9;1
196003;153.4;1
196004;63.7;1
196005;43;1
196006;8.2;1
196007;60.2;1
196008;48.7;1
196009;199.6;1
196010;295.4;1
196011;120.5;1
196012;155.1;1
196101;104.2;1
196102;7.5;1
196103;0;1
196104;117.6;1
196105;61.5;1
196106;26.9;1
196107;27.5;1
196108;3.5;1
196109;75;1
196110;86.7;1
196111;263.2;1
196112;41.3;1
196201;43.2;1
196202;43.5;1
196203;108.6;1
196204;67.9;1
196205;52.7;1
196206;60.3;1
196207;5.2;1
196208;0;1
196209;25.3;1
196210;85.6;1
196211;162.9;1
196212;83;1
196301;151.6;1
196302;65.5;1
196303;78.6;1
196304;94.7;1
196305;1;1
196306;108.1;1
196307;5.2;1
196308;52.1;1
196309;57.3;1
196310;60.4;1
196311;230.8;1
196312;59.9;1
196401;6.3;1
196402;217.1;1
196403;136.8;1
196404;75.5;1
196405;3.6;1
196406;21.3;1
196407;14.4;1
196408;20.5;1
196409;26;1
196410;72.1;1
196411;18.2;1
196412;131.8;1
196501;41.3;1
196502;14.8;1
196503;84.2;1
196504;1.3;1
196505;19.6;1
196506;29.6;1
196507;12.3;1
196508;187.5;1
196509;161.5;1
196510;96.2;1
196511;130.4;1
196512;28.1;1
196601;32.4;1
196602;128.8;1
196603;14.6;1
196604;90.9;1
196605;12.7;1
196606;57.7;1
196607;18.7;1
196608;38.9;1
196609;82.2;1
196610;238.9;1
196611;191.4;1
196612;73.9;1
196701;5.2;1
196702;38.7;1
196703;53;1
196704;52.5;1
196705;21.5;1
196706;78.8;1
196707;18.7;1
196708;27;1
196709;42.9;1
196710;50.2;1
196711;126;1
196712;39.1;1
196801;0.9;1
196802;216.7;1
196803;29.8;1
196804;68.1;1
196805;78.2;1
196806;28.3;1
196807;0.2;1
196808;70.5;1
196809;159.3;1
196810;67.9;1
196811;173.8;1
196812;32;1
196901;143;1
196902;121.8;1
196903;138.5;1
196904;36.2;1
196905;79;1
196906;67;1
196907;13.9;1
196908;27.1;1
196909;21.7;1
196910;0.2;1
196911;106.7;1
196912;30;1
197001;196.5;1
197002;34.3;1
197003;52;1
197004;2.9;1
197005;42.5;1
197006;13.7;1
197007;0;1
197008;14;1
197009;1.8;1
197010;48.6;1
197011;151.8;1
