# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 6163007
# NOM_USUEL= TENDE_SAPC
# LATITUDE (°) = 44.043
# LONGITUDE(°)= 7.586
# ALTITUDE (m) = 636
# NUM_SERIE= MRR106163007
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 199612 200912
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;33.5;1
195002;136.4;1
195003;23.7;1
195004;69.9;1
195005;97.1;1
195006;25.9;1
195007;13.2;1
195008;32.3;1
195009;68.1;1
195010;35.1;1
195011;210.5;1
195012;67.7;1
195101;90.2;1
195102;195.8;1
195103;167.6;1
195104;27.2;1
195105;160.1;1
195106;88.7;1
195107;21.9;1
195108;35.3;1
195109;33.7;1
195110;61.3;1
195111;567.3;1
195112;19.1;1
195201;23.8;1
195202;5.8;1
195203;71;1
195204;191.2;1
195205;77.2;1
195206;35.7;1
195207;10.3;1
195208;71.5;1
195209;134.8;1
195210;77.8;1
195211;120.1;1
195212;28.6;1
195301;3.8;1
195302;25.8;1
195303;12.5;1
195304;49.2;1
195305;80.2;1
195306;105.5;1
195307;27.1;1
195308;68.4;1
195309;126.6;1
195310;155;1
195311;10;1
195312;34.2;1
195401;2;1
195402;41.6;1
195403;99.2;1
195404;61.7;1
195405;102.7;1
195406;62.5;1
195407;126.1;1
195408;100.9;1
195409;9.5;1
195410;87.7;1
195411;209.4;1
195412;224.3;1
195501;96.2;1
195502;142;1
195503;68;1
195504;4.5;1
195505;19.5;1
195506;112.6;1
195507;54;1
195508;49.1;1
195509;39.6;1
195510;211.1;1
195511;68.2;1
195512;43.9;1
195601;58;1
195602;17.5;1
195603;205.9;1
195604;243;1
195605;34;1
195606;45.9;1
195607;22.9;1
195608;24.5;1
195609;124.2;1
195610;48.9;1
195611;64.8;1
195612;24.9;1
195701;65.8;1
195702;53.2;1
195703;70.8;1
195704;77.2;1
195705;53.9;1
195706;106.5;1
195707;12.7;1
195708;6.5;1
195709;4.9;1
195710;76.2;1
195711;242.5;1
195712;294.9;1
195801;16.5;1
195802;82.3;1
195803;54.1;1
195804;129;1
195805;12.8;1
195806;76.4;1
195807;35.4;1
195808;47.7;1
195809;74.7;1
195810;116.9;1
195811;119.7;1
195812;280.3;1
195901;4;1
195902;41.1;1
195903;158.7;1
195904;109.8;1
195905;158;1
195906;47.5;1
195907;68.8;1
195908;54;1
195909;71;1
195910;239.3;1
195911;261.3;1
195912;266;1
196001;132.9;1
196002;116.1;1
196003;106.7;1
196004;59.4;1
196005;49;1
196006;71.8;1
196007;17.4;1
196008;47.4;1
196009;249.6;1
196010;410.3;1
196011;203.8;1
196012;87;1
196101;94.2;1
196102;3.4;1
196103;0;1
196104;134.6;1
196105;107.5;1
196106;53.9;1
196107;56.6;1
196108;3.2;1
196109;39.3;1
196110;97.6;1
196111;253.8;1
196112;72.5;1
196201;62.1;1
196202;42.3;1
196203;108.2;1
196204;130.1;1
196205;45.8;1
196206;133.6;1
196207;44.4;1
196208;15.3;1
196209;9.7;1
196210;67;1
196211;303.2;1
196212;47.6;1
196301;135.7;1
196302;12.1;1
196303;101.6;1
196304;106;1
196305;85.9;1
196306;109.5;1
196307;77.6;1
196308;75;1
196309;83.1;1
196310;74;1
196311;322.5;1
196312;38;1
196401;8.5;1
196402;139.9;1
196403;153.6;1
196404;96.7;1
196405;44.6;1
196406;54.7;1
196407;127.6;1
196408;9.1;1
196409;48.4;1
196410;78.2;1
196411;24.8;1
196412;61.3;1
196501;30.7;1
196502;0;1
196503;98.5;1
196504;12.1;1
196505;104;1
196506;67.1;1
196507;47;1
196508;151;1
196509;258.7;1
196510;100;1
196511;155.8;1
196512;40.1;1
196601;19.1;1
196602;157.8;1
196603;50.3;1
196604;107.6;1
196605;40;1
196606;28.5;1
196607;60.7;1
196608;52.9;1
196609;66;1
196610;196.5;1
196611;232.3;1
196612;70.1;1
196701;6.4;1
196702;40.6;1
196703;50.8;1
196704;60.5;1
196705;29.3;1
196706;64.3;1
196707;52.6;1
196708;60.4;1
196709;75.8;1
196710;23.4;1
196711;207.8;1
196712;20;1
196801;0;1
196802;245.2;1
196803;35.3;1
196804;76.4;1
196805;124.3;1
196806;45.8;1
196807;22.8;1
196808;64;1
196809;149.5;1
196810;55.3;1
196811;208.6;1
196812;65;1
196901;110.7;1
196902;87.6;1
196903;81;1
196904;53.3;1
196905;63.4;1
196906;70.1;1
196907;58.5;1
196908;105.9;1
196909;54.2;1
196910;0;1
196911;137.2;1
196912;10.3;1
197001;230;1
197002;22.4;1
197003;27.6;1
197004;19.7;1
197005;96.1;1
197006;28.4;1
197007;37.8;1
197008;62.2;1
197009;22.6;1
197010;55.5;1
197011;303.7;1
197012;48.3;1
197101;105.5;1
197102;26.4;1
197103;226.8;1
197104;111.1;1
197105;107.4;1
197106;89.4;1
197107;55.2;1
197108;60.4;1
197109;12.3;1
197110;2.8;1
197111;184;1
197112;44.4;1
197201;30.2;1
197202;276.3;1
197203;110.2;1
197204;83.8;1
197205;137.9;1
197206;132.5;1
197207;45.6;1
197208;55.2;1
197209;73.2;1
197210;186.4;1
197211;33.3;1
197212;75.5;1
197301;53;1
197302;0;1
197303;3.7;1
197304;106.4;1
197305;52.4;1
197306;67.8;1
197307;131.4;1
197308;113.3;1
197309;70.8;1
197310;98.1;1
197311;17.9;1
197312;274.2;1
197401;49.6;1
197402;136.5;1
197403;51.3;1
197404;73.7;1
197405;74;1
197406;26.8;1
197407;24;1
197408;60.4;1
197409;126.8;1
197410;21;1
197411;72.3;1
197412;12.8;1
197501;118.5;1
197502;174.7;1
197503;123.5;1
197504;74.7;1
197505;114.1;1
197506;44.9;1
197507;34.9;1
197508;73.1;1
197509;119.8;1
197510;37.3;1
197511;204.2;1
197512;71.8;1
197601;22.3;1
197602;21.1;1
197603;31.3;1
197604;44.6;1
197605;71.2;1
197606;69.3;1
197607;200.4;1
197608;141.1;1
197609;151.1;1
197610;341.7;1
197611;146.8;1
197612;170.8;1
197701;269.3;1
197702;166.2;1
197703;145.1;1
197704;88.9;1
197705;196.9;1
197706;52.8;1
197707;101.6;1
197708;141.5;1
197709;35.3;1
197710;137.8;1
197711;39;1
197712;141.5;1
197801;264.6;1
197802;114.1;1
197803;66;1
197804;126.4;1
197805;109.8;1
197806;26;1
197807;42.9;1
197808;36.7;1
197809;11.6;1
197810;41;1
197811;7;1
197812;110.6;1
197901;208.6;1
197902;130.1;1
197903;194.5;1
197904;43.2;1
197905;31;1
197906;133.4;1
197907;56.3;1
197908;26.8;1
197909;45.4;1
197910;564.3;1
197911;77.3;1
197912;96.3;1
198001;65.3;1
198002;3.4;1
198003;142.7;1
198004;55.7;1
198005;76.7;1
198006;36.4;1
198007;55.9;1
198008;62.9;1
198009;33.8;1
198010;205.4;1
198011;61.1;1
198012;0;1
198101;3.6;1
198102;2.1;1
198103;146.6;1
198104;60.7;1
198105;77.5;1
198106;72.1;1
198107;60.4;1
198108;44.3;1
198109;177.9;1
198110;48.1;1
198111;0;1
198112;268.1;1
198201;16.1;1
198202;28.3;1
198203;43.3;1
198204;12.2;1
198205;39.6;1
198206;37.7;1
198207;71.9;1
198208;154.2;1
198209;64.3;1
198210;140.8;1
198211;259.3;1
198212;52.5;1
198301;0;1
198302;48.7;1
198303;81.6;1
198304;112.4;1
198305;76.2;1
198306;95.8;1
198307;16.8;1
198308;80.9;1
198309;13.1;1
198310;66.6;1
198311;2.3;1
198312;259.7;1
198401;49.7;1
198402;20.6;1
198403;111.4;1
198404;46.6;1
198405;380.6;1
198406;118.8;1
198407;32.1;1
198408;103.9;1
198409;70.2;1
198410;152.4;1
198411;74.3;1
198412;70.3;1
198501;139.9;1
198502;15.4;1
198503;168.2;1
198504;18.4;1
198505;160.1;1
198506;22;1
198507;9.5;1
198508;29.1;1
198509;7.9;1
198510;6.7;1
198511;61.8;1
198512;80.9;1
198601;124.2;1
198602;57.6;1
198603;38.9;1
198604;232.5;1
198605;111.4;1
198606;34.2;1
198607;69.1;1
198608;67.2;1
198609;33.5;1
198610;2.7;1
198611;113.7;1
198612;7.1;1
198701;33.7;1
198702;88.6;1
198703;12;1
198704;163.3;1
198705;66.7;1
198706;64.7;1
198707;113.4;1
198708;69.7;1
198709;48.5;1
198710;343.7;1
198711;50.1;1
198712;51.1;1
198801;123.9;1
198802;68.7;1
198803;29.3;1
198804;43.8;1
198805;145.3;1
198806;87.4;1
198807;3.2;1
198808;33.2;1
198809;23.6;1
198810;193.2;1
198811;11.8;1
198812;67.8;1
198901;0;1
198902;120.2;1
198903;5;1
198904;275.6;1
198905;15.1;1
198906;49.4;1
198907;42;1
198908;13.7;1
198909;29.2;1
198910;29.5;1
198911;97.3;1
198912;40.2;1
199001;50.3;1
199002;6.5;1
199003;15.6;1
199004;85.2;1
199005;82.4;1
199006;50.7;1
199007;46.8;1
199008;24.6;1
199009;20.2;1
199010;123;1
199011;87.2;1
199012;73.1;1
199101;11.7;1
