# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7011002
# NOM_USUEL= ANTRAIGUES
# LATITUDE (°) = 44.719
# LONGITUDE(°)= 4.352
# ALTITUDE (m) = 428
# NUM_SERIE= MRR107011002
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195301 202112
# Date(s) de rupture(s) d'homogénéité : 199512 200410
#     Periode homogénéisée  195301 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;2.2;1
195302;12.3;1
195303;5.2;1
195304;77.4;1
195305;21.6;1
195306;125.9;1
195307;47;1
195308;52;1
195309;282.7;1
195310;375.8;1
195311;78.3;1
195312;152.6;1
195401;22.6;1
195402;121.5;1
195403;140;1
195404;29.2;1
195405;170.2;1
195406;66.2;1
195407;71.5;1
195408;117.7;1
195409;35.3;1
195410;103.4;1
195411;290.3;1
195412;144.1;1
195501;423.4;1
195502;178.9;1
195503;84;1
195504;0;1
195505;79.7;1
195506;191.1;1
195507;71.3;1
195508;67.2;1
195509;32.3;1
195510;231.8;1
195511;344.2;1
195512;87.2;1
195601;156.6;1
195602;60.9;1
195603;375.7;1
195604;195.4;1
195605;83.3;1
195606;25.2;1
195607;85.2;1
195608;80.1;1
195609;233.2;1
195610;74.6;1
195611;9;1
195612;169.8;1
195701;11.6;1
195702;203.1;1
195703;96.1;1
195704;114.9;1
195705;28.4;1
195706;315.3;1
195707;18.5;1
195708;41.7;1
195709;123.8;1
195710;45.4;1
195711;173.5;1
195712;274.8;1
195801;65.2;1
195802;93.9;1
195803;114.9;1
195804;99.1;1
195805;30;1
195806;140.3;1
195807;53.6;1
195808;173.8;1
195809;306.7;1
195810;163.2;1
195811;48.5;1
195812;491.5;1
195901;73.3;1
195902;30.9;1
195903;347.9;1
195904;266.8;1
195905;123.9;1
195906;42.2;1
195907;13.3;1
195908;77.9;1
195909;90.2;1
195910;136.4;1
195911;309.8;1
195912;306.4;1
196001;410.5;1
196002;223;1
196003;395.6;1
196004;16.2;1
196005;53.5;1
196006;70.1;1
196007;76.8;1
196008;153.4;1
196009;247.3;1
196010;778.5;1
196011;195.1;1
196012;48.5;1
196101;145.2;1
196102;54.3;1
196103;0;1
196104;111.3;1
196105;110.4;1
196106;93.5;1
196107;30;1
196108;6.8;1
196109;93.5;1
196110;294.9;1
196111;333.7;1
196112;182.8;1
196201;131.8;1
196202;117;1
196203;160.1;1
196204;174.5;1
196205;22.4;1
196206;27.3;1
196207;3.8;1
196208;59.6;1
196209;87.2;1
196210;85.6;1
196211;173.1;1
196212;91.7;1
196301;202.5;1
196302;151.5;1
196303;70.3;1
196304;208.2;1
196305;72;1
196306;318.3;1
196307;117.3;1
196308;272.8;1
196309;191.5;1
196310;191.6;1
196311;680.3;1
196312;126.7;1
196401;118.7;1
196402;376.7;1
196403;190.7;1
196404;137.3;1
196405;103.7;1
196406;102.1;1
196407;22;1
196408;98;1
196409;97.9;1
196410;171.6;1
196411;62.5;1
196412;63.9;1
196501;139.8;1
196502;3.8;1
196503;155;1
196504;4.2;1
196505;30.5;1
196506;67.3;1
196507;66.2;1
196508;59.2;1
196509;520.4;1
196510;208.8;1
196511;166.5;1
196512;144.1;1
196601;86.1;1
196602;203.8;1
196603;9.2;1
196604;129.6;1
196605;67.5;1
196606;79;1
196607;30.4;1
196608;31.7;1
196609;41.4;1
196610;315.2;1
196611;199.3;1
196612;51.8;1
196701;130.4;1
196702;163.2;1
196703;171;1
196704;59;1
196705;180.9;1
196706;52.7;1
196707;16.1;1
196708;239.1;1
196709;166.7;1
196710;46;1
196711;453.3;1
196712;17.7;1
196801;26.2;1
196802;220.8;1
196803;73.7;1
196804;214.6;1
196805;156.4;1
196806;70.3;1
196807;27.2;1
196808;185.8;1
196809;301.9;1
196810;148.7;1
196811;144.8;1
196812;73.1;1
196901;284.5;1
196902;196;1
196903;179.8;1
196904;143;1
196905;103.8;1
196906;102.9;1
196907;36.3;1
196908;57.1;1
196909;239;1
196910;74.3;1
196911;162;1
196912;31.6;1
197001;408;1
197002;29;1
197003;142.6;1
197004;48.7;1
197005;174.4;1
197006;43.9;1
197007;9.4;1
197008;37.6;1
197009;67.2;1
197010;469.2;1
197011;216.9;1
197012;62.9;1
197101;163.4;1
197102;29.8;1
197103;159.3;1
197104;207.6;1
197105;139.2;1
197106;127.3;1
197107;65.5;1
197108;111.6;1
197109;85.6;1
197110;40.2;1
197111;78.2;1
197112;185.5;1
197201;242.4;1
197202;476.6;1
197203;127.7;1
197204;31.3;1
197205;69.9;1
197206;155.6;1
197207;32;1
197208;76.3;1
197209;78.1;1
197210;385;1
197211;52.7;1
197212;269.7;1
197301;230.2;1
197302;27.4;1
197303;20.6;1
197304;55;1
197305;74.2;1
197306;82.2;1
197307;113.2;1
197308;18.4;1
197309;135.9;1
197310;161.8;1
197311;100.3;1
197312;224.4;1
197401;275.1;1
197402;172.2;1
197403;110.8;1
197404;74.2;1
197405;111.6;1
197406;122.9;1
197407;26;1
197408;48.1;1
197409;276.6;1
197410;26.2;1
197411;240.4;1
197412;46.9;1
197501;161.9;1
197502;147.1;1
197503;218.8;1
197504;18.7;1
197505;177.6;1
197506;72.8;1
197507;78;1
197508;90.4;1
197509;232.2;1
197510;40;1
197511;59;1
197512;138.4;1
197601;88.8;1
197602;187.1;1
197603;36.8;1
197604;82.9;1
197605;49.5;1
197606;5;1
197607;24.5;1
197608;430.3;1
197609;532.2;1
197610;487.1;1
197611;374.8;1
197612;306.7;1
197701;294;1
197702;199.2;1
197703;167.8;1
197704;26.9;1
197705;238.8;1
197706;173.3;1
197707;180.3;1
197708;218.6;1
197709;29.4;1
197710;550.4;1
197711;109.4;1
197712;323.7;1
197801;169.5;1
197802;153;1
197803;124.1;1
197804;246.1;1
197805;111;1
197806;33.3;1
197807;45.1;1
197808;29.2;1
197809;22.5;1
197810;7.8;1
197811;6.1;1
197812;340.3;1
197901;266;1
197902;174.3;1
197903;329.6;1
197904;97.9;1
197905;116.4;1
197906;62.1;1
197907;58.3;1
197908;53.4;1
197909;9.2;1
197910;763.9;1
197911;30.1;1
197912;96.3;1
198001;114.7;1
198002;42.6;1
198003;87.8;1
198004;78.6;1
198005;131.8;1
198006;33.1;1
198007;42.9;1
198008;79.2;1
198009;208.5;1
198010;163;1
198011;81;1
198012;23.4;1
198101;41.7;1
198102;66.9;1
198103;159.8;1
198104;21.9;1
198105;218.5;1
198106;164.3;1
198107;137;1
198108;17.3;1
198109;172.6;1
198110;119.6;1
198111;11.6;1
198112;306;1
198201;21.7;1
198202;39;1
198203;96.4;1
198204;31.4;1
198205;33.6;1
198206;92.1;1
198207;112.6;1
198208;98.5;1
198209;196.6;1
198210;156.9;1
198211;406.7;1
198212;84.5;1
198301;2.4;1
198302;85.9;1
198303;84;1
198304;367.5;1
198305;267.9;1
198306;74.2;1
198307;14.1;1
198308;69.9;1
198309;74.8;1
198310;174.7;1
198311;8.7;1
198312;172.5;1
198401;163.8;1
198402;55.3;1
198403;164.5;1
198404;10.3;1
198405;364.5;1
198406;66.1;1
198407;13;1
198408;99.1;1
198409;102.7;1
198410;366.5;1
198411;339.1;1
198412;119.2;1
198501;131.1;1
198502;30.3;1
198503;100;1
198504;58.7;1
198505;116.5;1
198506;104;1
198507;49.7;1
198508;65.2;1
198509;5.6;1
198510;40;1
198511;23.6;1
198512;239.1;1
198601;189.1;1
198602;170.4;1
198603;48.5;1
198604;410.5;1
198605;144.4;1
198606;30.3;1
198607;51.1;1
198608;26.6;1
198609;185.9;1
198610;131.4;1
198611;261.9;1
198612;64.7;1
198701;54.8;1
198702;239.4;1
198703;50.3;1
198704;246.8;1
198705;35;1
198706;72.7;1
198707;109;1
198708;135.7;1
198709;156.1;1
