# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7019005
# NOM_USUEL= AUBENAS SA
# LATITUDE (°) = 44.602
# LONGITUDE(°)= 4.41
# ALTITUDE (m) = 176
# NUM_SERIE= MRR107019005
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 195212 196905
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;10.7;1
195002;98.8;1
195003;29;1
195004;12.9;1
195005;163.2;1
195006;5.4;1
195007;17.2;1
195008;39.7;1
195009;157.8;1
195010;95.5;1
195011;186.8;1
195012;24.7;1
195101;66.6;1
195102;108.4;1
195103;103.1;1
195104;21.5;1
195105;163.2;1
195106;62.3;1
195107;4.3;1
195108;138.5;1
195109;330.6;1
195110;176;1
195111;267.3;1
195112;23.6;1
195201;24.7;1
195202;5.4;1
195203;70.8;1
195204;74.7;1
195205;114;1
195206;12.9;1
195207;85.9;1
195208;40.8;1
195209;41.9;1
195210;98.5;1
195211;108.1;1
195212;71.3;1
195301;9.4;1
195302;1.6;1
195303;1.1;1
195304;27.2;1
195305;22.4;1
195306;111.2;1
195307;11.4;1
195308;7.2;1
195309;269.6;1
195310;222.6;1
195311;35.4;1
195312;48.7;1
195401;19.7;1
195402;45.2;1
195403;77.2;1
195404;31.6;1
195405;129.4;1
195406;60.3;1
195407;49.2;1
195408;118.4;1
195409;13.7;1
195410;64;1
195411;146;1
195412;73.5;1
195501;208.4;1
195502;113.4;1
195503;47.4;1
195504;3;1
195505;70.8;1
195506;257.6;1
195507;43.1;1
195508;78.9;1
195509;16.5;1
195510;142;1
195511;289.6;1
195512;74.2;1
195601;70.5;1
195602;76;1
195603;203.5;1
195604;118.1;1
195605;77.9;1
195606;27.6;1
195607;36.2;1
195608;49.4;1
195609;161.6;1
195610;59.2;1
195611;1.3;1
195612;122.8;1
195701;5.4;1
195702;126.8;1
195703;49.6;1
195704;93.6;1
195705;34.7;1
195706;183.6;1
195707;9.5;1
195708;51.3;1
195709;80;1
195710;30.6;1
195711;83.6;1
195712;177.6;1
195801;38.1;1
195802;45.9;1
195803;88.9;1
195804;45.4;1
195805;23.5;1
195806;144.9;1
195807;45.5;1
195808;179.2;1
195809;276.4;1
195810;110.6;1
195811;45.3;1
195812;189.5;1
195901;22.8;1
195902;26;1
195903;227.2;1
195904;162.4;1
195905;84.4;1
195906;32.9;1
195907;20.8;1
195908;60.5;1
195909;65.4;1
195910;143.8;1
195911;189.5;1
195912;135.5;1
196001;172.1;1
196002;128.8;1
196003;255.3;1
196004;9.7;1
196005;17.3;1
196006;166.5;1
196007;56.5;1
196008;75.9;1
196009;224.2;1
196010;419.7;1
196011;113.6;1
196012;39.4;1
196101;79.1;1
196102;32.6;1
196103;0.2;1
196104;106.5;1
196105;103;1
196106;73.1;1
196107;20.3;1
196108;2.1;1
196109;60.6;1
196110;114.8;1
196111;162.6;1
196112;101.4;1
196201;73.3;1
196202;96.3;1
196203;87.1;1
196204;118;1
196205;17.9;1
196206;19.1;1
196207;15.9;1
196208;44;1
196209;102.8;1
196210;65.7;1
196211;115.7;1
196212;62.8;1
196301;113.8;1
196302;99.2;1
196303;59.2;1
196304;116.7;1
196305;55.4;1
196306;212.9;1
196307;117.3;1
196308;163.4;1
196309;138.7;1
196310;44.2;1
196311;210.4;1
196312;88.3;1
196401;53.1;1
196402;191;1
196403;178.3;1
196404;81;1
196405;78.2;1
196406;56.3;1
196407;20.7;1
196408;82;1
196409;83.9;1
196410;148.5;1
196411;48.9;1
196412;41.8;1
196501;94.5;1
196502;6.5;1
196503;99.7;1
196504;4.9;1
196505;20.5;1
196506;44.7;1
196507;81.2;1
196508;61.5;1
196509;287.5;1
196510;145.5;1
196511;91.1;1
196512;90.3;1
196601;54.6;1
196602;124.9;1
196603;3.1;1
196604;128.4;1
196605;47.3;1
196606;39.5;1
196607;19.5;1
196608;58.1;1
196609;34.4;1
196610;201.5;1
196611;108.1;1
196612;26.5;1
196701;57.2;1
196702;75.4;1
196703;79.2;1
196704;43.5;1
196705;130.2;1
196706;30.4;1
196707;13.9;1
196708;176.5;1
196709;64;1
196710;39.9;1
196711;206.6;1
196712;7.4;1
196801;6.9;1
196802;123.4;1
196803;33.5;1
196804;88.2;1
196805;126.2;1
196806;40.9;1
196807;35.3;1
196808;124.3;1
196809;228.5;1
196810;128.4;1
196811;120.4;1
196812;28.1;1
196901;130.6;1
196902;115.6;1
196903;90.3;1
196904;177.2;1
196905;68;1
196906;74.2;1
196907;28.6;1
196908;51.9;1
196909;140.4;1
196910;45.3;1
196911;78.9;1
196912;9.7;1
197001;197.1;1
197002;18.3;1
197003;111;1
197004;63.6;1
197005;171.2;1
197006;85.6;1
197007;46;1
197008;24.1;1
197009;60.1;1
197010;320.5;1
197011;129.4;1
197012;60.9;1
197101;128.9;1
197102;8.4;1
197103;103.2;1
197104;165.4;1
197105;147.9;1
197106;141.3;1
197107;63.4;1
197108;76.7;1
197109;78.6;1
197110;28.8;1
197111;45.3;1
197112;75.4;1
197201;115;1
197202;197.2;1
197203;92.3;1
197204;20.2;1
197205;48.9;1
197206;100.2;1
197207;43.5;1
197208;102.7;1
197209;60.6;1
197210;233.8;1
197211;44;1
197212;123.8;1
197301;103.3;1
197302;16.6;1
197303;21.5;1
197304;40;1
197305;66;1
197306;50;1
197307;111;1
197308;20;1
197309;88;1
197310;156.7;1
197311;56;1
197312;91.3;1
197401;146.8;1
197402;136.8;1
197403;68.8;1
197404;86.2;1
197405;55.2;1
197406;118.2;1
197407;26.8;1
197408;48.4;1
197409;268.3;1
197410;21.4;1
197411;75.4;1
197412;27.9;1
197501;86.4;1
197502;104.9;1
197503;121.9;1
197504;10.9;1
197505;106.7;1
197506;81.5;1
197507;23.6;1
197508;105.1;1
197509;209.2;1
197510;55.6;1
197511;55.4;1
197512;116.1;1
197601;47.3;1
197602;88.4;1
197603;32;1
197604;49.9;1
197605;36.8;1
197606;16;1
197607;19.6;1
197608;246.2;1
197609;369;1
197610;347.5;1
197611;177.8;1
197612;131.8;1
197701;127.4;1
197702;90.5;1
197703;144.1;1
197704;20.7;1
197705;171.2;1
197706;83.5;1
197707;147.9;1
197708;196.1;1
197709;30.7;1
197710;290.3;1
197711;64.2;1
197712;152;1
197801;122.7;1
197802;84.5;1
197803;52.1;1
197804;141.1;1
197805;85.9;1
197806;11.1;1
197807;41.7;1
197808;16.9;1
197809;7.4;1
