# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7068001
# NOM_USUEL= COLOMBIER JEUNE RAD
# LATITUDE (°) = 45.016
# LONGITUDE(°)= 4.671
# ALTITUDE (m) = 566
# NUM_SERIE= MRR107068001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 195610
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;25.6;1
195002;73.5;1
195003;46;1
195004;41.3;1
195005;84.2;1
195006;36.4;1
195007;20.6;1
195008;76.4;1
195009;133.7;1
195010;43.9;1
195011;124.2;1
195012;28.8;1
195101;53.2;1
195102;179;1
195103;84.9;1
195104;9.4;1
195105;211;1
195106;83.5;1
195107;32;1
195108;144.1;1
195109;63.1;1
195110;113.6;1
195111;383.9;1
195112;0;1
195201;47.9;1
195202;12.1;1
195203;30.3;1
195204;43.9;1
195205;85.3;1
195206;60.5;1
195207;54.9;1
195208;58.4;1
195209;71.5;1
195210;64.2;1
195211;99.5;1
195212;61.4;1
195301;0;1
195302;4.4;1
195303;0;1
195304;42.2;1
195305;15.4;1
195306;133.3;1
195307;12.4;1
195308;45.4;1
195309;161.6;1
195310;166.6;1
195311;7.4;1
195312;5.5;1
195401;32.2;1
195402;54.7;1
195403;71.3;1
195404;43.5;1
195405;96.7;1
195406;60.3;1
195407;23.7;1
195408;176.9;1
195409;30.4;1
195410;54.4;1
195411;80.3;1
195412;162;1
195501;120.7;1
195502;104;1
195503;30.1;1
195504;2.9;1
195505;44.1;1
195506;184.9;1
195507;71.2;1
195508;39.1;1
195509;3.2;1
195510;90.5;1
195511;167.9;1
195512;37.6;1
195601;57;1
195602;21.6;1
195603;112.8;1
195604;80.9;1
195605;57.3;1
195606;18;1
195607;59.7;1
195608;63;1
195609;172.1;1
195610;29.9;1
195611;21.1;1
195612;71.8;1
195701;19.9;1
195702;65.8;1
195703;53.4;1
195704;93.1;1
195705;27.3;1
195706;137.2;1
195707;21.2;1
195708;56.8;1
195709;22.7;1
195710;17.7;1
195711;139.9;1
195712;119.7;1
195801;29.6;1
195802;38.1;1
195803;35.9;1
195804;47.5;1
195805;63.7;1
195806;93.6;1
195807;85.1;1
195808;134.6;1
195809;174.7;1
195810;89.6;1
195811;58.7;1
195812;182.7;1
195901;30.9;1
195902;24.7;1
195903;138.7;1
195904;108.7;1
195905;76.4;1
195906;111.1;1
195907;45.1;1
195908;56.8;1
195909;105.5;1
195910;94.4;1
195911;164;1
195912;68.5;1
196001;88.7;1
196002;93;1
196003;126.7;1
196004;23.8;1
196005;75.4;1
196006;126.3;1
196007;106;1
196008;72.8;1
196009;212.3;1
196010;263.7;1
196011;127.8;1
196012;38.6;1
196101;83.1;1
196102;27.5;1
196103;0.7;1
196104;83.1;1
196105;156.7;1
196106;52.7;1
196107;32.4;1
196108;44.9;1
196109;29.7;1
196110;136;1
196111;84.6;1
196112;57.6;1
196201;34.9;1
196202;46.9;1
196203;26.4;1
196204;55.4;1
196205;44.9;1
196206;25.5;1
196207;16.9;1
196208;40.2;1
196209;97.1;1
196210;28.5;1
196211;80.4;1
196212;66;1
196301;48;1
196302;61.8;1
196303;43.4;1
196304;73.8;1
196305;29.7;1
196306;145.6;1
196307;83.1;1
196308;282.7;1
196309;49.3;1
196310;41.7;1
196311;267.6;1
196312;58.9;1
196401;28.4;1
196402;67.2;1
196403;122.5;1
196404;110.2;1
196405;58.4;1
196406;86.9;1
196407;43.1;1
196408;126.4;1
196409;49.8;1
196410;75.7;1
196411;22.8;1
196412;34.2;1
196501;50.9;1
196502;6.5;1
196503;69.1;1
196504;34.4;1
196505;52.7;1
196506;48.2;1
196507;74.2;1
196508;58.1;1
196509;305.7;1
196510;38.2;1
196511;102.7;1
196512;47.7;1
196601;31.8;1
196602;106.6;1
196603;25.7;1
196604;60;1
196605;56.2;1
196606;45.4;1
196607;46.2;1
196608;29.6;1
196609;16.7;1
196610;203.7;1
196611;171;1
196612;49.3;1
196701;28.3;1
196702;62.5;1
196703;54.8;1
196704;25.9;1
196705;147.8;1
196706;86;1
196707;55.2;1
196708;96.4;1
196709;112.3;1
196710;17.2;1
196711;253;1
196712;16;1
196801;40.6;1
196802;121;1
196803;41.7;1
196804;59.5;1
196805;167.6;1
196806;54;1
196807;40;1
196808;122.7;1
196809;104.2;1
196810;128;1
196811;76.6;1
196812;64.9;1
196901;95.4;1
196902;45.4;1
196903;52.2;1
196904;82.3;1
196905;103.2;1
196906;173.1;1
196907;31.1;1
196908;54.2;1
196909;91.5;1
196910;15.9;1
196911;71;1
196912;23.4;1
197001;92;1
197002;47.6;1
197003;79.3;1
197004;54.8;1
197005;96.2;1
197006;49.6;1
197007;36.6;1
197008;67.8;1
197009;52;1
197010;279.9;1
197011;113.9;1
197012;66;1
197101;67;1
197102;20.4;1
197103;121.2;1
197104;133.4;1
197105;81.4;1
197106;97.4;1
197107;51.8;1
197108;46.7;1
197109;31;1
197110;25.8;1
197111;110.8;1
197112;45;1
197201;85.4;1
197202;178;1
197203;78.2;1
197204;24.1;1
197205;60.7;1
197206;112.3;1
197207;23.8;1
197208;69.1;1
197209;42.4;1
197210;182.4;1
197211;30.8;1
197212;135.1;1
197301;72.5;1
197302;24.5;1
197303;20.2;1
197304;49.4;1
197305;82.8;1
197306;111.2;1
197307;89.2;1
197308;22.9;1
197309;84.6;1
197310;92.9;1
197311;18.6;1
197312;60.7;1
197401;63.3;1
197402;147.1;1
197403;69;1
197404;39.2;1
197405;84.5;1
197406;70;1
197407;24.7;1
197408;52.1;1
197409;216.5;1
197410;27.2;1
197411;82;1
197412;19.6;1
197501;88.6;1
197502;122.1;1
197503;94.8;1
197504;16.2;1
197505;112.5;1
197506;41.8;1
