# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7119001
# NOM_USUEL= LAC ISSARLES
# LATITUDE (°) = 44.822
# LONGITUDE(°)= 4.078
# ALTITUDE (m) = 1056
# NUM_SERIE= MRR107119001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195201 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;74.6;1
195202;54.5;1
195203;55.6;1
195204;49;1
195205;103.7;1
195206;70;1
195207;39.1;1
195208;96.2;1
195209;35.5;1
195210;91.6;1
195211;104.2;1
195212;83;1
195301;21;1
195302;29.2;1
195303;10.5;1
195304;50.9;1
195305;54.3;1
195306;100.6;1
195307;31.6;1
195308;25.4;1
195309;179.6;1
195310;173.5;1
195311;44.3;1
195312;157.7;1
195401;58.4;1
195402;110.4;1
195403;101.5;1
195404;79;1
195405;78.1;1
195406;59.9;1
195407;74.5;1
195408;173.6;1
195409;82.2;1
195410;34.9;1
195411;96.5;1
195412;73.5;1
195501;272.3;1
195502;136.8;1
195503;62.4;1
195504;5.7;1
195505;73.2;1
195506;147.8;1
195507;156.6;1
195508;35.1;1
195509;55.9;1
195510;115.5;1
195511;115.8;1
195512;82.7;1
195601;66.4;1
195602;77.5;1
195603;344.3;1
195604;87.3;1
195605;113.2;1
195606;47.7;1
195607;86.3;1
195608;75.1;1
195609;221.8;1
195610;70.4;1
195611;49.9;1
195612;71.4;1
195701;51.3;1
195702;103.9;1
195703;84.5;1
195704;140.5;1
195705;56.1;1
195706;166.5;1
195707;29.2;1
195708;37.2;1
195709;44.8;1
195710;10.3;1
195711;153.9;1
195712;369.5;1
195801;35.3;1
195802;48.7;1
195803;85.3;1
195804;81.6;1
195805;58.1;1
195806;86.1;1
195807;87.9;1
195808;71.2;1
195809;182.9;1
195810;104.6;1
195811;95.4;1
195812;207.8;1
195901;43.9;1
195902;62.3;1
195903;159.3;1
195904;111.8;1
195905;119.3;1
195906;52.3;1
195907;86.3;1
195908;84.9;1
195909;82.8;1
195910;67.5;1
195911;178.5;1
195912;228.6;1
196001;130.5;1
196002;67.4;1
196003;246.5;1
196004;30.8;1
196005;78.3;1
196006;79.2;1
196007;94.2;1
196008;75.8;1
196009;133.6;1
196010;378.7;1
196011;117;1
196012;64.3;1
196101;67.2;1
196102;28.8;1
196103;3.5;1
196104;101.4;1
196105;168.7;1
196106;81;1
196107;31.8;1
196108;28.1;1
196109;91.3;1
196110;174.2;1
196111;167.5;1
196112;48;1
196201;46.7;1
196202;71.5;1
196203;32.8;1
196204;128.5;1
196205;72.7;1
196206;64.8;1
196207;18;1
196208;86.7;1
196209;53.6;1
196210;48.3;1
196211;229.5;1
196212;84.6;1
196301;93.4;1
196302;53.8;1
196303;66.5;1
196304;134.4;1
196305;90.1;1
196306;250.8;1
196307;93.1;1
196308;143.3;1
196309;83.4;1
196310;127.6;1
196311;165.1;1
196312;98.6;1
196401;40.2;1
196402;174.8;1
196403;121.5;1
196404;191;1
196405;117.9;1
196406;60.8;1
196407;27.7;1
196408;163.2;1
196409;65.4;1
196410;79.6;1
196411;49.9;1
196412;51.3;1
196501;95.4;1
196502;32;1
196503;72.7;1
196504;61.4;1
196505;77.8;1
196506;47.6;1
196507;131.9;1
196508;19.7;1
196509;326.1;1
196510;85.9;1
196511;113.8;1
196512;63.4;1
196601;48.4;1
196602;148.2;1
196603;39.2;1
196604;71.9;1
196605;108.6;1
196606;64.9;1
196607;48.2;1
196608;22.9;1
196609;37.5;1
196610;221.8;1
196611;204.8;1
196612;54.7;1
196701;47.6;1
196702;68;1
196703;97.1;1
196704;72.8;1
196705;130.3;1
196706;78.8;1
196707;68.3;1
196708;38.1;1
196709;113.8;1
196710;19.9;1
196711;151.5;1
196712;40;1
196801;79;1
196802;123.4;1
196803;16.5;1
196804;114.7;1
196805;186;1
196806;60.8;1
196807;69.1;1
196808;124.4;1
196809;114;1
