# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7129001
# NOM_USUEL= LAMASTRE
# LATITUDE (°) = 44.991
# LONGITUDE(°)= 4.59
# ALTITUDE (m) = 367
# NUM_SERIE= MRR107129001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 195612
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;34.5;1
195002;149.1;1
195003;53.9;1
195004;31.3;1
195005;133.8;1
195006;40;1
195007;37.2;1
195008;90.5;1
195009;121.4;1
195010;71.7;1
195011;167.2;1
195012;41.5;1
195101;77.1;1
195102;207.4;1
195103;116.5;1
195104;6.5;1
195105;201.4;1
195106;73.6;1
195107;19.6;1
195108;116.4;1
195109;83.6;1
195110;149.7;1
195111;307.5;1
195112;23.5;1
195201;32.4;1
195202;3.1;1
195203;28.2;1
195204;42.3;1
195205;122.4;1
195206;48;1
195207;9.7;1
195208;53.8;1
195209;77.1;1
195210;62;1
195211;80.6;1
195212;49.9;1
195301;2.2;1
195302;0;1
195303;3.8;1
195304;10.2;1
195305;8;1
195306;70.6;1
195307;71.1;1
195308;26.9;1
195309;185.3;1
195310;173.4;1
195311;13.5;1
195312;21;1
195401;5.5;1
195402;48.3;1
195403;60.2;1
195404;47;1
195405;85.4;1
195406;80.3;1
195407;35;1
195408;101.5;1
195409;36.5;1
195410;52.3;1
195411;101.6;1
195412;172.5;1
195501;172.1;1
195502;145.7;1
195503;50.7;1
195504;0;1
195505;62.1;1
195506;175.8;1
195507;58.1;1
195508;13.3;1
195509;3.8;1
195510;124.9;1
195511;186.1;1
195512;36;1
195601;76.8;1
195602;18.7;1
195603;199.5;1
195604;99.1;1
195605;67.1;1
195606;14.3;1
195607;63.3;1
195608;54.8;1
195609;202.3;1
195610;62.4;1
195611;8.7;1
195612;85.5;1
195701;9.9;1
195702;94.7;1
195703;65.9;1
195704;115.4;1
195705;11.2;1
195706;193.7;1
195707;14.1;1
195708;80.9;1
195709;30.1;1
195710;20.8;1
195711;128.5;1
195712;226.7;1
195801;18.2;1
195802;39.9;1
195803;42;1
195804;43.3;1
195805;46.4;1
195806;75.7;1
195807;60.4;1
195808;143.4;1
195809;188.6;1
195810;95.2;1
195811;31.6;1
195812;228.5;1
195901;27.5;1
195902;32.6;1
195903;158.2;1
195904;131.1;1
195905;56.6;1
195906;63;1
195907;43.6;1
195908;72;1
195909;86;1
195910;90.2;1
195911;219.3;1
195912;97.6;1
196001;139;1
196002;101.3;1
196003;152.9;1
196004;14.9;1
196005;74.4;1
