# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7153001
# NOM_USUEL= MAYRES
# LATITUDE (°) = 44.667
# LONGITUDE(°)= 4.113
# ALTITUDE (m) = 579
# NUM_SERIE= MRR107153001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195501 202112
# Date(s) de rupture(s) d'homogénéité : 197312 201307 201912
#     Periode homogénéisée  195501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;701.8;1
195502;223.4;1
195503;119.2;1
195504;0;1
195505;64.1;1
195506;192;1
195507;81.8;1
195508;26.9;1
195509;44.2;1
195510;314.3;1
195511;362.2;1
195512;138.3;1
195601;118.2;1
195602;35.9;1
195603;656.2;1
195604;171.8;1
195605;81.9;1
195606;13.4;1
195607;43;1
195608;48;1
195609;313.8;1
195610;57.1;1
195611;18.7;1
195612;144.6;1
195701;1.7;1
195702;159.1;1
195703;149.7;1
195704;202.1;1
195705;84.6;1
195706;314.3;1
195707;5.8;1
195708;30.6;1
195709;108.5;1
195710;22.1;1
195711;235.6;1
195712;472.9;1
195801;37;1
195802;69;1
195803;140;1
195804;115;1
195805;28.5;1
195806;84.3;1
195807;65.2;1
195808;150.5;1
195809;336;1
195810;192.7;1
195811;62.9;1
195812;468.8;1
195901;104.9;1
195902;87.1;1
195903;379.1;1
195904;194.4;1
195905;126;1
195906;39.1;1
195907;7.6;1
195908;64.9;1
195909;106.4;1
195910;134.4;1
195911;396.7;1
195912;462.5;1
196001;371;1
196002;139.6;1
196003;467.3;1
196004;28.1;1
196005;96.3;1
196006;77.9;1
196007;62.8;1
196008;90.1;1
196009;236.7;1
196010;1046.6;1
196011;266.5;1
196012;73.5;1
196101;117.7;1
196102;25.7;1
196103;0;1
196104;95.2;1
196105;289.1;1
196106;108.6;1
196107;37.9;1
196108;12.9;1
196109;144.3;1
196110;614.7;1
196111;463.9;1
196112;129.7;1
196201;171.9;1
196202;97.3;1
196203;98;1
196204;239.1;1
196205;30.7;1
196206;34.3;1
196207;4.7;1
196208;48.3;1
196209;68.5;1
196210;114.4;1
196211;331.2;1
196212;97.3;1
196301;258.2;1
196302;128.3;1
196303;48.7;1
196304;279.9;1
196305;68.6;1
196306;411.4;1
196307;169.5;1
196308;314.1;1
196309;153.2;1
196310;321.3;1
196311;557.9;1
196312;196.4;1
196401;163.9;1
196402;515.8;1
196403;162.1;1
196404;233.7;1
196405;201;1
