# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7161001
# NOM_USUEL= MONTPEZAT SA
# LATITUDE (°) = 44.716
# LONGITUDE(°)= 4.207
# ALTITUDE (m) = 602
# NUM_SERIE= MRR107161001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;60;1
195002;200;1
195003;70;1
195004;25;1
195005;157;1
195006;50;1
195007;20;1
195008;80;1
195009;110;1
195010;100;1
195011;190;1
195012;35.1;1
195101;173.5;1
195102;223.5;1
195103;173.5;1
195104;21.5;1
195105;318;1
195106;70;1
195107;18;1
195108;126;1
195109;127;1
195110;285;1
195111;961;1
195112;43;1
195201;75.6;1
195202;31.8;1
195203;167.8;1
195204;40;1
195205;235;1
195206;22;1
195207;8.5;1
195208;62;1
195209;111.4;1
195210;156.7;1
195211;148.2;1
195212;48.6;1
195301;2.5;1
195302;16.8;1
195303;3.7;1
195304;75.9;1
195305;57.7;1
195306;142.8;1
195307;37.1;1
195308;22;1
195309;266.1;1
195310;450.1;1
195311;102;1
195312;330.6;1
195401;24.7;1
195402;84.7;1
195403;202.5;1
195404;48.5;1
195405;157.7;1
195406;89.1;1
195407;81.2;1
195408;111.8;1
195409;25.9;1
195410;50.7;1
195411;327.8;1
195412;119.3;1
195501;501.4;1
195502;186.6;1
195503;78.4;1
195504;0;1
195505;69.4;1
195506;179;1
195507;65.7;1
195508;25.7;1
195509;40.4;1
195510;335.2;1
195511;290.6;1
195512;98.7;1
195601;134.5;1
195602;77;1
195603;423.6;1
195604;133.1;1
195605;65.5;1
195606;33.2;1
195607;33.5;1
195608;41.8;1
195609;368.3;1
195610;85.3;1
195611;14.4;1
195612;156.6;1
195701;11.5;1
195702;203.2;1
195703;110.2;1
195704;167.1;1
195705;64.8;1
195706;366.4;1
195707;1.4;1
195708;46.1;1
195709;136.6;1
195710;29.1;1
195711;208.7;1
195712;435.6;1
195801;47.5;1
195802;68.2;1
195803;93.9;1
195804;97.3;1
195805;36.2;1
195806;99.8;1
195807;43.8;1
195808;111.5;1
195809;319.3;1
195810;195.3;1
195811;47.7;1
195812;405.5;1
195901;93;1
195902;56.8;1
195903;326.9;1
195904;219.6;1
195905;83.5;1
195906;27.1;1
195907;45.1;1
195908;116.3;1
195909;98.4;1
195910;119.2;1
195911;290.1;1
195912;371;1
196001;351;1
196002;189.7;1
196003;346.8;1
196004;21.8;1
196005;69.9;1
196006;68.8;1
196007;66.6;1
196008;97.5;1
196009;254.5;1
196010;895.4;1
196011;247.6;1
196012;67.4;1
196101;98;1
196102;37.7;1
196103;0;1
196104;105.1;1
196105;192.8;1
196106;109.5;1
196107;44.1;1
196108;12.4;1
196109;98.8;1
196110;396.3;1
196111;380.6;1
196112;105.9;1
196201;125.2;1
196202;94.8;1
196203;95.4;1
196204;146.8;1
196205;20.8;1
196206;61.8;1
196207;4.8;1
196208;43.6;1
196209;52.5;1
196210;74;1
196211;215.3;1
196212;121.2;1
196301;209;1
196302;105.4;1
196303;58.2;1
196304;182.7;1
196305;51.3;1
196306;431.1;1
196307;104.2;1
196308;369;1
196309;136;1
196310;225.1;1
196311;611;1
196312;154.8;1
196401;143.1;1
196402;410.1;1
196403;188.8;1
196404;182;1
196405;139.1;1
196406;54.6;1
196407;35;1
196408;87.6;1
196409;96.6;1
196410;120.2;1
196411;63.5;1
196412;79.6;1
196501;145.9;1
196502;11.7;1
196503;111.7;1
196504;12.9;1
196505;47.7;1
196506;54.2;1
196507;86.9;1
196508;37.9;1
196509;512.9;1
196510;178.5;1
196511;217.2;1
196512;131.9;1
196601;80.3;1
196602;237.9;1
196603;10.6;1
196604;115.9;1
196605;84.7;1
196606;106.8;1
196607;35;1
196608;19.1;1
196609;52.4;1
196610;352.4;1
196611;239;1
196612;47.1;1
196701;119.1;1
196702;154.1;1
196703;246.1;1
196704;103.9;1
196705;179.1;1
196706;57.8;1
196707;20;1
196708;119.9;1
196709;130.8;1
196710;38.3;1
196711;323.6;1
196712;13.2;1
196801;42.4;1
196802;210.9;1
196803;31.3;1
196804;165.2;1
196805;146.8;1
196806;54.6;1
196807;23.2;1
196808;164.6;1
196809;151;1
196810;191.5;1
196811;160.8;1
196812;88.4;1
196901;232.2;1
196902;187.1;1
196903;173.1;1
196904;133.3;1
196905;153.6;1
196906;80.8;1
196907;31.3;1
196908;34.1;1
196909;262.9;1
196910;113.1;1
196911;236.4;1
196912;73.3;1
197001;384.9;1
197002;40.7;1
197003;121.2;1
197004;45;1
197005;146.9;1
197006;60.4;1
197007;11.6;1
197008;23.8;1
197009;101.8;1
197010;556.5;1
197011;202.1;1
197012;60.5;1
197101;169.2;1
197102;29.6;1
197103;150.2;1
197104;294.1;1
197105;158.7;1
197106;177.2;1
197107;70.8;1
197108;101.2;1
197109;40.3;1
197110;20.7;1
197111;69.3;1
197112;148.6;1
197201;350;1
197202;400;1
197203;128.5;1
197204;23.7;1
197205;82.8;1
197206;162.5;1
197207;20.2;1
197208;55.4;1
197209;68.2;1
197210;362.2;1
197211;36.4;1
197212;370;1
197301;229;1
197302;38.1;1
197303;23.6;1
197304;49.2;1
197305;79;1
197306;77.1;1
197307;83.5;1
197308;29.7;1
197309;253.6;1
197310;178.2;1
197311;183.2;1
197312;415.7;1
197401;238.3;1
197402;165;1
197403;110.8;1
197404;95.5;1
197405;143.7;1
197406;109.7;1
197407;37.3;1
197408;77.1;1
197409;139.5;1
197410;37.4;1
197411;266.9;1
197412;55.7;1
197501;200.3;1
197502;238.8;1
197503;213.4;1
197504;14.3;1
197505;132.6;1
197506;98;1
197507;67.4;1
197508;80.2;1
197509;209.7;1
197510;32.7;1
197511;49.2;1
197512;108.1;1
197601;68.5;1
197602;197.6;1
197603;25.7;1
197604;114.9;1
197605;36.8;1
197606;2.7;1
197607;27;1
197608;333.2;1
197609;394.6;1
197610;456.3;1
197611;405.7;1
197612;252.2;1
197701;422.9;1
197702;230.4;1
197703;110.5;1
197704;16.3;1
197705;242.8;1
197706;172.8;1
197707;135.7;1
197708;165.1;1
197709;32.5;1
197710;664.7;1
197711;76.2;1
197712;275.5;1
197801;225.1;1
197802;185;1
197803;164.9;1
197804;244.3;1
197805;145.3;1
197806;29.5;1
197807;27.8;1
197808;48.9;1
197809;39.1;1
197810;3.2;1
197811;5.6;1
197812;307.3;1
197901;223.7;1
197902;97.1;1
197903;236.2;1
197904;102.3;1
197905;120.2;1
197906;26.7;1
197907;31.6;1
197908;52.1;1
197909;12.7;1
197910;841;1
197911;18.5;1
197912;107.9;1
198001;55.4;1
198002;33.4;1
198003;93.1;1
198004;68.7;1
198005;107.5;1
198006;20.6;1
198007;44;1
198008;68.1;1
198009;167.9;1
198010;145.9;1
198011;82.7;1
198012;28.9;1
198101;49.5;1
198102;40.8;1
198103;156.5;1
198104;26.9;1
198105;209.6;1
198106;150.4;1
198107;83.9;1
198108;7.8;1
198109;287.7;1
198110;91.8;1
198111;14.7;1
198112;372.4;1
198201;43.3;1
198202;44.5;1
198203;69.2;1
198204;45;1
198205;29.8;1
198206;56.2;1
198207;59.4;1
198208;69.6;1
198209;153.2;1
198210;136.2;1
198211;605.5;1
198212;62.8;1
198301;2.5;1
198302;82.8;1
198303;61;1
198304;451.9;1
198305;255.8;1
198306;92.1;1
198307;31.7;1
198308;87.9;1
198309;80.5;1
198310;101.3;1
198311;13.7;1
198312;240.9;1
198401;107.6;1
198402;37.4;1
198403;167.2;1
198404;6.8;1
198405;378.5;1
198406;60.8;1
198407;36.5;1
198408;93.7;1
198409;91.5;1
198410;373.1;1
198411;480.4;1
198412;101.9;1
198501;97.3;1
198502;18.6;1
198503;72;1
198504;96.1;1
198505;107.1;1
198506;77.6;1
198507;38.2;1
198508;40.8;1
198509;3.5;1
198510;18.9;1
198511;24.4;1
198512;213;1
198601;191.4;1
198602;148.1;1
198603;22.6;1
198604;351.7;1
198605;117.8;1
198606;15.1;1
198607;20.2;1
198608;27.8;1
198609;185;1
198610;123.2;1
198611;366.3;1
198612;86.2;1
198701;66;1
198702;194.7;1
198703;27.9;1
198704;285.3;1
198705;51.2;1
198706;62.2;1
