# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7232001
# NOM_USUEL= ST-ETIENNE LUGDARES
# LATITUDE (°) = 44.651
# LONGITUDE(°)= 3.949
# ALTITUDE (m) = 1022
# NUM_SERIE= MRR107232001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : 196310
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;86.4;1
195102;125.2;1
195103;58.8;1
195104;14.5;1
195105;313.4;1
195106;48.4;1
195107;7.1;1
195108;97.2;1
195109;51.8;1
195110;171.4;1
195111;468.6;1
195112;21.9;1
195201;68.1;1
195202;66.9;1
195203;67.1;1
195204;47.3;1
195205;158;1
195206;113.3;1
195207;34.8;1
195208;89.3;1
195209;47;1
195210;116.1;1
195211;125.3;1
195212;62.5;1
195301;6.3;1
195302;13;1
195303;40.1;1
195304;52.6;1
195305;86;1
195306;140.9;1
195307;19.5;1
195308;39.9;1
195309;275.1;1
195310;235.4;1
195311;61.2;1
195312;217.8;1
195401;38.7;1
195402;152.4;1
195403;111.6;1
195404;54.7;1
195405;72.3;1
195406;108.2;1
195407;76.1;1
195408;176.5;1
195409;60.1;1
195410;38.9;1
195411;176;1
195412;44.5;1
195501;299.2;1
195502;137.3;1
195503;75;1
195504;3.2;1
195505;75.3;1
195506;148.2;1
195507;138.7;1
195508;55.6;1
195509;71;1
195510;147.6;1
195511;124.7;1
195512;157.7;1
195601;107.5;1
195602;74.7;1
195603;371.2;1
195604;127.5;1
195605;165.1;1
195606;40.6;1
195607;88.1;1
195608;92.4;1
195609;256.6;1
195610;82.3;1
195611;53;1
195612;76.2;1
195701;39.9;1
195702;121;1
195703;93.8;1
195704;194.3;1
195705;95;1
195706;208.9;1
195707;11.8;1
195708;58.5;1
195709;75;1
195710;16.6;1
195711;157.3;1
195712;247.8;1
195801;48.3;1
195802;80.6;1
195803;83.4;1
195804;105.6;1
195805;63.6;1
195806;95.9;1
195807;109.7;1
195808;103.6;1
195809;317.1;1
195810;115.4;1
195811;99.7;1
195812;258;1
195901;81.1;1
195902;71.3;1
195903;205.3;1
195904;136.3;1
195905;160.6;1
195906;128.5;1
195907;47.1;1
195908;75.6;1
195909;115.1;1
195910;102.3;1
195911;193.7;1
195912;240.3;1
196001;209.4;1
196002;50;1
196003;286.2;1
196004;31.3;1
196005;82;1
196006;124.4;1
196007;62.4;1
196008;87.3;1
196009;230.3;1
196010;575.6;1
196011;161.4;1
196012;85.8;1
196101;59.7;1
196102;28.1;1
196103;0;1
196104;111.1;1
196105;204.2;1
196106;113.3;1
196107;62.1;1
196108;29.1;1
196109;112.7;1
196110;284.1;1
196111;276.4;1
196112;55.1;1
196201;73;1
196202;71.5;1
196203;31.5;1
196204;174.3;1
196205;89.4;1
196206;16.4;1
196207;19.3;1
196208;28.4;1
196209;95.3;1
196210;76.1;1
196211;262.9;1
196212;96.7;1
196301;125.8;1
196302;72.9;1
196303;82.5;1
196304;169.2;1
196305;84.4;1
196306;295.1;1
196307;143.2;1
196308;184.5;1
196309;209.8;1
196310;202.8;1
196311;285.3;1
196312;159.6;1
196401;91;1
196402;271.1;1
196403;151.8;1
196404;241.3;1
196405;229.5;1
196406;106.5;1
196407;70.9;1
196408;100.6;1
196409;86.7;1
196410;115.1;1
196411;62.7;1
196412;75.7;1
196501;133.5;1
196502;24.6;1
196503;97.2;1
196504;49;1
196505;81.6;1
196506;53.5;1
196507;108.3;1
196508;24;1
196509;353.4;1
196510;118;1
196511;157.7;1
196512;83.1;1
196601;68.3;1
196602;164.1;1
196603;21.1;1
196604;116.7;1
196605;93.6;1
196606;82.1;1
196607;39.8;1
196608;20.1;1
196609;61.8;1
196610;264.3;1
196611;199.8;1
196612;51;1
196701;69.3;1
196702;124.2;1
196703;128.7;1
196704;67.5;1
196705;106.7;1
196706;97.1;1
196707;49;1
196708;26.3;1
196709;95.6;1
196710;28.1;1
196711;216.5;1
196712;36.3;1
196801;66.9;1
196802;169.1;1
196803;20.6;1
196804;128.6;1
196805;174.7;1
196806;65.5;1
196807;45.3;1
196808;122.8;1
196809;121.1;1
196810;165.4;1
196811;243;1
196812;95.7;1
196901;138;1
196902;139.5;1
196903;155.5;1
196904;139.2;1
196905;225.4;1
196906;113.7;1
196907;61.1;1
196908;52.1;1
196909;196.9;1
196910;136.1;1
196911;204.2;1
196912;76.6;1
197001;255;1
197002;39.7;1
197003;81.7;1
197004;37.5;1
197005;135.4;1
197006;112;1
197007;45.9;1
197008;52.4;1
197009;15;1
197010;294.8;1
197011;122.1;1
197012;76.6;1
197101;224.9;1
197102;23;1
197103;112.2;1
197104;306.5;1
197105;142.5;1
197106;145.7;1
197107;99.4;1
197108;66.2;1
197109;34.2;1
197110;25;1
197111;74.8;1
197112;123.1;1
197201;269.7;1
197202;255.6;1
197203;130.9;1
197204;49.6;1
197205;84.5;1
197206;169.6;1
197207;19.9;1
197208;65.7;1
197209;62.7;1
197210;218.4;1
197211;48.7;1
197212;261.1;1
197301;141.3;1
197302;59.1;1
197303;27.1;1
197304;84.5;1
197305;90.6;1
197306;88.2;1
197307;88;1
197308;76.3;1
197309;46.9;1
197310;208.5;1
197311;141.2;1
197312;388.6;1
197401;199.7;1
197402;177;1
197403;173.9;1
197404;110.4;1
197405;98.6;1
197406;71.5;1
197407;67.2;1
197408;84.6;1
197409;105.5;1
197410;57.1;1
197411;146.2;1
197412;29.8;1
197501;176.7;1
197502;200.6;1
197503;187.6;1
197504;21.1;1
197505;145;1
197506;49.9;1
197507;71.2;1
197508;132.8;1
197509;261.8;1
197510;42.8;1
197511;75.2;1
197512;96.8;1
197601;45.6;1
197602;150.3;1
197603;19.5;1
197604;109.7;1
197605;47.5;1
197606;5.1;1
197607;28.3;1
197608;216.4;1
197609;236.5;1
197610;579.5;1
197611;297.5;1
197612;280;1
197701;272.9;1
197702;101;1
197703;106;1
197704;39.6;1
197705;278.6;1
197706;189.6;1
197707;229.3;1
197708;102.7;1
197709;24.9;1
197710;458;1
197711;52.4;1
197712;153.5;1
197801;187.4;1
197802;169.6;1
197803;159.4;1
197804;168;1
197805;130.4;1
197806;33.4;1
197807;45.3;1
197808;41.3;1
197809;38.3;1
197810;15.3;1
197811;10.8;1
197812;234;1
197901;151.6;1
197902;76.6;1
197903;182.6;1
197904;106.7;1
197905;133.8;1
197906;90.8;1
197907;29.3;1
197908;88;1
197909;23.5;1
197910;624.5;1
197911;19.2;1
197912;143;1
198001;59.7;1
198002;38.6;1
198003;96.5;1
198004;54.9;1
198005;149.6;1
198006;29.6;1
198007;35;1
198008;67.9;1
198009;657.6;1
198010;166.6;1
198011;100.3;1
198012;40.5;1
198101;71.8;1
198102;31.2;1
198103;202.6;1
198104;51.4;1
198105;210.2;1
198106;132;1
198107;76.5;1
198108;29.2;1
198109;338.2;1
198110;111;1
198111;14.3;1
198112;226.1;1
198201;85.3;1
198202;40.8;1
198203;78.5;1
198204;62.6;1
198205;37.8;1
198206;73.7;1
198207;130.7;1
198208;80.9;1
198209;137;1
198210;98.6;1
198211;376.2;1
198212;73;1
198301;9.9;1
198302;96.8;1
198303;67.6;1
198304;395.6;1
198305;159.8;1
198306;81.6;1
198307;4.6;1
198308;58.6;1
198309;44.4;1
198310;66.7;1
198311;19.9;1
198312;152.3;1
198401;79.7;1
198402;47.6;1
198403;112.3;1
198404;6.3;1
198405;364.5;1
198406;80.7;1
198407;26.7;1
198408;136;1
198409;103.3;1
198410;193.4;1
198411;435.8;1
198412;104.4;1
198501;72.9;1
198502;20;1
198503;70.5;1
198504;89.4;1
198505;176.4;1
198506;90.9;1
198507;20.1;1
198508;46;1
198509;12.8;1
198510;28.4;1
198511;31;1
198512;147.7;1
198601;137.3;1
198602;127.6;1
198603;30.3;1
198604;361.1;1
198605;121.2;1
198606;30;1
198607;18.5;1
198608;54.9;1
198609;135.4;1
198610;120.9;1
198611;237.1;1
198612;128.9;1
198701;88;1
198702;152.5;1
198703;43.1;1
198704;189.2;1
198705;44.9;1
198706;61.9;1
198707;102.2;1
198708;61.2;1
198709;17.7;1
198710;460.8;1
198711;100.1;1
198712;97.7;1
198801;378.7;1
198802;63.5;1
198803;85.9;1
198804;134.8;1
198805;283.1;1
198806;146.5;1
198807;102.2;1
198808;78;1
198809;32.7;1
198810;242.4;1
198811;26.3;1
198812;48.3;1
198901;28.7;1
198902;56.1;1
198903;20.2;1
198904;297.6;1
198905;64.7;1
198906;59.8;1
198907;8.3;1
198908;40.5;1
198909;68.4;1
198910;63.2;1
198911;180.2;1
198912;45.6;1
199001;138.6;1
199002;47.9;1
199003;29.7;1
199004;58.4;1
199005;152.7;1
199006;105.9;1
199007;12.7;1
199008;31.2;1
199009;17.9;1
199010;289.1;1
199011;75.1;1
199012;73;1
199101;32.1;1
199102;58.8;1
199103;313.2;1
199104;40.9;1
199105;21;1
199106;47.5;1
199107;61.3;1
199108;29;1
199109;146.9;1
199110;143.1;1
199111;68.5;1
199112;35;1
199201;62.9;1
199202;36.4;1
199203;74.5;1
199204;50.1;1
199205;127.1;1
199206;267.8;1
199207;45.1;1
199208;119.3;1
199209;327.8;1
199210;145.3;1
199211;64.5;1
199212;159.9;1
199301;0.5;1
199302;33.8;1
199303;13.9;1
199304;317.6;1
199305;251.7;1
199306;88.5;1
199307;125.1;1
199308;47.2;1
199309;309.2;1
199310;289.6;1
199311;142.4;1
199312;45.7;1
199401;165.1;1
199402;307.4;1
199403;6.2;1
199404;140.6;1
199405;176.4;1
199406;71.5;1
199407;26;1
199408;50.7;1
199409;433.8;1
199410;300.7;1
199411;331.5;1
199412;36;1
199501;132.8;1
199502;71.4;1
199503;17.6;1
199504;166;1
199505;57.2;1
199506;18.1;1
199507;33.4;1
199508;43.5;1
199509;274.7;1
199510;160.5;1
199511;236.4;1
199512;218.4;1
199601;579.6;1
199602;175.8;1
199603;74.5;1
199604;121.7;1
199605;120.5;1
199606;89.8;1
199607;107.7;1
199608;60.7;1
199609;122.6;1
199610;134.4;1
199611;392.9;1
199612;255.6;1
199701;200.2;1
199702;15.3;1
199703;2.8;1
199704;8.8;1
199705;88.7;1
199706;116.4;1
199707;35.3;1
199708;71.6;1
199709;42.1;1
199710;91.2;1
199711;290.5;1
199712;341.2;1
199801;113.4;1
199802;11.2;1
199803;29.7;1
199804;253.7;1
199805;186.5;1
199806;40.4;1
199807;54.7;1
199808;65.4;1
199809;155.9;1
199810;35.1;1
199811;31;1
199812;265.6;1
199901;143.5;1
199902;24.1;1
199903;110;1
199904;69.6;1
199905;432.6;1
199906;57.9;1
199907;38.1;1
199908;112.8;1
199909;197.2;1
199910;207.5;1
199911;142.9;1
199912;57.1;1
200001;20.5;1
200002;39.8;1
200003;47.6;1
200004;248.5;1
200005;125.9;1
200006;106.4;1
200007;77.8;1
200008;65.4;1
200009;306.3;1
200010;168.6;1
200011;226.1;1
200012;296;1
200101;157.8;1
200102;115.8;1
200103;154.1;1
200104;71;1
200105;113.3;1
200106;91.9;1
200107;84.3;1
200108;92.1;1
200109;84.2;1
200110;270.4;1
200111;30.5;1
200112;7.7;1
200201;45.1;1
200202;48.2;1
200203;84;1
200204;37;1
200205;160.6;1
200206;122.3;1
200207;61.4;1
200208;142.7;1
200209;119.6;1
200210;153.1;1
200211;308;1
200212;225.4;1
200301;63.3;1
200302;76.1;1
200303;17.3;1
200304;153.8;1
200305;75.5;1
200306;28.7;1
200307;41;1
200308;49.3;1
200309;105.2;1
200310;111;1
200311;432.5;1
200312;337.9;1
200401;98.2;1
200402;109.1;1
200403;165.4;1
200404;173.6;1
200405;75.5;1
200406;20.9;1
200407;40.5;1
200408;170.4;1
200409;39.4;1
200410;212.8;1
200411;85.1;1
200412;67.5;1
200501;29;1
200502;41.4;1
200503;25;1
200504;110.8;1
200505;73.4;1
200506;46.6;1
200507;7.9;1
200508;55.2;1
200509;250.5;1
200510;204.4;1
200511;169.4;1
200512;58;1
200601;197.1;1
200602;62.9;1
200603;70;1
200604;60.5;1
200605;54.6;1
200606;8.6;1
200607;92.7;1
200608;133.3;1
200609;200.6;1
200610;297.4;1
200611;209;1
200612;74.8;1
200701;43.9;1
200702;47.9;1
200703;25.9;1
200704;105.3;1
200705;200.2;1
200706;98.6;1
200707;47.3;1
200708;59.4;1
200709;47.1;1
200710;47.3;1
200711;194.8;1
200712;29.6;1
200801;278.8;1
200802;68.6;1
200803;66.3;1
200804;233.8;1
200805;313.6;1
200806;101.9;1
200807;45.3;1
200808;79.8;1
200809;96.5;1
200810;234.2;1
200811;489.4;1
200812;217.9;1
200901;57.4;1
200902;225.9;1
200903;42.9;1
200904;185.2;1
200905;43.6;1
200906;39.6;1
200907;26.7;1
200908;68.5;1
200909;78.1;1
200910;144.1;1
200911;78.3;1
200912;107.6;1
201001;73;1
201002;153.9;1
201003;105.1;1
201004;46.7;1
201005;170.1;1
201006;119.8;1
201007;25.8;1
201008;8.3;1
201009;120.6;1
201010;367;1
201011;201.1;1
201012;235.9;1
201101;73.9;1
201102;58.4;1
201103;236.4;1
201104;27.1;1
201105;37.2;1
201106;60.1;1
201107;79.4;1
201108;95.9;1
201109;13.3;1
201110;102.2;1
201111;580.5;1
201112;76.5;1
201201;19.3;1
201202;9;1
201203;36.1;1
201204;230.6;1
201205;174;1
201206;54.8;1
201207;107.4;1
201208;66.5;1
201209;79.6;1
201210;192.5;1
201211;140;1
201212;92.3;1
201301;77.5;1
201302;38.6;1
201303;218;1
201304;210;1
201305;272;1
201306;63.6;1
201307;82.2;1
201308;61.2;1
201309;161.5;1
201310;110.3;1
201311;75.3;1
201312;154.4;1
201401;225.5;1
201402;159.5;1
201403;33.2;1
201404;54.8;1
201405;107.3;1
201406;40.9;1
201407;217.4;1
201408;82.1;1
201409;130.2;1
201410;240.5;1
201411;431.6;1
201412;85.6;1
201501;76.9;1
201502;57.3;1
201503;46.8;1
201504;127.7;1
201505;36.3;1
201506;102.5;1
201507;14;1
201508;74.9;1
201509;168.4;1
201510;123.9;1
201511;95;1
201512;23.8;1
201601;44.7;1
201602;154.5;1
201603;56.8;1
201604;235.1;1
201605;184.5;1
201606;42.6;1
201607;74.6;1
201608;24.9;1
201609;117.5;1
201610;163.4;1
201611;419.5;1
201612;67.2;1
201701;184.5;1
201702;134.1;1
201703;265.7;1
201704;76;1
201705;93.4;1
201706;61.2;1
201707;29.8;1
201708;22.8;1
201709;22.7;1
201710;23.8;1
201711;105.2;1
201712;76.3;1
201801;215.9;1
201802;78.3;1
201803;222.2;1
201804;247.8;1
201805;220.3;1
201806;88.9;1
201807;56.2;1
201808;51.2;1
201809;7.8;1
201810;347.8;1
201811;404.9;1
201812;32.1;1
201901;29.3;1
201902;34;1
201903;48.6;1
201904;230.3;1
201905;67.6;1
201906;94.7;1
201907;61.5;1
201908;39.5;1
201909;26.6;1
201910;454.2;1
201911;355;1
201912;197.7;1
202001;53.5;1
202002;19.8;1
202003;44.8;1
202004;94.9;1
202005;74.1;1
202006;314.8;1
202007;73.4;1
202008;25.6;1
202009;131.8;1
202010;177.2;1
202011;82.5;1
202012;151;1
202101;122.1;1
202102;73.7;1
202103;22.1;1
202104;58.7;1
202105;170.8;1
202106;92.2;1
202107;76.7;1
202108;21.3;1
202109;57.3;1
202110;332.1;1
202111;46;1
202112;34.3;1
202201;25;0
202202;47.3;0
202203;156.5;0
202204;77.3;0
202205;11.7;0
202206;100.4;0
202207;14;0
202208;92.3;0
202209;48.7;0
202210;75.8;0
202211;69.8;0
