# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7261001
# NOM_USUEL= ST-LAURENT PAPE
# LATITUDE (°) = 44.818
# LONGITUDE(°)= 4.747
# ALTITUDE (m) = 112
# NUM_SERIE= MRR107261001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;45;1
195002;93;1
195003;41;1
195004;51;1
195005;88;1
195006;11;1
195007;8.5;1
195008;104.7;1
195009;184.7;1
195010;51.8;1
195011;230.8;1
195012;47.5;1
195101;78.3;1
195102;153.9;1
195103;113.3;1
195104;34.5;1
195105;211.4;1
195106;79.5;1
195107;3.2;1
195108;116.4;1
195109;78.9;1
195110;137;1
195111;257.2;1
195112;31.1;1
195201;33.8;1
195202;16.1;1
195203;53.8;1
195204;43.2;1
195205;61;1
195206;24.6;1
195207;11.9;1
195208;84.5;1
195209;79.6;1
195210;120.9;1
195211;127.4;1
195212;90.5;1
195301;1.5;1
195302;6;1
195303;0;1
195304;39.8;1
195305;27.3;1
195306;111.5;1
195307;28.8;1
195308;42.2;1
195309;304.8;1
195310;137.5;1
195311;12.6;1
195312;17.5;1
195401;24.3;1
195402;57.7;1
195403;64.8;1
195404;38.3;1
195405;88.4;1
195406;70.2;1
195407;30.4;1
195408;154.5;1
195409;41.2;1
195410;88;1
195411;105.9;1
195412;182.1;1
195501;132.5;1
195502;99.5;1
195503;39.3;1
195504;0.4;1
195505;71.6;1
195506;126.8;1
195507;55.2;1
195508;43.1;1
195509;4.7;1
195510;162.1;1
195511;165;1
195512;60;1
195601;72;1
195602;10.5;1
195603;172.2;1
195604;98.2;1
195605;70;1
195606;43.9;1
195607;39.8;1
195608;72.9;1
195609;216.4;1
195610;44;1
195611;14.9;1
195612;29.2;1
195701;48.9;1
195702;116.2;1
195703;37.5;1
195704;125.5;1
195705;24.6;1
195706;163.5;1
195707;12.8;1
195708;58.9;1
195709;21.6;1
195710;19.8;1
195711;115.6;1
195712;129.4;1
195801;18.7;1
195802;30.1;1
195803;35.5;1
195804;75.6;1
195805;56.4;1
195806;84.2;1
195807;27;1
195808;163.6;1
195809;211.5;1
195810;106.8;1
195811;35.2;1
195812;231.6;1
195901;16.7;1
195902;21.2;1
195903;163.6;1
195904;100.2;1
195905;116.3;1
195906;37.4;1
195907;10.3;1
195908;50.3;1
195909;56.6;1
195910;169.1;1
195911;207.9;1
195912;87.9;1
196001;138.8;1
196002;83.2;1
196003;141.6;1
196004;15.1;1
196005;22.3;1
196006;61.9;1
196007;88.9;1
196008;92.8;1
196009;426.3;1
196010;205.3;1
196011;178.7;1
196012;53.7;1
196101;87.2;1
196102;31.2;1
196103;0;1
196104;107.8;1
196105;87;1
196106;67.3;1
196107;27.3;1
196108;0;1
196109;12;1
196110;117.6;1
196111;143.8;1
196112;81.2;1
196201;43.6;1
196202;80.3;1
196203;32.3;1
196204;62.8;1
196205;20;1
196206;21.7;1
196207;3.2;1
196208;37.4;1
196209;93;1
196210;35;1
196211;80.1;1
196212;59.2;1
196301;62.7;1
196302;63;1
196303;54.1;1
196304;76.1;1
196305;57.7;1
196306;161.4;1
196307;86.6;1
196308;138.3;1
196309;88.8;1
196310;38.6;1
196311;231.6;1
196312;84.4;1
196401;23.6;1
196402;116;1
196403;144.1;1
196404;113.4;1
196405;65.4;1
196406;35.9;1
196407;5.8;1
196408;76.6;1
196409;85.1;1
196410;115.4;1
196411;22.7;1
196412;62.6;1
196501;61.5;1
196502;0.4;1
196503;89;1
196504;15.5;1
196505;27.6;1
196506;45.5;1
196507;33.1;1
196508;118.4;1
196509;323.6;1
196510;57.5;1
196511;102.6;1
196512;57.8;1
196601;44.6;1
196602;133.3;1
196603;14.5;1
196604;81.2;1
196605;54;1
196606;19.3;1
196607;14.8;1
196608;37.8;1
196609;14.5;1
196610;321.6;1
196611;155.6;1
196612;49.5;1
196701;30.4;1
196702;76;1
196703;33.7;1
196704;24.6;1
196705;124.9;1
196706;78.2;1
196707;11.4;1
196708;200.4;1
196709;52.1;1
196710;37.8;1
196711;224.4;1
196712;11.9;1
196801;18.4;1
196802;144.1;1
196803;26.4;1
196804;65.2;1
196805;123.8;1
196806;39.8;1
196807;28.3;1
196808;145.1;1
196809;267.9;1
196810;126.5;1
196811;114.3;1
196812;52.7;1
196901;116.4;1
196902;66.1;1
196903;63.9;1
196904;77;1
196905;107.6;1
196906;85.4;1
196907;46.4;1
196908;24.4;1
196909;125.4;1
196910;20.9;1
196911;66.8;1
196912;17.6;1
197001;127.1;1
197002;40.4;1
197003;125.9;1
197004;84.2;1
197005;94.4;1
197006;72.2;1
197007;21.8;1
197008;29.5;1
197009;33;1
197010;217.7;1
197011;129.6;1
197012;74.6;1
197101;95;1
197102;6.7;1
197103;140.2;1
197104;128.2;1
197105;145.5;1
197106;120.7;1
197107;84.3;1
197108;45.2;1
197109;66;1
197110;30.5;1
197111;111.8;1
197112;81;1
197201;88.9;1
197202;211.7;1
197203;102.8;1
197204;42.5;1
197205;55.2;1
197206;76.2;1
197207;2.5;1
197208;42.5;1
197209;48.4;1
197210;210.6;1
197211;38.4;1
197212;180;1
197301;69.9;1
197302;26;1
197303;34.8;1
197304;67.3;1
197305;56;1
197306;87.4;1
197307;127.9;1
197308;20.8;1
197309;81.7;1
197310;107.4;1
197311;10.9;1
197312;36.2;1
197401;82.1;1
197402;180.2;1
197403;88.9;1
197404;52.8;1
197405;55.2;1
197406;79.4;1
197407;23.7;1
197408;23.3;1
197409;197.6;1
197410;23.7;1
197411;78.2;1
197412;15.8;1
197501;82;1
197502;105.9;1
197503;87.4;1
197504;34.7;1
197505;134.6;1
197506;39.2;1
197507;40.1;1
197508;71.7;1
197509;312;1
