# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7279001
# NOM_USUEL= ST-MONTAN
# LATITUDE (°) = 44.442
# LONGITUDE(°)= 4.636
# ALTITUDE (m) = 130
# NUM_SERIE= MRR107279001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;26;1
195002;92.5;1
195003;53;1
195004;31.3;1
195005;105.3;1
195006;0;1
195007;7;1
195008;41.1;1
195009;213.7;1
195010;64;1
195011;95.5;1
195012;44.6;1
195101;94.1;1
195102;157;1
195103;84;1
195104;22;1
195105;204.6;1
195106;37;1
195107;0;1
195108;114.3;1
195109;122.1;1
195110;144.2;1
195111;221.4;1
195112;33.5;1
195201;43;1
195202;2.5;1
195203;33.2;1
195204;26.8;1
195205;108.5;1
195206;31.5;1
195207;0;1
195208;142.6;1
195209;49.1;1
195210;134.2;1
195211;74;1
195212;76.3;1
195301;0;1
195302;3;1
195303;0;1
195304;31.5;1
195305;27.6;1
195306;87.3;1
195307;36.7;1
195308;0;1
195309;271.8;1
195310;169.3;1
195311;16.8;1
195312;37.5;1
195401;17.2;1
195402;78;1
195403;64.8;1
195404;41.3;1
195405;120.6;1
195406;13.5;1
195407;39.7;1
195408;221.3;1
195409;23.5;1
195410;45.7;1
195411;86.3;1
195412;131.1;1
195501;163.2;1
195502;64.9;1
195503;29.7;1
195504;0;1
195505;60;1
195506;166.5;1
195507;35.4;1
195508;38.1;1
195509;18.9;1
195510;149.1;1
195511;169.8;1
195512;64.2;1
195601;60.5;1
195602;28.6;1
195603;154.7;1
195604;75;1
195605;108.7;1
195606;36.7;1
195607;22.9;1
195608;54;1
195609;207.8;1
195610;23;1
195611;0;1
195612;90.4;1
195701;7;1
195702;89;1
195703;84.2;1
195704;100.5;1
195705;17.5;1
195706;127.7;1
195707;2.4;1
195708;21.5;1
195709;48;1
195710;3.2;1
195711;90;1
195712;179.2;1
195801;9;1
195802;11.2;1
195803;52.4;1
195804;71.6;1
195805;24.6;1
195806;95.3;1
195807;30;1
195808;53.3;1
195809;198.8;1
195810;110.1;1
195811;36.7;1
195812;168.7;1
195901;3.9;1
195902;17.6;1
195903;152.8;1
195904;101.1;1
195905;42.5;1
195906;28.1;1
195907;14.4;1
195908;60.9;1
195909;54.2;1
195910;107.4;1
195911;162.5;1
195912;145.9;1
196001;64.2;1
196002;89.2;1
196003;153.4;1
196004;12.6;1
196005;6.1;1
196006;70.8;1
196007;67.8;1
196008;86.4;1
196009;264.6;1
196010;187;1
196011;161.6;1
196012;49.6;1
196101;82.4;1
196102;20.3;1
196103;0;1
196104;78.6;1
196105;100.5;1
196106;23.6;1
196107;9.8;1
196108;0;1
196109;43.9;1
196110;103;1
196111;139.5;1
196112;28.7;1
196201;59;1
196202;97.4;1
196203;57.8;1
196204;55.5;1
196205;43.2;1
196206;17.7;1
196207;0;1
196208;54.2;1
196209;132;1
196210;80.5;1
196211;90;1
196212;57.8;1
196301;58.6;1
196302;69.2;1
196303;40.5;1
196304;94.7;1
196305;40.5;1
196306;131.5;1
196307;56.4;1
196308;189.1;1
196309;115.7;1
196310;25.2;1
196311;124.8;1
196312;57;1
196401;19.2;1
196402;146.9;1
196403;172.9;1
196404;74;1
196405;75.9;1
196406;16.2;1
196407;3.9;1
196408;97.6;1
196409;134.6;1
196410;74.4;1
196411;49.2;1
196412;36.7;1
196501;85.2;1
196502;18.3;1
196503;103.8;1
196504;5;1
196505;16;1
196506;33.8;1
196507;49.8;1
196508;113.6;1
196509;272.6;1
196510;65.5;1
196511;75.8;1
196512;47.5;1
196601;28.8;1
196602;153.6;1
196603;1;1
196604;92.6;1
196605;66.1;1
196606;31.2;1
196607;29.8;1
196608;36;1
196609;17.8;1
196610;177.7;1
196611;120.1;1
196612;40.7;1
196701;34;1
196702;71.2;1
196703;29.8;1
196704;19.2;1
196705;117.9;1
196706;41.4;1
196707;9.6;1
196708;46.1;1
196709;28.7;1
196710;35.3;1
196711;180;1
196712;7.4;1
196801;1.3;1
196802;119;1
196803;5.9;1
196804;79.9;1
196805;107.3;1
196806;39.7;1
196807;8.8;1
196808;145.2;1
196809;219.2;1
196810;82.3;1
196811;100.5;1
196812;31;1
196901;113.9;1
196902;83.7;1
196903;95.9;1
196904;54.6;1
196905;64.1;1
196906;83.3;1
196907;42.9;1
196908;55.6;1
196909;238.8;1
196910;46.1;1
196911;50.6;1
196912;2.7;1
197001;107;1
197002;10.2;1
197003;123.8;1
197004;70.7;1
197005;80.4;1
197006;76;1
197007;10.8;1
197008;26.7;1
197009;160.7;1
197010;149;1
197011;118.5;1
197012;40;1
197101;111.2;1
197102;0;1
197103;148.4;1
197104;108.8;1
197105;90.9;1
197106;149;1
197107;44.8;1
197108;45;1
197109;26.6;1
197110;23;1
197111;86.1;1
197112;61.9;1
197201;106.2;1
197202;253.9;1
197203;92.2;1
197204;35.8;1
197205;51;1
197206;91.9;1
197207;5.8;1
197208;80;1
197209;39.5;1
197210;187.9;1
197211;28.3;1
197212;110.3;1
197301;64.3;1
197302;21.6;1
197303;52;1
197304;36.9;1
197305;35.1;1
197306;70.1;1
197307;53.9;1
197308;43.5;1
197309;47.3;1
197310;120.8;1
197311;19.7;1
197312;68.3;1
197401;96;1
197402;274.7;1
197403;145.9;1
197404;85.2;1
197405;64;1
197406;65.1;1
197407;29;1
197408;57.3;1
197409;156.8;1
197410;16.1;1
197411;36.4;1
197412;18.1;1
197501;68.6;1
197502;71.6;1
197503;107.8;1
197504;23.3;1
197505;131.6;1
197506;32.6;1
197507;6.2;1
197508;50.5;1
197509;182.8;1
197510;30.1;1
197511;76.3;1
197512;107.8;1
197601;32.4;1
197602;60.2;1
197603;52.6;1
197604;59.6;1
197605;44.2;1
197606;3.5;1
197607;25.1;1
197608;199.3;1
197609;234.8;1
197610;320.7;1
197611;114.4;1
197612;39.1;1
197701;153;1
197702;61.9;1
197703;110.3;1
197704;34.5;1
197705;206.2;1
197706;71.7;1
197707;48;1
197708;93.1;1
197709;13.1;1
197710;335;1
197711;56;1
197712;151.3;1
197801;84.2;1
197802;80.1;1
197803;36.3;1
197804;106.3;1
197805;141.2;1
197806;17.2;1
197807;19.1;1
197808;57.5;1
197809;2.6;1
197810;3.2;1
197811;2.4;1
197812;102.4;1
197901;123.4;1
197902;54.2;1
197903;158.3;1
197904;43.6;1
197905;57;1
197906;14.7;1
197907;58.9;1
197908;43.8;1
197909;17.6;1
197910;394.7;1
197911;28.6;1
197912;66.5;1
198001;38.4;1
198002;13;1
198003;96.8;1
198004;62.6;1
198005;54.2;1
198006;31.8;1
198007;32;1
198008;46.1;1
198009;47.5;1
198010;71.8;1
198011;76.8;1
198012;9.7;1
198101;27.8;1
198102;9.9;1
198103;56.5;1
198104;15.6;1
198105;121.4;1
198106;43.5;1
198107;43.9;1
198108;18.8;1
198109;142.8;1
198110;45.1;1
198111;1.1;1
198112;170.3;1
198201;4.2;1
198202;20.1;1
198203;36.6;1
198204;18.9;1
198205;17.7;1
198206;57.8;1
198207;124.1;1
198208;49.3;1
198209;86;1
198210;170.5;1
198211;267.6;1
198212;70.1;1
198301;0;1
198302;91.7;1
198303;82.3;1
198304;49.4;1
198305;73.8;1
198306;69.6;1
198307;0;1
198308;75.3;1
198309;39.9;1
198310;207.9;1
198311;5.6;1
198312;46;1
198401;73.4;1
198402;72.1;1
198403;72.1;1
198404;5.7;1
198405;143.2;1
198406;64.4;1
198407;2.4;1
198408;116;1
198409;39.7;1
