# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7286002
# NOM_USUEL= ST-PIERREVILLE
# LATITUDE (°) = 44.815
# LONGITUDE(°)= 4.485
# ALTITUDE (m) = 559
# NUM_SERIE= MRR107286002
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 199512
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;51.5;1
195002;155.8;1
195003;65.1;1
195004;61.7;1
195005;114.6;1
195006;45.9;1
195007;6.5;1
195008;109.4;1
195009;106.6;1
195010;77.2;1
195011;238.9;1
195012;77;1
195101;113.6;1
195102;225.7;1
195103;191.7;1
195104;32.9;1
195105;267.1;1
195106;111.3;1
195107;4.9;1
195108;88.6;1
195109;104.8;1
195110;181.2;1
195111;372.9;1
195112;41.5;1
195201;54.7;1
195202;21.9;1
195203;123.9;1
195204;69.9;1
195205;134.2;1
195206;104.7;1
195207;11.7;1
195208;91.2;1
195209;139.4;1
195210;108.7;1
195211;150.3;1
195212;90.5;1
195301;2.8;1
195302;13.5;1
195303;0;1
195304;35.9;1
195305;30.4;1
195306;114.2;1
195307;44.6;1
195308;47.4;1
195309;244.3;1
195310;300.2;1
195311;46.4;1
195312;51.1;1
195401;16.6;1
195402;81;1
195403;103;1
195404;55.6;1
195405;131.6;1
195406;85.3;1
195407;51.4;1
195408;134.4;1
195409;69.5;1
195410;93.4;1
195411;166.4;1
195412;185.6;1
195501;260.1;1
195502;189.9;1
195503;63;1
195504;0.5;1
195505;90.3;1
195506;280.8;1
195507;78;1
195508;52.2;1
195509;9;1
195510;164.2;1
195511;267;1
195512;64;1
195601;113.2;1
195602;53.4;1
195603;295.2;1
195604;160.3;1
195605;103.2;1
195606;28.9;1
195607;40.6;1
195608;83.4;1
195609;218.6;1
195610;81.9;1
195611;12.5;1
195612;130.6;1
195701;22.6;1
195702;159.4;1
195703;80.6;1
195704;124;1
195705;25.8;1
195706;276.4;1
195707;12.1;1
195708;103.5;1
195709;52.5;1
195710;42.5;1
195711;178.1;1
195712;315.1;1
195801;47.7;1
195802;94.3;1
195803;61.2;1
195804;84.6;1
195805;49.2;1
195806;141.1;1
195807;45.3;1
195808;165.2;1
195809;208.7;1
195810;126.5;1
195811;58.5;1
195812;312.2;1
195901;50.2;1
195902;52.5;1
195903;300.6;1
195904;201.7;1
195905;86.6;1
195906;36.8;1
195907;37;1
195908;63.7;1
195909;88.4;1
195910;163.9;1
195911;280.4;1
195912;179.7;1
196001;217;1
196002;140.7;1
196003;271.1;1
196004;16.9;1
196005;30.2;1
196006;84.3;1
196007;91.4;1
196008;88.8;1
196009;282.3;1
196010;548.6;1
196011;189.6;1
196012;43.4;1
196101;115.7;1
196102;33.5;1
196103;1;1
196104;98.7;1
196105;135.1;1
196106;53.8;1
196107;33.8;1
196108;6.7;1
196109;65.8;1
196110;249.4;1
196111;214.1;1
196112;94.1;1
196201;107.2;1
196202;98.5;1
196203;109.8;1
196204;120.7;1
196205;41.1;1
196206;51.2;1
196207;21.9;1
196208;67.2;1
196209;94;1
196210;53.8;1
196211;140.7;1
196212;74.4;1
196301;122.2;1
196302;113.2;1
196303;63.4;1
196304;150.6;1
196305;58.5;1
196306;272.7;1
196307;105.5;1
196308;230.5;1
196309;146.7;1
196310;97;1
196311;440.1;1
196312;109.4;1
196401;74.6;1
196402;208.1;1
196403;188.7;1
196404;121.5;1
196405;77.9;1
196406;132;1
196407;12.8;1
196408;93.8;1
196409;128.5;1
196410;111.9;1
196411;51.2;1
196412;62.5;1
196501;104;1
196502;8.7;1
196503;89.5;1
196504;21.5;1
196505;39.8;1
196506;48.3;1
196507;56;1
196508;54.7;1
196509;447;1
196510;114.6;1
196511;138.5;1
196512;69.4;1
196601;41.9;1
196602;198.8;1
196603;15.4;1
196604;133.2;1
196605;37.6;1
196606;53.5;1
196607;59.6;1
196608;21.7;1
196609;29.7;1
196610;366;1
196611;204;1
196612;59.8;1
196701;75.4;1
196702;90.5;1
196703;110.7;1
196704;62.4;1
196705;190.2;1
196706;72.9;1
196707;26.3;1
196708;137.4;1
196709;74.1;1
196710;35.1;1
196711;379.2;1
196712;19.7;1
196801;25.3;1
196802;214.1;1
196803;42.7;1
196804;151.6;1
196805;184.1;1
196806;49.5;1
196807;42.5;1
196808;178.2;1
196809;224.5;1
196810;227.9;1
196811;120.7;1
196812;93.1;1
196901;209.9;1
196902;134.1;1
196903;107.2;1
196904;132.4;1
196905;89.1;1
196906;89.2;1
196907;41;1
196908;46.9;1
196909;203.2;1
196910;33.7;1
196911;137.7;1
196912;29.5;1
197001;262.7;1
197002;38.5;1
197003;141.5;1
197004;66.3;1
197005;165.9;1
197006;59.9;1
197007;37.1;1
197008;57.1;1
197009;102.6;1
197010;382.7;1
197011;222.3;1
197012;84.3;1
197101;143.1;1
197102;31.4;1
197103;176.4;1
197104;243.1;1
197105;170.5;1
197106;193.7;1
197107;50.9;1
197108;98;1
197109;88.1;1
197110;34.8;1
197111;74.2;1
197112;125.2;1
197201;168.7;1
197202;339.5;1
197203;118.6;1
197204;25.4;1
197205;99.2;1
197206;153.1;1
197207;6.2;1
197208;73.7;1
197209;47.3;1
197210;290.1;1
197211;67.6;1
197212;256.6;1
197301;146.1;1
197302;27.8;1
197303;21.7;1
197304;70.4;1
197305;103.8;1
197306;74.6;1
197307;130.5;1
197308;8.6;1
197309;144.1;1
197310;131.4;1
197311;57.6;1
197312;183.7;1
197401;197.5;1
197402;168.2;1
197403;125.1;1
197404;81.8;1
197405;91.8;1
197406;89.2;1
197407;28.5;1
197408;65.1;1
197409;211.5;1
197410;27.5;1
197411;135.2;1
197412;46.2;1
197501;128.4;1
197502;140.3;1
197503;156.8;1
197504;28.2;1
197505;164.7;1
197506;38.6;1
197507;55.3;1
197508;175.3;1
197509;279.9;1
197510;61;1
197511;77.7;1
197512;139.2;1
197601;82.2;1
197602;104.4;1
197603;37;1
197604;78.8;1
197605;29.7;1
197606;3;1
197607;56.2;1
197608;324.4;1
197609;354.1;1
197610;456.4;1
197611;304.5;1
197612;224.8;1
197701;183;1
197702;162.5;1
197703;177.8;1
197704;36.1;1
197705;239.7;1
197706;154.3;1
197707;187.9;1
197708;198.9;1
197709;17.2;1
197710;445.8;1
197711;97.4;1
197712;208.6;1
197801;196.1;1
197802;130.1;1
197803;93.6;1
197804;160.2;1
197805;117.4;1
197806;23.5;1
197807;43;1
197808;50.7;1
197809;14.4;1
197810;14.2;1
197811;4.6;1
197812;200.3;1
197901;164.4;1
197902;98.3;1
197903;269.3;1
197904;85.6;1
197905;111.6;1
197906;56.7;1
197907;17.5;1
197908;69.9;1
197909;16.3;1
197910;612.1;1
197911;31;1
197912;99.2;1
198001;97;1
198002;19.5;1
198003;89.4;1
198004;54.8;1
198005;119.1;1
198006;46.2;1
198007;52.1;1
198008;63.7;1
198009;211.8;1
198010;151.5;1
198011;77.3;1
198012;23.1;1
198101;32.5;1
198102;42;1
198103;139.7;1
198104;27.5;1
198105;192.4;1
198106;118.6;1
198107;78;1
198108;15.4;1
198109;145.1;1
198110;90;1
198111;13;1
198112;293.4;1
198201;13.7;1
198202;25.2;1
198203;67.3;1
198204;18.9;1
198205;31.2;1
198206;97.1;1
198207;69.3;1
198208;92.3;1
198209;207.5;1
198210;130.7;1
198211;398;1
198212;78.7;1
198301;1.5;1
198302;88.9;1
198303;87.8;1
198304;315.8;1
198305;217.4;1
198306;62.4;1
198307;16.7;1
198308;73.5;1
198309;68.4;1
198310;165.8;1
198311;6.6;1
198312;152.1;1
198401;113.2;1
198402;53.2;1
198403;135.2;1
198404;6.9;1
198405;280.8;1
198406;76.6;1
