# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7338001
# NOM_USUEL= VERNOUX
# LATITUDE (°) = 44.9
# LONGITUDE(°)= 4.652
# ALTITUDE (m) = 561
# NUM_SERIE= MRR107338001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 199504
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;25.8;1
195002;124.4;1
195003;33.3;1
195004;72.8;1
195005;104.9;1
195006;25.1;1
195007;0.2;1
195008;94.3;1
195009;150.8;1
195010;59.2;1
195011;215;1
195012;55.7;1
195101;87.5;1
195102;178.2;1
195103;166.2;1
195104;22;1
195105;271.4;1
195106;112.9;1
195107;8.3;1
195108;94.1;1
195109;139.2;1
195110;131.3;1
195111;388.3;1
195112;30.3;1
195201;32.8;1
195202;8.8;1
195203;65;1
195204;45.1;1
195205;101.8;1
195206;73.1;1
195207;2;1
195208;117.3;1
195209;121.5;1
195210;107.7;1
195211;117.8;1
195212;81.9;1
195301;1.1;1
195302;6.4;1
195303;0;1
195304;50.6;1
195305;21.8;1
195306;134.2;1
195307;62;1
195308;39.7;1
195309;224.8;1
195310;217.7;1
195311;15.5;1
195312;29.9;1
195401;25.3;1
195402;70.5;1
195403;72.8;1
195404;38.7;1
195405;110.5;1
195406;56;1
195407;44.9;1
195408;140.1;1
195409;37.4;1
195410;110;1
195411;99.3;1
195412;205.2;1
195501;178.8;1
195502;125.2;1
195503;77.9;1
195504;0;1
195505;88.7;1
195506;208.7;1
195507;54.5;1
195508;30.4;1
195509;10.7;1
195510;155.5;1
195511;142.4;1
195512;110.1;1
195601;94.3;1
195602;22.5;1
195603;248.1;1
195604;119.1;1
195605;89.7;1
195606;31.3;1
195607;67.7;1
195608;91.8;1
195609;231.4;1
195610;79.2;1
195611;13.7;1
195612;100.3;1
195701;14.2;1
195702;99.1;1
195703;67.9;1
195704;155.6;1
195705;22.7;1
195706;261;1
195707;10.6;1
195708;50.8;1
195709;38.3;1
195710;30.3;1
195711;161.7;1
195712;236.6;1
195801;22.3;1
195802;35.3;1
195803;62.2;1
195804;69.1;1
195805;53.9;1
195806;144.6;1
195807;46;1
195808;244.2;1
195809;194.7;1
195810;105;1
195811;42.2;1
195812;316;1
195901;26.3;1
195902;22;1
195903;188.4;1
195904;175.2;1
195905;72.9;1
195906;46.9;1
195907;70.1;1
195908;82;1
195909;102.5;1
195910;176.2;1
195911;316.4;1
195912;121.9;1
196001;185;1
196002;116.5;1
196003;189.9;1
196004;17.1;1
196005;46.1;1
196006;101.9;1
196007;104.4;1
196008;88.4;1
196009;401.2;1
196010;361.5;1
196011;222.3;1
196012;39.3;1
196101;114;1
196102;22.2;1
196103;0;1
196104;100.9;1
196105;137.4;1
196106;53.7;1
196107;42.4;1
196108;6.4;1
196109;48.5;1
196110;131.3;1
196111;179.6;1
196112;93.9;1
196201;50.1;1
196202;80;1
196203;64.9;1
196204;74;1
196205;34.3;1
196206;16.6;1
196207;3.1;1
196208;62.4;1
196209;83.9;1
196210;47.6;1
196211;117.2;1
196212;60.3;1
196301;99;1
196302;83.8;1
196303;39.7;1
196304;141.6;1
196305;57.7;1
196306;214.7;1
196307;84.8;1
196308;186;1
196309;93.6;1
196310;62.2;1
196311;308.2;1
196312;105.4;1
196401;46.3;1
196402;134.4;1
196403;164.2;1
196404;125.7;1
196405;86.6;1
196406;95.9;1
196407;10.5;1
196408;126.2;1
196409;81;1
196410;66.5;1
196411;38.7;1
196412;44.7;1
196501;61.4;1
196502;7.3;1
196503;82.2;1
196504;8.7;1
