# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 9181003
# NOM_USUEL= LE MAS D AZIL
# LATITUDE (°) = 43.074
# LONGITUDE(°)= 1.358
# ALTITUDE (m) = 293
# NUM_SERIE= MRR109181003
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195801 202012
# Date(s) de rupture(s) d'homogénéité : 200810
#     Periode homogénéisée  195801 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;62.9;1
195802;8.4;1
195803;194.3;1
195804;68.5;1
195805;53.5;1
195806;91;1
195807;50.7;1
195808;50.7;1
195809;32.9;1
195810;41.3;1
195811;97.6;1
195812;101.4;1
195901;57.3;1
195902;24.4;1
195903;91;1
195904;138.9;1
195905;53.5;1
195906;93.9;1
195907;62.9;1
195908;130.5;1
195909;87.3;1
195910;93.9;1
195911;113.2;1
195912;176.5;1
196001;53.5;1
196002;13.1;1
196003;87.3;1
196004;62.9;1
196005;25.3;1
196006;59.1;1
196007;126.7;1
196008;50.7;1
196009;110.8;1
196010;94.8;1
196011;65.7;1
196012;223.4;1
196101;57.3;1
196102;50.7;1
196103;0;1
196104;133.3;1
196105;95.7;1
196106;43.2;1
196107;42.2;1
196108;59.1;1
196109;44.1;1
196110;65.7;1
196111;58.2;1
196112;28.2;1
196201;165.2;1
196202;92;1
196203;95.7;1
196204;172.7;1
196205;189.6;1
196206;82.6;1
196207;45.1;1
196208;30;1
196209;97.6;1
196210;72.3;1
196211;109.8;1
196212;92.9;1
196301;49.7;1
196302;51.5;1
196303;103.2;1
196304;109.8;1
196305;54.4;1
196306;118.3;1
196307;84;1
196308;121.1;1
196309;149.2;1
196310;20.6;1
196311;65.7;1
196312;30;1
196401;24.4;1
196402;48.8;1
196403;106.6;1
196404;48.8;1
196405;47.9;1
196406;33.8;1
196407;35.7;1
196408;76;1
196409;35.2;1
196410;124.8;1
196411;38.5;1
196412;94.3;1
196501;111.2;1
196502;21.6;1
196503;67.5;1
196504;159.9;1
196505;109.8;1
196506;61.9;1
196507;55.4;1
196508;31.4;1
196509;104.7;1
196510;54.9;1
196511;82.3;1
196512;239.4;1
196601;59.1;1
196602;95.7;1
196603;39.4;1
196604;139.7;1
196605;166.1;1
196606;77.9;1
196607;54.4;1
196608;22.2;1
196609;43.2;1
196610;133.3;1
196611;102.8;1
196612;171.8;1
196701;68.5;1
196702;7.5;1
196703;68.9;1
196704;44;1
196705;102.7;1
196706;48.3;1
196707;24.3;1
196708;13.9;1
196709;56.7;1
196710;36.4;1
196711;82.8;1
196712;77.2;1
196801;105.6;1
196802;88.8;1
196803;44.4;1
196804;58.9;1
196805;125;1
196806;59.3;1
196807;18.7;1
196808;104.5;1
196809;61.4;1
196810;9.4;1
196811;131.7;1
196812;106.2;1
196901;55.1;1
196902;65.7;1
196903;84.8;1
196904;87;1
196905;78.3;1
196906;46;1
196907;116.8;1
196908;33.3;1
196909;94.4;1
196910;28.7;1
196911;31.7;1
196912;174.9;1
197001;95.1;1
197002;62.2;1
197003;81.2;1
197004;80.7;1
197005;80.1;1
197006;89.5;1
197007;29.3;1
197008;23.7;1
197009;0.5;1
197010;97.3;1
197011;46.7;1
197012;30.8;1
197101;110.8;1
197102;155.1;1
197103;124.6;1
197104;66;1
197105;120.6;1
197106;86.5;1
197107;61.8;1
197108;49.1;1
197109;74.2;1
197110;23;1
197111;104.2;1
197112;53.5;1
197201;132;1
197202;86.6;1
197203;58.7;1
197204;161.9;1
197205;107.3;1
197206;73.3;1
197207;16.2;1
197208;38;1
197209;68.1;1
197210;32.1;1
197211;34.5;1
197212;29.2;1
197301;78.4;1
197302;117.9;1
197303;52.4;1
197304;32.9;1
197305;35.9;1
197306;67.6;1
197307;77.6;1
197308;52.8;1
197309;46.6;1
197310;20.6;1
197311;64.8;1
197312;81.9;1
197401;43.4;1
197402;131.9;1
197403;115.9;1
197404;132.9;1
197405;65.3;1
197406;53.2;1
197407;28.1;1
197408;95.8;1
197409;164.1;1
197410;115.9;1
197411;86.7;1
197412;37.1;1
197501;65.2;1
197502;19.1;1
197503;100;1
197504;36.8;1
197505;127.7;1
197506;97.1;1
197507;14.7;1
197508;92.5;1
197509;87.2;1
197510;21.8;1
197511;144.3;1
197512;18.4;1
197601;27.1;1
197602;55;1
197603;73.3;1
197604;98.6;1
197605;49.2;1
197606;0.8;1
197607;54.3;1
197608;71.6;1
197609;61;1
197610;130.8;1
197611;52.8;1
197612;80.3;1
197701;46.9;1
197702;34.3;1
197703;61.3;1
197704;85.3;1
197705;264.9;1
197706;131.8;1
197707;170.2;1
197708;63.6;1
197709;1.5;1
197710;21;1
197711;80.6;1
197712;42.2;1
197801;134.4;1
197802;126.8;1
197803;167.7;1
197804;135.9;1
197805;120.5;1
197806;143.8;1
197807;36.6;1
197808;25.4;1
197809;46.6;1
197810;54.2;1
197811;24.3;1
197812;40.4;1
197901;167.2;1
197902;92.8;1
197903;80.4;1
197904;132.2;1
197905;78;1
197906;46.3;1
197907;64.7;1
197908;67.1;1
197909;38.7;1
197910;182.8;1
197911;51.2;1
197912;86;1
198001;73.7;1
198002;35.1;1
198003;121.4;1
198004;26.7;1
198005;122.5;1
198006;44.2;1
198007;54.8;1
198008;63.2;1
198009;14;1
198010;103.6;1
198011;103.2;1
198012;121;1
198101;132;1
198102;50.3;1
198103;100.9;1
198104;65;1
198105;66.9;1
198106;56;1
198107;99;1
198108;32.3;1
198109;40.5;1
198110;59.6;1
198111;33.3;1
198112;187.3;1
198201;40;1
198202;89.6;1
198203;139.1;1
198204;29.4;1
198205;53.2;1
198206;55.8;1
198207;69.6;1
198208;90.1;1
198209;46.5;1
198210;98.6;1
198211;48.3;1
198212;140;1
198301;18.2;1
198302;56.4;1
198303;66.6;1
198304;48.8;1
198305;62.4;1
198306;56.9;1
198307;38.7;1
198308;182.3;1
198309;19.9;1
198310;70.2;1
198311;39;1
198312;62.7;1
198401;137.2;1
198402;84.9;1
198403;64.2;1
198404;36.5;1
198405;109.9;1
198406;84.7;1
198407;42.8;1
198408;124.1;1
198409;143.8;1
198410;50.5;1
198411;55.5;1
198412;71.1;1
198501;49.9;1
198502;55.7;1
198503;118.8;1
198504;112;1
198505;163.4;1
198506;69.8;1
198507;46.5;1
198508;61.2;1
198509;8.9;1
198510;45.3;1
198511;73.2;1
198512;57;1
198601;207.3;1
198602;52.2;1
198603;50.8;1
198604;103.5;1
198605;28.7;1
198606;13.3;1
198607;63.1;1
198608;37.7;1
198609;59.3;1
198610;49.5;1
198611;53.3;1
198612;99.3;1
198701;59.6;1
198702;66.5;1
198703;85.7;1
198704;70.1;1
198705;71.4;1
198706;54.2;1
198707;86.4;1
198708;36.7;1
198709;26.1;1
198710;54.9;1
198711;83.6;1
198712;7.8;1
198801;155.4;1
198802;69.9;1
198803;109.2;1
198804;154.4;1
198805;145.1;1
198806;112.7;1
198807;28.5;1
198808;56.4;1
198809;98.6;1
198810;14.5;1
198811;20.6;1
198812;32.2;1
198901;28;1
198902;57.6;1
198903;98.1;1
198904;126;1
198905;34.5;1
198906;17.2;1
198907;26.8;1
198908;42.9;1
198909;55.3;1
198910;36.2;1
198911;48.5;1
198912;20.3;1
199001;49.1;1
199002;63.3;1
199003;27.6;1
199004;107.7;1
199005;210.2;1
199006;70.9;1
199007;52.5;1
199008;32.4;1
199009;65.9;1
199010;75.9;1
199011;60.5;1
199012;93.9;1
199101;45;1
199102;31.4;1
199103;91.6;1
199104;76.1;1
199105;163.9;1
199106;45.1;1
199107;37.5;1
199108;64.8;1
199109;107.8;1
199110;49.7;1
199111;96.7;1
199112;33.4;1
199201;49.4;1
199202;28.7;1
199203;70.2;1
199204;102.7;1
199205;81.7;1
199206;220.9;1
199207;33.4;1
199208;39;1
199209;76.1;1
199210;244.6;1
199211;79.4;1
199212;60.4;1
199301;12;1
199302;19.7;1
199303;30.9;1
199304;141.2;1
199305;38.5;1
199306;78.6;1
199307;31.3;1
199308;72.7;1
199309;193;1
199310;84.9;1
199311;56.4;1
199312;103.6;1
199401;55.5;1
199402;138.3;1
199403;34.8;1
199404;176.7;1
199405;65.1;1
199406;69.6;1
199407;18.2;1
199408;26.6;1
199409;124.8;1
199410;48.2;1
199411;51.2;1
199412;56.9;1
199501;151.6;1
199502;78.9;1
199503;86.2;1
199504;68.9;1
199505;122.2;1
199506;37;1
199507;22.5;1
199508;33;1
199509;124.6;1
199510;35.1;1
199511;47.6;1
199512;141;1
199601;67.1;1
199602;120;1
199603;62;1
199604;86.4;1
199605;112.9;1
199606;89.3;1
199607;122.4;1
199608;56.8;1
199609;30.7;1
199610;74.6;1
199611;193.7;1
199612;84.9;1
199701;59.5;1
199702;30.4;1
199703;11.2;1
199704;28.3;1
199705;81.8;1
199706;60.4;1
199707;37.9;1
199708;137.2;1
199709;13.6;1
199710;25.5;1
199711;62.2;1
199712;92.2;1
199801;45.3;1
199802;17;1
199803;76.1;1
199804;128.7;1
199805;45.1;1
199806;35.2;1
199807;61.4;1
199808;58.7;1
199809;110.9;1
199810;117;1
199811;133.8;1
199812;46.2;1
199901;103.2;1
199902;56.1;1
199903;54.3;1
199904;117.1;1
199905;80.5;1
199906;40.6;1
199907;146;1
199908;38.4;1
199909;42.1;1
199910;27.1;1
199911;108.7;1
199912;118.5;1
200001;11.2;1
200002;121.3;1
200003;70.2;1
200004;104.9;1
200005;89.8;1
200006;168.6;1
200007;55;1
200008;70.6;1
200009;28.6;1
200010;102.5;1
200011;62;1
200012;42.4;1
200101;159.4;1
200102;45.5;1
200103;91.3;1
200104;99.1;1
200105;57.4;1
200106;74.7;1
200107;67.9;1
200108;38.6;1
200109;30.4;1
200110;22.9;1
200111;76.6;1
200112;17;1
200201;40;1
200202;92.6;1
200203;44.7;1
200204;55.6;1
200205;132.9;1
200206;92.5;1
200207;95.2;1
200208;69.5;1
200209;53.9;1
200210;68;1
200211;80.5;1
200212;112.1;1
200301;84;1
200302;89.7;1
200303;48;1
200304;72.2;1
200305;70.1;1
200306;39.8;1
200307;8.7;1
200308;41.6;1
200309;94.8;1
200310;45.3;1
200311;48;1
200312;141.4;1
200401;136.3;1
200402;20.3;1
200403;61.4;1
200404;119.3;1
200405;62.2;1
200406;47.5;1
200407;20.6;1
200408;65.1;1
200409;70.8;1
200410;137.8;1
200411;110.7;1
200412;88.5;1
200501;66.1;1
200502;46.2;1
200503;28.9;1
200504;94.1;1
200505;74.1;1
200506;31.9;1
200507;17.4;1
200508;97.4;1
200509;89.5;1
200510;35.2;1
200511;77.2;1
200512;53.5;1
200601;39.7;1
200602;22.6;1
200603;138.3;1
200604;36.9;1
200605;53.5;1
200606;49.5;1
200607;36.3;1
200608;55.8;1
200609;84.6;1
200610;69.5;1
200611;58.8;1
200612;31.8;1
200701;20.6;1
200702;94.7;1
200703;89.7;1
200704;90.6;1
200705;268.2;1
200706;65.8;1
200707;45.9;1
200708;90.1;1
200709;38;1
200710;66.9;1
200711;12.9;1
200712;84.9;1
200801;63.5;1
200802;8.9;1
200803;116.2;1
200804;65.1;1
200805;74.6;1
200806;55.6;1
200807;62.7;1
200808;26.5;1
200809;32.2;1
200810;63;1
200811;126.2;1
200812;88.1;1
200901;111;1
200902;62.3;1
200903;50.8;1
200904;180.7;1
200905;47.8;1
200906;44.3;1
200907;37.6;1
200908;47;1
200909;15.1;1
200910;54.6;1
200911;94.9;1
200912;54.2;1
201001;115.4;1
201002;49.2;1
201003;54.7;1
201004;56.8;1
201005;188.5;1
201006;89.2;1
201007;66.4;1
201008;28.4;1
201009;58.5;1
