# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 10130001
# NOM_USUEL= DOSNON
# LATITUDE (°) = 48.609
# LONGITUDE(°)= 4.225
# ALTITUDE (m) = 115
# NUM_SERIE= MRR110130001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 199512
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;114.6;1
195502;86.1;1
195503;14;1
195504;0;1
195505;48.7;1
195506;92.9;1
195507;86.9;1
195508;8.9;1
195509;27.7;1
195510;50.9;1
195511;26.7;1
195512;83;1
195601;68.8;1
195602;9.4;1
195603;22.2;1
195604;55.7;1
195605;30.6;1
195606;54.2;1
195607;49.5;1
195608;75.3;1
195609;35.4;1
195610;52.9;1
195611;39.3;1
195612;23.9;1
195701;26.8;1
195702;92.2;1
195703;35.8;1
195704;20.4;1
195705;16;1
195706;121.2;1
195707;137.5;1
195708;52.2;1
195709;83.4;1
195710;40.3;1
195711;23.6;1
195712;51.3;1
195801;89.6;1
195802;120.5;1
195803;21.3;1
195804;29.2;1
195805;145.2;1
195806;78.5;1
195807;73.5;1
195808;78.3;1
195809;45;1
195810;52.9;1
195811;40.3;1
195812;100.2;1
195901;106.8;1
195902;0;1
195903;64.3;1
195904;84.3;1
195905;10.6;1
195906;30.5;1
195907;9.6;1
195908;37.8;1
195909;1.8;1
195910;36.6;1
195911;56.6;1
195912;70.4;1
196001;51.7;1
196002;43.2;1
196003;45.5;1
196004;5.9;1
196005;36.7;1
196006;59.4;1
196007;139.1;1
196008;88.7;1
196009;48.2;1
196010;114.1;1
196011;84.4;1
196012;62.8;1
196101;75.2;1
196102;73.2;1
196103;6.7;1
196104;38;1
196105;41.9;1
196106;53.7;1
196107;62.7;1
196108;6.8;1
196109;29.5;1
196110;74.8;1
196111;65.7;1
196112;66.8;1
196201;80.7;1
196202;28.6;1
196203;70.8;1
196204;39.6;1
196205;45.9;1
196206;0;1
196207;19.7;1
196208;16.8;1
196209;33.9;1
196210;23.2;1
196211;45.8;1
196212;48.8;1
196301;24.8;1
196302;14.8;1
196303;60.6;1
196304;21.4;1
196305;66.2;1
196306;101.4;1
196307;16.7;1
196308;119.5;1
196309;32.4;1
196310;40.1;1
196311;102.9;1
196312;4.9;1
196401;18.3;1
196402;31.9;1
196403;60.6;1
196404;34;1
196405;12.2;1
196406;7.4;1
196407;19;1
196408;33.8;1
196409;71.5;1
196410;38.7;1
196411;53.3;1
196412;44.9;1
196501;118.6;1
196502;7.7;1
196503;74.5;1
196504;53.3;1
196505;37.4;1
196506;63;1
196507;52.1;1
196508;55.1;1
196509;132.9;1
196510;18.1;1
196511;80.7;1
196512;112.2;1
196601;61.6;1
196602;94.1;1
196603;27.7;1
196604;55.1;1
196605;37.8;1
196606;41.1;1
196607;49.5;1
196608;78.3;1
196609;35.4;1
196610;56.5;1
196611;51.5;1
196612;98.4;1
196701;38.1;1
196702;48.7;1
196703;34.1;1
196704;16;1
196705;52.2;1
196706;24.5;1
196707;14.8;1
196708;64.5;1
196709;144.3;1
196710;84.4;1
196711;62.9;1
196712;84.6;1
196801;79.5;1
196802;38.4;1
196803;31.7;1
196804;41.3;1
196805;66.8;1
196806;63.8;1
196807;87.7;1
196808;83.2;1
196809;56.9;1
196810;29.5;1
196811;20.4;1
196812;47.2;1
196901;32.6;1
196902;31.7;1
