# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 10323001
# NOM_USUEL= ROMILLY
# LATITUDE (°) = 48.503
# LONGITUDE(°)= 3.75
# ALTITUDE (m) = 77
# NUM_SERIE= MRR110323001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 199009 200912
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;116;1
195502;72.6;1
195503;14.2;1
195504;5.1;1
195505;42.7;1
195506;67;1
195507;33.3;1
195508;14.8;1
195509;36.3;1
195510;40.8;1
195511;26.7;1
195512;56.1;1
195601;54.2;1
195602;18.2;1
195603;19;1
195604;56;1
195605;50.5;1
195606;48.8;1
195607;83.8;1
195608;74.8;1
195609;59.9;1
195610;36.6;1
195611;46.2;1
195612;22.5;1
195701;18.4;1
195702;71;1
195703;20.9;1
195704;22.1;1
195705;26.9;1
195706;65.8;1
195707;103.1;1
195708;69.9;1
195709;88.1;1
195710;39.9;1
195711;16.8;1
195712;25.7;1
195801;63.4;1
195802;110.1;1
195803;17.2;1
195804;33;1
195805;156.1;1
195806;93.6;1
195807;82.9;1
195808;50.2;1
195809;44.8;1
195810;39.2;1
195811;47.6;1
195812;71.4;1
195901;108.4;1
195902;1.1;1
195903;48;1
195904;70.5;1
195905;16;1
195906;45.5;1
195907;7.3;1
195908;22.5;1
195909;3.4;1
195910;32.1;1
195911;42.3;1
195912;55.2;1
196001;44.1;1
196002;34.8;1
196003;42.2;1
196004;7.9;1
196005;16.3;1
196006;69.5;1
196007;50.1;1
196008;103.1;1
196009;48;1
196010;109.6;1
196011;55.9;1
196012;52.7;1
196101;70;1
196102;51;1
196103;4.6;1
196104;51.9;1
196105;50.3;1
196106;55.7;1
196107;44.8;1
196108;15.7;1
196109;37.9;1
196110;85.6;1
196111;51.2;1
196112;62.3;1
196201;63.4;1
196202;32.6;1
196203;67.1;1
196204;37.1;1
196205;39.2;1
196206;3.6;1
196207;29.4;1
196208;24.8;1
196209;36.1;1
196210;18.5;1
196211;51.5;1
196212;55.7;1
196301;14.3;1
196302;19.5;1
196303;65.6;1
196304;23.8;1
196305;68.1;1
196306;138.8;1
196307;24.6;1
196308;141.7;1
196309;20.3;1
196310;19.4;1
196311;92.1;1
196312;7.5;1
196401;29.1;1
196402;27.6;1
196403;67.7;1
196404;35.7;1
196405;32.2;1
196406;24.4;1
196407;82;1
196408;16.5;1
196409;77.8;1
196410;31.7;1
196411;29.8;1
196412;36.7;1
196501;90;1
196502;5;1
196503;77.4;1
196504;59.2;1
196505;51.3;1
196506;47.7;1
196507;50.6;1
196508;34.6;1
196509;140.9;1
196510;19.8;1
196511;89.2;1
196512;90.2;1
196601;49.4;1
196602;91.8;1
196603;27.9;1
196604;65.3;1
196605;32.9;1
196606;45.4;1
196607;71.4;1
196608;39.4;1
196609;33.7;1
196610;46.5;1
196611;52.1;1
196612;103.6;1
196701;30.4;1
196702;43.1;1
196703;33.7;1
196704;16.5;1
196705;42.4;1
196706;30;1
196707;41.7;1
196708;73.5;1
196709;104.2;1
196710;79.5;1
196711;65;1
196712;62.2;1
196801;75.4;1
196802;41.8;1
196803;40.2;1
196804;31.4;1
196805;87.7;1
196806;41.7;1
196807;67.3;1
196808;76.4;1
196809;60.7;1
196810;33.9;1
196811;22.2;1
196812;38.5;1
196901;27.7;1
196902;29.5;1
196903;51.4;1
196904;40.3;1
196905;124.6;1
196906;72.6;1
196907;23.6;1
196908;58.1;1
196909;10.2;1
196910;5.3;1
196911;90;1
196912;48.5;1
197001;55.3;1
197002;109.4;1
197003;54.6;1
197004;56.5;1
197005;29.2;1
197006;97.1;1
197007;53.1;1
197008;38.6;1
197009;25.2;1
197010;17.7;1
197011;37.4;1
197012;34.9;1
197101;56.7;1
197102;23.4;1
197103;26.1;1
197104;16.2;1
197105;192.7;1
197106;90;1
197107;49.2;1
197108;151.8;1
197109;14.8;1
197110;27.1;1
197111;73.8;1
197112;5.5;1
197201;43.3;1
197202;30;1
197203;28.2;1
197204;34.5;1
197205;50;1
197206;41.5;1
197207;57.3;1
197208;53.4;1
197209;51.5;1
197210;31.7;1
197211;97.6;1
197212;14.2;1
197301;32.9;1
197302;43.1;1
197303;6.4;1
197304;48.5;1
197305;102.2;1
197306;23.7;1
197307;53.7;1
197308;14.6;1
197309;63.7;1
197310;24.4;1
197311;67.8;1
197312;61.5;1
197401;41.6;1
197402;35.3;1
197403;69.6;1
197404;23.9;1
197405;47.8;1
197406;41.6;1
197407;30.4;1
197408;66;1
197409;96.4;1
197410;102.6;1
197411;53.2;1
197412;57.1;1
197501;71.5;1
197502;9;1
197503;64;1
197504;39.6;1
197505;66.1;1
197506;35.2;1
197507;38.7;1
197508;58.8;1
197509;53.4;1
197510;27.6;1
197511;59.6;1
197512;14.5;1
197601;12.8;1
197602;24;1
197603;18.4;1
197604;29;1
197605;8.4;1
197606;1.1;1
197607;34.8;1
197608;3.6;1
197609;67.8;1
197610;78.1;1
197611;52.6;1
197612;52.6;1
197701;55.3;1
197702;98.6;1
197703;54.7;1
197704;33.1;1
197705;68.5;1
197706;82;1
197707;64.7;1
197708;102.2;1
197709;20.5;1
197710;53.4;1
197711;80.1;1
197712;42.8;1
197801;75.1;1
197802;57.6;1
197803;154;1
197804;48.4;1
197805;66.1;1
197806;60.9;1
197807;44.5;1
197808;10.5;1
197809;20.3;1
197810;8.5;1
197811;13.8;1
197812;108.5;1
197901;36.1;1
197902;76.7;1
197903;102.4;1
197904;60;1
197905;63.7;1
197906;58.3;1
197907;23.7;1
197908;47.5;1
197909;22.4;1
197910;89.4;1
197911;65.3;1
197912;95.4;1
198001;43.5;1
198002;60.3;1
198003;64.6;1
198004;14.2;1
198005;42.2;1
198006;74.6;1
198007;80.9;1
198008;44.3;1
198009;13;1
198010;79;1
198011;53.5;1
198012;81.1;1
198101;59.8;1
198102;38.5;1
198103;71;1
198104;23.3;1
198105;81.8;1
198106;97.2;1
198107;57.9;1
198108;88.4;1
198109;59.4;1
198110;97.4;1
198111;33.5;1
198112;114.4;1
198201;81.7;1
198202;16.6;1
198203;90.7;1
198204;8.3;1
198205;39.5;1
198206;100.9;1
198207;40.8;1
198208;22;1
198209;55.8;1
198210;98.9;1
198211;67.7;1
198212;116.3;1
198301;55.1;1
198302;48.3;1
198303;40.9;1
198304;113.1;1
198305;81.1;1
198306;24.4;1
198307;39.1;1
198308;37.2;1
198309;46.3;1
198310;25.2;1
198311;36.4;1
198312;33;1
198401;122.5;1
198402;43;1
198403;29.2;1
198404;25;1
198405;87;1
198406;56.9;1
198407;26.3;1
198408;38.2;1
198409;111.4;1
198410;95.9;1
198411;64.2;1
198412;40;1
198501;34.6;1
198502;12.1;1
198503;48.5;1
198504;48.2;1
198505;99.9;1
198506;86.2;1
198507;56.6;1
198508;24.6;1
198509;27;1
198510;11.8;1
198511;51.8;1
198512;41.6;1
198601;78;1
198602;27;1
198603;58;1
198604;84.9;1
198605;51.5;1
198606;36.2;1
198607;53.8;1
198608;102.9;1
198609;73.4;1
198610;62.4;1
198611;39.6;1
198612;79.2;1
198701;28.6;1
198702;55.1;1
198703;66.4;1
198704;22.5;1
198705;53.3;1
198706;115.1;1
198707;81.7;1
198708;63;1
198709;72;1
198710;106;1
198711;68;1
198712;43;1
198801;117.3;1
198802;65.2;1
198803;88;1
198804;18.6;1
198805;61.9;1
198806;38.3;1
198807;69.7;1
198808;39.3;1
198809;47.6;1
198810;92.3;1
198811;34.1;1
198812;58.1;1
198901;23.5;1
198902;42.8;1
198903;45.8;1
198904;78.2;1
198905;12.6;1
198906;53.5;1
198907;32.9;1
198908;37.8;1
198909;34.2;1
198910;48.9;1
198911;21.7;1
198912;73.8;1
199001;40.3;1
199002;79;1
199003;10.9;1
199004;40.2;1
199005;49.1;1
199006;58.1;1
199007;56.2;1
199008;74.8;1
199009;37.6;1
199010;86.3;1
199011;66.3;1
199012;73.8;1
199101;59.1;1
199102;18;1
199103;44.6;1
199104;37.9;1
199105;12.1;1
199106;84.7;1
199107;32.6;1
199108;47;1
199109;53.2;1
199110;29.3;1
199111;67.9;1
199112;35.9;1
199201;10.8;1
199202;37.3;1
199203;59.1;1
199204;31.1;1
199205;35.7;1
199206;49.8;1
199207;62;1
199208;81.4;1
199209;29.6;1
199210;82.9;1
199211;108.1;1
199212;48.5;1
199301;56.2;1
199302;13.9;1
199303;10.1;1
199304;56.7;1
199305;62;1
199306;50.1;1
199307;86.2;1
199308;11.5;1
199309;118.4;1
199310;57.1;1
199311;20.5;1
199312;99.5;1
199401;55.1;1
199402;60.2;1
199403;56;1
199404;60;1
199405;62.9;1
199406;37.7;1
199407;47.2;1
199408;23.6;1
199409;89.1;1
199410;52.3;1
199411;37.9;1
199412;66.6;1
199501;99;1
199502;69;1
199503;100.1;1
199504;70.1;1
199505;85.4;1
199506;41.9;1
199507;81.6;1
199508;38.2;1
199509;92.6;1
199510;65.5;1
199511;32.6;1
199512;46.5;1
199601;44.3;1
199602;59.5;1
199603;11.9;1
199604;9.9;1
199605;45.9;1
199606;13.7;1
199607;40.6;1
199608;107;1
199609;26.5;1
199610;61.3;1
199611;137.2;1
199612;45.4;1
199701;16.5;1
199702;85.4;1
199703;15.4;1
199704;13.5;1
199705;69.7;1
199706;119.5;1
199707;37.7;1
199708;62;1
199709;31.8;1
199710;53.6;1
199711;74.8;1
199712;81.8;1
199801;57.1;1
199802;8.6;1
199803;23.8;1
199804;112.7;1
199805;30.7;1
199806;67.3;1
199807;29.3;1
199808;19.8;1
199809;71.9;1
199810;154.2;1
199811;33.7;1
199812;37.5;1
199901;51.2;1
199902;46.3;1
199903;48.1;1
199904;85.4;1
199905;78.7;1
199906;46.8;1
199907;39;1
199908;26.5;1
199909;81.2;1
199910;38.2;1
199911;51.2;1
199912;151.3;1
200001;25.6;1
200002;69.9;1
200003;52.5;1
200004;80.5;1
200005;82;1
200006;45.9;1
200007;95.7;1
200008;32.6;1
200009;43.2;1
200010;92;1
200011;97;1
200012;65.9;1
200101;45.4;1
200102;38.4;1
200103;107.4;1
200104;106.3;1
200105;55.1;1
200106;47.2;1
200107;110.5;1
200108;78.7;1
200109;121.7;1
200110;71;1
200111;62.4;1
200112;57.3;1
200201;30.7;1
200202;115.6;1
200203;63.1;1
200204;16.5;1
200205;44.3;1
200206;28.5;1
200207;39.9;1
200208;64.8;1
200209;22.7;1
200210;77.6;1
200211;90;1
200212;72.1;1
200301;62.9;1
200302;29.6;1
200303;30.4;1
200304;50.7;1
200305;82.7;1
200306;56.9;1
200307;31.1;1
200308;27.8;1
200309;16.5;1
200310;87.3;1
200311;40.1;1
200312;45.9;1
200401;116.2;1
200402;23.6;1
200403;32;1
200404;61.1;1
200405;59.5;1
200406;36.4;1
200407;32;1
200408;126.6;1
200409;11.7;1
200410;83.1;1
200411;24.3;1
200412;58.7;1
200501;41.5;1
200502;34.6;1
200503;45;1
200504;57.8;1
200505;57.1;1
200506;50.3;1
200507;52.7;1
200508;38.8;1
200509;70.1;1
200510;22.3;1
200511;31.5;1
200512;51.6;1
200601;34.6;1
200602;64.6;1
200603;81.4;1
200604;23.8;1
200605;76.5;1
200606;29.1;1
200607;23.8;1
200608;102.8;1
200609;12.4;1
200610;80.5;1
200611;45.7;1
200612;49.4;1
200701;41.9;1
200702;73.9;1
200703;66.8;1
200704;1.1;1
200705;82.3;1
200706;56.5;1
200707;96.8;1
200708;87.1;1
200709;33.5;1
200710;32.4;1
200711;46.5;1
200712;62;1
200801;50.1;1
200802;80.5;1
200803;74.3;1
200804;82.9;1
200805;57.3;1
200806;47.2;1
200807;41.2;1
200808;49.2;1
200809;44.3;1
200810;54.5;1
200811;30.2;1
200812;42.1;1
200901;36.8;1
200902;31.1;1
200903;33.3;1
200904;64.2;1
200905;31.1;1
200906;40.1;1
200907;77.4;1
200908;29.3;1
200909;21.6;1
200910;29.8;1
200911;80.7;1
200912;73.4;1
201001;33.4;1
201002;54.2;1
201003;42.6;1
201004;21.8;1
201005;53;1
201006;29.8;1
201007;27.2;1
201008;150.6;1
201009;60.4;1
201010;22.2;1
201011;75.6;1
201012;113.7;1
201101;36.6;1
201102;16.4;1
201103;31.6;1
201104;9.4;1
201105;46.6;1
201106;66.4;1
201107;82.6;1
201108;65;1
201109;27.4;1
201110;57;1
201111;12.2;1
201112;115.8;1
201201;45.6;1
201202;8.6;1
201203;24.8;1
201204;62;1
201205;88;1
201206;76.4;1
201207;94.6;1
201208;6;1
201209;40.9;1
201210;92.3;1
201211;41.4;1
201212;84.4;1
201301;50;1
201302;61.5;1
201303;43.6;1
201304;61;1
201305;116.8;1
