# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 11012001
# NOM_USUEL= ARGELIERS
# LATITUDE (°) = 43.308
# LONGITUDE(°)= 2.912
# ALTITUDE (m) = 31
# NUM_SERIE= MRR111012001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;56.2;1
195002;10.1;1
195003;51.5;1
195004;10.1;1
195005;8;1
195006;33.5;1
195007;16.6;1
195008;50.8;1
195009;21.8;1
195010;83.6;1
195011;0.1;1
195012;129;1
195101;45.3;1
195102;31.8;1
195103;103.4;1
195104;35.5;1
195105;66.3;1
195106;18.4;1
195107;23.4;1
195108;59.1;1
195109;62.7;1
195110;289.8;1
195111;36.1;1
195112;20.3;1
195201;51.7;1
195202;43.2;1
195203;84.6;1
195204;45;1
195205;4.6;1
195206;16;1
195207;11.7;1
195208;16.8;1
195209;26.7;1
195210;68.6;1
195211;17.4;1
195212;40.1;1
195301;9.7;1
195302;8;1
195303;7.6;1
195304;9.1;1
195305;22.1;1
195306;92.8;1
195307;6.9;1
195308;8.1;1
195309;86.3;1
195310;63.1;1
195311;12.7;1
195312;292.2;1
195401;18.6;1
195402;102;1
195403;168.5;1
195404;28;1
195405;35.4;1
195406;13.6;1
195407;83.3;1
195408;41.6;1
195409;18.6;1
195410;9.4;1
195411;7;1
195412;6.3;1
195501;200.1;1
195502;7.7;1
195503;2.3;1
195504;0.4;1
195505;21.8;1
195506;23.5;1
195507;38.2;1
195508;24.3;1
195509;26.2;1
195510;41.8;1
195511;44.4;1
195512;81.3;1
195601;18.2;1
195602;6.7;1
195603;109.4;1
195604;26.1;1
195605;26.1;1
195606;16;1
195607;16;1
195608;39.7;1
195609;36.3;1
195610;81.9;1
195611;44.4;1
195612;44.4;1
195701;3.6;1
195702;11.5;1
195703;9.3;1
195704;204.9;1
195705;111.7;1
195706;129.9;1
195707;3.7;1
195708;46.1;1
195709;23.3;1
195710;11.2;1
195711;61.8;1
195712;22.3;1
195801;67.3;1
195802;2.8;1
195803;86.9;1
195804;32;1
195805;17.2;1
195806;21.1;1
195807;48.3;1
195808;12.5;1
195809;20;1
195810;12.4;1
195811;114.6;1
195812;70.1;1
195901;5.7;1
195902;269.1;1
195903;74.6;1
195904;30.9;1
195905;15.6;1
195906;33.4;1
195907;25.2;1
195908;64;1
195909;138.6;1
195910;146.3;1
195911;59.3;1
195912;74.6;1
196001;27.7;1
196002;6.2;1
196003;237;1
196004;0.5;1
196005;6.7;1
196006;27.9;1
196007;51.2;1
196008;50;1
196009;21.1;1
196010;67;1
196011;5;1
196012;85.8;1
196101;14.2;1
196102;24.1;1
196103;0;1
196104;64.9;1
196105;20.1;1
196106;11.8;1
196107;4;1
196108;15;1
196109;43.1;1
196110;42.6;1
196111;239.9;1
196112;43.2;1
196201;50.7;1
196202;14.1;1
196203;123.7;1
196204;103.6;1
196205;27.7;1
196206;23.8;1
196207;26.6;1
196208;2.9;1
196209;83.8;1
196210;92.4;1
196211;246.7;1
196212;28.9;1
196301;92.7;1
196302;119.2;1
196303;35.6;1
196304;76.2;1
196305;5.2;1
196306;16.9;1
196307;13.8;1
196308;37.4;1
196309;210.6;1
196310;11.5;1
196311;10.3;1
196312;80;1
196401;8;1
196402;152.5;1
196403;71.2;1
196404;41.6;1
196405;96;1
196406;5.6;1
196407;39.8;1
196408;29.9;1
196409;235.5;1
196410;56.5;1
196411;143.9;1
196412;108.6;1
196501;61.8;1
196502;80.7;1
196503;22.4;1
196504;6.9;1
196505;29.2;1
196506;9.4;1
196507;12.9;1
196508;40.9;1
196509;65.8;1
196510;491.2;1
196511;22.7;1
196512;36.7;1
196601;38.2;1
196602;54.3;1
196603;7.4;1
196604;80.9;1
196605;91.3;1
196606;5.4;1
196607;31.1;1
196608;15.9;1
196609;22.2;1
196610;244.6;1
196611;52.2;1
196612;34.7;1
196701;24.9;1
196702;125.9;1
196703;10.4;1
196704;35.7;1
196705;28.6;1
196706;8;1
196707;6.1;1
196708;0.8;1
196709;17.6;1
196710;8.2;1
196711;47.3;1
196712;15;1
196801;9;1
196802;52.3;1
196803;10.7;1
196804;50.5;1
196805;78.6;1
196806;71.4;1
196807;9;1
196808;70.7;1
196809;7.6;1
196810;2.4;1
196811;158.7;1
196812;84.7;1
196901;38;1
196902;25.5;1
196903;145.9;1
196904;190.6;1
196905;37.9;1
196906;18.6;1
196907;37.9;1
196908;30.8;1
196909;188.9;1
196910;304.2;1
196911;9;1
196912;107.7;1
197001;28.4;1
197002;11.4;1
197003;28.9;1
197004;10.4;1
197005;53.4;1
197006;32.1;1
197007;0.7;1
197008;42.1;1
197009;6.9;1
197010;118.4;1
197011;5.4;1
197012;22.7;1
197101;59.6;1
197102;3.3;1
197103;158.1;1
197104;123.3;1
197105;67;1
197106;22.8;1
197107;23.2;1
197108;10.6;1
197109;59.9;1
197110;117.8;1
197111;15.4;1
197112;230.9;1
197201;139;1
197202;71.7;1
197203;58;1
197204;46;1
197205;49.8;1
197206;104;1
197207;31.7;1
197208;35.4;1
197209;167.5;1
197210;106.3;1
197211;53.1;1
197212;32;1
197301;22.7;1
197302;15;1
197303;6.7;1
197304;20.6;1
197305;38.4;1
197306;79.2;1
197307;10.2;1
197308;52;1
197309;15.2;1
197310;24;1
197311;3.4;1
197312;93.7;1
197401;13.6;1
197402;42.7;1
197403;92.5;1
197404;54.1;1
197405;11.3;1
197406;11.2;1
197407;38.1;1
197408;78;1
197409;46.7;1
197410;20.2;1
197411;16.9;1
197412;0.1;1
197501;8;1
197502;35.3;1
197503;27.2;1
197504;6.2;1
197505;82.9;1
197506;50.4;1
197507;18;1
197508;56.8;1
197509;31.5;1
197510;1.1;1
197511;30.2;1
197512;48.3;1
197601;6;1
197602;61.1;1
197603;23.5;1
197604;47.4;1
197605;35;1
197606;5.6;1
197607;34.1;1
197608;44.7;1
197609;47;1
197610;124.7;1
197611;17.4;1
197612;25.3;1
197701;71.3;1
197702;29.5;1
197703;26.7;1
197704;47.9;1
197705;151.7;1
197706;83.2;1
197707;31.1;1
197708;28.1;1
197709;4.1;1
197710;175.3;1
197711;18.9;1
197712;41.8;1
197801;47.2;1
197802;58.2;1
197803;114.8;1
197804;78.1;1
197805;61;1
197806;47.6;1
197807;5.9;1
197808;9.5;1
197809;17;1
197810;0.6;1
197811;4.3;1
197812;96.3;1
197901;371.2;1
197902;26.9;1
197903;26.2;1
197904;25;1
197905;39.5;1
197906;9.8;1
197907;8.3;1
197908;27.6;1
197909;56.3;1
197910;299.7;1
197911;13.6;1
197912;26.2;1
198001;75.9;1
198002;23.9;1
198003;45.8;1
198004;199.9;1
198005;59.7;1
198006;20.8;1
198007;12.5;1
198008;39.1;1
198009;62.8;1
198010;35.2;1
198011;76.3;1
198012;27.4;1
198101;91.7;1
198102;149;1
198103;75;1
198104;24.3;1
198105;39.9;1
198106;64.6;1
198107;8.7;1
198108;3.9;1
198109;23.2;1
198110;24.7;1
198111;3.9;1
198112;119.5;1
198201;107.8;1
198202;86.7;1
198203;51.8;1
198204;17.9;1
198205;3.6;1
198206;22.7;1
198207;19.4;1
198208;66.8;1
198209;43.5;1
198210;39.6;1
198211;105.2;1
198212;35.2;1
198301;0;1
198302;125.5;1
198303;8.3;1
198304;27.8;1
198305;18.1;1
198306;14.4;1
198307;2.5;1
198308;79.6;1
198309;1.8;1
198310;18.7;1
198311;63.6;1
198312;16.9;1
198401;29.9;1
198402;21.3;1
198403;142.2;1
198404;11.4;1
198405;109.7;1
198406;9.2;1
198407;19.6;1
198408;30.3;1
198409;56.3;1
198410;13.7;1
198411;104.2;1
198412;28.1;1
198501;10.4;1
198502;63.5;1
198503;16.4;1
198504;61.2;1
198505;56;1
198506;31.9;1
198507;5.5;1
198508;23.9;1
198509;0;1
198510;63.8;1
198511;18;1
198512;18.2;1
198601;86.6;1
198602;155.1;1
198603;39.7;1
198604;58.5;1
198605;10.9;1
198606;6.2;1
198607;0.6;1
198608;39;1
198609;43;1
198610;141;1
198611;61.5;1
198612;26.8;1
198701;17.3;1
198702;94.4;1
198703;81.3;1
198704;18;1
198705;28.6;1
198706;15.4;1
198707;33.1;1
198708;23.8;1
198709;24;1
198710;289.5;1
198711;31.5;1
198712;142;1
198801;59.8;1
198802;12.9;1
198803;29.5;1
198804;77.6;1
198805;64.3;1
198806;42.3;1
198807;3.1;1
198808;5.2;1
198809;13.2;1
198810;9.1;1
198811;42.1;1
198812;10.4;1
198901;46;1
198902;29.5;1
198903;10.8;1
198904;118.5;1
198905;1.8;1
198906;3.1;1
198907;4.1;1
198908;79.2;1
198909;46.9;1
198910;37.5;1
198911;216.5;1
198912;22.7;1
199001;13.6;1
199002;39.5;1
199003;15.2;1
199004;31.6;1
199005;29.2;1
199006;36.3;1
199007;60.1;1
199008;41;1
199009;21.3;1
199010;78.1;1
199011;38.1;1
199012;10.1;1
199101;30.7;1
199102;59.6;1
199103;153.6;1
199104;53;1
199105;48.9;1
199106;16.5;1
199107;4.6;1
199108;59.6;1
199109;54;1
199110;107.7;1
199111;9.4;1
199112;35.1;1
199201;107.9;1
199202;24.1;1
199203;34.4;1
199204;30.8;1
199205;68.3;1
199206;123.5;1
199207;25.3;1
199208;31.7;1
199209;172.9;1
199210;135.2;1
199211;9.2;1
199212;50.8;1
199301;1.7;1
199302;36.4;1
199303;62.9;1
199304;199.8;1
199305;60.3;1
199306;9.4;1
199307;7;1
199308;24.6;1
199309;103.1;1
199310;141.2;1
199311;135.1;1
199312;27.3;1
199401;6.4;1
199402;59.8;1
199403;1.8;1
199404;41.9;1
199405;27.2;1
199406;25.7;1
199407;11.3;1
199408;18.2;1
199409;173.4;1
199410;259.2;1
199411;40.5;1
199412;10.5;1
199501;15.2;1
199502;12;1
199503;12.6;1
199504;7.6;1
199505;24;1
199506;5.8;1
199507;23.9;1
199508;24.4;1
199509;37.7;1
199510;37.7;1
199511;83.8;1
199512;178;1
199601;329.5;1
199602;171.8;1
199603;77.5;1
199604;63.4;1
199605;32.7;1
199606;24.2;1
199607;24.6;1
199608;95.8;1
199609;87.6;1
199610;132.6;1
199611;63.2;1
199612;185.8;1
199701;81.5;1
199702;8.1;1
199703;1.3;1
199704;17;1
199705;64.4;1
199706;129.1;1
199707;7.1;1
199708;107.8;1
199709;28.7;1
199710;54.6;1
199711;136.8;1
199712;97.6;1
199801;12.3;1
199802;22.4;1
199803;11.3;1
199804;45.6;1
199805;8.7;1
199806;13.4;1
199807;17.6;1
199808;15.3;1
199809;66.7;1
199810;13.6;1
199811;11;1
199812;38.8;1
199901;59;1
199902;1.7;1
199903;8.9;1
199904;63.1;1
199905;156.1;1
199906;34.3;1
199907;3.3;1
199908;69.4;1
199909;54.2;1
199910;58.3;1
199911;197.2;1
199912;14.1;1
200001;30.2;1
200002;5.5;1
200003;17.6;1
200004;67.7;1
200005;47.2;1
200006;161.7;1
200007;15.7;1
200008;28.6;1
200009;8.5;1
200010;83.7;1
200011;59.1;1
200012;32.8;1
200101;113;1
200102;0;1
200103;73.3;1
200104;26.3;1
200105;23.1;1
200106;45.3;1
200107;49.1;1
200108;2;1
200109;98.7;1
200110;24.2;1
200111;36;1
200112;3.6;1
200201;30.5;1
200202;28.4;1
200203;33.5;1
200204;59.1;1
200205;63.2;1
200206;37.1;1
200207;21.8;1
200208;35.3;1
200209;10.4;1
200210;208.3;1
200211;41.3;1
200212;43.9;1
200301;27.7;1
200302;123.5;1
200303;12.2;1
200304;28.2;1
200305;38.3;1
200306;0.7;1
200307;5.1;1
200308;23;1
200309;16.2;1
200310;164;1
200311;160;1
200312;195.1;1
200401;40.3;1
200402;66.9;1
200403;53.6;1
200404;121.4;1
200405;51.3;1
200406;8.5;1
200407;4.2;1
200408;66.4;1
200409;76.4;1
200410;72.7;1
200411;2.2;1
200412;53.1;1
200501;2.3;1
200502;94.5;1
200503;28.7;1
200504;36.9;1
200505;23.5;1
200506;8;1
200507;0;1
200508;25.2;1
200509;154.5;1
200510;175.8;1
200511;229.8;1
200512;11;1
200601;291.1;1
200602;14.5;1
200603;52;1
200604;13.1;1
200605;7.3;1
200606;5.1;1
200607;21;1
200608;22.9;1
200609;62.3;1
200610;57.8;1
200611;5.2;1
200612;14.6;1
200701;2.3;1
200702;84.6;1
200703;21.9;1
200704;68.5;1
200705;57.5;1
200706;9.6;1
200707;3.3;1
200708;9.9;1
200709;5.1;1
200710;58.4;1
200711;8.9;1
200712;39;1
200801;79.3;1
200802;58.2;1
200803;11.2;1
200804;25.1;1
200805;65.6;1
200806;52.5;1
200807;13.5;1
200808;6.6;1
200809;17.9;1
200810;8.6;1
200811;129.1;1
200812;92.8;1
200901;107.7;1
200902;42.5;1
200903;16.4;1
200904;145.7;1
200905;19.8;1
200906;11.6;1
200907;9.5;1
200908;27.7;1
200909;21.2;1
200910;94;1
200911;9.5;1
200912;20.6;1
201001;53.5;1
201002;100;1
201003;62.6;1
201004;6.5;1
201005;80.1;1
201006;23.2;1
201007;7.1;1
201008;8.2;1
201009;42;1
201010;198.1;1
201011;25.9;1
201012;21.2;1
201101;66.6;1
201102;26.8;1
201103;181.9;1
201104;72.9;1
201105;37.6;1
201106;26.8;1
201107;24.1;1
201108;23;1
201109;0;1
201110;111;1
201111;163;1
201112;14;1
201201;1;1
201202;0;1
201203;32.2;1
201204;42.4;1
201205;39;1
201206;28.5;1
201207;30.2;1
201208;74.1;1
201209;62;1
201210;72.2;1
201211;22.3;1
201212;14;1
201301;38.2;1
201302;16;1
201303;175.4;1
201304;99.3;1
201305;47.3;1
201306;16.6;1
201307;13.4;1
201308;32.8;1
201309;18.9;1
