# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 11015001
# NOM_USUEL= ARQUES
# LATITUDE (°) = 42.952
# LONGITUDE(°)= 2.375
# ALTITUDE (m) = 350
# NUM_SERIE= MRR111015001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;47.3;1
195002;80.3;1
195003;99.6;1
195004;127.6;1
195005;33.3;1
195006;54.6;1
195007;14.5;1
195008;41.1;1
195009;66.4;1
195010;102;1
195011;53.4;1
195012;149.4;1
195101;85.2;1
195102;135.8;1
195103;72.3;1
195104;63.6;1
195105;204.4;1
195106;41.2;1
195107;15.8;1
195108;40.6;1
195109;23.3;1
195110;110.7;1
195111;171;1
195112;95.2;1
195201;160.4;1
195202;170.7;1
195203;63.2;1
195204;49.5;1
195205;36.5;1
195206;26.1;1
195207;13.7;1
195208;13.3;1
195209;19.4;1
195210;107.8;1
195211;40.2;1
195212;65.6;1
195301;21.9;1
195302;22.3;1
195303;49.8;1
195304;41.8;1
195305;77.4;1
195306;176.2;1
195307;51.7;1
195308;46.9;1
195309;54.9;1
195310;52.7;1
195311;35;1
195312;267.5;1
195401;85.7;1
195402;211.6;1
195403;143.5;1
195404;39;1
195405;73.4;1
195406;62.4;1
195407;52.5;1
195408;50;1
195409;16.6;1
195410;32.5;1
195411;39;1
195412;78.5;1
195501;270;1
195502;30.1;1
195503;1.5;1
195504;15.5;1
195505;23.4;1
195506;49.7;1
195507;96.2;1
195508;55.2;1
195509;68.4;1
195510;21.2;1
195511;37.6;1
195512;124;1
195601;56.7;1
195602;25;1
195603;83.3;1
195604;66;1
195605;149;1
195606;62.5;1
195607;45.5;1
195608;27;1
195609;156.2;1
195610;39;1
195611;157.6;1
195612;39.3;1
195701;24.1;1
195702;47.4;1
195703;34.2;1
195704;159.5;1
195705;142.1;1
195706;126.8;1
195707;42.9;1
195708;66.6;1
195709;48.4;1
195710;12.4;1
195711;110.6;1
195712;31.3;1
195801;49;1
195802;8;1
195803;160;1
195804;111.6;1
195805;38.2;1
195806;38.5;1
195807;44.1;1
195808;31.2;1
195809;15.4;1
195810;36.6;1
195811;158;1
195812;113.2;1
195901;55.6;1
195902;230.2;1
195903;129.3;1
195904;98;1
195905;49;1
195906;91.7;1
195907;40.7;1
195908;68.1;1
195909;59.9;1
195910;97.5;1
195911;55.9;1
195912;144.4;1
196001;49.4;1
196002;22.5;1
196003;103.4;1
196004;27.6;1
196005;9.9;1
196006;47.5;1
196007;73;1
196008;33.2;1
196009;109.3;1
196010;116.5;1
196011;47.2;1
196012;214.2;1
196101;114.8;1
196102;63.1;1
196103;0;1
196104;121.9;1
196105;66.2;1
196106;51.1;1
196107;3.2;1
196108;24.8;1
196109;40.7;1
196110;78.1;1
196111;113;1
196112;16.4;1
196201;121.3;1
196202;61.8;1
196203;60.1;1
196204;169.3;1
196205;58;1
196206;30.5;1
196207;29.4;1
196208;4.1;1
196209;66.1;1
196210;58.1;1
196211;272.5;1
196212;70.5;1
196301;32.8;1
196302;32.7;1
196303;105.7;1
196304;91.4;1
196305;23.9;1
196306;77.2;1
196307;63.3;1
196308;69.9;1
196309;246.2;1
196310;30.3;1
196311;56.8;1
196312;93.8;1
196401;5.5;1
196402;52.2;1
196403;71.9;1
196404;50.3;1
196405;43.7;1
196406;19.4;1
196407;40.2;1
196408;21.9;1
196409;54;1
196410;94.9;1
196411;126.5;1
196412;148.4;1
196501;74.8;1
196502;16.9;1
196503;26.6;1
196504;49;1
196505;57.2;1
196506;29;1
196507;20.8;1
196508;35;1
196509;63.1;1
196510;343.9;1
196511;39.3;1
196512;203.4;1
196601;67.4;1
196602;54.8;1
196603;37.4;1
196604;60.7;1
196605;143.5;1
196606;18.9;1
196607;39.3;1
196608;28;1
196609;29.7;1
196610;148.1;1
196611;149.7;1
196612;159.6;1
196701;37.6;1
196702;128.9;1
196703;40.7;1
196704;44.8;1
196705;37.8;1
196706;40;1
196707;14;1
196708;1.5;1
196709;112.5;1
196710;36;1
196711;109.2;1
196712;52;1
196801;64.9;1
196802;105.8;1
196803;56;1
196804;42.1;1
196805;132.7;1
196806;69;1
196807;8.5;1
196808;32.8;1
196809;35.4;1
196810;16.8;1
196811;430.8;1
196812;104.4;1
196901;26.7;1
196902;32.7;1
196903;182.5;1
196904;238.5;1
196905;24.8;1
196906;44;1
196907;63.8;1
196908;19.3;1
196909;162.2;1
196910;64.5;1
196911;18.1;1
196912;158.6;1
197001;45.3;1
197002;50.4;1
197003;61.8;1
197004;61.4;1
197005;139.4;1
197006;48.2;1
197007;18.8;1
197008;29.2;1
197009;1.2;1
197010;207.2;1
197011;35.8;1
197012;82.8;1
197101;107.5;1
197102;110.6;1
197103;148.9;1
197104;79.5;1
197105;66.2;1
197106;66.7;1
197107;54.7;1
197108;18.5;1
197109;72.5;1
197110;45.1;1
197111;103.7;1
197112;218.2;1
197201;243.5;1
197202;149.3;1
197203;78.7;1
197204;162.7;1
197205;84;1
197206;104.3;1
197207;7.3;1
197208;39.5;1
197209;127.4;1
197210;38.2;1
197211;59.1;1
197212;46.7;1
197301;38.4;1
197302;87.2;1
197303;34;1
197304;32.9;1
197305;21.8;1
197306;111.7;1
197307;55.1;1
197308;23.5;1
197309;32.6;1
197310;12.8;1
197311;12.5;1
197312;160.3;1
197401;43.9;1
197402;163.3;1
197403;211.5;1
197404;122.9;1
197405;48.4;1
197406;42.9;1
197407;25.9;1
197408;64.2;1
197409;62.8;1
197410;101.5;1
197411;81.8;1
197412;24.5;1
197501;36.6;1
197502;80.7;1
197503;95.1;1
197504;29.5;1
197505;173.4;1
197506;69.9;1
197507;8.8;1
197508;104.3;1
197509;23.3;1
197510;19.8;1
197511;106.9;1
197512;52.4;1
197601;40.7;1
197602;94.9;1
197603;59.7;1
197604;122.8;1
197605;48;1
197606;52.6;1
197607;100.3;1
197608;23;1
197609;62;1
197610;133.1;1
197611;59.4;1
197612;107.1;1
197701;92;1
197702;25.5;1
197703;29.1;1
197704;59.5;1
197705;245.4;1
197706;72.7;1
197707;45.2;1
197708;143.6;1
197709;0;1
197710;111.3;1
197711;71;1
197712;31.9;1
197801;134.8;1
197802;105.5;1
197803;160.1;1
197804;127;1
197805;106.3;1
197806;72;1
197807;18.6;1
197808;10.6;1
197809;54.6;1
197810;55.4;1
197811;1.6;1
197812;61.1;1
197901;176.7;1
197902;88.9;1
197903;94.8;1
197904;142.9;1
197905;68.5;1
197906;31.6;1
197907;23.7;1
197908;58.6;1
197909;47.3;1
197910;245.8;1
197911;55;1
197912;100.2;1
198001;115.5;1
198002;26.2;1
198003;84.5;1
198004;63.9;1
198005;155;1
198006;10.9;1
198007;32.2;1
198008;84.5;1
198009;23.1;1
198010;66.6;1
198011;98.8;1
198012;103.6;1
198101;134.4;1
198102;46.7;1
198103;97.6;1
198104;114.5;1
198105;55.2;1
198106;53.5;1
198107;70.4;1
198108;9.7;1
198109;69;1
198110;53.1;1
198111;39.8;1
198112;163.1;1
198201;143.2;1
198202;136.2;1
198203;71;1
198204;15.9;1
198205;7;1
198206;38.7;1
198207;23.2;1
198208;97.3;1
198209;34.7;1
198210;150.1;1
198211;58.9;1
198212;98.9;1
198301;12.5;1
198302;105.9;1
