# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 11028001
# NOM_USUEL= BELCAIRE
# LATITUDE (°) = 42.82
# LONGITUDE(°)= 1.968
# ALTITUDE (m) = 980
# NUM_SERIE= MRR111028001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195801 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195801 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;79.1;1
195802;39.4;1
195803;171.2;1
195804;64.7;1
195805;39.2;1
195806;95.5;1
195807;50.2;1
195808;48;1
195809;41.2;1
195810;71.5;1
195811;111.6;1
195812;93.4;1
195901;32.6;1
195902;97.2;1
195903;117.7;1
195904;144.1;1
195905;77.7;1
195906;116.3;1
195907;38.1;1
195908;167.3;1
195909;83.7;1
195910;129.3;1
195911;56.6;1
195912;114.1;1
196001;45.2;1
196002;18.6;1
196003;92.7;1
196004;96.8;1
196005;27;1
196006;68.4;1
196007;107.4;1
196008;32.1;1
196009;124.9;1
196010;110.1;1
196011;77.2;1
196012;241.3;1
196101;97.5;1
196102;57.7;1
196103;0;1
196104;173.5;1
196105;116.8;1
196106;82.5;1
196107;40.8;1
196108;25.8;1
196109;59.9;1
196110;107.3;1
196111;73;1
196112;35.8;1
196201;66.4;1
196202;101.6;1
196203;61.6;1
196204;179.5;1
196205;85;1
196206;36.2;1
196207;22.3;1
196208;11;1
196209;73.3;1
196210;102.5;1
196211;169.7;1
196212;117.9;1
196301;71.7;1
196302;71.7;1
196303;132;1
196304;84.2;1
196305;52.3;1
196306;107.3;1
196307;130.2;1
196308;91.6;1
196309;323;1
196310;26;1
196311;63.3;1
196312;45.7;1
196401;34.3;1
196402;60.4;1
196403;99;1
196404;60.5;1
196405;73.1;1
196406;76.4;1
196407;118.8;1
196408;52.4;1
196409;49.5;1
196410;154.6;1
196411;60.1;1
196412;148.9;1
196501;151.6;1
196502;55.1;1
196503;109.5;1
196504;159.6;1
196505;136.6;1
196506;91.1;1
196507;51.3;1
196508;78.3;1
196509;102.1;1
196510;129.6;1
196511;71.1;1
196512;248.2;1
196601;92.1;1
196602;78.9;1
196603;86.9;1
196604;105;1
196605;174;1
196606;41.9;1
196607;55.2;1
196608;61.9;1
196609;19.6;1
196610;172.3;1
196611;135.2;1
196612;238;1
196701;40.9;1
196702;18.5;1
196703;68.6;1
196704;63;1
196705;63.3;1
196706;52.6;1
196707;41;1
196708;22.1;1
196709;82.1;1
196710;38.5;1
196711;99;1
196712;92.3;1
196801;128.6;1
196802;59.3;1
196803;63.4;1
196804;45.3;1
196805;182.2;1
196806;110.9;1
196807;36.6;1
196808;93.6;1
196809;77.9;1
196810;20.8;1
196811;211;1
196812;110.3;1
196901;43.8;1
196902;68.1;1
196903;201.2;1
196904;214.6;1
196905;81.7;1
196906;60.8;1
196907;90.2;1
196908;65.3;1
196909;69.2;1
196910;41.6;1
196911;37.7;1
196912;232.5;1
197001;60;1
197002;75.3;1
197003;130.7;1
197004;102.6;1
197005;119.3;1
197006;86.8;1
197007;11.5;1
197008;51.4;1
197009;4.2;1
197010;135;1
197011;56.9;1
197012;78.6;1
197101;111.5;1
197102;165.8;1
197103;99.9;1
197104;65.6;1
197105;140.1;1
197106;101.6;1
197107;54.2;1
197108;64.8;1
197109;87;1
197110;34.6;1
197111;114.1;1
197112;195.2;1
197201;187.2;1
197202;109.1;1
197203;52.6;1
197204;190.5;1
197205;96.9;1
197206;107;1
197207;34.6;1
197208;55.4;1
197209;108.2;1
197210;48.4;1
197211;47.2;1
197212;31.2;1
197301;87.8;1
197302;157.6;1
197303;50.6;1
197304;52.1;1
197305;41.5;1
197306;109.3;1
197307;56.9;1
197308;62.3;1
197309;56.4;1
197310;24.5;1
197311;53.2;1
197312;100.8;1
197401;43.4;1
197402;168.1;1
197403;201.4;1
197404;114.6;1
197405;64;1
197406;65.6;1
197407;43.2;1
197408;148.9;1
197409;123.4;1
197410;171.2;1
197411;89.8;1
197412;25.4;1
197501;36.9;1
197502;33;1
197503;108.5;1
197504;52;1
197505;130.3;1
197506;67.8;1
197507;20.4;1
197508;148.1;1
197509;61.9;1
197510;35.6;1
197511;148.4;1
197512;19.9;1
197601;29.9;1
197602;79.3;1
197603;66.9;1
197604;124.8;1
197605;54.3;1
197606;27.4;1
197607;123;1
197608;58.5;1
197609;58.3;1
197610;152.2;1
197611;65.6;1
197612;137.2;1
197701;79.8;1
197702;29.6;1
197703;57.9;1
197704;104.3;1
197705;259.3;1
197706;94.8;1
197707;120.4;1
197708;86.4;1
197709;5.5;1
197710;37;1
197711;78.2;1
197712;26.4;1
197801;180;1
197802;139.5;1
197803;174.4;1
197804;158.1;1
197805;117.2;1
