# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 11069001
# NOM_USUEL= CARCASSONNE
# LATITUDE (°) = 43.215
# LONGITUDE(°)= 2.296
# ALTITUDE (m) = 128
# NUM_SERIE= MRR111069001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : 198512
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;28.5;1
195002;46;1
195003;34.3;1
195004;54.5;1
195005;28.4;1
195006;0.4;1
195007;21.1;1
195008;36.2;1
195009;46.5;1
195010;47.2;1
195011;23.5;1
195012;107.1;1
195101;67.4;1
195102;56.7;1
195103;83.3;1
195104;31.1;1
195105;96.8;1
195106;59.5;1
195107;19.4;1
195108;31.9;1
195109;29.3;1
195110;73.5;1
195111;58.8;1
195112;55.2;1
195201;87.4;1
195202;104.9;1
195203;66.2;1
195204;28.2;1
195205;26.4;1
195206;23.3;1
195207;38;1
195208;22.6;1
195209;18.6;1
195210;81.9;1
195211;52;1
195212;88.2;1
195301;45.8;1
195302;34.5;1
195303;17.4;1
195304;35.8;1
195305;54.2;1
195306;76.3;1
195307;15.8;1
195308;39.9;1
195309;36.4;1
195310;47.4;1
195311;27.3;1
195312;89.1;1
195401;59.3;1
195402;105.2;1
195403;93;1
195404;40.5;1
195405;81.2;1
195406;27.1;1
195407;57.3;1
195408;35.1;1
195409;26.9;1
195410;15.7;1
195411;27.7;1
195412;39.2;1
195501;96.7;1
195502;36.8;1
195503;4;1
195504;4.9;1
195505;44.6;1
195506;39.8;1
195507;75.9;1
195508;13.9;1
195509;39.7;1
195510;17.4;1
195511;29.9;1
195512;95.1;1
195601;45.7;1
195602;22.6;1
195603;37.3;1
195604;67.1;1
195605;91.9;1
195606;37.6;1
195607;56.8;1
195608;39.4;1
195609;80.5;1
195610;25.5;1
195611;59.4;1
195612;26.3;1
195701;17.9;1
195702;42.9;1
195703;26.6;1
195704;111.2;1
195705;91.4;1
195706;131.5;1
195707;21.2;1
195708;49.3;1
195709;37.7;1
195710;9.1;1
195711;65.5;1
195712;14.3;1
195801;55.5;1
195802;18.4;1
195803;115.6;1
195804;55.9;1
195805;42;1
195806;33.8;1
195807;46.8;1
195808;28;1
195809;18.3;1
195810;13.4;1
195811;60.2;1
195812;100.5;1
195901;36.4;1
195902;124;1
195903;44.1;1
195904;89.3;1
195905;24.5;1
195906;53.5;1
195907;17.2;1
195908;64.5;1
195909;93.7;1
195910;72.5;1
195911;28.8;1
195912;158.8;1
196001;41.5;1
196002;21.3;1
196003;92.4;1
196004;18.5;1
196005;19.3;1
196006;69.4;1
196007;51.6;1
196008;38.7;1
196009;60;1
196010;112.2;1
196011;41.1;1
196012;154.8;1
196101;60.8;1
196102;56.2;1
196103;0;1
196104;117.7;1
196105;54.5;1
196106;35.5;1
196107;13.2;1
196108;8.6;1
196109;22.1;1
196110;59.3;1
196111;75.8;1
196112;40.4;1
196201;65.7;1
196202;43.2;1
196203;40.9;1
196204;87.8;1
196205;57.1;1
196206;20.1;1
196207;17.1;1
196208;26.9;1
196209;42.7;1
196210;53.1;1
196211;201.7;1
196212;77.1;1
196301;45.3;1
196302;83.5;1
196303;65.7;1
196304;85.1;1
196305;21.8;1
196306;95.2;1
196307;57.7;1
196308;51.5;1
196309;157.8;1
196310;13.4;1
196311;31.1;1
196312;47.7;1
196401;11.8;1
196402;77.8;1
196403;92.4;1
196404;48.2;1
196405;25.3;1
196406;20.5;1
196407;19.1;1
196408;20.3;1
196409;85.9;1
196410;75.4;1
196411;65.1;1
196412;74.5;1
196501;73;1
196502;26.7;1
196503;43.1;1
196504;74.8;1
196505;56.2;1
196506;40.8;1
196507;15.3;1
196508;34.2;1
196509;48.8;1
196510;277.2;1
196511;70;1
196512;166.5;1
196601;71.6;1
196602;91.2;1
196603;14.8;1
196604;46.3;1
196605;90.5;1
196606;15;1
196607;49.6;1
196608;38.3;1
196609;24.3;1
196610;150.4;1
196611;57.7;1
196612;97.3;1
196701;31.3;1
196702;68.1;1
196703;20.1;1
196704;21.6;1
196705;40.1;1
196706;36.2;1
196707;7.7;1
196708;1.5;1
196709;24;1
196710;18.6;1
196711;42.2;1
196712;37.3;1
196801;62.9;1
196802;48.4;1
196803;36.4;1
196804;46.8;1
196805;84.6;1
196806;49.3;1
196807;15.7;1
196808;58.7;1
196809;14.9;1
196810;20.1;1
196811;195.3;1
196812;83.3;1
196901;38.2;1
196902;37.3;1
196903;164.7;1
196904;117.4;1
196905;49.5;1
196906;24.2;1
196907;45.9;1
196908;45.4;1
196909;139.5;1
196910;41.8;1
196911;19.8;1
196912;122;1
197001;39;1
197002;61.1;1
197003;53;1
197004;28.8;1
197005;59.9;1
197006;32;1
197007;0.7;1
197008;41.1;1
197009;2.5;1
197010;216.4;1
197011;28.5;1
197012;31.2;1
197101;78.4;1
197102;46.5;1
197103;91;1
197104;53.7;1
197105;56.4;1
197106;37.8;1
197107;17.4;1
197108;41.4;1
197109;79.9;1
197110;13.3;1
197111;51.8;1
197112;161.7;1
197201;94.8;1
197202;80.6;1
197203;62.2;1
197204;95.4;1
197205;58.3;1
197206;70;1
197207;17.9;1
197208;36.1;1
197209;72.7;1
197210;29.4;1
197211;37.6;1
197212;26.3;1
197301;47.7;1
197302;93.2;1
197303;9.4;1
197304;33.3;1
197305;16.1;1
197306;101.6;1
197307;17.9;1
197308;18;1
197309;24.9;1
197310;17.9;1
197311;21.4;1
197312;97.9;1
197401;28.6;1
197402;117.2;1
197403;127.4;1
197404;62.8;1
197405;40.8;1
197406;19;1
197407;33;1
197408;38.3;1
197409;44.6;1
197410;76.2;1
197411;59.5;1
197412;10.7;1
197501;37.8;1
197502;28;1
197503;74;1
197504;32.2;1
197505;80.8;1
197506;40.2;1
197507;8.5;1
197508;67.5;1
197509;33.1;1
197510;4.6;1
197511;85.9;1
197512;22.1;1
197601;23.8;1
197602;43.5;1
197603;43.4;1
197604;74.4;1
197605;22.3;1
197606;3.2;1
197607;37.6;1
197608;33.4;1
197609;46.4;1
197610;115.1;1
197611;34.2;1
197612;63.9;1
197701;51.8;1
197702;26.9;1
197703;25.3;1
197704;52.5;1
197705;181.2;1
197706;78.9;1
197707;52.3;1
197708;71.9;1
197709;1.2;1
197710;57.7;1
197711;43.6;1
197712;20;1
197801;103.1;1
197802;82.1;1
197803;124.1;1
197804;82.5;1
197805;63.9;1
197806;51.7;1
197807;18;1
197808;6.5;1
197809;37.2;1
197810;17.1;1
197811;8.5;1
197812;37.9;1
197901;97.1;1
197902;70.6;1
197903;56.5;1
197904;93.1;1
197905;50.2;1
197906;19.7;1
197907;6;1
197908;36.9;1
197909;34.2;1
197910;151.3;1
197911;36.1;1
197912;65.2;1
198001;67.3;1
198002;19.9;1
198003;68.1;1
