# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 14137001
# NOM_USUEL= CAEN-CARPIQUET
# LATITUDE (°) = 49.18
# LONGITUDE(°)= -0.456
# ALTITUDE (m) = 67
# NUM_SERIE= MRR114137001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;37.2;1
195102;69.8;1
195103;73.9;1
195104;63;1
195105;108.6;1
195106;66.9;1
195107;23;1
195108;90.6;1
195109;65.7;1
195110;41.4;1
195111;100.8;1
195112;73.9;1
195201;74.2;1
195202;48.7;1
195203;61.9;1
195204;25.7;1
195205;51.7;1
195206;28.9;1
195207;36.2;1
195208;68.7;1
195209;130.5;1
195210;135;1
195211;97.5;1
195212;76.3;1
195301;33.9;1
195302;67.6;1
195303;2;1
195304;71.7;1
195305;47.6;1
195306;40.2;1
195307;54.2;1
195308;16.4;1
195309;46.3;1
195310;60.6;1
195311;29.8;1
195312;23.4;1
195401;55.3;1
195402;59.7;1
195403;44.6;1
195404;6;1
195405;66.7;1
195406;53.8;1
195407;31;1
195408;88;1
195409;105.2;1
195410;29.1;1
195411;46.1;1
195412;57.1;1
195501;59.3;1
195502;75.4;1
195503;22.1;1
195504;9.3;1
195505;60.9;1
195506;64.1;1
195507;23.9;1
195508;16.3;1
195509;59.9;1
195510;142.8;1
195511;9.1;1
195512;100.7;1
195601;94.2;1
195602;20.4;1
195603;13.9;1
195604;53.5;1
195605;24.3;1
195606;48.6;1
195607;65.5;1
195608;77;1
195609;53.6;1
195610;64;1
195611;51.2;1
195612;65.5;1
195701;24.2;1
195702;122.7;1
195703;22.3;1
195704;27;1
195705;27.6;1
195706;31.8;1
195707;89.5;1
195708;48.1;1
195709;122.8;1
195710;18.6;1
195711;43.8;1
195712;50.6;1
195801;133.6;1
195802;125.3;1
195803;65.8;1
195804;41.5;1
195805;84.7;1
195806;121.5;1
195807;11.7;1
195808;84.9;1
195809;42.1;1
195810;57;1
195811;69.8;1
195812;54.2;1
195901;100.3;1
195902;0.9;1
195903;47.9;1
195904;51;1
195905;32.2;1
195906;19;1
195907;18.7;1
195908;12.5;1
195909;14.7;1
195910;90.7;1
195911;61.8;1
195912;77.9;1
196001;47;1
196002;41.4;1
196003;85.1;1
196004;31.2;1
196005;44.7;1
196006;73;1
196007;54;1
196008;99.7;1
196009;101;1
196010;233;1
196011;69.4;1
196012;112.1;1
196101;86;1
196102;56.2;1
196103;4.7;1
196104;51.5;1
196105;26.9;1
196106;23;1
196107;44.6;1
196108;9.6;1
196109;65.8;1
196110;101.7;1
196111;170.3;1
196112;44.5;1
196201;75.4;1
196202;45.7;1
196203;67.9;1
196204;53.2;1
196205;47.7;1
196206;5.4;1
196207;51.1;1
196208;65.6;1
196209;59;1
196210;56.4;1
196211;128.3;1
196212;71.2;1
196301;25.2;1
196302;21.5;1
196303;52.6;1
196304;55;1
196305;23.6;1
196306;61.8;1
196307;30.5;1
196308;130.1;1
196309;75.7;1
196310;40.2;1
196311;112.2;1
196312;11.4;1
196401;21.5;1
196402;93.8;1
196403;84.6;1
196404;54;1
196405;64.3;1
196406;116.4;1
196407;13.2;1
196408;29.1;1
196409;21.7;1
196410;127.3;1
196411;34;1
196412;101.3;1
196501;143.8;1
196502;13.6;1
196503;64.4;1
196504;45.3;1
196505;58.2;1
196506;65.4;1
196507;55.7;1
196508;51.1;1
196509;92.3;1
196510;21;1
196511;145;1
196512;168.6;1
196601;83.2;1
196602;54.8;1
196603;14.6;1
196604;92;1
196605;48.3;1
196606;76.1;1
196607;84.7;1
196608;40.4;1
196609;29;1
196610;143;1
196611;165.1;1
196612;105.4;1
196701;21.6;1
196702;33.8;1
196703;39.6;1
196704;16.8;1
196705;90;1
196706;42;1
196707;37.1;1
196708;36.3;1
196709;108.6;1
196710;67.8;1
196711;58.5;1
196712;79.7;1
196801;80.5;1
196802;71;1
196803;19.3;1
196804;53.1;1
196805;29.8;1
196806;57.1;1
196807;35.6;1
196808;59.8;1
196809;81.7;1
196810;44.5;1
196811;30.8;1
196812;46.9;1
196901;29.9;1
196902;65.9;1
196903;54.6;1
196904;24.9;1
196905;105;1
196906;31.6;1
