# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 14239001
# NOM_USUEL= ENGLESQUEVILLE
# LATITUDE (°) = 49.388
# LONGITUDE(°)= -0.957
# ALTITUDE (m) = 38
# NUM_SERIE= MRR114239001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 199012
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;70.4;1
195102;91.1;1
195103;97.3;1
195104;61;1
195105;109.5;1
195106;80.7;1
195107;46.8;1
195108;107.1;1
195109;87.8;1
195110;44.5;1
195111;100;1
195112;107.9;1
195201;113.2;1
195202;55.2;1
195203;85;1
195204;34.7;1
195205;78.2;1
195206;20.1;1
195207;64.5;1
195208;108.5;1
195209;191.6;1
195210;151.2;1
195211;115.1;1
195212;90.3;1
195301;30.7;1
195302;48.8;1
195303;5.3;1
195304;102.6;1
195305;37.3;1
195306;31.4;1
195307;56.2;1
195308;25.5;1
195309;76.3;1
195310;57.5;1
195311;61.8;1
195312;37.1;1
195401;74.1;1
195402;68.9;1
195403;66.7;1
195404;8.6;1
195405;48.6;1
195406;75.3;1
195407;64.2;1
195408;75.9;1
195409;143.2;1
195410;66.4;1
195411;58.6;1
195412;87.2;1
195501;80.1;1
195502;101.6;1
195503;61.9;1
195504;8.5;1
195505;64.5;1
195506;76.2;1
195507;7.5;1
195508;25.7;1
195509;68.9;1
195510;145.8;1
195511;14.4;1
195512;115.6;1
195601;147.1;1
195602;33.6;1
195603;14.1;1
195604;47.8;1
195605;18.7;1
195606;56.4;1
195607;79.1;1
195608;111.2;1
195609;79.3;1
195610;62.6;1
195611;41.7;1
195612;113.2;1
195701;33;1
195702;166.7;1
195703;35;1
195704;19.1;1
195705;30.5;1
195706;37;1
195707;94.2;1
195708;60.2;1
195709;116.7;1
195710;31.4;1
195711;68.1;1
195712;67.5;1
195801;137.3;1
195802;138;1
195803;61.7;1
195804;28.6;1
195805;57.6;1
195806;111.4;1
195807;31.1;1
195808;99.6;1
195809;64.9;1
195810;74.3;1
195811;53.1;1
195812;83.4;1
195901;103.1;1
195902;1.1;1
195903;40.3;1
195904;70.6;1
195905;60;1
195906;40.4;1
195907;25.2;1
195908;36.7;1
195909;2.8;1
195910;101.9;1
195911;116.5;1
195912;100.9;1
196001;71.1;1
196002;69.5;1
196003;91;1
196004;33.5;1
196005;51.6;1
196006;29.2;1
196007;65.5;1
196008;104.9;1
196009;92.2;1
196010;266.8;1
196011;152.5;1
196012;161.3;1
196101;162.4;1
196102;48.8;1
196103;1.9;1
196104;55.4;1
196105;9.9;1
196106;24.7;1
196107;83;1
196108;10.3;1
196109;60.3;1
196110;107.5;1
196111;147.2;1
196112;93.4;1
196201;125.7;1
196202;34.2;1
196203;75;1
196204;55.4;1
196205;39.4;1
196206;7.8;1
196207;67.2;1
196208;52.2;1
196209;59.2;1
196210;72.1;1
196211;114.1;1
196212;72.3;1
196301;39;1
196302;45.1;1
196303;58.5;1
196304;63.7;1
196305;35.2;1
196306;51.7;1
196307;25;1
196308;105.1;1
196309;95;1
196310;62.6;1
196311;198;1
196312;34.3;1
196401;38.8;1
196402;53.6;1
196403;93.4;1
196404;72.7;1
196405;65;1
196406;156;1
196407;13.6;1
196408;24.7;1
196409;19.4;1
196410;104;1
196411;65.1;1
196412;113.7;1
196501;172;1
196502;8.6;1
196503;71.3;1
196504;38.3;1
196505;54.9;1
196506;58.7;1
196507;33.8;1
196508;65.4;1
196509;120.2;1
196510;25.6;1
196511;147.6;1
196512;226.6;1
196601;101.6;1
196602;82.9;1
196603;19.4;1
196604;110.3;1
196605;49.4;1
196606;70;1
196607;76.6;1
196608;46.7;1
196609;24.7;1
196610;223.7;1
196611;150.8;1
196612;122.1;1
196701;27.9;1
196702;64.6;1
196703;77.1;1
196704;48.5;1
196705;121.6;1
196706;35.8;1
196707;35.8;1
196708;66.4;1
196709;132.8;1
196710;141.1;1
196711;71.4;1
196712;136.9;1
196801;72.4;1
196802;124.2;1
196803;28.9;1
196804;63.5;1
196805;42.3;1
196806;49;1
196807;59.5;1
196808;31.7;1
196809;102.2;1
196810;85.8;1
196811;89.4;1
196812;80.8;1
196901;39.8;1
196902;98.1;1
196903;63.4;1
196904;37.4;1
196905;107.5;1
196906;31.9;1
196907;56.9;1
196908;41.5;1
196909;25.7;1
196910;2.4;1
196911;133.1;1
196912;76;1
197001;112.4;1
197002;113.6;1
197003;55.2;1
197004;77.4;1
197005;26.2;1
197006;14.1;1
197007;47.4;1
197008;98.3;1
197009;34.6;1
197010;16.5;1
197011;125.2;1
197012;50.8;1
197101;80.6;1
197102;28.3;1
197103;38;1
197104;51.6;1
197105;76.2;1
197106;66.3;1
197107;36.3;1
197108;86.9;1
197109;27.2;1
197110;29.5;1
197111;117.5;1
197112;28.7;1
197201;71.2;1
197202;81.2;1
197203;58.5;1
197204;61.8;1
197205;76.5;1
197206;16.7;1
197207;35.1;1
197208;15.3;1
197209;32.6;1
197210;60.7;1
197211;174.7;1
197212;39;1
197301;38.9;1
197302;55.3;1
197303;18.8;1
197304;74.8;1
197305;104.9;1
197306;66.7;1
197307;85.2;1
197308;45.9;1
197309;79.2;1
197310;39.5;1
197311;53.2;1
197312;65.4;1
197401;69.1;1
197402;107.4;1
197403;56.4;1
197404;20.3;1
197405;45.2;1
197406;87.5;1
197407;26.8;1
197408;79.6;1
197409;149.4;1
197410;181.2;1
197411;126.4;1
197412;66.4;1
197501;99.3;1
197502;17.8;1
197503;92.9;1
197504;47.8;1
197505;69.6;1
197506;20.3;1
197507;34.2;1
197508;73.8;1
197509;108.9;1
197510;30.9;1
197511;120.6;1
197512;28.3;1
197601;30.9;1
197602;31;1
197603;32.4;1
197604;5.9;1
197605;17.9;1
197606;0.8;1
197607;18.2;1
197608;7.6;1
197609;126.1;1
197610;162.4;1
197611;116.3;1
197612;92;1
197701;87.5;1
197702;92;1
197703;63.7;1
197704;52.9;1
197705;71.7;1
197706;48.7;1
197707;12.3;1
197708;68.9;1
197709;16.9;1
197710;39.8;1
197711;151.2;1
197712;72.5;1
197801;105.6;1
197802;103.9;1
197803;112.3;1
197804;47.8;1
197805;33.7;1
197806;129.3;1
197807;133.5;1
197808;45.6;1
197809;37.3;1
197810;7.3;1
197811;23.4;1
197812;227.2;1
197901;67.4;1
197902;104.6;1
197903;144;1
197904;50;1
197905;84.4;1
197906;61.7;1
197907;13.6;1
197908;91.3;1
197909;22.7;1
197910;80.8;1
197911;90.1;1
197912;115.6;1
198001;60.6;1
198002;86.2;1
198003;107;1
198004;6.4;1
198005;49.2;1
198006;86.5;1
198007;124.7;1
198008;17.4;1
198009;44.5;1
198010;105;1
198011;68.8;1
198012;61.5;1
198101;64.6;1
198102;53.2;1
198103;99.4;1
198104;20.5;1
198105;153.5;1
198106;33.8;1
198107;17.3;1
198108;9.9;1
198109;98.3;1
198110;175.6;1
198111;33.1;1
198112;117.9;1
198201;49.4;1
198202;25.7;1
198203;81.7;1
198204;34.1;1
198205;58.5;1
198206;228.7;1
198207;76.4;1
198208;62.4;1
198209;32;1
198210;169.3;1
198211;99;1
198212;157.3;1
198301;67.9;1
198302;61.4;1
198303;67;1
198304;88.3;1
198305;108.5;1
198306;14.5;1
198307;17.3;1
198308;46.7;1
198309;79.5;1
198310;67.7;1
198311;60.2;1
198312;67.9;1
198401;185.5;1
198402;61.8;1
198403;73.5;1
198404;5.7;1
198405;73.3;1
198406;11.2;1
198407;17.9;1
198408;13.7;1
198409;102.4;1
198410;90;1
198411;158.1;1
198412;88.1;1
198501;81.2;1
198502;24.3;1
198503;107.7;1
198504;46.6;1
198505;66.9;1
198506;46.7;1
198507;49;1
198508;72;1
198509;34.8;1
198510;31.9;1
198511;108.4;1
198512;89.1;1
198601;121.4;1
198602;30.5;1
198603;135.3;1
198604;76;1
198605;44.9;1
198606;65.1;1
198607;34.6;1
198608;77;1
198609;83.5;1
198610;103.2;1
198611;98.8;1
198612;141.9;1
198701;35;1
198702;56.1;1
198703;51;1
198704;44.9;1
198705;52.3;1
198706;87;1
198707;134.6;1
198708;38.4;1
198709;53.2;1
198710;182.5;1
198711;131.4;1
198712;42.7;1
198801;190.4;1
198802;110;1
198803;116.3;1
198804;27.4;1
198805;50.1;1
198806;19.7;1
198807;75.4;1
198808;50;1
198809;80.9;1
198810;67.9;1
198811;52.2;1
198812;59.5;1
198901;27.7;1
198902;77.3;1
198903;58.9;1
198904;61;1
198905;8.4;1
198906;44.6;1
198907;45.9;1
198908;18.6;1
198909;56.6;1
198910;42.2;1
198911;63.7;1
198912;90;1
199001;111.6;1
199002;132.9;1
199003;13.4;1
199004;62.5;1
199005;15.8;1
199006;63.6;1
199007;12.8;1
199008;19.1;1
199009;36.8;1
199010;107.7;1
199011;111;1
199012;94.7;1
199101;101.8;1
199102;24.9;1
199103;35;1
199104;44.1;1
199105;27.9;1
199106;76.7;1
199107;54.5;1
199108;9.1;1
199109;32;1
199110;59.7;1
199111;138.3;1
199112;23.9;1
199201;13.8;1
199202;28.6;1
199203;42.5;1
199204;78;1
199205;34.3;1
199206;79.5;1
199207;74.6;1
199208;83.1;1
199209;61.1;1
199210;145.2;1
199211;95.5;1
199212;100.7;1
199301;72.5;1
199302;8.6;1
199303;15.5;1
199304;71.3;1
199305;56.7;1
199306;96.2;1
199307;94.4;1
199308;16.8;1
199309;109.9;1
199310;170.5;1
199311;59.2;1
199312;193;1
199401;97.1;1
199402;63.3;1
199403;54.3;1
199404;79;1
199405;103.6;1
199406;58.6;1
199407;100.1;1
199408;110;1
199409;84.8;1
199410;90.3;1
199411;82.3;1
199412;180.3;1
199501;205.7;1
199502;129.9;1
199503;88.3;1
199504;50;1
199505;60.6;1
199506;18.7;1
199507;38.2;1
199508;13;1
199509;108.1;1
199510;16.1;1
199511;28.3;1
199512;75.8;1
199601;26.4;1
199602;75;1
199603;39.6;1
199604;26.2;1
199605;50.9;1
199606;22.4;1
199607;15.7;1
199608;74.6;1
199609;57.1;1
199610;41.7;1
199611;157.4;1
199612;72.6;1
199701;13.8;1
199702;93.1;1
199703;18.4;1
199704;14.5;1
199705;117.5;1
199706;115.5;1
199707;11;1
199708;58;1
199709;8.9;1
199710;99.7;1
199711;87.7;1
199712;119.5;1
199801;117.2;1
199802;18.4;1
199803;49.7;1
199804;159.3;1
199805;27.7;1
199806;68;1
199807;34.2;1
199808;22.7;1
199809;115.2;1
199810;143.9;1
199811;51.5;1
199812;95.8;1
199901;98.7;1
