# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15085001
# NOM_USUEL= LABROUSSE
# LATITUDE (°) = 44.855
# LONGITUDE(°)= 2.541
# ALTITUDE (m) = 800
# NUM_SERIE= MRR115085001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : 200712
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;189.9;1
195202;96.4;1
195203;119.9;1
195204;66.5;1
195205;127;1
195206;55.1;1
195207;4.7;1
195208;106.1;1
195209;140.6;1
195210;200.8;1
195211;237.7;1
195212;223.6;1
195301;21.3;1
195302;75.2;1
195303;8.2;1
195304;70.5;1
195305;73.8;1
195306;87.6;1
195307;69;1
195308;26.1;1
195309;145.2;1
195310;106.7;1
195311;36.6;1
195312;72.7;1
195401;84.3;1
195402;116.7;1
195403;192.9;1
195404;77.6;1
195405;122.7;1
195406;85.3;1
195407;64;1
195408;213.2;1
195409;159.9;1
195410;74.6;1
195411;127.9;1
195412;148.9;1
195501;321.5;1
195502;179;1
195503;31.2;1
195504;3.2;1
195505;80.8;1
195506;156.1;1
195507;91.3;1
195508;119.4;1
195509;49.6;1
195510;95.8;1
195511;44.4;1
195512;218.2;1
195601;125.2;1
195602;12;1
195603;45.6;1
195604;64.4;1
195605;115;1
195606;80.9;1
195607;169;1
195608;163.7;1
195609;168.4;1
195610;76.8;1
195611;47.6;1
195612;73.2;1
195701;75.7;1
195702;245.4;1
195703;68.9;1
195704;92.2;1
195705;53.9;1
195706;131.5;1
195707;77.8;1
195708;10.8;1
195709;93.5;1
195710;34.4;1
195711;47.9;1
195712;111.9;1
195801;146.8;1
195802;72.3;1
195803;158.2;1
195804;81.3;1
195805;140.7;1
195806;138.6;1
195807;114.9;1
195808;132.4;1
195809;82.5;1
195810;75.9;1
195811;62.5;1
195812;242.8;1
195901;148;1
195902;4.3;1
195903;100.3;1
195904;176.3;1
195905;231.1;1
195906;95.7;1
195907;52.2;1
195908;69;1
195909;171.1;1
195910;106.3;1
195911;110.2;1
195912;349.4;1
196001;105.4;1
196002;108.4;1
196003;170.2;1
196004;28;1
196005;107.2;1
196006;49.3;1
196007;180.1;1
196008;301.7;1
196009;126.2;1
196010;271.4;1
196011;178.7;1
196012;133.9;1
196101;156.3;1
196102;74.3;1
196103;12.8;1
196104;129.3;1
196105;166.5;1
196106;44.3;1
196107;136.5;1
196108;56.4;1
196109;87.1;1
196110;168.5;1
196111;151.8;1
196112;139.4;1
196201;158.1;1
196202;96.4;1
196203;167.8;1
196204;125.7;1
196205;116.2;1
196206;9;1
196207;42.4;1
196208;19.6;1
196209;55.3;1
196210;43;1
196211;162.3;1
196212;184.7;1
196301;57;1
196302;171;1
196303;186.4;1
196304;164.1;1
196305;119.8;1
196306;206.6;1
196307;65.1;1
196308;140.6;1
196309;122.8;1
196310;112.1;1
196311;153.6;1
196312;51.3;1
196401;30;1
196402;58.4;1
196403;144.1;1
196404;196.4;1
196405;204.3;1
196406;87.1;1
196407;32.2;1
196408;74.9;1
196409;55.2;1
196410;208.5;1
196411;94.4;1
196412;39.4;1
196501;156.7;1
196502;19.5;1
196503;179.3;1
196504;157.3;1
196505;166.9;1
196506;69.6;1
196507;150.2;1
196508;125.8;1
196509;232.2;1
196510;67.3;1
196511;286.1;1
196512;352.3;1
196601;209.7;1
196602;126;1
196603;59.6;1
196604;136.3;1
196605;119.5;1
196606;59;1
196607;71.3;1
196608;82.3;1
196609;53;1
196610;162;1
196611;161.6;1
196612;271.6;1
196701;95.4;1
196702;164;1
196703;79.9;1
196704;26.9;1
196705;160.1;1
196706;41.4;1
196707;13.9;1
196708;88.8;1
196709;89.3;1
196710;59;1
196711;153.4;1
196712;121.9;1
196801;182.3;1
196802;85.5;1
196803;68.7;1
196804;71.6;1
196805;190.4;1
196806;93.7;1
196807;79.2;1
196808;232.1;1
196809;165.7;1
196810;78.9;1
196811;61.2;1
196812;203.8;1
196901;126.4;1
196902;94.6;1
196903;199.6;1
196904;166;1
196905;173.3;1
196906;90.3;1
196907;70.2;1
196908;77.9;1
196909;221.6;1
196910;24.2;1
196911;149.4;1
196912;114.3;1
197001;124.3;1
197002;275.9;1
197003;130.1;1
197004;154.4;1
197005;47.2;1
197006;100.7;1
197007;39.9;1
197008;50.5;1
197009;25.4;1
197010;68.4;1
197011;121;1
197012;61.2;1
197101;242.1;1
197102;71.9;1
197103;119.9;1
197104;87.1;1
197105;103.8;1
197106;129.4;1
197107;105.5;1
197108;163.8;1
197109;66;1
197110;51.7;1
197111;137.1;1
197112;31.3;1
197201;111.6;1
197202;185;1
197203;100.2;1
197204;69.2;1
197205;51.4;1
197206;48.4;1
197207;20.6;1
197208;150.8;1
197209;28.6;1
197210;77.7;1
197211;143.4;1
197212;76.2;1
197301;105;1
197302;120.1;1
197303;8.5;1
197304;46.4;1
197305;75;1
197306;114.2;1
197307;172.5;1
197308;27.7;1
197309;76.6;1
197310;161.9;1
197311;131.1;1
197312;158.7;1
197401;95.6;1
197402;166.8;1
197403;75;1
197404;55;1
197405;116.3;1
197406;117;1
197407;77.4;1
197408;100;1
197409;211.1;1
197410;138.1;1
197411;168.3;1
197412;77.4;1
197501;194.7;1
197502;28.9;1
197503;147.1;1
197504;70;1
197505;158.4;1
197506;42;1
197507;52.3;1
197508;108.5;1
197509;181.8;1
197510;77.7;1
197511;155.3;1
197512;38.7;1
197601;45.8;1
197602;67.7;1
197603;75.5;1
197604;100.8;1
197605;45.9;1
197606;24.8;1
197607;104.9;1
197608;80.9;1
197609;138.9;1
197610;307.9;1
197611;199.5;1
197612;175.2;1
197701;153.2;1
197702;186.7;1
197703;119.5;1
197704;72.3;1
197705;200.3;1
197706;155.6;1
197707;64.2;1
197708;165.7;1
197709;8.4;1
197710;104;1
197711;124.6;1
197712;105.7;1
197801;178.1;1
197802;133.7;1
197803;207.1;1
197804;85.8;1
197805;147.4;1
197806;82.1;1
197807;54.7;1
197808;30.7;1
197809;100.2;1
197810;15.6;1
197811;4.2;1
197812;237.5;1
197901;136.3;1
197902;171.4;1
197903;203.6;1
197904;142.2;1
197905;191.3;1
197906;61.9;1
197907;20.9;1
197908;68.4;1
197909;6.1;1
197910;232.6;1
197911;76.5;1
197912;268.7;1
198001;131.8;1
198002;166.7;1
198003;126;1
198004;37.1;1
198005;122.6;1
198006;117.6;1
198007;134.1;1
198008;71.2;1
198009;120;1
198010;216.6;1
198011;102.6;1
198012;123.9;1
198101;173;1
198102;62.4;1
198103;165.6;1
198104;47.9;1
198105;234.7;1
198106;155.5;1
198107;44.9;1
198108;5;1
198109;87;1
198110;142.1;1
198111;45.3;1
198112;354.1;1
198201;106.8;1
198202;54.6;1
198203;96.4;1
198204;12.8;1
198205;98.1;1
198206;63.4;1
198207;147.1;1
198208;100;1
198209;110.2;1
198210;213.6;1
198211;110.6;1
198212;221.8;1
