# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15119001
# NOM_USUEL= MASSIAC
# LATITUDE (°) = 45.263
# LONGITUDE(°)= 3.198
# ALTITUDE (m) = 533
# NUM_SERIE= MRR115119001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 198912 200705
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;10.2;1
195102;48.6;1
195103;40.2;1
195104;35.6;1
195105;126.8;1
195106;97.9;1
195107;69.3;1
195108;83.9;1
195109;44;1
195110;40.3;1
195111;78.6;1
195112;22.3;1
195201;24.1;1
195202;49.7;1
195203;25.1;1
195204;44.2;1
195205;35.3;1
195206;42.9;1
195207;3;1
195208;70.8;1
195209;48;1
195210;37.4;1
195211;69.3;1
195212;38.8;1
195301;0;1
195302;22.5;1
195303;0;1
195304;35.9;1
195305;22.9;1
195306;109.8;1
195307;27.5;1
195308;21.2;1
195309;80.8;1
195310;43;1
195311;7;1
195312;41.7;1
195401;14.8;1
195402;49.3;1
195403;43;1
195404;49.5;1
195405;98.7;1
195406;57.7;1
195407;38.7;1
195408;173.3;1
195409;116.7;1
195410;20.3;1
195411;36.8;1
195412;22.9;1
195501;92.2;1
195502;43.6;1
195503;7.8;1
195504;4.9;1
195505;30.3;1
195506;93.9;1
195507;36.5;1
195508;21.3;1
195509;34.4;1
195510;51.1;1
195511;17.7;1
195512;50.2;1
195601;40.6;1
195602;19.9;1
195603;18.8;1
195604;28.5;1
195605;80.2;1
195606;20;1
195607;113;1
195608;73.8;1
195609;135.1;1
195610;33.8;1
195611;28.5;1
195612;32.2;1
195701;39.3;1
195702;33.7;1
195703;12.5;1
195704;48.7;1
195705;36.9;1
195706;144.4;1
195707;1.3;1
195708;49.5;1
