# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 15191001
# NOM_USUEL= ST ILLIDE
# LATITUDE (°) = 45.064
# LONGITUDE(°)= 2.304
# ALTITUDE (m) = 635
# NUM_SERIE= MRR115191001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195301 201612
# Date(s) de rupture(s) d'homogénéité : 201012
#     Periode homogénéisée  195301 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;31.1;1
195302;75.4;1
195303;10.2;1
195304;84.6;1
195305;58.1;1
195306;79.4;1
195307;73.5;1
195308;23.2;1
195309;121.9;1
195310;64.9;1
195311;39.4;1
195312;30.3;1
195401;89.9;1
195402;166.5;1
195403;168.2;1
195404;71.6;1
195405;99.8;1
195406;120.4;1
195407;70.6;1
195408;229.2;1
195409;131.6;1
195410;80;1
195411;138.5;1
195412;112.1;1
195501;290.7;1
195502;155.7;1
195503;35.5;1
195504;7;1
195505;86.9;1
195506;196.7;1
195507;146.7;1
195508;77.3;1
195509;58.3;1
195510;126.1;1
195511;68.3;1
195512;195.1;1
195601;129.9;1
195602;14.9;1
195603;91.6;1
195604;97.6;1
195605;133.4;1
195606;107.4;1
195607;170.4;1
195608;148.2;1
195609;120.8;1
195610;66.6;1
195611;42.4;1
195612;67.2;1
195701;60.2;1
195702;250.7;1
195703;64.7;1
195704;86.5;1
195705;56.6;1
195706;154.8;1
195707;100;1
195708;30.2;1
195709;122.2;1
195710;29.9;1
195711;54.5;1
195712;99.9;1
195801;142.3;1
195802;71.2;1
195803;139.1;1
195804;73.7;1
195805;184.7;1
195806;120.6;1
195807;142.2;1
195808;88;1
195809;104.2;1
195810;56.3;1
195811;86.8;1
195812;178.7;1
195901;129.6;1
195902;8.9;1
195903;130.3;1
195904;198.6;1
195905;105.6;1
195906;87.8;1
195907;50.5;1
195908;185;1
195909;138.4;1
195910;127;1
195911;110;1
195912;327.7;1
196001;125.6;1
196002;115.4;1
196003;137.5;1
196004;25.9;1
196005;65.2;1
196006;102;1
196007;136.5;1
196008;213.3;1
196009;125;1
196010;293.5;1
196011;126.3;1
196012;139.2;1
196101;179.9;1
196102;65.6;1
196103;5.9;1
196104;113.3;1
196105;130;1
196106;80.2;1
196107;134.8;1
196108;32.4;1
196109;102.1;1
196110;172.1;1
196111;113.5;1
196112;174;1
196201;180.2;1
196202;67.2;1
196203;140.7;1
196204;127.5;1
196205;134;1
196206;41.5;1
196207;57.3;1
196208;29.1;1
196209;64;1
196210;41;1
196211;186.4;1
196212;174.6;1
196301;68.4;1
196302;129;1
196303;174.5;1
196304;126.8;1
196305;110.3;1
196306;223.3;1
196307;33.1;1
196308;241.6;1
196309;139.8;1
196310;141.1;1
196311;149.6;1
196312;49.6;1
196401;23;1
196402;68.1;1
196403;117.6;1
196404;170.2;1
196405;178.3;1
196406;124.5;1
196407;20.6;1
196408;132.6;1
196409;79.4;1
196410;166.1;1
196411;77.9;1
196412;56.6;1
196501;140.3;1
196502;5.5;1
196503;138;1
196504;105.1;1
196505;160.3;1
196506;47;1
196507;111.3;1
196508;91.5;1
196509;237.8;1
196510;36.6;1
196511;259.9;1
196512;287.8;1
196601;166;1
196602;138.9;1
196603;65.8;1
196604;145.8;1
196605;139.8;1
196606;72.7;1
196607;71.8;1
196608;115.2;1
196609;19.9;1
196610;167.7;1
196611;165.1;1
196612;209.6;1
196701;89.3;1
196702;144.8;1
196703;90.5;1
196704;19.2;1
196705;171.7;1
196706;30.9;1
196707;8.7;1
196708;120;1
196709;96.4;1
196710;91.8;1
196711;154.5;1
196712;113.4;1
196801;144.7;1
196802;97.1;1
196803;65.5;1
196804;67.8;1
196805;194.2;1
196806;118.5;1
196807;99.3;1
196808;184.9;1
196809;177.7;1
196810;101.4;1
196811;51.6;1
196812;178.7;1
196901;118.2;1
196902;114.4;1
196903;178.9;1
196904;178.9;1
196905;248.2;1
196906;113.2;1
196907;104.6;1
196908;97.1;1
196909;190.2;1
196910;33.1;1
196911;165.9;1
196912;109;1
197001;152.1;1
197002;271.8;1
197003;109.2;1
197004;135.8;1
197005;63.1;1
197006;97.4;1
197007;44;1
197008;79.8;1
197009;45.7;1
197010;95.7;1
197011;115.7;1
197012;47.5;1
197101;240.6;1
197102;73.8;1
197103;125.1;1
197104;116.1;1
197105;114.9;1
197106;143.8;1
197107;117.9;1
197108;159.2;1
197109;50.4;1
197110;42.2;1
197111;143.2;1
197112;29.1;1
197201;117.6;1
197202;149.9;1
197203;84.2;1
197204;89.1;1
197205;54.5;1
197206;53;1
197207;43.6;1
197208;138.9;1
197209;41.9;1
197210;85.5;1
197211;150.4;1
197212;93.4;1
197301;102.3;1
197302;113.8;1
197303;10.7;1
197304;58.1;1
197305;103.7;1
197306;107.5;1
197307;148.3;1
197308;29.1;1
197309;61.7;1
197310;156.1;1
197311;77.1;1
197312;131.5;1
197401;98.4;1
197402;130.3;1
197403;85;1
197404;57.3;1
197405;118.2;1
197406;146.8;1
197407;57.6;1
197408;127.4;1
197409;212.3;1
197410;160;1
197411;164.9;1
197412;75.2;1
197501;183.3;1
197502;36.5;1
197503;123.2;1
197504;66.5;1
197505;184.9;1
197506;43.6;1
197507;38.7;1
197508;100;1
197509;161.5;1
197510;57.2;1
197511;139.9;1
197512;34.9;1
197601;39.3;1
197602;74;1
197603;57.4;1
197604;65.1;1
197605;49.8;1
197606;0;1
197607;88.9;1
197608;56.1;1
197609;126.1;1
197610;269.8;1
197611;176.9;1
197612;159.4;1
197701;122.9;1
197702;210.9;1
197703;144.2;1
197704;65.5;1
197705;185.2;1
197706;174.1;1
197707;86.8;1
197708;183.2;1
197709;13.1;1
197710;106.4;1
197711;98.5;1
197712;101.5;1
197801;169;1
197802;138.4;1
197803;188.5;1
197804;108.6;1
197805;89.2;1
197806;70.6;1
197807;50.7;1
197808;29.5;1
197809;74.8;1
197810;14;1
197811;16.7;1
197812;247.7;1
197901;124.4;1
197902;147.9;1
197903;166.5;1
197904;159.8;1
197905;193.8;1
197906;51.3;1
197907;13.8;1
197908;79.1;1
197909;27.9;1
197910;215;1
197911;108.7;1
197912;245.7;1
198001;139.5;1
198002;190.4;1
198003;121.1;1
198004;14.3;1
198005;135.1;1
198006;120.2;1
198007;164.5;1
198008;124.8;1
198009;77.9;1
198010;192.1;1
198011;131.8;1
198012;105.4;1
198101;147.6;1
198102;67.3;1
198103;186.1;1
198104;25.4;1
198105;245.3;1
198106;152.1;1
198107;71;1
198108;40.5;1
198109;161.4;1
198110;144.3;1
198111;40.5;1
198112;341.6;1
198201;113.3;1
198202;59.3;1
198203;100.9;1
198204;14.2;1
198205;92.2;1
198206;68.6;1
198207;88.3;1
198208;78.1;1
198209;120.5;1
198210;181.9;1
198211;97.7;1
198212;255.4;1
198301;68.1;1
198302;129.9;1
198303;83.6;1
198304;221.7;1
198305;202.1;1
198306;56.8;1
198307;30.6;1
198308;142.1;1
198309;73.9;1
198310;90.3;1
198311;75.9;1
198312;141.2;1
198401;217.3;1
198402;125.9;1
198403;110.8;1
198404;18.2;1
198405;158;1
198406;132.3;1
