# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 16028001
# NOM_USUEL= BARBEZIEUX
# LATITUDE (°) = 45.481
# LONGITUDE(°)= -0.149
# ALTITUDE (m) = 72
# NUM_SERIE= MRR116028001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;15.4;1
195002;129.9;1
195003;61.5;1
195004;55.3;1
195005;55.3;1
195006;9.8;1
195007;15.4;1
195008;74.1;1
195009;58.8;1
195010;25.3;1
195011;210.9;1
195012;129.8;1
195101;87.1;1
195102;152.9;1
195103;88.2;1
195104;46.6;1
195105;122.4;1
195106;83;1
195107;49.6;1
195108;66.3;1
195109;24.5;1
195110;37.3;1
195111;111;1
195112;132.4;1
195201;97.7;1
195202;58.5;1
195203;85.8;1
195204;59.3;1
195205;50.9;1
195206;18.5;1
195207;25.1;1
195208;51.3;1
195209;137.2;1
195210;180;1
195211;200.2;1
195212;193.9;1
195301;11.1;1
195302;46.4;1
195303;1.8;1
195304;67.6;1
195305;36.7;1
195306;73.6;1
195307;80.3;1
195308;17.6;1
195309;67.7;1
195310;61.4;1
195311;37.6;1
195312;3.7;1
195401;59.7;1
195402;102.5;1
195403;100.5;1
195404;30.2;1
195405;42.7;1
195406;23.9;1
195407;50.1;1
195408;106.1;1
195409;69.7;1
195410;74.9;1
195411;74.8;1
195412;68.9;1
195501;214.7;1
195502;111.3;1
195503;14.4;1
195504;2;1
195505;42.3;1
195506;177.9;1
195507;89.6;1
195508;65.5;1
195509;22.2;1
195510;37.2;1
195511;40.8;1
195512;118.7;1
195601;72;1
195602;2.7;1
195603;24.1;1
195604;73.1;1
195605;50.9;1
195606;60.4;1
195607;74.9;1
195608;100;1
195609;51.1;1
195610;33.8;1
195611;26.7;1
195612;41;1
195701;54.1;1
195702;185.3;1
195703;49.5;1
195704;36.8;1
195705;37.2;1
195706;101.6;1
195707;91.9;1
195708;40.4;1
195709;71.9;1
195710;28.9;1
195711;39.2;1
195712;82.1;1
195801;138.6;1
195802;47.1;1
195803;113.9;1
195804;53.4;1
195805;124.4;1
195806;113.6;1
195807;71.1;1
195808;87.4;1
195809;82.2;1
195810;52.5;1
195811;43.5;1
195812;182.3;1
195901;85.8;1
195902;16.7;1
195903;60.4;1
195904;126.2;1
195905;47.3;1
195906;27.5;1
195907;50.9;1
195908;43.1;1
195909;69.2;1
195910;123.5;1
195911;89.5;1
195912;217.7;1
196001;69.3;1
196002;104.1;1
196003;72;1
196004;30;1
196005;50;1
196006;41.9;1
196007;36.8;1
196008;85.9;1
196009;91.2;1
196010;250.3;1
196011;134.7;1
196012;151.8;1
196101;169;1
196102;39;1
196103;0;1
196104;64.5;1
196105;72;1
196106;51.1;1
196107;88.3;1
196108;11;1
196109;49.6;1
196110;112.7;1
196111;145.5;1
196112;116.8;1
196201;152.5;1
196202;32.7;1
196203;146.2;1
196204;65.1;1
196205;50.5;1
196206;0.3;1
196207;35.2;1
196208;19.2;1
196209;48.8;1
196210;75.5;1
196211;84.4;1
196212;79.5;1
196301;46.5;1
196302;105.5;1
196303;132.4;1
196304;54.5;1
196305;34.9;1
196306;102.3;1
196307;37;1
196308;134;1
196309;81.6;1
196310;50.6;1
196311;112.9;1
196312;31.4;1
196401;7.5;1
196402;66.7;1
196403;66.9;1
196404;109.2;1
196405;99.5;1
196406;30;1
196407;60.3;1
196408;47.3;1
196409;56;1
196410;197.6;1
196411;31.2;1
196412;47.6;1
196501;91.8;1
196502;9.7;1
196503;97.2;1
196504;71.1;1
196505;37.4;1
196506;65.9;1
196507;59.2;1
196508;62.9;1
196509;187.6;1
196510;12;1
196511;187.9;1
196512;164.7;1
196601;120.7;1
196602;129.6;1
196603;41.7;1
196604;70.2;1
196605;59.8;1
196606;109.6;1
196607;29;1
196608;57.1;1
196609;29.3;1
196610;126.8;1
196611;176.9;1
196612;173.2;1
196701;40.5;1
196702;88.8;1
196703;38.6;1
196704;61.7;1
196705;95.6;1
196706;54.6;1
196707;22.3;1
196708;50.4;1
196709;72.3;1
196710;111;1
196711;107.2;1
196712;69.2;1
196801;83.4;1
196802;59.3;1
196803;45.8;1
196804;131.4;1
196805;56.2;1
196806;30.4;1
196807;69.4;1
196808;68.3;1
196809;150.5;1
196810;33.8;1
196811;20.6;1
196812;127.8;1
196901;85.9;1
196902;24.1;1
196903;89.8;1
196904;85.6;1
196905;107.9;1
196906;85;1
196907;24.6;1
196908;36.5;1
196909;178.2;1
196910;6.9;1
196911;128.1;1
196912;75.6;1
197001;114.6;1
197002;165.5;1
197003;89.6;1
197004;66.3;1
197005;37.8;1
197006;79.2;1
197007;13.6;1
197008;77.8;1
197009;32.6;1
197010;48;1
197011;116.2;1
197012;29.6;1
197101;100.8;1
197102;96.4;1
197103;64.4;1
197104;57.6;1
197105;92.4;1
197106;97.8;1
197107;62.8;1
197108;103;1
197109;75.5;1
197110;10.6;1
197111;100.8;1
197112;17.5;1
197201;79;1
197202;94.8;1
197203;73.3;1
197204;70.9;1
197205;64.8;1
197206;43;1
197207;11.6;1
197208;134.2;1
197209;12.7;1
197210;36.6;1
197211;92.5;1
197212;39.4;1
197301;65.8;1
197302;96.2;1
197303;13.7;1
197304;29.8;1
197305;75.6;1
197306;31.9;1
197307;103.2;1
197308;44.6;1
197309;81.7;1
197310;79.2;1
197311;76.9;1
197312;84.4;1
197401;69.6;1
197402;119.1;1
197403;62.7;1
197404;49.3;1
197405;79.7;1
197406;36.8;1
197407;11.7;1
197408;57;1
197409;170.1;1
197410;98.8;1
197411;102.3;1
197412;27.2;1
197501;105.3;1
197502;21.9;1
197503;96.1;1
197504;60.4;1
197505;61.7;1
197506;20.4;1
197507;5.3;1
197508;63.8;1
197509;130;1
197510;39.4;1
197511;88.4;1
197512;56.8;1
197601;12.7;1
197602;50.2;1
197603;57.3;1
197604;46.8;1
197605;16.1;1
197606;3.1;1
197607;38.4;1
197608;80.2;1
197609;120.8;1
197610;130.8;1
197611;162.2;1
197612;108.8;1
197701;119.6;1
197702;179.5;1
197703;50.7;1
197704;48.8;1
197705;128.3;1
197706;94.3;1
197707;94.1;1
197708;64.7;1
197709;12.4;1
197710;49.1;1
197711;59.9;1
197712;98.7;1
197801;165.1;1
197802;123.7;1
197803;153.5;1
197804;89.1;1
197805;62.5;1
197806;52.7;1
197807;42;1
197808;17.4;1
197809;41.3;1
197810;2.4;1
197811;7.6;1
197812;160.7;1
197901;114.1;1
197902;84.4;1
197903;171.9;1
197904;125.8;1
197905;124.5;1
197906;14.3;1
197907;26;1
197908;32.4;1
197909;33.4;1
197910;73.1;1
197911;63.2;1
197912;167.9;1
198001;109.6;1
198002;49.9;1
198003;133.8;1
198004;11.3;1
198005;43.5;1
198006;64.3;1
198007;65.9;1
198008;30.4;1
198009;61.4;1
198010;129;1
198011;34.5;1
198012;74.6;1
198101;78.1;1
198102;43.6;1
198103;118.5;1
198104;30.3;1
198105;164.7;1
198106;53;1
198107;52.3;1
198108;18;1
198109;72.4;1
198110;134.9;1
198111;22.3;1
198112;234.3;1
198201;92.1;1
198202;43;1
198203;84.2;1
198204;1.8;1
198205;62.7;1
198206;69.9;1
198207;92.7;1
198208;49;1
198209;66.8;1
198210;202.2;1
198211;96.3;1
198212;249.9;1
198301;43.5;1
198302;71;1
198303;44.7;1
198304;143.1;1
198305;120.2;1
198306;23.5;1
198307;45.1;1
198308;43.2;1
198309;57.5;1
198310;31.3;1
198311;76.1;1
198312;125.1;1
198401;173.3;1
198402;67.7;1
198403;52.5;1
198404;4.8;1
198405;125.2;1
198406;37.8;1
198407;14;1
198408;32.6;1
198409;85.9;1
198410;87.8;1
198411;179.6;1
198412;63.3;1
198501;58.2;1
198502;68.9;1
198503;98.6;1
198504;96;1
198505;185.9;1
198506;48.5;1
198507;70.5;1
198508;21.6;1
198509;1.6;1
198510;12.4;1
198511;57;1
198512;99.5;1
198601;187.2;1
198602;73.9;1
198603;90.5;1
198604;222.7;1
198605;49.3;1
198606;17.7;1
198607;11.1;1
198608;39.7;1
198609;77.1;1
198610;74.9;1
198611;51.6;1
198612;96.3;1
198701;36.1;1
198702;40.7;1
198703;55.2;1
198704;35.5;1
198705;24.7;1
198706;118.3;1
198707;83;1
198708;35.3;1
198709;61.2;1
198710;267.4;1
198711;119.8;1
198712;57.8;1
198801;223.1;1
198802;81.8;1
