# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 16089001
# NOM_USUEL= COGNAC
# LATITUDE (°) = 45.665
# LONGITUDE(°)= -0.316
# ALTITUDE (m) = 30
# NUM_SERIE= MRR116089001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 196802
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;16.6;1
195002;132.9;1
195003;47.9;1
195004;81.7;1
195005;56.9;1
195006;19.8;1
195007;19.7;1
195008;66;1
195009;62.4;1
195010;68.6;1
195011;185.5;1
195012;132.3;1
195101;79.8;1
195102;145.1;1
195103;80.7;1
195104;46.4;1
195105;84.5;1
195106;83.2;1
195107;53.7;1
195108;81;1
195109;24.4;1
195110;47;1
195111;80.4;1
195112;115.1;1
195201;88.2;1
195202;43.1;1
195203;75.9;1
195204;63.9;1
195205;43.3;1
195206;19.2;1
195207;28.7;1
195208;96.1;1
195209;117.9;1
195210;157.9;1
195211;182.3;1
195212;188.8;1
195301;11;1
195302;43.4;1
195303;1.9;1
195304;31.5;1
195305;20.4;1
195306;61.2;1
195307;81;1
195308;18.7;1
195309;66.8;1
195310;82.1;1
195311;35.6;1
195312;3.5;1
195401;50.7;1
195402;85.6;1
195403;90.1;1
195404;11.6;1
195405;23.5;1
195406;28.5;1
195407;52.5;1
195408;122.8;1
195409;47.9;1
195410;93.4;1
195411;67.4;1
195412;93.3;1
195501;172.4;1
195502;109.3;1
195503;14.1;1
195504;0.3;1
195505;32.2;1
195506;142.1;1
195507;60.9;1
195508;21;1
195509;23.8;1
195510;30.4;1
195511;46.8;1
195512;93.3;1
195601;99.6;1
195602;1.6;1
195603;15;1
195604;39.4;1
195605;38.3;1
195606;30.5;1
195607;81.4;1
195608;102.1;1
195609;50.7;1
195610;20.6;1
195611;30.5;1
195612;50.5;1
195701;43.3;1
195702;162.8;1
195703;28;1
195704;38.7;1
195705;21.2;1
195706;53.2;1
195707;77.9;1
195708;51.7;1
195709;44.3;1
195710;27.8;1
195711;42.1;1
195712;55.9;1
195801;125.1;1
195802;31.5;1
195803;96.7;1
195804;39.7;1
195805;104.8;1
195806;96.2;1
195807;94.1;1
195808;74.7;1
195809;85.1;1
195810;54.5;1
195811;38.4;1
195812;120;1
195901;61.7;1
195902;7.3;1
195903;41;1
195904;102.9;1
195905;40.7;1
195906;25.9;1
195907;48.5;1
195908;15.3;1
195909;39.8;1
195910;134.4;1
195911;78.2;1
195912;179.7;1
196001;31.9;1
196002;46.5;1
196003;53.2;1
196004;23;1
196005;58.5;1
196006;31.9;1
196007;67.5;1
196008;63.1;1
196009;84.3;1
196010;188.8;1
196011;116.6;1
196012;154.6;1
196101;157.4;1
196102;40.5;1
196103;0;1
196104;66.8;1
196105;104.1;1
196106;35.6;1
196107;59.7;1
196108;40.5;1
196109;22;1
196110;83.2;1
196111;128.5;1
196112;118.3;1
196201;98.4;1
196202;27.4;1
196203;118.8;1
196204;45.5;1
196205;73.5;1
196206;9.9;1
196207;20.8;1
196208;13;1
196209;46.3;1
196210;35.5;1
196211;74;1
196212;58.1;1
196301;43.8;1
196302;65.5;1
196303;114.1;1
196304;63.7;1
196305;34.7;1
196306;67.3;1
196307;15.2;1
196308;163.5;1
196309;61.3;1
196310;38;1
196311;105.3;1
196312;30;1
196401;9.2;1
196402;63.1;1
196403;65.5;1
196404;81.1;1
196405;95.7;1
196406;48.4;1
196407;15.3;1
196408;34.5;1
196409;28.6;1
196410;115.5;1
196411;34.8;1
196412;48.3;1
196501;100.9;1
196502;5.4;1
196503;97.8;1
196504;65.3;1
196505;29.9;1
196506;42.9;1
196507;89.9;1
196508;85.1;1
196509;134.9;1
196510;15.6;1
196511;153.1;1
196512;144.3;1
196601;105;1
196602;123.3;1
196603;30.8;1
196604;74;1
196605;64.8;1
196606;112;1
196607;23.4;1
196608;69.4;1
196609;22.2;1
196610;176.8;1
196611;133.7;1
196612;131.3;1
196701;35.4;1
196702;77.1;1
196703;48.4;1
196704;67;1
196705;91.1;1
196706;17.6;1
196707;20;1
196708;52.5;1
196709;67.4;1
196710;77.1;1
196711;88.8;1
196712;45.9;1
196801;62;1
196802;82.5;1
196803;36.6;1
196804;156.2;1
196805;46.8;1
196806;26.5;1
196807;72.3;1
196808;123.8;1
196809;117.6;1
196810;50.6;1
196811;14.2;1
196812;78;1
196901;85.3;1
196902;30.1;1
196903;71.2;1
196904;64.9;1
196905;98.2;1
196906;79.7;1
196907;35.5;1
196908;29.7;1
196909;132.6;1
196910;6.9;1
196911;139.1;1
196912;67.2;1
197001;97.8;1
197002;115.3;1
197003;71.9;1
197004;61.6;1
197005;51.4;1
197006;53.6;1
197007;20.7;1
197008;85.7;1
197009;38.9;1
197010;44.3;1
197011;120.4;1
197012;13.3;1
197101;90.7;1
197102;77.8;1
197103;33.9;1
197104;74;1
197105;99.3;1
197106;73.8;1
197107;79.3;1
197108;31.6;1
197109;52.7;1
197110;38.5;1
197111;98.9;1
197112;17.5;1
197201;79.1;1
197202;86.1;1
197203;61.7;1
197204;64.9;1
197205;60.9;1
197206;40.6;1
197207;8.6;1
197208;97.5;1
197209;13.4;1
197210;36.7;1
197211;74.8;1
197212;33.7;1
197301;59.5;1
197302;73.6;1
197303;13.3;1
197304;39.1;1
197305;80.5;1
197306;19.3;1
197307;94.3;1
197308;40.8;1
197309;70;1
197310;62.9;1
197311;59.3;1
197312;85.9;1
197401;68.4;1
197402;82.2;1
197403;55.6;1
197404;50.6;1
197405;60.7;1
197406;18.4;1
197407;17;1
197408;95.2;1
197409;123.5;1
197410;81.7;1
197411;88.2;1
197412;24.1;1
197501;79.4;1
197502;20.8;1
197503;79.8;1
197504;59.1;1
197505;61.3;1
197506;15.4;1
197507;4.8;1
197508;29.1;1
197509;104.9;1
197510;36.5;1
197511;94.2;1
197512;53.3;1
197601;13.1;1
197602;47.4;1
197603;48.8;1
197604;26.4;1
197605;18.5;1
197606;2.4;1
197607;51.3;1
197608;63.1;1
197609;109.8;1
197610;109.4;1
197611;151.4;1
197612;106.7;1
197701;104.5;1
197702;164.1;1
197703;54.5;1
197704;46.9;1
197705;109.4;1
197706;87.9;1
197707;91;1
197708;76.9;1
197709;6.5;1
197710;39.1;1
197711;55.7;1
197712;82.1;1
197801;126.6;1
197802;98.5;1
197803;100.6;1
197804;77.3;1
197805;49.8;1
197806;78.3;1
197807;39.2;1
197808;11;1
197809;75.1;1
197810;2.9;1
197811;7.9;1
197812;147.2;1
197901;101.1;1
197902;90;1
197903;159.2;1
197904;107.3;1
197905;97.5;1
197906;19.4;1
197907;24.1;1
197908;39.4;1
197909;41.2;1
197910;50.9;1
197911;65.8;1
197912;168.8;1
198001;95.2;1
198002;43.6;1
198003;103;1
198004;35.6;1
198005;32.2;1
198006;72;1
198007;44.7;1
198008;41.5;1
198009;51.8;1
198010;134.9;1
198011;25.6;1
198012;53.5;1
198101;56.5;1
198102;41;1
198103;121.5;1
198104;29.4;1
198105;151.6;1
198106;40.3;1
198107;29.5;1
198108;12.6;1
198109;60.5;1
198110;122.2;1
198111;21;1
198112;181.9;1
198201;83.4;1
198202;43;1
198203;73;1
198204;4.9;1
198205;74.7;1
198206;46.4;1
198207;89.9;1
198208;55;1
198209;73;1
198210;167.6;1
198211;91.8;1
198212;229.2;1
198301;35.9;1
198302;61.6;1
198303;58.5;1
198304;148.9;1
198305;136.4;1
198306;15;1
198307;55;1
198308;47.6;1
198309;47.2;1
198310;43.3;1
198311;52.5;1
198312;88.4;1
198401;138.5;1
198402;45.7;1
198403;49.8;1
198404;7.6;1
198405;87.4;1
198406;73.2;1
198407;19.8;1
198408;53.7;1
198409;61.8;1
198410;78.8;1
198411;152.3;1
198412;49.8;1
198501;58.5;1
198502;55.1;1
198503;77.8;1
198504;85.3;1
198505;121.4;1
198506;42;1
198507;62.1;1
198508;23.8;1
198509;4.2;1
198510;5.5;1
198511;69.3;1
198512;77.6;1
198601;144.8;1
198602;86.7;1
198603;69.4;1
198604;185.4;1
198605;45.8;1
198606;20.2;1
198607;6.5;1
198608;30.4;1
198609;59.8;1
198610;54.1;1
198611;53.6;1
198612;74.4;1
198701;23;1
198702;27.6;1
198703;56;1
198704;32.8;1
198705;25.6;1
198706;86.7;1
198707;126.8;1
198708;28.5;1
198709;53.4;1
198710;172.5;1
198711;100.7;1
198712;47.6;1
198801;205.3;1
198802;75;1
198803;86.7;1
198804;73.6;1
198805;123.4;1
198806;80.9;1
198807;59.1;1
198808;7.7;1
198809;42.6;1
198810;32;1
198811;27.6;1
198812;29.9;1
198901;26.5;1
198902;86;1
198903;32.3;1
198904;128.6;1
198905;2.3;1
198906;29.4;1
198907;46.9;1
198908;34.5;1
198909;53.6;1
198910;16.1;1
198911;73.4;1
198912;89.4;1
199001;54.1;1
199002;106.4;1
199003;8;1
199004;47.5;1
199005;41.5;1
199006;58.2;1
199007;41.6;1
199008;30.9;1
199009;15.3;1
199010;153.3;1
199011;70.4;1
199012;51.5;1
199101;62.2;1
199102;34.1;1
199103;50.5;1
199104;75.8;1
199105;38.6;1
199106;39.6;1
199107;54.1;1
199108;21.9;1
199109;75.6;1
199110;64.5;1
199111;100.8;1
199112;24.7;1
199201;12.7;1
199202;19.6;1
199203;53.7;1
199204;38.3;1
199205;43.5;1
199206;79.7;1
199207;66;1
199208;139.6;1
199209;40.4;1
199210;103.6;1
199211;98.8;1
199212;81.1;1
199301;19.6;1
199302;3.6;1
199303;9.2;1
199304;87.9;1
199305;55.4;1
199306;74.2;1
199307;31.6;1
