# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 16113001
# NOM_USUEL= LA COURONNE
# LATITUDE (°) = 45.628
# LONGITUDE(°)= 0.1
# ALTITUDE (m) = 58
# NUM_SERIE= MRR116113001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;18.5;1
195002;117;1
195003;41.6;1
195004;66.7;1
195005;77.1;1
195006;19.1;1
195007;13.5;1
195008;110.8;1
195009;40;1
195010;35.3;1
195011;167.5;1
195012;126.4;1
195101;82.2;1
195102;115;1
195103;81.7;1
195104;62.7;1
195105;128.5;1
195106;111.1;1
195107;66;1
195108;73.6;1
195109;33.3;1
195110;33.2;1
195111;80.3;1
195112;109.7;1
195201;91.5;1
195202;42.1;1
195203;73.2;1
195204;37.1;1
195205;38.3;1
195206;25;1
195207;29;1
195208;62.8;1
195209;136.6;1
195210;169.1;1
195211;159.7;1
195212;160.1;1
195301;11.6;1
195302;42.4;1
195303;1.7;1
195304;73.7;1
195305;30.5;1
195306;79;1
195307;99;1
195308;18;1
195309;68.3;1
195310;69.3;1
195311;24.7;1
195312;7;1
195401;43.1;1
195402;81.1;1
195403;88.7;1
195404;35.9;1
195405;35;1
195406;31.7;1
195407;41.8;1
195408;119.2;1
195409;42.1;1
195410;88.3;1
195411;50.1;1
195412;42.2;1
195501;188.5;1
195502;96.3;1
195503;18.9;1
195504;1.3;1
195505;34.5;1
195506;106.1;1
195507;81.5;1
195508;34.9;1
195509;14.6;1
195510;24.8;1
195511;48.7;1
195512;112.8;1
195601;83.9;1
195602;2.9;1
195603;34.3;1
195604;74.2;1
195605;47.1;1
195606;46.7;1
195607;81.6;1
195608;90.6;1
195609;48.3;1
195610;26.2;1
195611;23.4;1
195612;43;1
195701;32.7;1
195702;167.6;1
195703;43.4;1
195704;30.9;1
195705;50.3;1
195706;78.7;1
195707;107.7;1
195708;33.8;1
195709;65;1
195710;27.1;1
195711;34.1;1
195712;59;1
195801;137.3;1
195802;46.1;1
195803;93.5;1
195804;58.3;1
195805;114;1
195806;105;1
195807;106.1;1
195808;98;1
195809;69.1;1
195810;53;1
195811;41.6;1
195812;144.9;1
195901;74.4;1
195902;10;1
195903;69.2;1
195904;123;1
195905;83.6;1
195906;27.8;1
195907;29.7;1
195908;39.9;1
195909;44.7;1
195910;89;1
195911;78.2;1
195912;197.7;1
196001;75;1
196002;80;1
196003;80;1
196004;20;1
196005;50;1
196006;60;1
196007;60;1
196008;75;1
196009;90;1
196010;186.5;1
196011;111.7;1
196012;142.9;1
196101;140;1
196102;35.6;1
196103;0;1
196104;58.9;1
196105;92.3;1
196106;51;1
196107;73.7;1
196108;17.1;1
196109;20.8;1
196110;80.8;1
196111;108.2;1
196112;118.5;1
196201;102.3;1
196202;28;1
196203;147.3;1
196204;63.9;1
196205;66.8;1
196206;5.4;1
196207;39.7;1
196208;17;1
196209;47;1
196210;63.1;1
196211;101.7;1
196212;61.5;1
196301;35.3;1
196302;68.6;1
196303;126.8;1
196304;67.1;1
196305;52.8;1
196306;106;1
196307;31.4;1
196308;155.6;1
196309;71.6;1
196310;42.8;1
196311;100.1;1
196312;21.2;1
196401;9.7;1
196402;89.8;1
196403;71.2;1
196404;97.4;1
196405;123;1
196406;43.9;1
196407;15;1
196408;39;1
196409;71.5;1
196410;120.9;1
196411;31.9;1
196412;41.1;1
196501;105.7;1
196502;5.7;1
196503;93;1
196504;63.9;1
196505;42.9;1
196506;60.5;1
196507;62;1
196508;71.3;1
196509;182.4;1
196510;32.2;1
196511;156;1
196512;148.3;1
196601;107.7;1
196602;133;1
196603;36.5;1
196604;78.5;1
196605;86.5;1
196606;101;1
196607;49;1
196608;86;1
196609;32.2;1
196610;74.1;1
196611;110.6;1
196612;120;1
196701;31.3;1
196702;90.1;1
196703;42.8;1
196704;35.3;1
196705;87.4;1
196706;27.5;1
196707;32.2;1
196708;40.5;1
196709;62;1
196710;82.6;1
196711;85.1;1
196712;56.6;1
196801;60.8;1
196802;62.4;1
196803;38.1;1
196804;114.5;1
196805;54.7;1
196806;41.2;1
196807;63.7;1
196808;99.1;1
196809;142;1
196810;48.3;1
196811;14.1;1
196812;114.5;1
196901;65;1
196902;30.3;1
196903;62.7;1
196904;68.8;1
196905;128.4;1
196906;48.4;1
196907;19.1;1
196908;25.9;1
196909;172.3;1
196910;9.4;1
196911;124.9;1
196912;64.9;1
197001;104.7;1
197002;142.4;1
197003;63;1
197004;69.7;1
197005;44.3;1
197006;61.2;1
197007;14.2;1
197008;77.9;1
197009;31.6;1
197010;90.8;1
197011;110.5;1
197012;18.8;1
197101;87;1
197102;80;1
197103;55.9;1
197104;87.7;1
197105;131.5;1
197106;113.1;1
197107;38.2;1
197108;75.3;1
197109;82.6;1
197110;41.9;1
197111;97.4;1
197112;12.8;1
197201;79.9;1
197202;73.7;1
197203;62.1;1
197204;71.4;1
197205;54.7;1
197206;33;1
197207;12.1;1
197208;92.2;1
197209;20;1
197210;43;1
197211;88;1
197212;49.4;1
197301;53;1
197302;77.5;1
197303;19.9;1
197304;39.8;1
197305;107.2;1
197306;34.9;1
197307;88.1;1
197308;32.2;1
197309;74.1;1
197310;75.4;1
197311;48;1
197312;83.4;1
197401;74.2;1
197402;87.2;1
197403;75.4;1
197404;49;1
197405;38.9;1
197406;49;1
197407;16.7;1
197408;80.3;1
197409;118.5;1
197410;91.2;1
197411;94.1;1
197412;33.7;1
197501;97.3;1
197502;14.3;1
197503;80.6;1
197504;64;1
197505;49.9;1
197506;53.2;1
197507;6.6;1
197508;45.8;1
197509;156.8;1
197510;24.5;1
197511;95.2;1
197512;55.2;1
197601;15;1
197602;51;1
197603;47;1
197604;38;1
197605;35.1;1
197606;1.6;1
197607;42.1;1
197608;78.8;1
197609;114.8;1
197610;107.4;1
197611;123.7;1
197612;124.9;1
197701;107;1
197702;167;1
197703;67.1;1
197704;53.8;1
197705;96;1
197706;87.3;1
197707;81.8;1
197708;61.6;1
197709;15.6;1
197710;36.8;1
197711;52.8;1
197712;89.2;1
197801;125.4;1
197802;113.1;1
197803;122;1
197804;96.4;1
197805;63.1;1
197806;62.9;1
197807;58.2;1
197808;15.7;1
197809;40.3;1
197810;3.4;1
197811;14.3;1
197812;131.2;1
197901;93.7;1
197902;75.3;1
197903;154.5;1
197904;114.5;1
197905;125.1;1
197906;19.8;1
197907;32.2;1
197908;39.5;1
197909;45.6;1
197910;50.1;1
197911;63.1;1
197912;148.1;1
198001;91.7;1
198002;47.4;1
198003;88.1;1
198004;10.6;1
198005;57;1
198006;67.8;1
198007;57.3;1
198008;48.2;1
