# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 17218001
# NOM_USUEL= MARANS
# LATITUDE (°) = 46.316
# LONGITUDE(°)= -1.012
# ALTITUDE (m) = 2
# NUM_SERIE= MRR117218001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 198912 199912
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;11.7;1
195002;98.9;1
195003;45.4;1
195004;35.9;1
195005;50.7;1
195006;20;1
195007;39.3;1
195008;67.4;1
195009;66.3;1
195010;40.2;1
195011;171.9;1
195012;104.3;1
195101;60.8;1
195102;99;1
195103;76.2;1
195104;55.3;1
195105;70.7;1
195106;54.8;1
195107;23.6;1
195108;66.2;1
195109;48.2;1
195110;59.5;1
195111;120.9;1
195112;90.3;1
195201;75.6;1
195202;34.2;1
195203;73.6;1
195204;41;1
195205;22.3;1
195206;10.8;1
195207;28.5;1
195208;82.5;1
195209;130.1;1
195210;104.9;1
195211;171.7;1
195212;105.2;1
195301;8.4;1
195302;32.5;1
195303;1.5;1
195304;45.5;1
195305;8.5;1
195306;54.7;1
195307;64.7;1
195308;24.6;1
195309;108.1;1
195310;89;1
195311;27.7;1
195312;8.5;1
195401;44.7;1
195402;62.7;1
195403;106.2;1
195404;8.1;1
195405;25.1;1
195406;64.4;1
195407;65.4;1
195408;82.2;1
195409;45.6;1
195410;40.3;1
195411;83.6;1
195412;72.8;1
195501;132.8;1
195502;122;1
195503;37.6;1
195504;0.7;1
195505;48.2;1
195506;104.1;1
195507;38;1
195508;18.1;1
195509;6.2;1
195510;53;1
195511;18.5;1
195512;111.3;1
195601;81.6;1
195602;4.5;1
195603;20.5;1
195604;39.4;1
195605;28.5;1
195606;19.9;1
195607;53.1;1
195608;103.8;1
195609;80.7;1
195610;17.5;1
195611;14.5;1
195612;58;1
195701;28.7;1
195702;154.7;1
195703;66.7;1
195704;24;1
195705;21.8;1
195706;23.4;1
195707;54.5;1
195708;26.8;1
195709;50.8;1
195710;17.7;1
195711;122.8;1
195712;87.8;1
195801;119.8;1
195802;36.6;1
195803;89.7;1
195804;43.3;1
195805;85.3;1
195806;99.3;1
195807;64.9;1
195808;79.4;1
195809;35.3;1
195810;42.8;1
195811;43.4;1
195812;102.6;1
195901;70.6;1
195902;6.2;1
195903;37.4;1
195904;62.1;1
195905;62.4;1
195906;38.4;1
195907;18.6;1
195908;27.5;1
195909;21.1;1
195910;151.1;1
195911;85.2;1
195912;141.3;1
196001;54.3;1
196002;57.9;1
196003;72.4;1
196004;19.4;1
196005;57.4;1
196006;22.8;1
196007;42.4;1
196008;25;1
196009;106.9;1
196010;159.3;1
196011;156.9;1
196012;125;1
196101;131.6;1
196102;25.7;1
196103;2;1
196104;68.9;1
196105;37.5;1
196106;19.1;1
196107;52;1
196108;5;1
196109;40.6;1
196110;126.3;1
196111;155.7;1
196112;98.9;1
196201;85.7;1
196202;15.5;1
196203;77.3;1
196204;28.4;1
196205;48.7;1
196206;22.3;1
196207;40.2;1
196208;22.8;1
196209;58.7;1
196210;38.4;1
196211;84.4;1
196212;41.6;1
196301;49.5;1
196302;61.5;1
196303;95.4;1
196304;66.4;1
196305;18.9;1
196306;83.2;1
196307;1.9;1
196308;171.6;1
196309;33.9;1
196310;62.1;1
196311;167;1
196312;25.4;1
196401;10.8;1
196402;69.8;1
196403;69.1;1
196404;48.6;1
196405;99.4;1
196406;59.5;1
196407;10.1;1
196408;19.9;1
196409;41.2;1
196410;131.6;1
196411;34.8;1
196412;38.9;1
196501;107.3;1
196502;1.8;1
196503;104.6;1
196504;25;1
196505;39;1
196506;48.3;1
196507;52.2;1
196508;192.8;1
196509;148.8;1
196510;19.5;1
196511;149.6;1
196512;153.4;1
196601;89.3;1
196602;103.8;1
196603;27.9;1
196604;65.4;1
196605;59.6;1
196606;60.1;1
196607;26.2;1
196608;56.9;1
196609;42.5;1
196610;191.7;1
196611;114.5;1
196612;97.8;1
196701;41.1;1
196702;66.2;1
196703;64.5;1
196704;45.6;1
196705;96.7;1
196706;63.1;1
196707;6.2;1
196708;60.4;1
196709;57.7;1
196710;63.5;1
196711;103.9;1
196712;69.4;1
196801;57.5;1
196802;79.8;1
196803;40.2;1
196804;73.2;1
196805;62.2;1
196806;34.7;1
196807;70.1;1
196808;98.1;1
196809;99.8;1
196810;111.8;1
196811;26.3;1
196812;93.5;1
196901;87.3;1
196902;32.6;1
196903;63.1;1
196904;59.3;1
196905;100.7;1
196906;39.7;1
196907;7.6;1
196908;22.4;1
196909;173.3;1
196910;20.7;1
196911;166.3;1
196912;94.3;1
197001;89;1
197002;98.1;1
197003;54.2;1
197004;50.8;1
197005;43.4;1
197006;17;1
197007;12.2;1
197008;58.3;1
197009;38.6;1
197010;43.4;1
197011;126.5;1
197012;15.4;1
197101;89.8;1
197102;41.5;1
197103;30;1
197104;36;1
197105;113.8;1
197106;43.6;1
197107;42.1;1
197108;25.6;1
197109;91;1
197110;12.3;1
197111;70.8;1
197112;34.9;1
197201;72.4;1
197202;101.3;1
197203;83.7;1
197204;46.2;1
197205;49.3;1
197206;34.4;1
197207;11.5;1
197208;92;1
197209;33.6;1
197210;54.9;1
197211;93.3;1
197212;39.2;1
197301;47;1
197302;55;1
197303;6.3;1
197304;59.8;1
197305;66;1
197306;14.8;1
197307;73.1;1
197308;2.9;1
197309;46.3;1
197310;80.8;1
197311;44.8;1
197312;71.5;1
197401;66.1;1
197402;70.7;1
197403;43.3;1
197404;26.6;1
197405;67.2;1
197406;26;1
197407;15.3;1
197408;67.6;1
197409;95.8;1
197410;57.5;1
197411;123;1
197412;30.7;1
197501;131.8;1
197502;22;1
197503;76.1;1
197504;59.5;1
197505;56.2;1
197506;11;1
197507;21.2;1
197508;42.9;1
197509;113.7;1
197510;48.6;1
197511;83.6;1
197512;42;1
197601;21.1;1
197602;44.5;1
197603;47.3;1
197604;15.8;1
197605;6.5;1
197606;0.1;1
197607;14.8;1
197608;52.9;1
197609;88.6;1
197610;121.6;1
197611;198.4;1
197612;99.7;1
197701;122.2;1
197702;163.7;1
197703;60.3;1
197704;39.9;1
197705;64.9;1
197706;65.7;1
197707;81.3;1
197708;27.4;1
197709;7.2;1
197710;53.5;1
197711;60;1
197712;72.5;1
197801;96.5;1
197802;80.3;1
197803;78.4;1
197804;33;1
197805;44;1
197806;73.2;1
197807;25.5;1
197808;33.6;1
197809;18.1;1
197810;0.4;1
197811;10.1;1
197812;163;1
197901;102.1;1
197902;108.1;1
197903;115;1
197904;85.8;1
197905;96.9;1
197906;18.2;1
197907;20.8;1
197908;33.5;1
197909;34.2;1
197910;79.4;1
197911;49.1;1
197912;129.6;1
198001;109.3;1
198002;35.3;1
198003;99;1
198004;11.7;1
198005;33.2;1
198006;79.4;1
198007;50.2;1
198008;18.7;1
198009;50.7;1
198010;89.2;1
198011;47.6;1
198012;59.1;1
198101;38.2;1
198102;36.6;1
198103;68.3;1
198104;23.1;1
198105;161.3;1
198106;55;1
198107;81.4;1
198108;42.8;1
198109;76.8;1
198110;145.2;1
198111;16.1;1
198112;168.9;1
198201;93.8;1
198202;37.5;1
198203;54.9;1
198204;4.7;1
198205;27.8;1
198206;61.5;1
198207;36;1
198208;52.1;1
198209;72.7;1
198210;161.9;1
198211;89.8;1
198212;190.7;1
198301;27.4;1
198302;61.4;1
198303;57.7;1
198304;115.7;1
