# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 17224001
# NOM_USUEL= MATHA
# LATITUDE (°) = 45.859
# LONGITUDE(°)= -0.32
# ALTITUDE (m) = 38
# NUM_SERIE= MRR117224001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : 195506 196906
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;19.9;1
195002;147.1;1
195003;32.4;1
195004;54.9;1
195005;41.9;1
195006;14.2;1
195007;45.3;1
195008;54.2;1
195009;83.4;1
195010;45.1;1
195011;235.9;1
195012;128;1
195101;68.9;1
195102;106.4;1
195103;109.3;1
195104;61.5;1
195105;100.4;1
195106;90.6;1
195107;36.5;1
195108;88.6;1
195109;63.3;1
195110;46;1
195111;101.6;1
195112;134;1
195201;80.7;1
195202;29;1
195203;96.9;1
195204;70.5;1
195205;53.1;1
195206;10.5;1
195207;36.5;1
195208;83.4;1
195209;156.4;1
195210;164;1
195211;206.1;1
195212;160;1
195301;6.7;1
195302;36;1
195303;1;1
195304;42.1;1
195305;15.2;1
195306;38.8;1
195307;77.2;1
195308;0.4;1
195309;63.8;1
195310;111.8;1
195311;32.3;1
195312;3.8;1
195401;68.1;1
195402;96;1
195403;105;1
195404;13;1
195405;20.9;1
195406;48;1
195407;43.4;1
195408;129.7;1
195409;53.8;1
195410;69;1
195411;61.2;1
195412;92.6;1
195501;232;1
195502;147.5;1
195503;18.9;1
195504;0;1
195505;41.9;1
195506;118.4;1
195507;28.8;1
195508;15.7;1
195509;12.1;1
195510;33.3;1
195511;36.9;1
195512;114;1
195601;82.6;1
195602;0.3;1
195603;22.8;1
195604;29.4;1
195605;46.9;1
195606;32.2;1
195607;42.1;1
195608;102.4;1
195609;68;1
195610;25.3;1
195611;36.3;1
195612;52.8;1
195701;44.4;1
195702;155.2;1
195703;46.1;1
195704;35.3;1
195705;35.2;1
195706;55;1
195707;69.2;1
195708;30.7;1
195709;38.1;1
195710;29.8;1
195711;39.6;1
195712;63;1
195801;154.5;1
195802;37.6;1
195803;113.7;1
195804;47.9;1
195805;100.8;1
195806;100.4;1
195807;81.5;1
195808;82.6;1
195809;126.6;1
195810;87.8;1
195811;44.4;1
195812;152.7;1
195901;82;1
195902;6;1
195903;50.7;1
195904;104.9;1
195905;29.1;1
195906;29.1;1
195907;7.6;1
195908;48;1
195909;33.5;1
195910;134.7;1
195911;100.4;1
195912;199;1
196001;68.2;1
196002;88.9;1
196003;55;1
196004;20.4;1
196005;63.9;1
196006;46.5;1
196007;53.1;1
196008;56.1;1
196009;85;1
196010;171.6;1
196011;116.6;1
196012;168.7;1
196101;164.9;1
196102;44;1
196103;0.4;1
196104;61.6;1
196105;94.4;1
196106;66.4;1
196107;72.1;1
196108;10.8;1
196109;32.7;1
196110;97.5;1
196111;139.5;1
196112;121.8;1
196201;125.6;1
196202;27.4;1
196203;122.8;1
196204;41.8;1
196205;74.2;1
196206;12.4;1
196207;25.4;1
196208;13.6;1
196209;48.9;1
196210;31.5;1
196211;84.6;1
196212;70.2;1
196301;47.9;1
196302;73.9;1
196303;111.3;1
196304;80;1
196305;27.2;1
196306;112.1;1
196307;19.8;1
196308;174.6;1
196309;63.9;1
196310;40.9;1
196311;108.3;1
196312;24.6;1
196401;8.1;1
196402;87.5;1
196403;62.7;1
196404;86.7;1
196405;129;1
196406;50.8;1
196407;12.5;1
196408;21.7;1
196409;34;1
196410;135.1;1
196411;35.4;1
196412;59.8;1
196501;112.7;1
196502;8.3;1
196503;95.7;1
196504;59.9;1
196505;32.1;1
196506;35.8;1
196507;71.1;1
196508;70.3;1
196509;148.4;1
196510;23.3;1
196511;174.6;1
196512;180.8;1
196601;121.8;1
196602;143;1
196603;30.8;1
196604;88.9;1
196605;45.1;1
196606;99.8;1
196607;36;1
196608;86;1
196609;42.6;1
196610;166.7;1
196611;137.7;1
196612;135.3;1
196701;36.3;1
