# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 18003003
# NOM_USUEL= LES AIX-D'ANG.
# LATITUDE (°) = 47.21
# LONGITUDE(°)= 2.552
# ALTITUDE (m) = 195
# NUM_SERIE= MRR118003003
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 196012 197712 198906
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;74.3;1
195602;5.6;1
195603;33.9;1
195604;85.8;1
195605;48.1;1
195606;81.1;1
195607;69.7;1
195608;119.8;1
195609;100.1;1
195610;50.2;1
195611;55.1;1
195612;56.5;1
195701;41.2;1
195702;140.2;1
195703;34.5;1
195704;25.1;1
195705;23.6;1
195706;78.8;1
195707;76.7;1
195708;85.4;1
195709;92.8;1
195710;45.1;1
195711;35.9;1
195712;61.1;1
195801;86.9;1
195802;101.1;1
195803;36.5;1
195804;55.5;1
195805;138;1
195806;111.8;1
195807;127.1;1
195808;106.6;1
195809;81.6;1
195810;62.7;1
195811;59.9;1
195812;138.5;1
195901;99.5;1
195902;0;1
195903;45;1
195904;116.5;1
195905;3.8;1
195906;65.8;1
195907;20.4;1
195908;32.1;1
195909;18.1;1
195910;61.7;1
195911;58.1;1
195912;86.2;1
196001;43.8;1
196002;46;1
196003;91;1
196004;30;1
196005;72.9;1
196006;70.6;1
196007;96.2;1
196008;92.1;1
196009;133.9;1
196010;211.2;1
196011;82.9;1
196012;74.1;1
196101;106.3;1
196102;61.5;1
196103;4.5;1
196104;62;1
196105;52.7;1
196106;57.4;1
196107;88.4;1
196108;21.9;1
196109;53.3;1
196110;86.5;1
196111;79.4;1
196112;139.9;1
196201;92.8;1
196202;41.2;1
196203;134.3;1
196204;43.9;1
196205;118.4;1
196206;2.8;1
196207;36;1
196208;11.5;1
196209;29.7;1
196210;26.8;1
196211;101.7;1
196212;90.1;1
196301;42.3;1
196302;57.7;1
196303;84.3;1
196304;42.6;1
196305;68.2;1
196306;64.8;1
196307;48.1;1
196308;106.3;1
196309;35.2;1
196310;56.7;1
196311;114.1;1
196312;7.7;1
196401;30.8;1
196402;38;1
196403;70.3;1
196404;41.7;1
196405;44.5;1
196406;53.3;1
196407;9.9;1
196408;52.1;1
196409;90.8;1
196410;59.4;1
196411;33.5;1
196412;47.1;1
196501;126.2;1
196502;3.7;1
196503;63.9;1
196504;58.7;1
196505;81.9;1
196506;39.4;1
196507;78.3;1
196508;70.8;1
196509;196;1
196510;11.1;1
196511;144;1
196512;165.5;1
196601;92.4;1
196602;105;1
196603;48.4;1
196604;83.2;1
196605;63;1
196606;53.7;1
196607;50.4;1
196608;111;1
196609;23.3;1
196610;65.2;1
196611;86.1;1
196612;142.8;1
196701;41.5;1
196702;80;1
196703;48.5;1
196704;24.6;1
196705;122.3;1
196706;38.7;1
196707;9.2;1
196708;155.6;1
196709;104.2;1
196710;80.6;1
196711;94.3;1
196712;101.9;1
196801;161.9;1
196802;71.4;1
196803;38.1;1
196804;44.6;1
196805;77.7;1
196806;38.4;1
196807;69.5;1
196808;177.6;1
196809;120.9;1
196810;50.6;1
196811;68.5;1
196812;92;1
196901;38.4;1
196902;27.2;1
196903;67.3;1
196904;66.3;1
196905;99.6;1
196906;73.9;1
196907;63;1
196908;54.1;1
196909;115.5;1
196910;6.2;1
196911;106;1
196912;68.8;1
197001;86.4;1
197002;183.8;1
197003;92.7;1
197004;87.2;1
197005;40.4;1
197006;152;1
197007;57.1;1
197008;67.7;1
197009;43.3;1
197010;28.7;1
197011;69.1;1
197012;48.4;1
197101;72.7;1
197102;20.8;1
197103;42.9;1
197104;38.4;1
197105;126.8;1
197106;95.8;1
197107;41.1;1
197108;104.3;1
197109;35.1;1
197110;15.3;1
197111;84.7;1
197112;6.4;1
197201;56.8;1
197202;74.6;1
197203;60.4;1
197204;46.5;1
197205;48.8;1
197206;58.7;1
197207;41;1
197208;122.6;1
197209;41.4;1
197210;49.1;1
197211;119;1
197212;35;1
197301;56.4;1
197302;55.3;1
197303;13.7;1
197304;38.7;1
197305;95.8;1
197306;53.1;1
197307;56.4;1
197308;16.4;1
197309;39;1
197310;36.4;1
197311;31.7;1
197312;77.5;1
197401;56.9;1
197402;36.5;1
197403;83.9;1
197404;15.8;1
197405;54.5;1
197406;67.2;1
197407;21.8;1
197408;48.8;1
197409;84.2;1
197410;130.5;1
197411;75.3;1
197412;51.8;1
197501;74.2;1
197502;16.1;1
197503;67.3;1
197504;57.6;1
197505;71;1
197506;23.1;1
197507;32.6;1
197508;37.3;1
197509;108;1
197510;46.8;1
197511;114.5;1
197512;38.9;1
197601;23.2;1
197602;75.4;1
197603;17.2;1
197604;30.5;1
197605;29.9;1
197606;0;1
197607;40.9;1
197608;60.4;1
197609;67.6;1
197610;96.4;1
197611;71.1;1
197612;77.5;1
197701;55.9;1
197702;171.6;1
197703;65;1
197704;42.5;1
197705;117.5;1
197706;85.7;1
197707;205.8;1
197708;119.4;1
197709;5.8;1
197710;73.6;1
197711;62;1
197712;77.7;1
197801;98.7;1
197802;101.3;1
197803;144.3;1
197804;95.8;1
197805;55.3;1
197806;25.9;1
197807;111.9;1
197808;9.5;1
197809;31.8;1
197810;7.2;1
197811;23.8;1
197812;137.1;1
197901;72.1;1
197902;132.8;1
197903;159.8;1
197904;83.7;1
197905;83.8;1
197906;93.9;1
197907;35.7;1
197908;94.4;1
197909;32.6;1
197910;140.9;1
197911;70.7;1
197912;111.8;1
198001;64.6;1
198002;71.2;1
198003;81.4;1
198004;11.7;1
198005;78.2;1
198006;105.1;1
198007;117.1;1
198008;22.6;1
198009;35.4;1
198010;94.3;1
198011;45.5;1
198012;80;1
198101;102.8;1
198102;46.7;1
198103;91;1
198104;31.3;1
198105;142;1
198106;133.9;1
198107;55.5;1
198108;76;1
198109;62.4;1
198110;174.4;1
198111;31.8;1
198112;117.2;1
198201;111.6;1
198202;39.1;1
198203;86.3;1
198204;9.2;1
198205;31.5;1
198206;68.8;1
198207;27.4;1
198208;53.8;1
198209;77.7;1
198210;134.6;1
198211;68.2;1
198212;159.4;1
198301;76.2;1
198302;77.9;1
198303;46.1;1
198304;188.2;1
198305;113.4;1
198306;38.4;1
198307;67.4;1
198308;75.4;1
198309;56.3;1
198310;38.3;1
198311;37.1;1
198312;51.4;1
198401;142;1
198402;46.3;1
198403;42.5;1
198404;10.9;1
198405;137.8;1
198406;57.1;1
198407;30.3;1
198408;33.8;1
198409;124.7;1
198410;116;1
198411;105.9;1
198412;75.2;1
198501;60.7;1
198502;53.5;1
198503;60.5;1
198504;82.5;1
198505;156.8;1
198506;79.3;1
198507;29.8;1
198508;31.3;1
198509;10.2;1
198510;1.7;1
198511;72.4;1
198512;71.9;1
198601;94.5;1
198602;86.4;1
198603;86.3;1
198604;98.1;1
198605;93.9;1
198606;12.5;1
198607;13.7;1
198608;98.9;1
198609;98;1
198610;88.9;1
198611;63.3;1
198612;103;1
198701;36.2;1
198702;63.1;1
198703;58;1
198704;51.3;1
198705;69.6;1
198706;100.4;1
198707;65.6;1
198708;71.3;1
198709;40.3;1
198710;103.5;1
198711;95.8;1
198712;67.2;1
198801;159.6;1
198802;84.8;1
198803;98.1;1
198804;48.4;1
198805;78;1
198806;54.8;1
198807;107;1
198808;19.3;1
198809;38.4;1
198810;60;1
198811;39.6;1
198812;68.2;1
198901;26.2;1
198902;62.7;1
198903;54.3;1
198904;108.1;1
198905;21.8;1
198906;35.1;1
198907;60.2;1
198908;38.5;1
198909;22.8;1
198910;42.3;1
198911;27.1;1
198912;80.5;1
199001;37;1
199002;118.4;1
199003;9.7;1
199004;51.3;1
199005;41.6;1
199006;84.1;1
199007;22.1;1
199008;59.8;1
199009;24.2;1
199010;91.1;1
199011;88.1;1
199012;72.3;1
199101;71.4;1
199102;47.9;1
199103;36.5;1
199104;55.5;1
199105;9.6;1
199106;76;1
199107;81.6;1
199108;10.9;1
199109;78.9;1
199110;59.8;1
199111;107.2;1
199112;26.9;1
199201;9.4;1
199202;43.7;1
199203;55.7;1
199204;46.2;1
199205;50.8;1
199206;115.4;1
199207;58.2;1
199208;119.1;1
199209;55.5;1
199210;87.7;1
199211;151.1;1
199212;55.8;1
199301;36.3;1
199302;12.4;1
199303;23.3;1
199304;77;1
199305;65.7;1
199306;114.7;1
199307;36.2;1
199308;34.4;1
199309;162.4;1
199310;89.7;1
199311;35.8;1
199312;136.8;1
199401;114.3;1
199402;121.8;1
199403;46;1
199404;86.5;1
199405;133.2;1
199406;48;1
199407;37.6;1
199408;51.7;1
199409;131.9;1
199410;73.2;1
199411;96;1
199412;103.9;1
199501;130.9;1
199502;88.8;1
199503;112.2;1
199504;54.2;1
199505;75.6;1
199506;19.6;1
199507;71.1;1
199508;93.1;1
199509;94;1
199510;65.9;1
199511;29.6;1
199512;100.3;1
199601;89.7;1
199602;86.1;1
199603;26.2;1
199604;25.8;1
199605;84.5;1
199606;9.8;1
199607;27.3;1
199608;53.3;1
199609;70.8;1
199610;68.6;1
199611;174.1;1
199612;61.6;1
199701;28.6;1
199702;93.7;1
199703;12.1;1
199704;18.6;1
199705;95.1;1
199706;149.5;1
199707;37.6;1
199708;63.8;1
199709;30.1;1
199710;43.1;1
199711;122.2;1
199712;102.8;1
199801;110.7;1
199802;17.5;1
199803;31.4;1
199804;220.2;1
199805;30.5;1
199806;56.7;1
199807;50;1
199808;23.4;1
199809;125.4;1
199810;109.5;1
199811;50;1
199812;76;1
199901;71;1
199902;116;1
199903;96;1
199904;87;1
199905;66;1
199906;29;1
199907;64;1
199908;64;1
199909;142;1
199910;54;1
199911;67;1
199912;178;1
200001;30;1
200002;109;1
200003;46;1
200004;98;1
200005;74;1
200006;40;1
200007;166;1
200008;22;1
200009;49;1
200010;85;1
200011;148;1
200012;90;1
200101;77;1
200102;49;1
200103;172;1
200104;124;1
200105;73;1
200106;57;1
200107;203;1
200108;72;1
200109;51.5;1
200110;87;1
200111;64;1
200112;75;1
200201;47;1
200202;82;1
200203;36.5;1
200204;17;1
200205;78;1
200206;57;1
200207;65;1
200208;135.7;1
200209;27.3;1
200210;108.6;1
200211;134.1;1
200212;109.2;1
200301;100;1
200302;46.7;1
200303;32.6;1
200304;58.4;1
200305;58.4;1
200306;95.1;1
200307;41.6;1
200308;52.5;1
200309;25.1;1
200310;109.4;1
200311;79.5;1
200312;75.4;1
200401;172.5;1
200402;24.3;1
200403;70;1
200404;91.3;1
200405;38.4;1
200406;24.8;1
200407;59.9;1
200408;148.3;1
200409;46.3;1
200410;72.7;1
200411;30.1;1
200412;83.1;1
200501;75;1
200502;47.7;1
200503;55.2;1
200504;73.4;1
200505;48.4;1
200506;29.4;1
200507;91.9;1
200508;51.3;1
200509;66.9;1
200510;45.4;1
200511;66.5;1
200512;80.3;1
200601;46.8;1
200602;73.7;1
200603;144.2;1
200604;18.6;1
200605;63.9;1
200606;15.1;1
200607;31;1
200608;67.7;1
200609;60.4;1
200610;109.9;1
200611;88.8;1
200612;57;1
200701;64.8;1
200702;91.4;1
200703;91.6;1
200704;20.6;1
200705;121.6;1
200706;112.5;1
200707;68.3;1
200708;78.6;1
200709;29.4;1
200710;65.4;1
200711;50.5;1
200712;64.6;1
200801;81.1;1
200802;30.5;1
200803;113;1
200804;112.2;1
200805;122.3;1
200806;38.4;1
200807;50.9;1
200808;74.5;1
200809;42.8;1
200810;80.5;1
200811;80;1
200812;69.4;1
200901;67.7;1
200902;44.3;1
200903;38.3;1
200904;80.6;1
200905;73.1;1
200906;72.1;1
200907;85.2;1
200908;56.2;1
200909;47.5;1
200910;24.4;1
200911;91.7;1
200912;121.4;1
201001;44.6;1
201002;76.2;1
201003;75.4;1
201004;12.7;1
201005;64.3;1
201006;50.2;1
201007;113.9;1
201008;59.1;1
201009;80.4;1
201010;48;1
201011;88.8;1
201012;123.5;1
201101;40.8;1
201102;34.1;1
201103;40.2;1
201104;11.7;1
201105;28.9;1
201106;49;1
201107;111.2;1
201108;78;1
201109;33.8;1
201110;66.6;1
201111;47.5;1
201112;180.9;1
201201;66.6;1
201202;12.4;1
201203;33.8;1
201204;121;1
201205;56.5;1
201206;98.7;1
201207;58.3;1
201208;18.2;1
201209;63.9;1
201210;88.3;1
201211;69.9;1
201212;163.2;1
201301;93.4;1
201302;76.9;1
201303;80.5;1
201304;119.9;1
201305;140.5;1
201306;30.6;1
201307;55.2;1
201308;50.6;1
201309;102.9;1
201310;211.8;1
201311;132.7;1
201312;47.5;1
201401;80.9;1
201402;106.2;1
201403;19.1;1
201404;53;1
201405;76.8;1
201406;42.2;1
201407;124.9;1
201408;106.8;1
201409;18.7;1
201410;96.1;1
201411;95.6;1
201412;79.8;1
201501;106.9;1
201502;62.5;1
201503;56.5;1
201504;67.4;1
201505;74.6;1
201506;52.8;1
201507;14.2;1
201508;91.4;1
201509;62.9;1
201510;58.9;1
201511;76.4;1
201512;30.9;1
201601;128.7;1
201602;101.8;1
201603;94;1
201604;87.6;1
201605;156.9;1
201606;105.1;1
201607;3.4;1
201608;13.4;1
201609;25.8;1
201610;51.6;1
201611;90.6;1
201612;18.1;1
201701;46.3;1
201702;62.8;1
201703;105.2;1
201704;23.9;1
201705;93.5;1
201706;83.4;1
201707;72.4;1
201708;29.3;1
201709;92.6;1
201710;48;1
201711;54.5;1
201712;130.5;1
201801;213;1
201802;68.5;1
201803;113;1
201804;71.7;1
201805;45.2;1
201806;75.1;1
201807;80.3;1
201808;14.8;1
201809;10.5;1
201810;38.2;1
201811;52.5;1
201812;109.5;1
201901;68;1
201902;19;1
201903;64.3;1
201904;38.5;1
201905;70.9;1
201906;64.2;1
201907;8.8;1
201908;28.3;1
201909;46.6;1
201910;147.3;1
201911;134;1
201912;133.6;1
202001;71;0
202002;97.5;0
202003;60.7;0
202004;24;0
202005;64.6;0
202006;59.9;0
202007;13.2;0
202008;65.2;0
202009;43;0
202010;156.7;0
202011;22;0
202012;136.7;0
202101;107.1;0
202102;51.5;0
202103;29.4;0
202104;42.3;0
202105;100.4;0
202106;98.2;0
202107;67.6;0
202108;31.8;0
202109;128.5;0
202110;47.6;0
202111;45.2;0
202112;140.5;0
202201;38.9;0
202202;54.5;0
202203;33.8;0
202204;48.2;0
202205;49.7;0
202206;164.4;0
202207;17.9;0
202208;19.4;0
202209;107.9;0
202210;104.6;0
202211;98.1;0
202212;78.8;0
