# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 18015003
# NOM_USUEL= AUBIGNY-SUR-NERE
# LATITUDE (°) = 47.5
# LONGITUDE(°)= 2.427
# ALTITUDE (m) = 176
# NUM_SERIE= MRR118015003
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196712 197809 200304
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;86.2;1
195902;0;1
195903;49.5;1
195904;94.2;1
195905;8.6;1
195906;84.6;1
195907;9.1;1
195908;40;1
195909;10.1;1
195910;67.8;1
195911;47.2;1
195912;75.6;1
196001;42;1
196002;41.7;1
196003;50.4;1
196004;23.9;1
196005;47.3;1
196006;55.8;1
196007;78.3;1
196008;81.8;1
196009;48.4;1
196010;175.7;1
196011;63.7;1
196012;64.8;1
196101;80.5;1
196102;39.6;1
196103;5;1
196104;42.7;1
196105;36.1;1
196106;58.6;1
196107;63.1;1
196108;6.2;1
196109;56.1;1
196110;79;1
196111;65.6;1
196112;81.9;1
196201;68.4;1
196202;39.3;1
196203;107;1
196204;46.2;1
196205;95.2;1
196206;4.9;1
196207;66.7;1
196208;9.5;1
196209;33.2;1
196210;29.1;1
196211;92.9;1
196212;73.8;1
196301;30.8;1
196302;37.7;1
196303;75;1
196304;30.9;1
196305;77;1
196306;62.7;1
196307;9.4;1
196308;89.6;1
196309;24;1
196310;30;1
196311;89;1
196312;3.5;1
196401;19.3;1
196402;31.6;1
196403;76;1
196404;32;1
196405;33;1
196406;33.9;1
196407;13.7;1
196408;23.4;1
196409;40.6;1
196410;51.6;1
196411;27.1;1
196412;52.2;1
196501;104.5;1
196502;5.2;1
196503;71.5;1
196504;69.5;1
196505;115.4;1
196506;55.5;1
196507;46.5;1
196508;64.7;1
196509;138.9;1
196510;16.9;1
196511;81.6;1
196512;99.6;1
196601;98.9;1
196602;105.8;1
196603;32.9;1
196604;58.6;1
196605;77;1
196606;40.9;1
196607;65;1
196608;107.2;1
196609;14.2;1
196610;62;1
196611;85.5;1
196612;102.5;1
196701;30.1;1
196702;56.1;1
196703;49.3;1
196704;21.1;1
196705;88.5;1
196706;23.1;1
196707;10.7;1
196708;73.7;1
196709;84.2;1
196710;84.2;1
196711;69.2;1
196712;85.4;1
196801;140.5;1
196802;62.1;1
196803;38.2;1
196804;57.3;1
196805;63.7;1
196806;54;1
196807;38.2;1
196808;116.9;1
196809;81.5;1
196810;49;1
196811;49.2;1
196812;87.7;1
196901;42.2;1
196902;49.5;1
196903;60.2;1
196904;46.9;1
196905;63.3;1
196906;76.4;1
196907;36.1;1
196908;45.8;1
196909;68.9;1
196910;9.3;1
196911;116.6;1
196912;51.7;1
197001;76.2;1
197002;128;1
197003;86.6;1
197004;72.9;1
197005;42.1;1
197006;139.5;1
197007;52.7;1
197008;30.8;1
197009;34.6;1
197010;24.6;1
197011;74.7;1
197012;38.8;1
197101;65.6;1
197102;21.3;1
197103;27.9;1
197104;26.7;1
197105;116.5;1
197106;61.5;1
197107;44.4;1
197108;87.7;1
197109;28.3;1
197110;6.8;1
197111;61.6;1
197112;2.4;1
197201;60.1;1
197202;58.7;1
197203;37.5;1
197204;28.8;1
197205;51;1
197206;49.4;1
197207;50.5;1
197208;96.4;1
197209;40.7;1
197210;29.7;1
197211;81;1
197212;34.9;1
197301;44.6;1
197302;53.2;1
197303;12.8;1
197304;27.6;1
197305;71.3;1
197306;38.8;1
197307;48.3;1
197308;34.2;1
197309;24.2;1
197310;21.5;1
197311;36.9;1
197312;82.3;1
197401;59.1;1
197402;39.1;1
197403;83.5;1
197404;12.3;1
197405;46.9;1
197406;73;1
197407;26.1;1
197408;37;1
197409;79.4;1
197410;111.7;1
197411;67.9;1
197412;47.4;1
197501;84.4;1
197502;10.6;1
197503;64.6;1
197504;54.2;1
197505;85.1;1
197506;21.4;1
197507;9;1
197508;31.8;1
197509;127.1;1
197510;43;1
197511;84.1;1
197512;31.1;1
197601;14.9;1
197602;33.2;1
197603;16.9;1
197604;13.3;1
197605;13.4;1
197606;0;1
197607;20.1;1
197608;31.1;1
197609;83.3;1
197610;70.1;1
197611;71.6;1
197612;79.1;1
197701;51.5;1
197702;166.7;1
197703;52.1;1
197704;35.1;1
197705;102.9;1
197706;100.7;1
197707;63.1;1
197708;62;1
197709;3.8;1
197710;70.8;1
197711;57.5;1
197712;66;1
197801;96.5;1
197802;96.4;1
197803;114.5;1
197804;66.4;1
197805;51.7;1
197806;38.5;1
197807;64.5;1
197808;9.8;1
197809;30.6;1
197810;15.3;1
197811;17.6;1
197812;133.8;1
197901;55.7;1
197902;114.7;1
197903;144.6;1
197904;82;1
197905;72.1;1
197906;55.2;1
197907;29;1
197908;67.6;1
197909;17.1;1
197910;92.1;1
197911;53.6;1
197912;113;1
198001;65.2;1
198002;69.1;1
198003;88.6;1
198004;22.6;1
198005;73.1;1
198006;79.1;1
198007;117.2;1
198008;16.9;1
198009;35.6;1
198010;76.7;1
198011;38.5;1
198012;69.9;1
198101;92.6;1
198102;43.8;1
198103;87.2;1
198104;33.6;1
198105;108.2;1
198106;130.5;1
198107;71.5;1
198108;51.2;1
198109;85.5;1
198110;151.3;1
198111;37.4;1
198112;115.8;1
198201;72.9;1
198202;27.7;1
198203;71;1
198204;11.8;1
198205;47.4;1
198206;46.6;1
198207;34.4;1
198208;34.8;1
198209;81;1
198210;120.2;1
198211;54.8;1
198212;125.5;1
198301;61.2;1
198302;65;1
198303;77.6;1
198304;169.1;1
198305;95.6;1
198306;55.4;1
198307;57.5;1
198308;75.7;1
198309;42.9;1
198310;33;1
198311;29.9;1
198312;57.6;1
198401;121;1
198402;34.1;1
198403;37.4;1
198404;8.4;1
198405;120.3;1
198406;59.9;1
198407;28.5;1
198408;73.8;1
198409;124.7;1
198410;87.5;1
198411;81.4;1
198412;56.7;1
198501;44.9;1
198502;31.9;1
198503;67;1
198504;65.8;1
198505;90.4;1
198506;64.8;1
198507;34.6;1
198508;41.3;1
198509;10.5;1
198510;3.4;1
198511;56.1;1
198512;47.1;1
198601;94.1;1
198602;58.6;1
198603;83.5;1
198604;90.7;1
198605;63.7;1
198606;32.7;1
198607;8.7;1
198608;90.8;1
198609;66.8;1
198610;80.9;1
198611;47.9;1
198612;85.4;1
198701;26.5;1
198702;61.9;1
198703;44.4;1
198704;53.4;1
198705;64.8;1
198706;87.7;1
198707;67.5;1
198708;38.2;1
198709;29.7;1
198710;103.4;1
198711;78.7;1
198712;46.3;1
198801;154.9;1
198802;99.7;1
198803;79.8;1
198804;22.4;1
198805;73.5;1
198806;89.6;1
198807;58.9;1
198808;19.3;1
198809;36.8;1
198810;59.8;1
198811;38.2;1
198812;43;1
198901;25.8;1
198902;46.4;1
198903;45.8;1
198904;80.2;1
198905;30;1
198906;35.7;1
198907;67.6;1
198908;53.7;1
198909;14.1;1
198910;50.8;1
198911;15.6;1
198912;89.2;1
199001;33.6;1
199002;93.3;1
199003;8.5;1
199004;41.7;1
199005;41.5;1
199006;51.2;1
199007;42.3;1
199008;28.2;1
199009;26.6;1
199010;54.1;1
199011;57.9;1
199012;59.5;1
199101;55.2;1
199102;30.6;1
199103;30.7;1
199104;47.6;1
199105;19.1;1
199106;62.5;1
199107;55.8;1
199108;21.6;1
199109;65.3;1
199110;46.9;1
199111;73;1
199112;24.8;1
199201;7;1
199202;31.9;1
199203;49.9;1
199204;39.1;1
199205;43.2;1
199206;57.5;1
199207;58.7;1
199208;44.6;1
199209;32.9;1
199210;93.7;1
199211;122;1
199212;51.1;1
199301;48.8;1
199302;8.9;1
199303;13.8;1
199304;77.9;1
199305;55.2;1
199306;96.6;1
199307;32.7;1
199308;30.7;1
199309;163.7;1
199310;81.7;1
199311;21.5;1
199312;107.3;1
199401;91;1
199402;95.3;1
199403;38.6;1
199404;61.3;1
199405;80.4;1
199406;46.2;1
199407;39.9;1
199408;59;1
199409;99.3;1
199410;46;1
199411;72.2;1
199412;76.9;1
199501;117.5;1
199502;81.5;1
199503;93.6;1
199504;50.3;1
199505;80.4;1
199506;18.3;1
199507;59.9;1
199508;44.5;1
199509;91.2;1
199510;58;1
199511;33.8;1
199512;60.9;1
199601;72.6;1
199602;59.2;1
199603;14.7;1
199604;12.6;1
199605;69.2;1
199606;4.2;1
199607;24.9;1
199608;97.8;1
199609;62.4;1
199610;54.6;1
199611;160;1
199612;54.7;1
199701;10.6;1
199702;84.4;1
199703;9.7;1
199704;22.8;1
199705;97.3;1
199706;148.6;1
199707;33.5;1
199708;100.5;1
199709;39.6;1
199710;38.6;1
199711;91.1;1
199712;85.2;1
199801;87.4;1
199802;11.2;1
199803;20.8;1
199804;155.4;1
199805;19;1
199806;30.2;1
199807;18.3;1
199808;32.3;1
199809;93.6;1
199810;119.4;1
199811;40.7;1
199812;63.2;1
199901;62.5;1
199902;88.8;1
199903;74.5;1
199904;80.3;1
199905;66.7;1
199906;37.6;1
199907;43.8;1
199908;76.8;1
199909;126.5;1
199910;50.1;1
199911;64.2;1
199912;146.8;1
200001;29.8;1
200002;94;1
200003;70.8;1
200004;121.2;1
200005;62.7;1
200006;18.9;1
200007;85.1;1
200008;17.5;1
200009;44.3;1
200010;94.9;1
200011;124.4;1
200012;70.1;1
200101;80.1;1
200102;41.8;1
200103;192.1;1
200104;112.2;1
200105;83.5;1
200106;26.6;1
200107;170.5;1
200108;74.3;1
200109;59.3;1
200110;106.3;1
200111;57;1
200112;53.3;1
200201;38.4;1
200202;98.6;1
200203;38.4;1
200204;21.3;1
200205;93.3;1
200206;75.1;1
200207;45.6;1
200208;92;1
200209;11.1;1
200210;86.7;1
200211;133.1;1
200212;76.8;1
200301;79;1
200302;31.5;1
200303;32.3;1
200304;59.5;1
200305;94;1
200306;85.8;1
200307;33.2;1
200308;9.2;1
200309;37.8;1
200310;119.4;1
200311;66.4;1
200312;62.8;1
200401;147.2;1
200402;24.2;1
200403;53.8;1
200404;89.4;1
200405;48.6;1
200406;19.8;1
200407;77.6;1
200408;185.4;1
200409;18.6;1
200410;75.4;1
200411;31.8;1
200412;77.4;1
200501;73.2;1
200502;50;1
200503;37.8;1
200504;56.6;1
200505;58.4;1
200506;22.4;1
200507;89.6;1
200508;45.4;1
200509;97.2;1
200510;34.2;1
200511;51.2;1
200512;55.6;1
200601;46.6;1
200602;58.4;1
200603;108.6;1
200604;41.7;1
200605;61.7;1
200606;41.3;1
200607;45.6;1
200608;59.5;1
200609;76.1;1
200610;118.2;1
200611;80.6;1
200612;54.4;1
200701;47.8;1
200702;67.4;1
200703;77.4;1
200704;22.3;1
200705;118.7;1
200706;70.5;1
200707;85.2;1
200708;104.6;1
200709;27.2;1
200710;37;1
200711;35.6;1
200712;56.2;1
200801;67.8;1
200802;37.6;1
200803;106.2;1
200804;79.8;1
200805;95.4;1
200806;30.1;1
200807;51.8;1
200808;76;1
200809;24.6;1
200810;70;1
200811;67.4;1
200812;47.8;1
200901;53.2;1
200902;36;1
200903;32.8;1
200904;65.4;1
200905;53.2;1
200906;45.2;1
200907;56.8;1
200908;16.4;1
200909;36.1;1
200910;19;1
200911;83;1
200912;68.5;1
201001;38.3;1
201002;47.5;1
201003;64;1
201004;18.8;1
201005;55.2;1
201006;48.3;1
201007;85.7;1
201008;59.7;1
201009;90.8;1
201010;49.6;1
201011;66.2;1
201012;109.3;1
