# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 18087001
# NOM_USUEL= DUN
# LATITUDE (°) = 46.878
# LONGITUDE(°)= 2.566
# ALTITUDE (m) = 160
# NUM_SERIE= MRR118087001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201912
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  194701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;45.9;1
194702;55.3;1
194703;71.6;1
194704;44.6;1
194705;44.4;1
194706;60.9;1
194707;21.8;1
194708;35.2;1
194709;24.9;1
194710;12.5;1
194711;45.7;1
194712;37.8;1
194801;74.4;1
194802;11.5;1
194803;16.2;1
194804;65.5;1
194805;85.8;1
194806;57.1;1
194807;28.4;1
194808;67.2;1
194809;51;1
194810;21;1
194811;27.2;1
194812;37;1
194901;23.4;1
194902;9.5;1
194903;19.8;1
194904;22.1;1
194905;92;1
194906;84.2;1
194907;26;1
194908;37.5;1
194909;104.7;1
194910;28.8;1
194911;100.5;1
194912;34.8;1
195001;12.5;1
195002;57.1;1
195003;16.2;1
195004;51.7;1
195005;56.8;1
195006;53.9;1
195007;21.5;1
195008;74.4;1
195009;23.6;1
195010;29;1
195011;124.8;1
195012;66.7;1
195101;41.5;1
195102;57.8;1
195103;53.6;1
195104;55.5;1
195105;72.9;1
195106;117.2;1
195107;27.3;1
195108;51.2;1
195109;82.2;1
195110;20.4;1
195111;75.9;1
195112;37.9;1
195201;99.6;1
195202;66.6;1
195203;87.7;1
195204;9.2;1
195205;47.1;1
195206;17.8;1
195207;15.8;1
195208;52.1;1
195209;109.4;1
195210;133.8;1
195211;54.4;1
195212;102.4;1
195301;12.3;1
195302;23.3;1
195303;2.7;1
195304;73.9;1
195305;16.9;1
195306;73.8;1
195307;49.9;1
195308;29;1
195309;78.1;1
195310;53.1;1
195311;28.5;1
195312;19.8;1
195401;35.8;1
195402;53.7;1
195403;67.7;1
195404;20.4;1
195405;30.1;1
195406;67.2;1
195407;16.8;1
195408;86.2;1
195409;53;1
195410;28.3;1
195411;54.8;1
195412;42.2;1
195501;106.4;1
195502;83.7;1
195503;64.6;1
195504;0;1
195505;28;1
195506;96.4;1
195507;56.3;1
195508;44.9;1
195509;24.8;1
195510;17.4;1
195511;36.6;1
195512;97.9;1
195601;59.8;1
195602;13.9;1
195603;22.7;1
195604;81.8;1
195605;66.6;1
195606;48.8;1
195607;43.5;1
195608;63.1;1
195609;104.7;1
195610;39.7;1
195611;45.2;1
195612;35.8;1
195701;28.2;1
195702;105.2;1
195703;24.6;1
195704;22.5;1
195705;32.9;1
195706;104.9;1
195707;80.9;1
195708;46.3;1
195709;46.9;1
195710;51.4;1
195711;31.3;1
195712;46.3;1
195801;74.6;1
195802;65.2;1
195803;64.9;1
195804;32.5;1
195805;131.2;1
195806;81.7;1
195807;139.6;1
195808;101;1
195809;78.1;1
195810;53.4;1
195811;53.3;1
195812;96.7;1
195901;80.8;1
195902;1.5;1
195903;66.9;1
195904;93.8;1
195905;41.1;1
195906;91.9;1
195907;9;1
195908;37.8;1
195909;44.1;1
195910;42.7;1
195911;63.8;1
195912;61.5;1
196001;75.8;1
196002;43.6;1
196003;70.1;1
196004;23.6;1
196005;55.5;1
196006;60.8;1
196007;47.4;1
196008;122.8;1
196009;70;1
196010;207.7;1
196011;56.4;1
196012;62.4;1
196101;64.6;1
196102;33.9;1
196103;2.9;1
196104;55.7;1
196105;65.6;1
196106;44.4;1
196107;92.3;1
196108;38.6;1
196109;31.2;1
196110;56.4;1
196111;55.5;1
196112;56.3;1
196201;68.4;1
196202;28.2;1
196203;111.4;1
196204;47.6;1
196205;90.3;1
196206;8.1;1
196207;43;1
196208;24;1
196209;17;1
196210;35;1
196211;98;1
196212;84;1
196301;36;1
196302;39;1
196303;92;1
196304;45.5;1
196305;87.9;1
196306;64.2;1
196307;16.4;1
196308;96.3;1
196309;23.6;1
196310;34;1
196311;77;1
196312;5;1
196401;19.9;1
196402;44.9;1
196403;87.4;1
196404;79.2;1
196405;43.6;1
196406;30;1
196407;15.4;1
196408;31;1
196409;78.1;1
196410;49.9;1
196411;27.9;1
196412;36.4;1
196501;106.6;1
196502;4.5;1
196503;72.7;1
196504;66.8;1
196505;77.6;1
196506;39.4;1
196507;72;1
196508;59.2;1
196509;177.7;1
196510;10.2;1
196511;138.9;1
196512;131.8;1
196601;67.7;1
196602;89.6;1
196603;28.3;1
196604;64.1;1
196605;31.7;1
196606;82.3;1
196607;72.5;1
196608;80.3;1
196609;24.4;1
196610;83.5;1
196611;56.2;1
196612;95.2;1
196701;56.7;1
196702;51.4;1
196703;46.1;1
196704;19.9;1
196705;102.9;1
196706;9;1
196707;0;1
196708;48.7;1
196709;93;1
196710;71.4;1
196711;66;1
196712;96;1
196801;103.2;1
196802;64.5;1
196803;26.1;1
196804;61.7;1
196805;103.1;1
196806;56.8;1
196807;40.9;1
196808;137.7;1
196809;106.5;1
196810;35.8;1
196811;46.1;1
