# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 18089001
# NOM_USUEL= EPINEUIL
# LATITUDE (°) = 46.563
# LONGITUDE(°)= 2.52
# ALTITUDE (m) = 228
# NUM_SERIE= MRR118089001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194701 201912
# Date(s) de rupture(s) d'homogénéité : 196912 199304
#     Periode homogénéisée  194701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;40.8;1
194702;36.4;1
194703;63.3;1
194704;40.7;1
194705;57.1;1
194706;156.1;1
194707;53.7;1
194708;52;1
194709;14.5;1
194710;37.8;1
194711;51.4;1
194712;42.7;1
194801;58.8;1
194802;17.6;1
194803;13.7;1
194804;40.8;1
194805;83.9;1
194806;61.5;1
194807;38.2;1
194808;46.1;1
194809;56.7;1
194810;6.3;1
194811;39.4;1
194812;29.9;1
194901;25.5;1
194902;10.5;1
194903;30.6;1
194904;29.2;1
194905;70.5;1
194906;32.1;1
194907;4.3;1
194908;50.4;1
194909;63.1;1
194910;23.5;1
194911;98.1;1
194912;39.9;1
195001;17.2;1
195002;36;1
195003;12.5;1
195004;57.9;1
195005;53.7;1
195006;44.6;1
195007;13.7;1
195008;91.8;1
195009;15.8;1
195010;18.5;1
195011;139.1;1
195012;44.1;1
195101;28.1;1
195102;44.4;1
195103;73.3;1
195104;49.2;1
195105;85.6;1
195106;92.3;1
195107;36.8;1
195108;67.8;1
195109;95.7;1
195110;22.3;1
195111;47;1
195112;33.2;1
195201;75.4;1
195202;49.1;1
195203;94.2;1
195204;13.8;1
195205;66.8;1
195206;46.5;1
195207;18;1
195208;67.1;1
195209;83.2;1
195210;133.1;1
195211;78.6;1
195212;75.9;1
195301;14.4;1
195302;28.8;1
195303;4.3;1
195304;72.5;1
195305;27.4;1
195306;110.8;1
195307;77;1
195308;90.6;1
195309;78.8;1
195310;75.7;1
195311;22.8;1
195312;18.7;1
195401;35.8;1
195402;55.3;1
195403;52.1;1
195404;13.2;1
195405;49.6;1
195406;79.2;1
195407;22.9;1
195408;94.8;1
195409;63.9;1
195410;41.1;1
195411;26;1
195412;35.2;1
195501;105.9;1
195502;84.1;1
195503;61.4;1
195504;1.4;1
195505;26.1;1
195506;77.1;1
195507;36.5;1
195508;34.1;1
195509;21.4;1
195510;14.5;1
195511;31.1;1
195512;61.9;1
195601;67.4;1
195602;13.4;1
195603;26.6;1
195604;58.4;1
195605;76.7;1
195606;42.5;1
195607;39.2;1
195608;49.3;1
195609;79.2;1
195610;34.9;1
195611;32.6;1
195612;38.4;1
195701;37.1;1
195702;78.3;1
195703;14.8;1
195704;15.9;1
195705;18;1
195706;72.4;1
195707;51;1
195708;76.9;1
195709;51.4;1
195710;48.5;1
195711;31.8;1
195712;45.3;1
195801;68.9;1
195802;50.8;1
195803;57.3;1
195804;19.3;1
195805;154.7;1
