# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 19010001
# NOM_USUEL= ARGENTAT
# LATITUDE (°) = 45.101
# LONGITUDE(°)= 1.938
# ALTITUDE (m) = 190
# NUM_SERIE= MRR119010001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;342.7;1
195502;162.2;1
195503;31.5;1
195504;4.7;1
195505;68.2;1
195506;185.1;1
195507;219.5;1
195508;64.2;1
195509;44.4;1
195510;80.7;1
195511;55.3;1
195512;172.6;1
195601;105.4;1
195602;12.8;1
195603;46.3;1
195604;98.3;1
195605;83.4;1
195606;58.1;1
195607;214.5;1
195608;170.9;1
195609;89.7;1
195610;46.9;1
195611;38.6;1
195612;67.1;1
195701;45.6;1
195702;270.2;1
195703;46.2;1
195704;65.6;1
195705;49.1;1
195706;116.7;1
195707;123;1
195708;31.4;1
195709;118.1;1
195710;42.8;1
195711;55.2;1
195712;101.8;1
195801;190;1
195802;55.9;1
195803;131.8;1
195804;81.1;1
195805;187.8;1
195806;105.1;1
195807;200.2;1
195808;109.6;1
195809;89.5;1
195810;51.3;1
195811;85.2;1
195812;193.5;1
195901;116.9;1
195902;10.7;1
195903;73.2;1
195904;103.6;1
195905;68.5;1
195906;86.3;1
195907;43;1
195908;81.8;1
195909;121;1
195910;74.2;1
195911;91.9;1
195912;362.8;1
196001;120.1;1
196002;140.1;1
196003;89.5;1
196004;25.1;1
196005;43.6;1
196006;74.5;1
196007;113.3;1
196008;230.2;1
196009;99.6;1
196010;333.6;1
196011;114;1
196012;134.8;1
196101;154;1
196102;61;1
196103;3.2;1
196104;130.6;1
196105;96.3;1
196106;67.3;1
196107;84;1
196108;29.3;1
196109;102.2;1
196110;121.9;1
196111;126.5;1
196112;177.8;1
196201;210;1
196202;63;1
196203;156;1
196204;113.1;1
196205;120.5;1
196206;20.9;1
196207;45;1
196208;19.7;1
196209;51.7;1
196210;36;1
196211;196.8;1
196212;146.6;1
196301;49.2;1
196302;141.6;1
196303;176.9;1
196304;106.1;1
196305;82.2;1
196306;140.5;1
196307;41.7;1
196308;177.5;1
196309;98.5;1
