# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 19016001
# NOM_USUEL= BAR
# LATITUDE (°) = 45.345
# LONGITUDE(°)= 1.824
# ALTITUDE (m) = 269
# NUM_SERIE= MRR119016001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195501 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;307.1;1
195502;157;1
195503;37.4;1
195504;3.1;1
195505;58.7;1
195506;150.8;1
195507;104.5;1
195508;58.6;1
195509;28.3;1
195510;89;1
195511;68;1
195512;179.1;1
195601;123.8;1
195602;15.7;1
195603;53.4;1
195604;115.7;1
195605;107.8;1
195606;59.9;1
195607;157.9;1
195608;209.6;1
195609;146.3;1
195610;65;1
195611;46.3;1
195612;60.8;1
195701;56.4;1
195702;239.3;1
195703;47.8;1
195704;69.5;1
195705;49.1;1
195706;107.6;1
195707;115.5;1
195708;32.4;1
195709;98.8;1
195710;32.2;1
195711;53.3;1
195712;117.9;1
195801;188.5;1
195802;79.3;1
195803;136;1
195804;73.5;1
195805;238.3;1
195806;107.5;1
195807;183.1;1
195808;128.3;1
195809;104;1
195810;56.4;1
195811;74.4;1
195812;205.5;1
195901;113.9;1
195902;12.2;1
195903;86.6;1
195904;199.6;1
195905;97.7;1
195906;114.1;1
195907;31.3;1
195908;176;1
195909;115.3;1
195910;96.8;1
195911;109.2;1
195912;277.9;1
196001;115;1
196002;122.7;1
196003;82.8;1
196004;20.5;1
196005;89.2;1
196006;128.4;1
196007;66.3;1
196008;227.8;1
196009;94.5;1
196010;401.5;1
196011;150.9;1
196012;171.1;1
196101;203.7;1
196102;55.4;1
196103;6.9;1
196104;120.3;1
196105;82.2;1
196106;56.9;1
196107;150.3;1
196108;43.3;1
196109;57.6;1
196110;126.1;1
196111;114.8;1
196112;171;1
196201;188.1;1
196202;70.7;1
196203;143.6;1
196204;100.4;1
196205;161.2;1
196206;13.3;1
196207;68.4;1
196208;19.1;1
196209;71;1
196210;39.6;1
196211;214.4;1
196212;144.6;1
196301;47.8;1
196302;122.4;1
196303;183.5;1
196304;99.3;1
196305;75.6;1
196306;169.5;1
196307;32.7;1
196308;215.9;1
196309;62.6;1
196310;76.5;1
196311;119.7;1
196312;53;1
196401;33.2;1
196402;74.6;1
196403;92.5;1
196404;166.7;1
196405;151.5;1
196406;76.4;1
196407;9;1
196408;107.5;1
196409;61.9;1
196410;165.5;1
196411;85.8;1
196412;64.2;1
196501;136.9;1
196502;11.5;1
196503;155.9;1
196504;102.8;1
196505;122.2;1
196506;39.7;1
196507;99.1;1
196508;65.9;1
196509;223.6;1
196510;12.4;1
196511;285;1
196512;276.6;1
196601;165.6;1
196602;112.1;1
196603;61.4;1
196604;153.8;1
196605;90.7;1
196606;121.8;1
196607;94.2;1
196608;64.2;1
196609;21.6;1
196610;228.2;1
196611;137.2;1
196612;208.8;1
196701;56.1;1
196702;121.4;1
196703;76.2;1
196704;17.5;1
196705;141.7;1
196706;35.3;1
196707;18.7;1
196708;78.4;1
196709;93.8;1
196710;139.7;1
196711;153.5;1
196712;128.1;1
196801;157.8;1
196802;103.5;1
196803;51.8;1
196804;68.9;1
196805;160.7;1
196806;49.4;1
196807;136.7;1
196808;210.6;1
196809;274.8;1
196810;54.2;1
196811;55.6;1
196812;161.5;1
196901;111.8;1
196902;79.6;1
196903;185.3;1
196904;186.7;1
196905;154.2;1
196906;162.3;1
196907;69.3;1
196908;82.7;1
196909;171.8;1
196910;10.3;1
196911;204.6;1
196912;95.8;1
197001;135.3;1
197002;245.2;1
197003;94.9;1
197004;103.4;1
197005;55.3;1
197006;111.2;1
197007;30.3;1
197008;81.2;1
197009;38.3;1
197010;97.7;1
197011;140.4;1
197012;62.2;1
197101;198.1;1
197102;43.1;1
197103;86.6;1
197104;121;1
197105;109.6;1
197106;133;1
197107;106.4;1
197108;125.6;1
197109;86;1
197110;30.1;1
197111;121.7;1
197112;18.9;1
197201;91.3;1
197202;142.2;1
197203;79.3;1
197204;67.5;1
197205;58.7;1
197206;51.7;1
197207;34.5;1
197208;184.1;1
197209;51.2;1
197210;76.8;1
197211;139.3;1
197212;84.1;1
197301;96.1;1
197302;98.8;1
197303;14.8;1
197304;49.8;1
197305;120.2;1
197306;66.3;1
197307;157.9;1
197308;20.9;1
197309;100.4;1
197310;143.8;1
197311;96.4;1
197312;148.1;1
197401;89.4;1
197402;113.7;1
197403;117.3;1
197404;64.4;1
197405;88.6;1
197406;94.8;1
197407;55.6;1
197408;96.7;1
197409;211.9;1
197410;142.4;1
197411;142.3;1
197412;73.3;1
197501;166;1
197502;22.2;1
197503;150;1
197504;87.5;1
