# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 19139001
# NOM_USUEL= MILLEVACHES
# LATITUDE (°) = 45.643
# LONGITUDE(°)= 2.096
# ALTITUDE (m) = 915
# NUM_SERIE= MRR119139001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195501 202112
# Date(s) de rupture(s) d'homogénéité : 196206 196804
#     Periode homogénéisée  195501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;348.5;1
195502;178.3;1
195503;55.4;1
195504;4;1
195505;75;1
195506;159;1
195507;143.3;1
195508;48.8;1
195509;28.6;1
195510;87.2;1
195511;75.3;1
195512;203.1;1
195601;158;1
195602;32.8;1
195603;71.8;1
195604;103.6;1
195605;128.4;1
195606;76.4;1
195607;182.5;1
195608;152.2;1
195609;111.8;1
195610;78.7;1
195611;60.3;1
195612;60.5;1
195701;80.2;1
195702;280.7;1
195703;43.4;1
195704;71.3;1
195705;57.4;1
195706;173.7;1
195707;122.8;1
195708;37.2;1
195709;107.2;1
195710;37;1
195711;54.4;1
195712;76;1
195801;130.3;1
195802;135.8;1
195803;151.9;1
195804;95.1;1
195805;264.2;1
195806;131.3;1
195807;161.4;1
195808;170.1;1
195809;88;1
195810;79.1;1
195811;88.8;1
195812;185.2;1
195901;150.8;1
195902;21.7;1
195903;112.1;1
195904;196.5;1
195905;84.1;1
195906;109.8;1
195907;52.3;1
195908;127.3;1
195909;136.8;1
195910;100.2;1
195911;97.6;1
195912;247.5;1
196001;121;1
196002;129.9;1
196003;137.9;1
196004;25.8;1
196005;66.4;1
196006;115.6;1
196007;97.9;1
196008;245.3;1
196009;113.1;1
196010;502.6;1
196011;130.3;1
196012;163.3;1
196101;170;1
196102;82.2;1
196103;7.3;1
196104;143.9;1
196105;103.8;1
196106;78.3;1
196107;151;1
196108;65.7;1
196109;87.8;1
196110;160.5;1
196111;117.4;1
196112;196.6;1
196201;206.5;1
196202;72.5;1
196203;169.6;1
196204;108.9;1
196205;199;1
196206;13.6;1
196207;96.6;1
196208;31;1
196209;91.7;1
196210;39.7;1
196211;193.2;1
196212;163.7;1
196301;49.8;1
196302;100;1
196303;208.1;1
196304;112.6;1
196305;78.9;1
196306;156.4;1
196307;23.7;1
196308;191.8;1
196309;69.4;1
196310;74.1;1
196311;174.5;1
196312;41.7;1
196401;23;1
196402;63.5;1
196403;111.4;1
196404;162;1
196405;119.5;1
196406;76.2;1
196407;16.9;1
196408;67.7;1
196409;60.1;1
196410;165.1;1
196411;85.9;1
196412;66.2;1
196501;150.9;1
196502;17.6;1
196503;141.3;1
196504;107.5;1
196505;111.7;1
196506;52;1
196507;73.6;1
196508;89.5;1
196509;244.5;1
196510;8.9;1
196511;255;1
196512;319.6;1
196601;184.2;1
196602;142.8;1
196603;79.7;1
196604;125.7;1
196605;104.8;1
196606;107.4;1
196607;94.6;1
196608;115.6;1
196609;38.1;1
196610;174.1;1
196611;161.8;1
196612;283.1;1
196701;76;1
196702;139.7;1
196703;109.2;1
196704;42.4;1
196705;164.8;1
196706;57.1;1
196707;45.5;1
196708;98.4;1
196709;92.1;1
196710;149.6;1
196711;155.7;1
196712;141.9;1
196801;185;1
196802;96.9;1
196803;69.1;1
196804;85;1
196805;167;1
196806;61.5;1
196807;111.6;1
196808;142.2;1
196809;260.6;1
196810;69.1;1
196811;55.5;1
196812;175.8;1
196901;111.1;1
196902;104.7;1
196903;165.6;1
196904;173.2;1
196905;193.5;1
196906;135.8;1
196907;58.8;1
196908;126.6;1
196909;186.2;1
196910;17.6;1
196911;241.3;1
196912;127;1
197001;163.3;1
197002;273.8;1
197003;96;1
197004;149.1;1
197005;66.3;1
197006;127.5;1
197007;36.1;1
197008;111;1
197009;69.8;1
197010;82.7;1
197011;165.7;1
197012;58.5;1
197101;207.2;1
197102;67.3;1
197103;116.9;1
197104;124.6;1
197105;87.5;1
197106;107.6;1
197107;91;1
197108;198.7;1
197109;79;1
197110;40.6;1
197111;127.6;1
197112;15.8;1
197201;107.4;1
197202;117.7;1
197203;72.6;1
197204;95;1
197205;63.1;1
197206;62.3;1
197207;92.2;1
197208;141.9;1
197209;55.4;1
197210;75.4;1
197211;184.6;1
197212;93.4;1
197301;102.6;1
197302;106.7;1
197303;12.3;1
197304;55;1
197305;135.7;1
197306;83.6;1
197307;187.6;1
197308;123.8;1
197309;118.3;1
197310;141.7;1
197311;90.4;1
197312;159.6;1
197401;96.8;1
197402;122.9;1
197403;123.1;1
197404;83.7;1
197405;87.1;1
197406;110.4;1
197407;35.7;1
197408;85.5;1
197409;218.9;1
197410;185.7;1
197411;189;1
197412;70.4;1
197501;170;1
197502;35.3;1
197503;129.4;1
197504;84.6;1
197505;129.8;1
197506;33.1;1
197507;54.2;1
197508;129.9;1
197509;156.7;1
197510;45.6;1
197511;153.7;1
197512;45.9;1
197601;41.3;1
197602;79.7;1
197603;39.6;1
197604;49.2;1
197605;67.2;1
197606;0;1
197607;91.9;1
197608;60.3;1
197609;167.7;1
197610;218.8;1
197611;196.7;1
197612;161.8;1
197701;123.3;1
197702;253.6;1
197703;137.1;1
197704;89.7;1
197705;154.3;1
197706;202;1
197707;119.6;1
197708;132.4;1
197709;13.8;1
197710;112.4;1
197711;102.9;1
197712;130.5;1
197801;179.1;1
197802;121.5;1
197803;186.3;1
197804;118.9;1
197805;82.8;1
197806;78.2;1
197807;102;1
197808;52.5;1
197809;82.9;1
197810;19.9;1
197811;22.9;1
197812;279.6;1
197901;101;1
197902;145.2;1
197903;208.7;1
197904;150.1;1
197905;155.9;1
197906;72.9;1
197907;9.6;1
197908;144.4;1
197909;12;1
197910;161.5;1
197911;121;1
197912;268;1
198001;162.3;1
198002;153.5;1
198003;142.4;1
198004;42.8;1
198005;129.1;1
198006;118.5;1
198007;102.9;1
198008;97.8;1
198009;60;1
198010;173.9;1
198011;98.1;1
198012;124.1;1
198101;158.4;1
198102;69.2;1
198103;189.4;1
198104;29.1;1
198105;235.4;1
198106;129.6;1
198107;150.6;1
198108;53.3;1
198109;186.1;1
198110;182.3;1
198111;42.5;1
198112;330;1
198201;154.3;1
198202;48.1;1
198203;128.4;1
198204;35.9;1
198205;64.7;1
198206;86.8;1
198207;77.3;1
198208;114.6;1
198209;106.3;1
198210;185.4;1
198211;120;1
198212;261.9;1
198301;67.1;1
198302;114.1;1
198303;77.2;1
198304;243.8;1
198305;172.4;1
198306;39.1;1
198307;58.9;1
198308;135.3;1
198309;110.9;1
198310;82.7;1
198311;101.4;1
198312;135.7;1
198401;217.9;1
198402;99.7;1
198403;109.8;1
198404;18.4;1
198405;156.8;1
198406;90.4;1
198407;44.1;1
198408;103.2;1
198409;181.8;1
198410;142.5;1
198411;152;1
198412;82;1
198501;97;1
198502;121.2;1
198503;121.9;1
198504;133.4;1
198505;162.3;1
198506;138;1
198507;43.6;1
198508;34.4;1
198509;17.6;1
198510;7.8;1
198511;103.4;1
198512;109.5;1
198601;210.8;1
198602;98.3;1
198603;145;1
198604;222.4;1
198605;96.5;1
198606;59.5;1
198607;25.3;1
198608;68;1
198609;74.8;1
