# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 19272001
# NOM_USUEL= TULLE
# LATITUDE (°) = 45.243
# LONGITUDE(°)= 1.74
# ALTITUDE (m) = 235
# NUM_SERIE= MRR119272001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 202112
# Date(s) de rupture(s) d'homogénéité : 199301 199608
#     Periode homogénéisée  195501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;310.1;1
195502;184.6;1
195503;42;1
195504;3;1
195505;67.5;1
195506;165.8;1
195507;155.8;1
195508;85.3;1
195509;9.8;1
195510;113.2;1
195511;66.8;1
195512;220.9;1
195601;119.2;1
195602;14.1;1
195603;58.6;1
195604;163;1
195605;93.4;1
195606;59.1;1
195607;98.7;1
195608;194.9;1
195609;144.6;1
195610;58.8;1
195611;49.7;1
195612;59;1
195701;58.1;1
195702;273.9;1
195703;54.5;1
195704;74.1;1
195705;43.5;1
195706;110.8;1
195707;111.5;1
195708;36.4;1
195709;106.9;1
195710;33.8;1
195711;50.5;1
195712;119;1
195801;203.5;1
195802;79.7;1
195803;138.4;1
195804;68.3;1
195805;221.2;1
195806;103.3;1
195807;167.3;1
195808;113.9;1
195809;107.7;1
195810;63.9;1
195811;49.7;1
195812;203.5;1
195901;108.4;1
195902;5.5;1
195903;104.5;1
195904;208.9;1
195905;81.5;1
195906;50.4;1
195907;27;1
195908;153;1
195909;170.1;1
195910;60.2;1
195911;89.6;1
195912;348.9;1
196001;157.1;1
196002;123.9;1
196003;114.8;1
196004;21.9;1
196005;94.1;1
196006;120.8;1
196007;58.9;1
196008;227.2;1
196009;122.8;1
196010;378.3;1
196011;150.2;1
196012;169.2;1
196101;193.9;1
196102;59.9;1
196103;2.2;1
196104;94;1
196105;80.8;1
196106;54.1;1
196107;147;1
196108;59;1
196109;55.2;1
196110;99.7;1
196111;125.8;1
196112;211.5;1
196201;201.1;1
196202;69.5;1
196203;134.1;1
196204;115.3;1
196205;153.7;1
196206;15.1;1
196207;85.3;1
196208;21.5;1
196209;65.6;1
196210;42.9;1
196211;228;1
196212;163.6;1
196301;45;1
196302;143;1
196303;205;1
196304;98;1
196305;69.4;1
196306;165.9;1
196307;40.8;1
196308;209.6;1
196309;66.1;1
196310;69.5;1
196311;132.3;1
196312;59.6;1
196401;29.6;1
196402;75.3;1
196403;82.2;1
196404;178.9;1
196405;147.4;1
196406;65.5;1
196407;7;1
196408;115.2;1
196409;75.2;1
196410;131.9;1
196411;91;1
196412;59.6;1
196501;146.7;1
196502;7.6;1
196503;160.1;1
196504;91.1;1
196505;118.2;1
196506;20;1
196507;132.4;1
196508;78.5;1
196509;236.1;1
196510;8.5;1
196511;287.2;1
196512;248.1;1
196601;139.5;1
196602;83.1;1
196603;58.8;1
196604;163.7;1
196605;85;1
196606;132.1;1
196607;95.5;1
196608;69.8;1
196609;40;1
196610;241.3;1
196611;141.2;1
196612;223.9;1
196701;52.3;1
196702;126.9;1
196703;86.1;1
196704;12.6;1
196705;134.2;1
196706;33.2;1
196707;6.8;1
196708;97.5;1
196709;92;1
196710;133.7;1
196711;143.7;1
196712;111.4;1
196801;154.9;1
196802;93.5;1
196803;49.8;1
196804;60.3;1
196805;157.1;1
196806;58.5;1
196807;147.1;1
196808;180.3;1
196809;248.6;1
196810;47.9;1
196811;63.4;1
196812;149.5;1
196901;104.6;1
196902;76.9;1
196903;182.3;1
196904;163;1
196905;147.3;1
196906;128.8;1
196907;57.3;1
196908;90.1;1
196909;174.7;1
196910;8.8;1
196911;223.5;1
196912;101.2;1
197001;152.2;1
197002;243.4;1
197003;74.5;1
197004;134.2;1
197005;47.3;1
197006;98;1
197007;24.1;1
197008;122.4;1
197009;32.3;1
197010;94.8;1
197011;140.4;1
197012;68;1
197101;198.1;1
197102;62.8;1
197103;94.3;1
197104;113.7;1
197105;120.8;1
197106;134.9;1
197107;72.8;1
197108;148.6;1
197109;57;1
197110;47.7;1
197111;148;1
197112;21.1;1
197201;84.6;1
197202;132.8;1
197203;87.7;1
197204;71.6;1
197205;66.7;1
197206;38.2;1
197207;32.1;1
197208;179.5;1
197209;35.3;1
197210;80.8;1
197211;165.9;1
197212;77.4;1
197301;92.7;1
197302;98;1
197303;15.6;1
197304;49.3;1
197305;136.7;1
197306;81.3;1
197307;145;1
197308;17.8;1
197309;67.8;1
197310;133.4;1
197311;89.3;1
197312;137;1
197401;89.6;1
197402;116;1
197403;114.1;1
197404;70.5;1
197405;108.7;1
197406;103.1;1
197407;59.9;1
197408;65;1
197409;203.2;1
197410;138;1
197411;159.9;1
197412;60.8;1
197501;185.1;1
197502;20.9;1
197503;125.5;1
197504;85.2;1
197505;154.2;1
197506;31.4;1
197507;31.5;1
197508;123.3;1
197509;159.8;1
197510;53.5;1
197511;125.7;1
197512;44.3;1
197601;29.8;1
197602;63.4;1
197603;54.5;1
197604;18.2;1
197605;54.5;1
197606;18.1;1
197607;45.2;1
197608;88.1;1
197609;163.8;1
197610;252.6;1
197611;205.6;1
197612;181.6;1
197701;104;1
197702;196.5;1
197703;153.3;1
197704;64.4;1
197705;208.8;1
197706;221.3;1
197707;94.7;1
197708;135.2;1
197709;13.2;1
197710;120.8;1
197711;96.4;1
197712;90.7;1
197801;162.8;1
197802;106.4;1
197803;188.4;1
197804;115.3;1
197805;74.5;1
197806;93.3;1
197807;65.5;1
197808;31.8;1
197809;78.9;1
197810;7.7;1
197811;23.9;1
197812;254.5;1
197901;128.4;1
197902;146.6;1
197903;191.9;1
197904;151.1;1
197905;159.8;1
197906;51.2;1
197907;19.1;1
197908;114.2;1
197909;13.3;1
197910;154;1
197911;131.8;1
197912;220.8;1
198001;163.2;1
198002;155.5;1
198003;111.6;1
198004;18.9;1
198005;89.5;1
198006;81.4;1
198007;126.7;1
198008;94.3;1
198009;60.1;1
198010;185.2;1
198011;58.1;1
198012;105.5;1
198101;131.9;1
198102;51.3;1
198103;168;1
198104;32.4;1
198105;253;1
198106;63.1;1
198107;158.3;1
198108;45.7;1
198109;101.1;1
198110;166.9;1
198111;35.4;1
198112;339.8;1
198201;113.1;1
198202;55.5;1
198203;104.5;1
198204;32.4;1
198205;81.3;1
198206;65.1;1
198207;100.8;1
198208;64.8;1
198209;110.7;1
198210;207.1;1
198211;109.8;1
198212;284.6;1
198301;64.5;1
198302;112;1
198303;86.2;1
198304;196.9;1
198305;149;1
198306;47.6;1
198307;42.6;1
198308;78;1
198309;77.3;1
198310;70.6;1
198311;67.1;1
198312;134.4;1
198401;217.6;1
198402;104.3;1
198403;72.9;1
198404;11.7;1
198405;142.5;1
198406;75.1;1
198407;41.5;1
198408;95.6;1
198409;163.8;1
198410;130.8;1
198411;158.2;1
198412;102.7;1
198501;99.9;1
198502;101.1;1
198503;118.5;1
198504;99.1;1
198505;178.2;1
198506;123.6;1
198507;24;1
198508;9.4;1
198509;5.5;1
198510;3.4;1
198511;78.3;1
198512;102;1
198601;218.2;1
198602;92;1
198603;135.8;1
198604;212.4;1
198605;75.2;1
198606;21;1
198607;46.9;1
198608;88;1
198609;111.5;1
198610;118;1
198611;117;1
198612;153.3;1
198701;65.1;1
198702;80;1
198703;81.4;1
198704;76.9;1
198705;47;1
198706;134.9;1
198707;120.7;1
198708;57;1
198709;161.1;1
198710;226.5;1
198711;120;1
198712;47.4;1
198801;233.4;1
198802;128;1
198803;157;1
198804;106.4;1
198805;173.2;1
198806;81.3;1
198807;108;1
198808;6.4;1
198809;62.7;1
198810;105.7;1
198811;51.8;1
198812;93.9;1
198901;30.4;1
198902;106.6;1
198903;73;1
198904;205.1;1
198905;49.7;1
198906;49.1;1
198907;60.7;1
198908;47.2;1
198909;66.4;1
198910;44.8;1
198911;93.8;1
198912;41.6;1
199001;71;1
199002;194.7;1
199003;10.5;1
199004;105.1;1
199005;83.2;1
199006;110.1;1
199007;52.3;1
199008;77.8;1
199009;92.7;1
199010;274;1
199011;161.4;1
199012;77.7;1
199101;88.3;1
199102;77.5;1
199103;78.6;1
199104;66.2;1
199105;30.1;1
199106;91.5;1
199107;78.5;1
199108;52.8;1
199109;111.1;1
199110;135.5;1
199111;181.6;1
199112;58.6;1
199201;48;1
199202;49.8;1
199203;92.9;1
199204;78.6;1
199205;65.8;1
199206;185.2;1
199207;89.8;1
199208;117;1
199209;132.4;1
199210;239.4;1
199211;190.6;1
199212;128.5;1
199301;27.1;1
199302;9.1;1
199303;34.7;1
199304;137.4;1
199305;90.1;1
199306;107.9;1
199307;62.8;1
199308;120.3;1
199309;208.5;1
199310;172.3;1
199311;44.6;1
199312;283.6;1
199401;189.4;1
199402;178.4;1
199403;38.3;1
199404;171.2;1
199405;172.6;1
199406;101.3;1
199407;69.6;1
199408;80.3;1
199409;184.1;1
199410;163.7;1
199411;112.4;1
199412;116.9;1
199501;190.3;1
199502;199.4;1
199503;124.7;1
199504;64.4;1
199505;82.5;1
199506;24.4;1
199507;57.3;1
199508;32.2;1
199509;179.2;1
199510;71.5;1
199511;81.4;1
199512;174.2;1
199601;169.5;1
199602;118.4;1
199603;44.5;1
199604;68;1
199605;173.4;1
199606;35.5;1
199607;94.7;1
199608;105.2;1
199609;95;1
199610;83.4;1
199611;243.1;1
199612;120.3;1
199701;41.7;1
199702;122.9;1
199703;6.8;1
199704;20.1;1
199705;150;1
199706;184.5;1
199707;68.8;1
199708;101.2;1
199709;39.6;1
199710;93.8;1
199711;216;1
199712;181.7;1
199801;171.4;1
199802;26.5;1
199803;57.7;1
199804;261.5;1
199805;45.5;1
199806;90.1;1
199807;55;1
199808;36.5;1
199809;190.8;1
199810;190.4;1
199811;109;1
199812;80.5;1
199901;114;1
199902;140;1
199903;102.2;1
199904;144.2;1
199905;124.3;1
199906;71.4;1
199907;61.5;1
199908;166.4;1
199909;157.6;1
199910;89.5;1
199911;88.3;1
199912;259;1
200001;36;1
200002;172;1
200003;44.3;1
200004;234.3;1
200005;132.1;1
200006;71;1
200007;101.9;1
200008;126.8;1
200009;87.2;1
200010;139.2;1
200011;318;1
200012;59.4;1
200101;149.2;1
200102;56.2;1
200103;235.6;1
200104;175.6;1
200105;69.2;1
200106;45.4;1
200107;305;1
200108;73.2;1
200109;109.6;1
200110;110.4;1
200111;66.6;1
200112;55.4;1
200201;31.4;1
200202;132.4;1
200203;57.2;1
200204;71.4;1
200205;147;1
200206;95.6;1
200207;86.6;1
200208;94.4;1
200209;50;1
200210;115;1
200211;157.8;1
200212;103;1
200301;114;1
200302;85.2;1
200303;62.4;1
200304;64.2;1
200305;58;1
200306;38.6;1
200307;55.4;1
200308;95.2;1
200309;59;1
200310;212;1
200311;130.4;1
200312;91.6;1
200401;251.2;1
200402;34.4;1
200403;73.2;1
200404;140.4;1
200405;86.6;1
200406;43.2;1
200407;99.6;1
200408;144.6;1
200409;26.8;1
200410;138.2;1
200411;45.2;1
200412;118.1;1
200501;58.4;1
200502;43.8;1
200503;80;1
200504;175.4;1
200505;61.6;1
200506;41.2;1
200507;61.8;1
200508;25;1
200509;77.8;1
200510;35.8;1
200511;95;1
200512;145;1
200601;64;1
200602;118;1
200603;243.6;1
200604;48.4;1
200605;103.8;1
200606;87.4;1
200607;70.4;1
200608;108.8;1
200609;239.4;1
200610;127.6;1
200611;170.8;1
200612;85.4;1
200701;125.6;1
200702;209.2;1
200703;167.2;1
200704;46;1
200705;139.8;1
200706;154.6;1
200707;111.2;1
200708;135.6;1
200709;87.4;1
200710;27.2;1
200711;45.4;1
200712;108.8;1
200801;142.6;1
200802;44.6;1
200803;202.4;1
200804;202.8;1
200805;186.6;1
200806;85.4;1
200807;63.6;1
200808;46;1
200809;66.8;1
200810;103.6;1
200811;132.6;1
200812;128.8;1
200901;144.2;1
200902;25.4;1
200903;55.6;1
200904;160.6;1
200905;118.2;1
200906;88.2;1
200907;98.6;1
200908;150;1
200909;41.8;1
200910;72.8;1
200911;199;1
200912;113.2;1
201001;89.4;1
201002;116;1
201003;127.2;1
201004;43.2;1
201005;92.2;1
201006;194.8;1
201007;29.4;1
201008;40.2;1
201009;77.2;1
201010;95.4;1
201011;195.4;1
201012;68.8;1
201101;56;1
201102;53.6;1
201103;63.8;1
201104;12.8;1
201105;45;1
201106;59;1
201107;145.2;1
201108;96.8;1
201109;22;1
201110;75.6;1
201111;68.6;1
201112;275.4;1
201201;85.4;1
201202;10.8;1
201203;44.2;1
201204;245.2;1
201205;77;1
201206;122.2;1
201207;61.6;1
201208;16.6;1
201209;44.2;1
201210;97.8;1
201211;92;1
201212;177.2;1
201301;105.8;1
201302;99.2;1
201303;124.8;1
201304;118.4;1
201305;137.6;1
201306;76.8;1
201307;113;1
201308;21.8;1
201309;106.4;1
201310;136.2;1
201311;170.2;1
201312;100;1
201401;167.8;1
201402;196;1
201403;72.4;1
201404;74.2;1
201405;91.2;1
201406;95;1
201407;112.8;1
201408;104.6;1
201409;62.2;1
201410;64.2;1
201411;150.8;1
201412;69.2;1
201501;117.4;1
201502;112.6;1
201503;97.2;1
201504;92.4;1
201505;70;1
201506;68.8;1
201507;23.2;1
201508;138;1
201509;113.4;1
201510;73.8;1
201511;94.4;1
201512;18.8;1
201601;273.8;1
201602;200.6;1
201603;136.8;1
201604;140.2;1
201605;164.4;1
201606;133.4;1
201607;18.8;1
201608;15.2;1
201609;73.8;1
201610;52.2;1
201611;127.2;1
201612;13.8;1
201701;51.8;1
201702;108.8;1
201703;146.2;1
201704;58.4;1
201705;138.2;1
201706;134;1
201707;55;1
201708;31.6;1
201709;97.2;1
201710;30;1
201711;80.2;1
201712;222.4;1
201801;291.8;1
201802;61.4;1
201803;155.4;1
201804;107.2;1
201805;74.4;1
201806;90.6;1
201807;50.4;1
201808;44.2;1
201809;11.6;1
201810;56.2;1
201811;102.2;1
201812;180.8;1
201901;104.8;1
201902;35;1
201903;84.4;1
201904;92.2;1
201905;93.8;1
201906;58.4;1
201907;53.4;1
201908;17.8;1
201909;35.8;1
201910;191.8;1
201911;250.2;1
201912;221;1
202001;96.2;1
202002;98.6;1
202003;90.4;1
202004;72.6;1
202005;81.4;1
202006;158.4;1
202007;3.6;1
202008;46.6;1
202009;60.8;1
202010;183.4;1
202011;29.2;1
202012;264.9;1
202101;185.3;1
202102;123.4;1
202103;43.9;1
202104;49.7;1
202105;166.2;1
202106;163.1;1
202107;108.2;1
202108;39.9;1
202109;159;1
202110;100.4;1
202111;67.2;1
202112;184.5;1
202201;53.4;0
202202;98.4;0
202203;70.1;0
202204;126.8;0
202205;36.4;0
202206;115.3;0
202207;1.6;0
202208;29.9;0
202209;71.9;0
202210;59;0
202211;153.9;0
202212;130.1;0
