# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 19275001
# NOM_USUEL= USSEL-LAMARTINE
# LATITUDE (°) = 45.559
# LONGITUDE(°)= 2.321
# ALTITUDE (m) = 654
# NUM_SERIE= MRR119275001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 202112
# Date(s) de rupture(s) d'homogénéité : 199212 201712
#     Periode homogénéisée  195501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;251.2;1
195502;139.1;1
195503;31.4;1
195504;2.5;1
195505;48.9;1
195506;204.2;1
195507;117.9;1
195508;46.2;1
195509;29;1
195510;101.1;1
195511;43.7;1
195512;129.2;1
195601;98.5;1
195602;17.7;1
195603;58.2;1
195604;75.8;1
195605;108.3;1
195606;43.4;1
195607;130.1;1
195608;191.7;1
195609;124;1
195610;61.2;1
195611;34;1
195612;59.1;1
195701;34.9;1
195702;160.2;1
195703;29.1;1
195704;33.2;1
195705;36.7;1
195706;118.1;1
195707;85.9;1
195708;37.6;1
195709;72.5;1
195710;31.2;1
195711;34.6;1
195712;67.5;1
195801;94.5;1
195802;74.5;1
195803;125.3;1
195804;73.9;1
195805;201;1
195806;77.8;1
195807;134.7;1
195808;84.5;1
195809;140.3;1
195810;48.1;1
195811;65.7;1
195812;161.5;1
195901;108.7;1
195902;9.2;1
195903;90.5;1
195904;137.9;1
195905;48.5;1
195906;65.5;1
195907;50.6;1
195908;157.1;1
195909;104.9;1
195910;85.5;1
195911;84.5;1
195912;217.4;1
196001;85.7;1
196002;133;1
196003;104.8;1
196004;26.3;1
196005;36.6;1
196006;91.6;1
196007;76.5;1
196008;267.5;1
196009;83.8;1
196010;284.1;1
196011;102.3;1
196012;123.2;1
196101;141.5;1
196102;47.2;1
196103;2;1
196104;100.6;1
196105;91.3;1
196106;69.7;1
196107;94.3;1
196108;56.7;1
196109;77.2;1
196110;132.6;1
196111;92.7;1
196112;132.1;1
196201;179.1;1
196202;48.3;1
196203;123.7;1
196204;97.8;1
196205;113.4;1
196206;22.6;1
196207;64.8;1
196208;23.9;1
196209;51.6;1
196210;36.9;1
196211;128.7;1
196212;93.7;1
196301;50.9;1
196302;81.7;1
196303;136.4;1
196304;89.9;1
196305;67.6;1
196306;115.4;1
196307;21.3;1
196308;132.9;1
196309;51.8;1
196310;86.3;1
196311;136.2;1
196312;36.4;1
196401;21.1;1
196402;39.2;1
196403;81;1
196404;132;1
196405;130.4;1
196406;85.4;1
196407;45.2;1
196408;122.3;1
196409;46.8;1
196410;127.3;1
196411;84;1
196412;52.5;1
196501;109.6;1
196502;10;1
196503;103.4;1
196504;70.2;1
196505;102.2;1
196506;49.2;1
196507;97.3;1
196508;57.1;1
196509;210.3;1
196510;10.1;1
196511;181.1;1
196512;195.7;1
196601;125.5;1
196602;83.8;1
196603;49.8;1
196604;122.2;1
196605;70.4;1
196606;67.2;1
196607;53.3;1
196608;85.5;1
196609;16.2;1
