# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 19288004
# NOM_USUEL= VOUTEZAC
# LATITUDE (°) = 45.28
# LONGITUDE(°)= 1.416
# ALTITUDE (m) = 124
# NUM_SERIE= MRR119288004
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;212.3;1
195502;114.8;1
195503;22.6;1
195504;2.5;1
195505;37.6;1
195506;114.8;1
195507;140.1;1
195508;24.5;1
195509;22.6;1
195510;37.9;1
195511;69.5;1
195512;133.1;1
195601;61.5;1
195602;17.2;1
195603;48.4;1
195604;85.8;1
195605;73.8;1
195606;26.9;1
195607;132.5;1
195608;117.9;1
195609;123.4;1
195610;41.5;1
195611;40;1
195612;46.1;1
195701;62.1;1
195702;98.9;1
195703;44.6;1
195704;47.7;1
195705;64.6;1
195706;90.2;1
195707;75;1
195708;30;1
195709;82;1
195710;37.8;1
195711;56.6;1
195712;79.2;1
195801;122.2;1
195802;38;1
195803;122.8;1
195804;44;1
195805;180.2;1
195806;102.4;1
195807;173.2;1
195808;97;1
195809;73;1
195810;35;1
195811;58;1
195812;137.9;1
195901;99;1
195902;20.5;1
195903;103.3;1
195904;132.8;1
195905;49.5;1
195906;35.3;1
195907;31.2;1
195908;100.1;1
195909;84;1
195910;73.7;1
195911;93.8;1
195912;246.5;1
196001;121;1
196002;92.6;1
196003;77.5;1
196004;19.4;1
196005;91.6;1
196006;127.8;1
196007;50.8;1
196008;185.3;1
196009;146.2;1
196010;258.1;1
196011;128.4;1
196012;130.6;1
196101;143.6;1
196102;38.6;1
196103;5;1
196104;95.9;1
196105;60.1;1
196106;23.7;1
196107;64.7;1
196108;54;1
196109;78.8;1
196110;90.5;1
196111;107.7;1
196112;152.8;1
196201;115.8;1
196202;44.7;1
196203;92;1
196204;71.6;1
196205;126.1;1
196206;9.9;1
196207;94.4;1
196208;8.6;1
196209;75.5;1
196210;25.2;1
196211;196.8;1
196212;125.9;1
196301;38.2;1
196302;97.2;1
196303;154.4;1
196304;75.9;1
196305;72.4;1
196306;136.2;1
196307;26.2;1
196308;356.3;1
196309;95.2;1
196310;70.8;1
196311;96;1
196312;38;1
196401;17.7;1
196402;71;1
196403;58.4;1
196404;156.7;1
196405;116;1
196406;63;1
196407;7.5;1
196408;63.1;1
196409;38.3;1
196410;108.5;1
196411;81;1
196412;43.5;1
196501;107;1
196502;8.9;1
196503;110.4;1
196504;58.9;1
196505;99.7;1
196506;23.1;1
196507;100.8;1
196508;78.6;1
196509;217.7;1
196510;13.5;1
196511;179.4;1
196512;186.7;1
196601;124.9;1
196602;113.3;1
196603;48.8;1
196604;163;1
196605;81.5;1
196606;134.1;1
196607;44.7;1
196608;47.7;1
196609;39.7;1
196610;207.6;1
196611;115.7;1
196612;152.3;1
196701;59.2;1
196702;90.8;1
196703;41.1;1
196704;27.6;1
196705;95.5;1
196706;73;1
196707;4.1;1
196708;42.1;1
196709;76;1
196710;119.2;1
196711;117.7;1
196712;84;1
196801;121.5;1
196802;62.1;1
196803;33.9;1
196804;43.9;1
196805;136.4;1
196806;77.2;1
196807;94.6;1
196808;165.2;1
196809;184.5;1
196810;43.5;1
196811;33.5;1
196812;103.7;1
196901;78.2;1
196902;57.7;1
196903;128;1
196904;112.5;1
196905;162.4;1
196906;109.4;1
196907;24.7;1
196908;50.7;1
196909;119.7;1
196910;4.2;1
196911;151.6;1
196912;76.1;1
197001;120.7;1
197002;158.8;1
197003;49.7;1
197004;85.3;1
197005;31.5;1
197006;69.7;1
197007;16.3;1
197008;50;1
197009;25.7;1
197010;51;1
197011;90.2;1
197012;49.1;1
197101;143.1;1
197102;60.1;1
197103;50.3;1
197104;87.4;1
197105;147.5;1
197106;89;1
197107;106.6;1
197108;122.8;1
197109;46.9;1
197110;53.4;1
197111;111.7;1
197112;13;1
197201;71;1
197202;106.3;1
197203;72.1;1
197204;56.3;1
197205;61.2;1
197206;23.3;1
197207;39;1
197208;237.3;1
197209;29.5;1
197210;60.3;1
197211;115.8;1
197212;54.5;1
197301;62.1;1
197302;85.3;1
197303;19;1
197304;40.4;1
197305;149.4;1
197306;52.7;1
197307;142.2;1
197308;17.6;1
197309;69.9;1
197310;102.8;1
197311;73;1
197312;114.6;1
197401;65.3;1
197402;82.8;1
197403;115;1
197404;54.9;1
197405;75.3;1
197406;63;1
197407;33;1
197408;51.5;1
197409;123.3;1
197410;99.6;1
197411;110;1
197412;45.1;1
197501;160.3;1
197502;21.4;1
197503;94.1;1
197504;72.2;1
197505;90.6;1
197506;23.4;1
197507;22.1;1
197508;132.7;1
197509;156.2;1
197510;36.8;1
197511;102.7;1
197512;36.8;1
197601;27.2;1
197602;51.9;1
197603;45.8;1
197604;19.1;1
197605;81.4;1
197606;10.2;1
197607;50;1
197608;32.9;1
197609;107.3;1
197610;177.2;1
197611;131.1;1
197612;116.9;1
197701;76.6;1
197702;172.5;1
197703;97.9;1
197704;54.1;1
197705;115.3;1
197706;164.5;1
197707;58.3;1
197708;106.2;1
197709;13.6;1
197710;129.6;1
197711;58.9;1
197712;85.7;1
197801;152.9;1
197802;98;1
197803;113.2;1
197804;68.2;1
197805;46;1
197806;38.6;1
197807;85.8;1
197808;21.2;1
197809;53.7;1
197810;4.4;1
197811;19.7;1
197812;185;1
197901;117.8;1
197902;108.6;1
197903;147.9;1
197904;117.8;1
197905;109.8;1
197906;41.7;1
197907;26.1;1
197908;79.4;1
197909;32.5;1
197910;143.8;1
197911;105.4;1
197912;165.6;1
198001;139.2;1
198002;116.4;1
