# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 20004002
# NOM_USUEL= AJACCIO
# LATITUDE (°) = 41.918
# LONGITUDE(°)= 8.793
# ALTITUDE (m) = 5
# NUM_SERIE= MRR120004002
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195201 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;121.6;1
195202;42.2;1
195203;7.9;1
195204;29.3;1
195205;32.8;1
195206;0;1
195207;0;1
195208;42.7;1
195209;97.4;1
195210;41.1;1
195211;88.3;1
195212;129;1
195301;27.9;1
195302;24.8;1
195303;11.3;1
195304;49.8;1
195305;24.6;1
195306;88.3;1
195307;2.7;1
195308;4.8;1
195309;15.3;1
195310;77.4;1
195311;7.7;1
195312;34.6;1
195401;95.7;1
195402;77.7;1
195403;56.8;1
195404;47.9;1
195405;63.4;1
195406;43.2;1
195407;32.9;1
195408;2.5;1
195409;9.8;1
195410;42.9;1
195411;114.3;1
195412;58.4;1
195501;95;1
195502;118.2;1
195503;41.3;1
195504;1.5;1
195505;10;1
195506;13.2;1
195507;0;1
195508;2.1;1
195509;59.2;1
195510;108.1;1
195511;95.8;1
195512;66.4;1
195601;106.2;1
195602;69.9;1
195603;73.2;1
195604;78.9;1
195605;41.6;1
195606;15;1
195607;2.8;1
195608;1;1
195609;66.2;1
195610;29.5;1
195611;79.4;1
195612;41.8;1
195701;32.3;1
195702;44;1
195703;12;1
195704;60.7;1
195705;71.2;1
195706;51.7;1
195707;5.3;1
195708;3.9;1
195709;0.7;1
195710;33.1;1
195711;111.1;1
195712;133;1
195801;68.9;1
195802;21.5;1
195803;72.5;1
195804;62.2;1
195805;23.1;1
195806;15.2;1
195807;28.9;1
195808;12.7;1
195809;0.1;1
