# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 21231001
# NOM_USUEL= DIJON
# LATITUDE (°) = 47.321
# LONGITUDE(°)= 5.019
# ALTITUDE (m) = 241
# NUM_SERIE= MRR121231001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;49.2;1
195102;68.7;1
195103;78.7;1
195104;38.3;1
195105;108.9;1
195106;109.8;1
195107;28.9;1
195108;112.9;1
195109;69.4;1
195110;25.9;1
195111;185.2;1
195112;40.6;1
195201;115.2;1
195202;41.8;1
195203;105;1
195204;15.2;1
195205;50.4;1
195206;14;1
195207;55;1
195208;61.3;1
195209;119.3;1
195210;153.2;1
195211;107.9;1
195212;87.6;1
195301;11.9;1
195302;38.7;1
195303;3.9;1
195304;50;1
195305;18;1
195306;222.7;1
195307;120.5;1
195308;34.2;1
195309;51.6;1
195310;47.4;1
195311;14;1
195312;13.4;1
195401;42;1
195402;31.3;1
195403;61.7;1
195404;29.5;1
195405;25.2;1
195406;82.8;1
195407;10;1
195408;143.9;1
195409;63.4;1
195410;69.7;1
195411;57.9;1
195412;101.8;1
195501;143.1;1
195502;102.8;1
195503;48.3;1
195504;0;1
195505;48.1;1
195506;68.9;1
195507;131.9;1
195508;33.4;1
195509;60;1
195510;42.5;1
195511;32.6;1
195512;103.3;1
195601;56.5;1
195602;12;1
195603;62.3;1
195604;46;1
195605;33.3;1
195606;62.7;1
195607;104.6;1
195608;99.2;1
195609;143.5;1
195610;56.2;1
195611;30.5;1
195612;38;1
195701;21.6;1
195702;100.8;1
195703;23.3;1
195704;35.6;1
195705;32.4;1
195706;174;1
195707;47.4;1
195708;33.5;1
195709;56.9;1
195710;27.7;1
195711;24.6;1
195712;75.1;1
195801;79.9;1
195802;75.6;1
195803;44.6;1
195804;35.7;1
195805;97.2;1
195806;67.2;1
195807;39.1;1
195808;95.3;1
195809;107.1;1
195810;61.5;1
195811;41.7;1
195812;101.9;1
195901;88.2;1
195902;0;1
195903;52.7;1
195904;56.3;1
195905;38.6;1
195906;162.4;1
195907;5;1
195908;29.9;1
195909;29.9;1
195910;42.2;1
195911;64.1;1
195912;82.4;1
196001;58.5;1
196002;46.2;1
196003;41.4;1
196004;8.3;1
196005;76.9;1
196006;58.9;1
196007;65.2;1
196008;130.9;1
196009;86;1
196010;152.1;1
196011;54.1;1
196012;45;1
196101;69.3;1
196102;56.4;1
196103;5.2;1
196104;47.6;1
196105;45.8;1
196106;25.6;1
