# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 22266001
# NOM_USUEL= ROSTRENEN
# LATITUDE (°) = 48.227
# LONGITUDE(°)= -3.295
# ALTITUDE (m) = 236
# NUM_SERIE= MRR122266001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 198509 201202
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;112.6;1
195102;198.8;1
195103;122.3;1
195104;81.1;1
195105;114.4;1
195106;64.5;1
195107;60.5;1
195108;188.6;1
195109;154;1
195110;46.1;1
195111;240.9;1
195112;109;1
195201;113.5;1
195202;46.1;1
195203;86;1
195204;67.9;1
195205;65.3;1
195206;23.6;1
195207;44.8;1
195208;88.5;1
195209;202.2;1
195210;108.3;1
195211;105.8;1
195212;141.9;1
195301;31.8;1
195302;50.6;1
195303;18.9;1
195304;124.5;1
195305;77.1;1
195306;71.6;1
195307;90.5;1
195308;25.8;1
195309;75.5;1
195310;83;1
195311;50.4;1
195312;18.1;1
195401;77.1;1
195402;106.3;1
195403;111.9;1
195404;22.4;1
195405;45.6;1
195406;70.5;1
195407;63.4;1
195408;83.8;1
195409;94.5;1
195410;98.7;1
195411;129.9;1
195412;79.8;1
195501;156.2;1
195502;103.8;1
195503;66;1
195504;8.1;1
195505;56.6;1
195506;75.7;1
195507;17.8;1
195508;9.9;1
195509;47;1
195510;63.8;1
195511;64.1;1
195512;160.7;1
195601;149.8;1
195602;15.8;1
195603;49.6;1
195604;43.7;1
195605;49.8;1
195606;51.1;1
195607;65.1;1
195608;96;1
195609;145.1;1
195610;56.5;1
195611;50.4;1
195612;154.9;1
195701;78;1
195702;209.3;1
195703;37.3;1
195704;37.2;1
195705;33.2;1
195706;79.2;1
195707;46.9;1
195708;86;1
195709;97;1
195710;34;1
195711;82.7;1
195712;132.2;1
195801;126.9;1
195802;125.7;1
195803;105.2;1
195804;33.6;1
195805;67.9;1
195806;133.4;1
195807;62.2;1
195808;97.1;1
195809;83.3;1
195810;58.1;1
195811;42;1
195812;127.6;1
195901;133.1;1
195902;6.6;1
195903;86.7;1
195904;141.5;1
195905;22.8;1
195906;18.2;1
195907;20.4;1
195908;37.1;1
195909;13.4;1
195910;190.9;1
195911;129.9;1
195912;190.6;1
196001;125.9;1
196002;93.2;1
196003;108.5;1
196004;29;1
196005;73.6;1
196006;46.3;1
196007;90.1;1
196008;140;1
196009;69.4;1
196010;236.6;1
196011;152.9;1
196012;104.9;1
196101;146.7;1
196102;71.7;1
196103;12.9;1
196104;91.5;1
196105;50.6;1
196106;20.4;1
196107;67;1
196108;11.7;1
196109;64.1;1
196110;147.3;1
196111;85.3;1
196112;181.9;1
196201;131.8;1
196202;36.7;1
196203;111.3;1
196204;77.3;1
196205;67.5;1
196206;5.3;1
196207;40.9;1
196208;58.8;1
196209;73.5;1
196210;34;1
196211;131;1
196212;75.5;1
196301;35.6;1
196302;79.7;1
196303;137.6;1
196304;84.5;1
196305;32.2;1
196306;71.3;1
196307;35.3;1
196308;85.5;1
196309;29.9;1
196310;59.3;1
196311;239.4;1
196312;65.8;1
196401;32.6;1
196402;61.8;1
196403;118.7;1
196404;59.8;1
196405;58.5;1
196406;55.7;1
196407;13.7;1
196408;15.8;1
196409;38.5;1
196410;89.4;1
196411;45.5;1
196412;141.4;1
196501;126.5;1
196502;6.8;1
196503;95.3;1
196504;38.7;1
196505;77.5;1
196506;74;1
196507;42;1
196508;59.5;1
196509;81.3;1
196510;32.4;1
196511;155.9;1
196512;199.2;1
196601;107.5;1
196602;173.7;1
196603;36.2;1
196604;145.5;1
196605;73.8;1
196606;77.1;1
196607;30.1;1
196608;64.2;1
196609;75.4;1
196610;199.8;1
196611;87.1;1
196612;144.8;1
196701;93.3;1
196702;118;1
196703;79.5;1
196704;15.6;1
196705;147.2;1
196706;30.7;1
196707;10.6;1
196708;53.4;1
196709;191.2;1
196710;116.9;1
196711;85.3;1
196712;104;1
196801;121.9;1
196802;86.8;1
196803;43.7;1
196804;91.5;1
196805;74.8;1
196806;93.7;1
196807;73.7;1
196808;36.7;1
196809;107.2;1
196810;112;1
196811;33.5;1
196812;100.5;1
196901;104.3;1
196902;87.2;1
196903;97;1
196904;35.6;1
196905;103.4;1
196906;72.7;1
196907;34.7;1
196908;17.8;1
196909;58.1;1
196910;5;1
196911;177.9;1
196912;108.9;1
197001;124.3;1
197002;148.9;1
197003;69.3;1
197004;58.7;1
197005;7.7;1
197006;59.2;1
197007;59.2;1
197008;70.8;1
197009;56.4;1
197010;27.4;1
197011;116.7;1
197012;40.8;1
197101;156.2;1
197102;44.9;1
197103;80.4;1
197104;48.8;1
197105;45;1
197106;37.4;1
197107;24.8;1
197108;55.2;1
197109;34.6;1
197110;37.3;1
197111;124.7;1
197112;33.3;1
197201;123.5;1
197202;134.8;1
197203;63.8;1
197204;81;1
197205;86.9;1
197206;66.1;1
197207;28.4;1
197208;24.2;1
197209;68;1
197210;60;1
197211;124.6;1
197212;105.2;1
197301;67.7;1
197302;60.5;1
197303;11.5;1
197304;67.1;1
197305;102.7;1
197306;18.8;1
197307;107.4;1
197308;30.5;1
197309;104.1;1
197310;54.1;1
197311;65.5;1
197312;64.6;1
197401;158.8;1
197402;216.9;1
197403;70.1;1
197404;36.6;1
197405;71.4;1
197406;44.9;1
197407;22.7;1
197408;81;1
197409;153.3;1
197410;105.5;1
197411;151;1
197412;55.6;1
197501;133;1
197502;25.7;1
197503;108.8;1
197504;57.9;1
197505;35.6;1
197506;19.1;1
197507;41;1
197508;71;1
197509;88.7;1
197510;41.4;1
197511;100.6;1
197512;28.6;1
197601;31.8;1
197602;41.6;1
197603;46.3;1
197604;8.1;1
197605;17.9;1
197606;3.6;1
197607;39.2;1
197608;19;1
197609;129.1;1
197610;168.3;1
197611;115;1
197612;91.1;1
197701;105;1
197702;189.2;1
197703;96;1
197704;44.5;1
197705;90.6;1
197706;65.8;1
197707;53.9;1
197708;85.7;1
197709;28.3;1
197710;56.9;1
197711;139;1
197712;107.7;1
197801;168.9;1
197802;108.9;1
197803;138.8;1
197804;71.1;1
197805;43.9;1
197806;32.3;1
197807;47.2;1
197808;33.1;1
197809;27.4;1
197810;2.3;1
197811;23.3;1
197812;223.6;1
197901;94.4;1
197902;134.1;1
197903;118.1;1
197904;80.9;1
197905;111.4;1
197906;15.7;1
197907;16.4;1
197908;57.4;1
197909;20.4;1
197910;72.4;1
197911;65.5;1
197912;217.1;1
