# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 23046001
# NOM_USUEL= CHAMBONCHARD
# LATITUDE (°) = 46.176
# LONGITUDE(°)= 2.553
# ALTITUDE (m) = 320
# NUM_SERIE= MRR123046001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 196912
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;18.1;1
195002;69.5;1
195003;10.3;1
195004;97.2;1
195005;83.6;1
195006;102.4;1
195007;7.6;1
195008;121.4;1
195009;22.4;1
195010;53.3;1
195011;152.8;1
195012;56.8;1
195101;61.6;1
195102;68.8;1
195103;69.2;1
195104;59;1
195105;113.4;1
195106;113.4;1
195107;22.8;1
195108;77.8;1
195109;56.1;1
195110;31.6;1
195111;47.3;1
195112;49;1
195201;83.6;1
195202;98.2;1
195203;63.6;1
195204;27.7;1
195205;65.9;1
195206;46.2;1
195207;5.6;1
195208;72;1
195209;130.5;1
195210;218;1
195211;139.6;1
195212;156.1;1
195301;32.2;1
195302;33.6;1
195303;12.6;1
195304;58.3;1
195305;30.8;1
195306;104.5;1
195307;121.5;1
195308;72;1
195309;142.1;1
195310;69.4;1
195311;32.9;1
195312;11.2;1
195401;43.8;1
195402;70.7;1
195403;47.4;1
195404;7.4;1
195405;71.1;1
195406;133.7;1
195407;6.2;1
195408;98.2;1
195409;48.3;1
195410;103.7;1
195411;44.2;1
195412;50.6;1
195501;145.4;1
195502;122.8;1
195503;31.5;1
195504;0;1
195505;44.2;1
195506;92.6;1
195507;99.1;1
195508;21.8;1
195509;35;1
195510;33.9;1
195511;47.9;1
195512;87.8;1
195601;102.9;1
195602;51.5;1
195603;36;1
195604;74.8;1
195605;64.1;1
195606;73.6;1
195607;110.9;1
195608;109.8;1
195609;114.7;1
195610;72.2;1
195611;55.3;1
195612;38.9;1
195701;51.2;1
195702;133.9;1
195703;19.5;1
195704;35.3;1
195705;40.4;1
195706;187.7;1
195707;109.2;1
195708;37.8;1
195709;58.3;1
195710;35.5;1
195711;51.7;1
195712;51.6;1
195801;99.3;1
195802;69;1
195803;85;1
195804;52.5;1
195805;213.8;1
195806;100.6;1
195807;106.3;1
195808;121.4;1
195809;77.9;1
