# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 25047001
# NOM_USUEL= BAUME-LES-DAMES
# LATITUDE (°) = 47.347
# LONGITUDE(°)= 6.35
# ALTITUDE (m) = 267
# NUM_SERIE= MRR125047001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;99.3;1
195102;88.8;1
195103;109.4;1
195104;50.1;1
195105;95.4;1
195106;130.6;1
195107;67.8;1
195108;157.9;1
195109;72.6;1
195110;53.7;1
195111;180.1;1
195112;73.8;1
195201;126.5;1
195202;84.2;1
195203;170.7;1
195204;86.8;1
195205;52.7;1
195206;66.3;1
195207;6;1
195208;88.6;1
195209;121.8;1
195210;171.1;1
195211;173.2;1
195212;180.6;1
195301;49.6;1
195302;66.2;1
195303;5.9;1
195304;28.3;1
195305;63;1
195306;260;1
195307;148.5;1
195308;64.1;1
195309;85.1;1
195310;40.2;1
195311;10.7;1
195312;33.3;1
195401;79.8;1
195402;55.9;1
195403;45;1
195404;79.9;1
195405;67.9;1
195406;28.4;1
195407;61.1;1
195408;171.3;1
195409;151.7;1
195410;79.5;1
195411;100.7;1
195412;184.3;1
195501;145.8;1
195502;111.7;1
195503;76.3;1
195504;13.6;1
195505;82.4;1
195506;114.9;1
195507;70.6;1
195508;102;1
195509;50;1
195510;52;1
195511;54;1
195512;150;1
195601;97.8;1
195602;13.3;1
195603;34;1
195604;86.3;1
195605;58.7;1
195606;83.5;1
195607;129.7;1
195608;169;1
195609;139.9;1
195610;161.9;1
195611;64;1
195612;46.2;1
195701;46.2;1
195702;166.6;1
195703;34.8;1
195704;21.1;1
195705;73.6;1
195706;110.9;1
195707;77.7;1
195708;54.9;1
195709;85.1;1
195710;24.9;1
195711;42.5;1
195712;60;1
195801;100;1
195802;186;1
195803;73.5;1
195804;104.5;1
195805;96.6;1
195806;170.4;1
195807;93.8;1
195808;117.3;1
195809;79.6;1
195810;98.2;1
195811;51.1;1
195812;106.4;1
195901;131.3;1
195902;10.3;1
195903;107.2;1
195904;130.2;1
195905;26;1
195906;85.7;1
195907;50.9;1
195908;58;1
195909;24.9;1
195910;65.9;1
195911;78;1
195912;130.7;1
196001;93.1;1
196002;92.1;1
196003;66.6;1
196004;35.1;1
196005;56.4;1
196006;75.7;1
196007;96.1;1
196008;175.5;1
196009;169.5;1
196010;121.5;1
196011;94.5;1
196012;72.6;1
196101;96.1;1
196102;96.4;1
196103;23.4;1
196104;79.2;1
196105;56.2;1
196106;61.4;1
196107;103;1
196108;97.3;1
196109;42;1
196110;112.1;1
196111;63.4;1
196112;101.5;1
196201;124.6;1
196202;67.5;1
196203;150.2;1
196204;109;1
196205;96.1;1
196206;37.3;1
196207;64.7;1
196208;47.2;1
196209;98;1
196210;17.2;1
196211;40;1
196212;128.2;1
196301;36.9;1
196302;59.1;1
196303;88.2;1
196304;88.1;1
196305;58.9;1
196306;226.2;1
196307;112.5;1
196308;287.4;1
196309;80.1;1
196310;69.5;1
196311;192.9;1
196312;4.1;1
196401;41;1
196402;31.5;1
196403;119.7;1
196404;69.4;1
196405;133.3;1
196406;47.6;1
196407;18;1
196408;70;1
196409;72.5;1
196410;84.8;1
196411;75;1
196412;23.7;1
196501;111.2;1
196502;23.5;1
196503;140.3;1
196504;130.6;1
196505;181.9;1
196506;74.6;1
196507;128.2;1
196508;94.6;1
196509;184.5;1
196510;20;1
196511;123.9;1
196512;179.1;1
196601;97.7;1
196602;110.1;1
196603;66.3;1
196604;107.9;1
196605;83.5;1
196606;61.5;1
196607;100;1
196608;125.2;1
196609;72;1
196610;112.2;1
196611;83.1;1
196612;165;1
196701;60.5;1
196702;66.2;1
196703;81;1
196704;49.5;1
196705;124.4;1
196706;39.7;1
196707;57.2;1
196708;98;1
196709;137.7;1
196710;62.3;1
196711;152.7;1
196712;109.9;1
196801;144.3;1
196802;86.7;1
196803;69.5;1
196804;82.2;1
196805;94.2;1
196806;59.6;1
196807;179.2;1
196808;182.5;1
196809;169.6;1
196810;63.3;1
196811;77.9;1
196812;91.1;1
196901;72.6;1
196902;83.7;1
196903;85.4;1
196904;118.4;1
196905;110.3;1
196906;105.7;1
196907;46.7;1
196908;100.7;1
196909;11.8;1
196910;2;1
196911;119.3;1
196912;91;1
197001;108.7;1
197002;252.1;1
197003;95.7;1
197004;141.2;1
197005;68.7;1
197006;207.3;1
197007;82;1
197008;65.1;1
197009;80.3;1
197010;117;1
197011;111.9;1
197012;59.5;1
197101;42;1
197102;26.9;1
197103;101.8;1
197104;69.6;1
197105;78;1
197106;119.2;1
197107;20.5;1
197108;113.8;1
197109;26.2;1
197110;26;1
197111;130.1;1
197112;24.9;1
197201;56.5;1
197202;54.2;1
197203;45;1
197204;119.6;1
197205;92.4;1
197206;70;1
197207;72.4;1
197208;34.6;1
197209;30.8;1
197210;51.1;1
197211;218.4;1
197212;56.4;1
197301;65;1
197302;83.3;1
197303;21.6;1
197304;112.2;1
197305;142.3;1
197306;87.9;1
197307;90.2;1
197308;90.6;1
197309;60.9;1
197310;74.9;1
197311;128.8;1
197312;87.6;1
197401;61.4;1
197402;65.2;1
197403;94.1;1
197404;20.9;1
197405;65;1
197406;73;1
197407;59.2;1
197408;51.7;1
197409;128.6;1
197410;229;1
197411;124.9;1
197412;90.4;1
197501;89.2;1
197502;27.2;1
197503;93.4;1
197504;100.7;1
197505;102.1;1
197506;83;1
197507;32.5;1
197508;140.3;1
197509;145;1
197510;29.5;1
197511;153.1;1
197512;30.5;1
197601;73.3;1
197602;63.4;1
197603;13;1
197604;50.2;1
197605;64;1
197606;24.3;1
197607;73.9;1
197608;43.4;1
197609;147.8;1
197610;46.2;1
197611;114.4;1
197612;131.8;1
197701;142.5;1
197702;171.3;1
197703;62.6;1
197704;162.3;1
197705;68.5;1
197706;194.7;1
197707;122.8;1
197708;103.5;1
197709;52.4;1
197710;94.3;1
197711;143.6;1
197712;111;1
197801;109.7;1
197802;126.9;1
197803;135.3;1
197804;94.7;1
197805;82.5;1
197806;76.6;1
197807;126.1;1
197808;111.8;1
197809;55.1;1
197810;45;1
197811;24.3;1
197812;141.1;1
197901;83.6;1
197902;81.2;1
197903;118;1
197904;80.4;1
197905;122;1
197906;80.9;1
197907;33.6;1
197908;133.9;1
197909;43.6;1
197910;87.7;1
197911;119.2;1
197912;116.1;1
198001;85.9;1
198002;68.4;1
198003;61.8;1
198004;32.6;1
198005;86.7;1
198006;142.9;1
198007;80.6;1
198008;94.9;1
198009;101.4;1
198010;109.8;1
198011;57.6;1
198012;86;1
198101;116.9;1
198102;52.1;1
198103;104.2;1
198104;28.6;1
198105;91.7;1
198106;82.7;1
198107;112.4;1
198108;50.6;1
198109;148.2;1
198110;181.3;1
198111;83.8;1
198112;207.8;1
198201;132.2;1
198202;32.1;1
198203;112.8;1
198204;22.7;1
198205;54.5;1
198206;182.1;1
198207;131.3;1
198208;150.5;1
198209;97.5;1
198210;119.7;1
198211;132.8;1
198212;192.5;1
198301;90.6;1
198302;73;1
198303;94.1;1
198304;218;1
198305;339.6;1
198306;27.9;1
198307;31.2;1
198308;33.7;1
198309;103.6;1
198310;84.8;1
198311;60.5;1
198312;63.4;1
198401;166.9;1
198402;122;1
198403;37.1;1
198404;27.6;1
198405;143.6;1
198406;86.8;1
198407;37.2;1
