# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 25127001
# NOM_USUEL= CHARQUEMONT
# LATITUDE (°) = 47.219
# LONGITUDE(°)= 6.815
# ALTITUDE (m) = 884
# NUM_SERIE= MRR125127001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 198912 201308
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;206.6;1
195502;158;1
195503;37.9;1
195504;21.3;1
195505;121;1
195506;166.3;1
195507;157;1
195508;143.2;1
195509;120.9;1
195510;54.2;1
195511;32.7;1
195512;201.7;1
195601;132.7;1
195602;29.2;1
195603;61;1
195604;118.2;1
195605;145.4;1
195606;89;1
195607;237.4;1
195608;194.7;1
195609;95;1
195610;152.2;1
195611;78;1
195612;40.4;1
195701;76;1
195702;264;1
195703;47.9;1
195704;52.7;1
195705;70.3;1
195706;212.4;1
195707;190.3;1
195708;97.7;1
195709;150;1
195710;23.5;1
195711;52.3;1
195712;53.7;1
195801;152.7;1
195802;220.8;1
195803;96.1;1
195804;98.3;1
195805;132.9;1
195806;158.8;1
195807;113.5;1
195808;107.5;1
195809;55.1;1
195810;148.4;1
195811;54.9;1
195812;139.4;1
195901;170.9;1
195902;4;1
195903;125.2;1
195904;143.6;1
195905;96.3;1
195906;169.2;1
195907;36.6;1
195908;87.6;1
195909;27.2;1
195910;106.1;1
195911;49;1
195912;133.3;1
196001;110;1
196002;84.6;1
196003;66.4;1
196004;55;1
196005;92.6;1
196006;123.1;1
196007;109.2;1
196008;160.6;1
196009;156.7;1
196010;145.7;1
196011;115.3;1
196012;56.1;1
196101;101.9;1
196102;104.9;1
196103;34.8;1
196104;136.2;1
196105;81.4;1
196106;147.8;1
196107;130.2;1
196108;111.7;1
196109;41.3;1
196110;89.4;1
196111;55.2;1
196112;154.4;1
196201;168;1
196202;88.8;1
196203;136;1
196204;114.6;1
196205;166.1;1
196206;68.8;1
196207;89.4;1
196208;55.3;1
196209;80.7;1
196210;29.3;1
196211;24.6;1
196212;173.8;1
196301;47.9;1
196302;62.9;1
196303;118.4;1
196304;85.4;1
196305;112.8;1
196306;169.1;1
196307;80.9;1
196308;207.7;1
196309;85.3;1
196310;49.9;1
196311;197.1;1
196312;9;1
196401;26.1;1
196402;34.8;1
196403;116.3;1
196404;90.3;1
196405;109.7;1
196406;91.6;1
196407;36;1
196408;101.3;1
196409;92.6;1
196410;136.8;1
196411;79.7;1
196412;65.2;1
196501;118.2;1
196502;57.7;1
196503;163.8;1
196504;156.6;1
196505;152.3;1
196506;86.6;1
196507;174.7;1
196508;105.1;1
196509;203.6;1
196510;26.5;1
196511;150;1
196512;249;1
196601;105.1;1
196602;150.8;1
196603;123.2;1
196604;139.2;1
196605;147.5;1
196606;126.8;1
196607;121.9;1
196608;214.7;1
196609;48.6;1
196610;98.8;1
196611;85.6;1
196612;184;1
196701;85.8;1
196702;78.1;1
196703;113.5;1
196704;51.4;1
196705;166.9;1
196706;127.5;1
196707;129.9;1
196708;115.2;1
196709;140.9;1
196710;82.9;1
196711;132.3;1
196712;117.1;1
196801;211.9;1
196802;62.7;1
196803;68.4;1
196804;124.1;1
196805;119.8;1
196806;70.5;1
196807;151;1
196808;281.4;1
196809;203.3;1
196810;62.6;1
196811;82.4;1
196812;109.9;1
196901;76.9;1
196902;134.5;1
196903;86.5;1
196904;140.1;1
196905;103.2;1
196906;229;1
196907;87.6;1
196908;178.2;1
196909;56.2;1
196910;9.5;1
196911;134.7;1
196912;105.9;1
197001;92.1;1
197002;322.2;1
197003;124.4;1
197004;175.1;1
197005;95.2;1
197006;209.5;1
197007;139.8;1
197008;113.7;1
197009;80.2;1
197010;123;1
197011;114.2;1
197012;58.6;1
197101;49.6;1
197102;49.5;1
197103;57.9;1
197104;49.5;1
197105;59.4;1
197106;170.4;1
197107;59.5;1
197108;112.5;1
197109;32;1
197110;32.7;1
197111;178.2;1
197112;54.1;1
197201;36.2;1
197202;45.8;1
197203;62.9;1
197204;119.5;1
197205;66.7;1
197206;113.7;1
197207;96.8;1
197208;78.1;1
197209;54.4;1
197210;53.9;1
197211;240.1;1
197212;69.4;1
197301;47.6;1
197302;112.6;1
197303;43.8;1
197304;141.2;1
197305;115.4;1
197306;183.2;1
197307;88.1;1
197308;82.9;1
197309;54.8;1
197310;102;1
197311;155.6;1
197312;97.2;1
197401;66.7;1
197402;90.2;1
197403;78.2;1
197404;26.6;1
197405;112.7;1
197406;92.9;1
197407;63.1;1
197408;58.8;1
197409;116.9;1
197410;233.9;1
197411;176.4;1
197412;132.1;1
197501;153.2;1
197502;28.8;1
197503;103.4;1
197504;89.3;1
197505;119;1
197506;117.4;1
197507;74.6;1
197508;137.1;1
197509;167.5;1
197510;55.3;1
197511;143.2;1
197512;41.4;1
197601;98.4;1
197602;59.6;1
197603;27.2;1
197604;46.5;1
197605;99;1
197606;24.3;1
197607;155.5;1
197608;78;1
197609;104;1
197610;77.4;1
197611;105.3;1
197612;148.4;1
197701;156;1
197702;222.2;1
197703;74.1;1
197704;226;1
197705;93.4;1
197706;171.3;1
197707;209.5;1
197708;203.7;1
197709;39.7;1
197710;101.6;1
197711;177.6;1
197712;139.3;1
197801;140;1
197802;159.9;1
197803;186.9;1
197804;89.1;1
197805;140;1
197806;84.6;1
197807;111.9;1
197808;142.9;1
197809;89.3;1
197810;56.8;1
197811;20.2;1
197812;156.1;1
197901;155.5;1
197902;112.3;1
197903;149.9;1
197904;97.9;1
197905;114.9;1
197906;143.1;1
197907;34.3;1
197908;146.5;1
197909;40.3;1
197910;78.3;1
197911;176.2;1
197912;181;1
198001;126.1;1
198002;102.7;1
198003;96.3;1
198004;90.7;1
198005;125.6;1
198006;222.8;1
198007;183.5;1
198008;92.8;1
198009;66.8;1
198010;135.7;1
198011;61.2;1
198012;137.8;1
198101;185.6;1
198102;74.2;1
198103;161;1
198104;63.2;1
198105;149.8;1
198106;74.9;1
198107;222.2;1
198108;64.3;1
198109;138.4;1
198110;216.6;1
198111;110.3;1
198112;293.2;1
198201;183.5;1
198202;41.6;1
198203;154.6;1
198204;38.8;1
198205;115;1
198206;207.5;1
198207;185;1
198208;114.1;1
198209;99.5;1
198210;176.5;1
198211;121.2;1
198212;204.9;1
198301;176.6;1
198302;118.3;1
198303;111.5;1
198304;182.2;1
198305;299.6;1
198306;49.1;1
198307;96.1;1
198308;147;1
198309;124.5;1
198310;73.7;1
198311;101.8;1
198312;67.7;1
198401;226;1
198402;165.8;1
198403;78.6;1
198404;36.6;1
198405;153.8;1
198406;84.5;1
198407;33;1
198408;62.1;1
198409;187.7;1
198410;108.1;1
198411;92.9;1
198412;87.2;1
198501;95;1
198502;69.7;1
198503;89.5;1
198504;140.9;1
198505;187.3;1
198506;142.2;1
198507;90.9;1
198508;109.6;1
198509;46.4;1
198510;10.3;1
198511;90.3;1
198512;66.9;1
198601;268.1;1
198602;63.5;1
198603;85.8;1
198604;177.3;1
198605;120.5;1
198606;109.5;1
198607;78.1;1
198608;118.2;1
198609;35.5;1
198610;112.2;1
198611;76.1;1
198612;163.9;1
198701;72;1
198702;114;1
198703;118;1
198704;82.2;1
198705;196.2;1
198706;217.6;1
198707;189.7;1
198708;62.2;1
198709;162.4;1
198710;94.4;1
198711;130.3;1
198712;74.9;1
198801;139.4;1
198802;181.1;1
198803;285.6;1
198804;54.7;1
198805;100.1;1
198806;126.6;1
198807;138.8;1
198808;96.8;1
198809;115.4;1
198810;170;1
198811;76.2;1
198812;177.8;1
198901;31.5;1
198902;122.9;1
198903;85.4;1
198904;182.3;1
198905;66.7;1
198906;66.1;1
198907;73.5;1
198908;124.3;1
198909;69.4;1
198910;92.5;1
198911;79.6;1
198912;96.7;1
199001;38.5;1
199002;192.2;1
199003;45.4;1
199004;92.1;1
199005;108.7;1
199006;257.9;1
199007;55.3;1
199008;48.8;1
199009;138.8;1
199010;101.8;1
199011;143.4;1
199012;108.6;1
199101;67.6;1
199102;46;1
199103;76.1;1
199104;47.7;1
199105;83.7;1
199106;149.3;1
199107;99.8;1
199108;18.8;1
199109;114.8;1
199110;108.4;1
199111;134.4;1
199112;125.7;1
199201;25.6;1
199202;108.9;1
199203;130.8;1
199204;136.4;1
199205;63.5;1
199206;149.7;1
199207;102.3;1
199208;97.7;1
199209;75.1;1
199210;180.5;1
199211;228;1
199212;92.9;1
199301;82.9;1
199302;32;1
199303;26;1
199304;130.2;1
199305;92.5;1
199306;118.9;1
199307;135.2;1
199308;103.6;1
199309;190.9;1
199310;165.2;1
199311;42.5;1
199312;228.1;1
199401;181.8;1
199402;78.3;1
199403;93.8;1
199404;170.2;1
199405;182.3;1
199406;89.6;1
199407;96.6;1
199408;96;1
199409;178.9;1
