# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 25462001
# NOM_USUEL= PONTARLIER
# LATITUDE (°) = 46.905
# LONGITUDE(°)= 6.34
# ALTITUDE (m) = 831
# NUM_SERIE= MRR125462001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;118.3;1
195102;132.4;1
195103;124.2;1
195104;75.5;1
195105;104.2;1
195106;136.3;1
195107;129.2;1
195108;147.6;1
195109;91.6;1
195110;63.7;1
195111;222.9;1
195112;85.2;1
195201;174.3;1
195202;122.6;1
195203;164.7;1
195204;61.4;1
195205;82.6;1
195206;71.8;1
195207;23.9;1
195208;132.2;1
195209;165.8;1
195210;240.1;1
195211;253.2;1
195212;227.5;1
195301;28;1
195302;151.3;1
195303;6.4;1
195304;70.2;1
195305;76.8;1
195306;279.3;1
195307;130.1;1
195308;79.1;1
195309;128;1
195310;67.7;1
195311;31.7;1
195312;37.6;1
195401;110;1
195402;98;1
195403;47.1;1
195404;108.5;1
195405;61.4;1
195406;74;1
195407;64.8;1
195408;273;1
195409;250.4;1
195410;113;1
195411;81.4;1
195412;252.6;1
195501;237.5;1
195502;195.1;1
195503;38.2;1
195504;14.8;1
195505;128.3;1
195506;145.7;1
195507;132.9;1
195508;196.6;1
195509;76.3;1
195510;55.3;1
195511;45.9;1
195512;198.7;1
195601;135.7;1
195602;12.7;1
195603;55.4;1
195604;112.5;1
195605;111.8;1
195606;105.5;1
195607;204.7;1
195608;188.9;1
195609;138.3;1
195610;158.7;1
195611;87.2;1
195612;34;1
195701;66.4;1
195702;242.9;1
195703;30.4;1
195704;34.8;1
195705;79.4;1
195706;192.3;1
195707;231.5;1
195708;81.8;1
195709;150;1
195710;32.6;1
195711;53;1
195712;67.8;1
195801;130.5;1
195802;176.6;1
195803;99.5;1
195804;91.4;1
195805;108.2;1
195806;189.3;1
195807;130;1
195808;156.5;1
195809;125.2;1
195810;186.8;1
195811;67.2;1
195812;117.6;1
195901;181.1;1
195902;4.3;1
195903;165;1
195904;139.2;1
195905;42.9;1
195906;221.7;1
195907;61.2;1
195908;41.6;1
195909;42;1
195910;105.1;1
195911;73.2;1
195912;194.1;1
196001;102.5;1
196002;119.8;1
196003;97.2;1
196004;39.9;1
196005;69;1
196006;137.6;1
196007;143.1;1
196008;197.5;1
196009;227.4;1
196010;167.4;1
196011;134.2;1
196012;91.7;1
196101;121.2;1
196102;143.2;1
196103;44.8;1
196104;142.6;1
196105;69.2;1
196106;136.6;1
196107;119.6;1
196108;113;1
196109;35.2;1
196110;104;1
196111;61.1;1
196112;193.8;1
196201;174.5;1
196202;123.3;1
196203;165.2;1
196204;161.2;1
196205;143.8;1
196206;36.9;1
196207;67.6;1
196208;57.2;1
196209;99;1
196210;38.8;1
196211;34.4;1
196212;214.3;1
196301;63.2;1
196302;61.7;1
196303;133.5;1
196304;95.3;1
196305;112.6;1
196306;300.1;1
196307;71.2;1
196308;303.8;1
196309;126.1;1
196310;52.7;1
196311;250.7;1
196312;11;1
196401;38.9;1
196402;49.1;1
196403;118.7;1
196404;108.4;1
196405;133.4;1
196406;53.7;1
196407;30;1
196408;86.2;1
196409;75.5;1
196410;133.7;1
196411;77.1;1
196412;46.7;1
196501;121.1;1
196502;65;1
196503;213;1
196504;176;1
196505;146.9;1
196506;104.1;1
196507;191.1;1
196508;108.1;1
196509;236.3;1
196510;66.7;1
196511;187;1
196512;281.7;1
196601;151.3;1
196602;144.1;1
196603;129.9;1
196604;127.1;1
196605;147.4;1
196606;126.5;1
196607;107.5;1
